Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Antoine GriezmannAtletico, 35, AM(CLR),FW","Antoine Griezmann Atletico, 35, AM(CLR),FW",31(7),2863,15,16,2,-,2.9,82.4,0.7,13,7.69
"2Karim BenzemaReal Madrid, 38, FW","Karim Benzema Real Madrid, 38, FW",24,2044,19,3,1,-,4.5,87.0,0.6,6,7.53
"3Robert LewandowskiBarcelona, 37, FW","Robert Lewandowski Barcelona, 37, FW",33(1),2852,23,7,2,1,4,78.1,1.5,7,7.49
"4Leo RománMallorca, 25, GK","Leo Román Mallorca, 25, GK",1,90,-,-,-,-,-,66.7,-,-,7.38
"5Vinícius JúniorReal Madrid, 25, AM(L),FW","Vinícius Júnior Real Madrid, 25, AM(L),FW",32(1),2833,10,9,10,1,2.3,80.6,0.1,4,7.35
"6RodrygoReal Madrid, 25, AM(CLR),FW","Rodrygo Real Madrid, 25, AM(CLR),FW",25(9),2382,9,8,4,-,2.9,89.6,0.4,4,7.26
"7Memphis DepayBarcelona, 32, AM(CL),FW","Memphis Depay Barcelona, 32, AM(CL),FW",2,116,1,-,-,-,3,83.9,0.5,-,7.23
"8PedriBarcelona, 23, M(CL)","Pedri Barcelona, 23, M(CL)",22(4),1983,6,1,2,-,0.8,87.6,0.1,4,7.2
"9JoseluEspanyol, 36, FW","Joselu Espanyol, 36, FW",33(1),2989,16,2,3,-,2.7,61.0,5.1,5,7.15
"10Frenkie de JongBarcelona, 28, D(C),M(C)","Frenkie de Jong Barcelona, 28, D(C),M(C)",29(4),2539,2,4,3,-,0.5,91.4,1,5,7.15
"11Gerónimo RulliVillarreal, 33, GK","Gerónimo Rulli Villarreal, 33, GK",14,1260,-,-,1,-,-,83.7,0.2,2,7.14
"12Ousmane DembéléBarcelona, 28, AM(CLR),FW","Ousmane Dembélé Barcelona, 28, AM(CLR),FW",16(9),1416,5,7,4,-,2,83.4,0.2,3,7.14
"13Mikel MerinoReal Sociedad, 29, M(C),FW","Mikel Merino Real Sociedad, 29, M(C),FW",28(5),2500,2,9,6,1,1.3,77.6,3.4,7,7.13
"14Gonzalo EscalanteCadiz, 33, DMC","Gonzalo Escalante Cadiz, 33, DMC",13(1),1126,4,1,4,-,1,75.8,1.9,2,7.1
"15Lee Kang-InMallorca, 25, M(CLR),FW","Lee Kang-In Mallorca, 25, M(CLR),FW",33(3),2841,6,6,10,-,1.3,80.3,0.6,6,7.09
"16Federico ValverdeReal Madrid, 27, D(R),M(CLR)","Federico Valverde Real Madrid, 27, D(R),M(CLR)",29(5),2509,7,4,2,-,1.9,88.4,0.9,4,7.08
"17Sergi DarderEspanyol, 32, M(CLR)","Sergi Darder Espanyol, 32, M(CLR)",38,3325,6,3,4,-,1,78.5,0.3,5,7.08
"18Enes ÜnalGetafe, 28, FW","Enes Ünal Getafe, 28, FW",35,2986,14,3,6,-,2.5,60.9,4.6,5,7.07
"19Juan FoythVillarreal, 28, D(CR),DMC","Juan Foyth Villarreal, 28, D(CR),DMC",22(2),1960,1,-,6,-,0.6,87.8,1.5,1,7.06
"20Isi PalazónRayo Vallecano, 31, AM(CR),FW","Isi Palazón Rayo Vallecano, 31, AM(CR),FW",36(1),2990,9,5,4,-,2.5,78.9,0.8,3,7.05
"21RaphinhaBarcelona, 29, AM(CLR),FW","Raphinha Barcelona, 29, AM(CLR),FW",25(11),2087,7,7,8,-,2.2,79.9,0.4,6,7.04
"22Toni KroosReal Madrid, 36, M(C)","Toni Kroos Real Madrid, 36, M(C)",25(5),2164,2,4,-,1,1,94.6,0.2,1,7.04
"23Aleix GarcíaGirona, 28, M(C)","Aleix García Girona, 28, M(C)",26(4),2341,1,5,1,-,1.1,88.9,0.4,2,7.04
"24Aurélien TchouaméniReal Madrid, 26, D(C),DMC","Aurélien Tchouaméni Real Madrid, 26, D(C),DMC",24(9),2120,-,4,2,-,1.2,93.5,1.5,2,7.04
"25David GilCadiz, 32, GK","David Gil Cadiz, 32, GK",4,360,-,-,-,-,-,44.7,-,-,7.04
"26Jeremías LedesmaCadiz, 33, GK","Jeremías Ledesma Cadiz, 33, GK",34,3060,-,-,2,-,-,46.8,0.3,5,7.03
"27Éder MilitãoReal Madrid, 28, D(CR)","Éder Militão Real Madrid, 28, D(CR)",30(3),2703,5,-,4,-,0.7,88.7,1.9,2,7.03
"28Vedat MuriqiMallorca, 32, FW","Vedat Muriqi Mallorca, 32, FW",34(1),2953,15,3,6,1,2.2,57.8,5.7,4,7.01
"29Sergio BusquetsBarcelona, 37, D(C),DMC","Sergio Busquets Barcelona, 37, D(C),DMC",28(2),2347,-,4,6,1,0.3,88.7,1.8,-,6.99
"30Takefusa KuboReal Sociedad, 24, AM(CLR),FW","Takefusa Kubo Real Sociedad, 24, AM(CLR),FW",29(6),2452,9,4,3,-,2.1,75.9,0.5,4,6.98
"31Guido RodríguezReal Betis, 32, DMC","Guido Rodríguez Real Betis, 32, DMC",33(1),2878,1,-,8,-,0.6,87.4,1.3,3,6.98
"32José GayàValencia, 30, D(L),M(L)","José Gayà Valencia, 30, D(L),M(L)",31,2716,1,3,4,-,0.7,81.0,0.8,3,6.98
"33Javi GalánCelta Vigo, 31, D(L),M(L)","Javi Galán Celta Vigo, 31, D(L),M(L)",36(1),3163,-,3,6,-,0.4,80.7,0.9,5,6.98
"34Jules KoundéBarcelona, 27, D(CR)","Jules Koundé Barcelona, 27, D(CR)",28(1),2429,1,3,2,-,0.5,88.8,1.5,1,6.97
"35José María GiménezAtletico, 31, D(CR)","José María Giménez Atletico, 31, D(CR)",26(2),2421,2,1,9,-,0.8,88.8,1.8,2,6.96
"36Dani ParejoVillarreal, 37, M(C)","Dani Parejo Villarreal, 37, M(C)",37,3289,3,4,6,-,0.8,90.6,0.5,2,6.96
"37Marco AsensioReal Madrid, 30, AM(CLR),FW","Marco Asensio Real Madrid, 30, AM(CLR),FW",15(16),1436,9,6,1,-,1.9,87.9,0.1,3,6.94
"38Thibaut CourtoisReal Madrid, 33, GK","Thibaut Courtois Real Madrid, 33, GK",31,2790,-,-,-,-,-,83.9,0.3,1,6.94
"39Gerard MorenoVillarreal, 34, AM(CR),FW","Gerard Moreno Villarreal, 34, AM(CR),FW",14(7),1227,7,3,4,-,2,75.1,0.9,1,6.94
"40Brais MéndezReal Sociedad, 29, AM(CR),FW","Brais Méndez Real Sociedad, 29, AM(CR),FW",28(6),2418,8,4,6,-,1.8,82.4,0.7,2,6.93
"41Loïc BadéSevilla, 26, D(C)","Loïc Badé Sevilla, 26, D(C)",16(3),1448,1,-,4,-,0.2,87.5,1.8,3,6.92
"42Iago AspasCelta Vigo, 38, AM(CR),FW","Iago Aspas Celta Vigo, 38, AM(CR),FW",31(6),2868,12,3,5,-,2.1,79.0,0.8,2,6.91
"43Viktor TsygankovGirona, 28, M(CLR)","Viktor Tsygankov Girona, 28, M(CLR)",17(2),1494,3,6,-,-,1,72.9,0.4,1,6.91
"44Ronald AraujoBarcelona, 27, D(CR)","Ronald Araujo Barcelona, 27, D(CR)",21(1),1802,-,2,6,1,0.8,89.1,2.1,-,6.91
"45Yéremy PinoVillarreal, 23, AM(CLR),FW","Yéremy Pino Villarreal, 23, AM(CLR),FW",31(5),2465,4,5,7,-,1.4,79.5,0.7,2,6.91
"46Lucas RobertoneAlmeria, 29, M(C)","Lucas Robertone Almeria, 29, M(C)",34(3),2860,2,7,7,-,1,82.4,0.6,2,6.91
"47Reinildo MandavaAtletico, 32, D(CL),M(L)","Reinildo Mandava Atletico, 32, D(CL),M(L)",22,1860,-,-,4,-,0.3,87.1,1.4,1,6.91
"48Félix GarretaReal Betis, 22, Defender","Félix Garreta Real Betis, 22, Defender",1,90,-,-,-,-,-,87.2,1.0,-,6.9
"49Alejandro BaldeBarcelona, 22, D(LR),M(L)","Alejandro Balde Barcelona, 22, D(LR),M(L)",30(3),2477,1,6,4,-,0.6,91.1,0.6,1,6.9
"50Nico WilliamsAthletic Club, 23, AM(LR)","Nico Williams Athletic Club, 23, AM(LR)",32(4),2675,6,4,3,-,1.7,78.4,0.6,3,6.89
"51Samuel ChukwuezeVillarreal, 26, AM(CLR)","Samuel Chukwueze Villarreal, 26, AM(CLR)",27(10),2350,6,5,1,-,1.6,78.3,0.4,3,6.89
"52Claudio BravoReal Betis, 43, GK","Claudio Bravo Real Betis, 43, GK",12,1080,-,-,2,-,-,55.0,0.3,1,6.88
"53Antonio RaílloMallorca, 34, D(C)","Antonio Raíllo Mallorca, 34, D(C)",31,2767,2,3,11,1,0.4,83.2,3.0,1,6.88
"54Nicolas JacksonVillarreal, 24, FW","Nicolas Jackson Villarreal, 24, FW",16(10),1603,12,4,4,1,1.6,76.4,0.5,4,6.87
"55Ayoze PérezReal Betis, 32, AM(CLR),FW","Ayoze Pérez Real Betis, 32, AM(CLR),FW",17(2),1395,3,1,3,-,1.8,81.0,0.4,1,6.87
"56Marc-André ter StegenBarcelona, 33, GK","Marc-André ter Stegen Barcelona, 33, GK",38,3349,-,-,-,-,-,82.4,0.2,-,6.85
"57Yannick CarrascoAtletico, 32, D(L),M(CLR),FW","Yannick Carrasco Atletico, 32, D(L),M(CLR),FW",26(9),2330,7,3,2,-,1.9,84.8,0.1,-,6.85
"58Umar SadiqAlmeria, 29, FW","Umar Sadiq Almeria, 29, FW",3,242,2,-,1,-,2.3,61.8,1.3,-,6.85
"59Alexander SørlothReal Sociedad, 30, AM(R),FW","Alexander Sørloth Real Sociedad, 30, AM(R),FW",28(6),2398,12,3,4,-,1.9,69.5,1.8,3,6.85
"60David SilvaReal Sociedad, 40, M(CLR),FW","David Silva Real Sociedad, 40, M(CLR),FW",25(3),1958,2,5,4,-,1.1,86.1,0.4,2,6.85
"61Álvaro MorataAtletico, 33, AM(CL),FW","Álvaro Morata Atletico, 33, AM(CL),FW",23(13),1906,13,2,4,-,2,64.5,1.6,2,6.85
"62Gerard PiquéBarcelona, 39, D(C)","Gerard Piqué Barcelona, 39, D(C)",5(2),383,-,-,3,1,0.4,92.2,2.9,-,6.85
"63Aitor FernándezOsasuna, 34, GK","Aitor Fernández Osasuna, 34, GK",21,1890,-,-,1,-,-,61.4,0.1,2,6.85
"64André AlmeidaValencia, 25, M(CL),FW","André Almeida Valencia, 25, M(CL),FW",29(5),2552,2,4,3,-,0.7,84.9,0.4,1,6.84
"65David SoriaGetafe, 33, GK","David Soria Getafe, 33, GK",38,3420,-,-,3,-,-,49.7,0.1,6,6.84
"66GaviBarcelona, 21, M(CL)","Gavi Barcelona, 21, M(CL)",30(6),2543,2,4,10,-,0.8,87.5,1.1,-,6.84
"67Álex MorenoReal Betis, 32, D(L),M(L)","Álex Moreno Real Betis, 32, D(L),M(L)",15,1350,-,3,1,-,0.9,77.4,0.6,-,6.83
"68Iñaki WilliamsAthletic Club, 31, AM(CLR),FW","Iñaki Williams Athletic Club, 31, AM(CLR),FW",34(2),2853,10,3,2,-,2.4,71.1,0.9,3,6.83
"69Jordi MasipReal Valladolid, 37, GK","Jordi Masip Real Valladolid, 37, GK",28,2508,-,-,4,-,-,66.4,0.3,1,6.83
"70Giovani Lo CelsoVillarreal, 30, M(CLR),FW","Giovani Lo Celso Villarreal, 30, M(CLR),FW",14(8),1130,2,3,3,-,1.4,86.5,0.1,2,6.82
"71Jordi AlbaBarcelona, 37, D(L),M(L)","Jordi Alba Barcelona, 37, D(L),M(L)",14(10),1423,2,3,4,1,0.5,86.6,0.3,1,6.82
"72Andreas ChristensenBarcelona, 30, D(C),DMC","Andreas Christensen Barcelona, 30, D(C),DMC",22(1),1767,1,1,2,-,0.4,94.0,1.8,-,6.82
"73Álvaro GarcíaRayo Vallecano, 33, AM(CL),FW","Álvaro García Rayo Vallecano, 33, AM(CL),FW",34(1),2890,5,5,7,-,1.5,71.6,0.3,4,6.82
"74Gabri VeigaCelta Vigo, 23, AM(C)","Gabri Veiga Celta Vigo, 23, AM(C)",28(8),2308,11,4,6,1,1.7,76.9,0.5,3,6.82
"75Iñigo MartínezAthletic Club, 34, D(C)","Iñigo Martínez Athletic Club, 34, D(C)",15,1339,1,-,1,-,0.7,81.8,1.7,-,6.81
"76Samuel LinoValencia, 26, D(L),M(CLR),FW","Samuel Lino Valencia, 26, D(L),M(CLR),FW",33(5),2897,6,1,4,-,2.5,80.4,0.4,2,6.81
"77Juan MirandaReal Betis, 26, D(L)","Juan Miranda Real Betis, 26, D(L)",16(5),1475,3,2,1,1,1.0,76.8,1.0,2,6.81
"78Marcos LlorenteAtletico, 31, D(R),M(CR),FW","Marcos Llorente Atletico, 31, D(R),M(CR),FW",21(1),1712,1,2,5,-,1.1,85.9,0.5,1,6.81
"79Rodrigo De PaulAtletico, 31, M(CLR),FW","Rodrigo De Paul Atletico, 31, M(CLR),FW",24(6),1935,2,7,5,-,0.7,84.2,0.2,2,6.81
"80Pau TorresVillarreal, 29, D(C)","Pau Torres Villarreal, 29, D(C)",34,3055,1,-,10,-,0.4,85.3,1.7,1,6.8
"81Adri EmbarbaAlmeria, 33, AM(CLR),FW","Adri Embarba Almeria, 33, AM(CLR),FW",18(11),1477,4,3,3,1,1.7,74.8,0.3,3,6.8
"82Anuar TuhamiReal Valladolid, 31, M(CLR)","Anuar Tuhami Real Valladolid, 31, M(CLR)",3,212,1,-,1,-,1.0,76.3,0.7,1,6.8
"83Yuri BerchicheAthletic Club, 36, D(L),M(L)","Yuri Berchiche Athletic Club, 36, D(L),M(L)",27(2),2408,1,1,7,1,1.0,84.1,1.8,1,6.79
