Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"123Adam OunasLille, 29, AM(CLR),FW","Adam Ounas Lille, 29, AM(CLR),FW",12(9),1065,1,1,2,-,1.2,79.7,0.2,1,6.8
"124Brendan ChardonnetBrest, 31, D(C)","Brendan Chardonnet Brest, 31, D(C)",27(3),2489,-,-,6,-,0.5,80.8,3.1,-,6.79
"125Montassar TalbiLorient, 27, D(C)","Montassar Talbi Lorient, 27, D(C)",38,3420,1,2,-,-,0.2,89.1,2.4,1,6.79
"126Ionut RaduAuxerre, 28, GK","Ionut Radu Auxerre, 28, GK",17,1530,-,-,-,-,-,52.6,0.2,1,6.79
"127Johan GastienClermont Foot, 38, DMC","Johan Gastien Clermont Foot, 38, DMC",29(2),2607,4,3,7,-,0.6,84.7,0.3,2,6.79
"128Alexsandro RibeiroLille, 26, D(C)","Alexsandro Ribeiro Lille, 26, D(C)",16(5),1611,3,-,4,-,0.8,90.8,1.5,2,6.79
"129Salis Abdul SamedLens, 26, DMC","Salis Abdul Samed Lens, 26, DMC",33,2897,1,1,6,1,0.4,92.6,0.4,-,6.79
"130Emmanuel AgbadouReims, 28, D(CR),DMC","Emmanuel Agbadou Reims, 28, D(CR),DMC",27(2),2390,-,3,5,3,0.8,86.0,2.1,1,6.79
"131Kasper SchmeichelNice, 39, GK","Kasper Schmeichel Nice, 39, GK",36,3240,-,-,-,-,-,74.9,0.1,2,6.79
"132Jean-Clair TodiboNice, 26, D(C)","Jean-Clair Todibo Nice, 26, D(C)",33(1),2873,-,-,2,2,0.4,88.9,1.1,1,6.79
"133Mohamed CamaraMonaco, 26, DMC","Mohamed Camara Monaco, 26, DMC",25(4),2200,-,3,6,1,0.9,87.6,0.5,1,6.78
