Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"204Nemanja GudeljSevilla, 34, D(C),M(C)","Nemanja Gudelj Sevilla, 34, D(C),M(C)",27(4),2496,1,1,6,-,0.7,88.5,1.5,1,6.6
"205Daley BlindGirona, 36, D(CL),DMC,M(L)","Daley Blind Girona, 36, D(CL),DMC,M(L)",31(3),2779,-,2,2,-,0.3,90.2,0.5,1,6.6
"206Juan SorianoLeganes, 28, GK","Juan Soriano Leganes, 28, GK",7,541,-,-,1,1,-,47.3,-,-,6.6
"207Hugo ÁlvarezCelta Vigo, 22, M(LR)","Hugo Álvarez Celta Vigo, 22, M(LR)",16(10),1572,4,3,6,-,1,79.2,0.3,1,6.6
"208Selvi CluaGirona, 21, Midfielder","Selvi Clua Girona, 21, Midfielder",2(2),163,-,-,-,-,0.5,80.6,1.5,-,6.6
"209Jonathan BambaCelta Vigo, 30, AM(CLR),FW","Jonathan Bamba Celta Vigo, 30, AM(CLR),FW",10(2),815,-,1,1,-,1.1,82.8,0.5,-,6.59
"210Hugo DuroValencia, 26, AM(L),FW","Hugo Duro Valencia, 26, AM(L),FW",25(6),2173,11,2,5,-,1.6,70.4,2,2,6.59
"211Diego LópezValencia, 23, AM(CLR),FW","Diego López Valencia, 23, AM(CLR),FW",35(3),2760,8,5,3,-,1.2,75.7,0.4,1,6.59
"212Álvaro RodríguezGetafe, 21, FW","Álvaro Rodríguez Getafe, 21, FW",7(15),848,2,-,6,-,1.1,47.6,4.8,1,6.59
"213Brahim DíazReal Madrid, 26, AM(CLR),FW","Brahim Díaz Real Madrid, 26, AM(CLR),FW",16(15),1382,4,2,-,-,0.9,88.4,0.1,-,6.59
"214Yarek GasiorowskiValencia, 21, D(CL)","Yarek Gasiorowski Valencia, 21, D(CL)",9(6),946,-,-,1,-,0.2,81.6,1.6,-,6.58
"215Álex MuñozLas Palmas, 31, D(L)","Álex Muñoz Las Palmas, 31, D(L)",18(3),1421,3,-,3,-,0.4,82.3,1.2,2,6.58
"216Aritz ArambarriLeganes, 28, Defender","Aritz Arambarri Leganes, 28, Defender",2,178,-,-,-,-,0.5,73.1,3.0,-,6.58
"217Viti RozadaLas Palmas, 28, D(R)","Viti Rozada Las Palmas, 28, D(R)",23(6),1982,-,2,5,-,0.1,84.1,0.6,-,6.58
"218Pep ChavarríaRayo Vallecano, 28, D(L),M(L)","Pep Chavarría Rayo Vallecano, 28, D(L),M(L)",28(6),2584,-,1,3,-,0.3,82.1,0.7,-,6.58
"219Álex RemiroReal Sociedad, 31, GK","Álex Remiro Real Sociedad, 31, GK",36,3240,-,-,-,-,-,72.0,0.2,1,6.58
"220Sergio CarreiraCelta Vigo, 25, M(LR)","Sergio Carreira Celta Vigo, 25, M(LR)",19(4),1658,-,4,1,-,0.6,78.5,0.1,-,6.58
"221Pablo FornalsReal Betis, 30, M(CLR)","Pablo Fornals Real Betis, 30, M(CLR)",22(4),1838,2,-,2,-,0.9,82.9,0.7,-,6.58
"222Seydouba CisséLeganes, 25, M(C)","Seydouba Cissé Leganes, 25, M(C)",31(3),2451,3,1,3,1,0.7,85.4,0.8,1,6.58
"223Johan MojicaMallorca, 33, D(L),M(L)","Johan Mojica Mallorca, 33, D(L),M(L)",30(6),2753,1,2,5,-,0.5,78.0,0.3,1,6.58
"224Logan CostaVillarreal, 25, D(C)","Logan Costa Villarreal, 25, D(C)",28(4),2586,2,1,3,-,0.4,87.9,1.4,-,6.58
"225Andreas ChristensenBarcelona, 30, D(C),DMC","Andreas Christensen Barcelona, 30, D(C),DMC",2(3),252,-,-,3,-,0.2,91.8,2.2,-,6.57
"226Alejandro FrancésGirona, 23, D(CR)","Alejandro Francés Girona, 23, D(CR)",13(5),1176,-,-,2,-,0.3,85.2,0.4,1,6.57
"227Jesús RodríguezReal Betis, 20, AM(LR)","Jesús Rodríguez Real Betis, 20, AM(LR)",15(6),1120,2,-,-,-,1.1,76.0,0.1,-,6.57
"228Ilaix MoribaCelta Vigo, 23, DMC","Ilaix Moriba Celta Vigo, 23, DMC",22(11),2135,1,1,7,1,1,86.3,0.8,1,6.57
"229Rui SilvaReal Betis, 32, GK","Rui Silva Real Betis, 32, GK",15,1350,-,-,1,-,-,75.7,0.1,-,6.57
"230Iñaki PeñaBarcelona, 27, GK","Iñaki Peña Barcelona, 27, GK",15(1),1394,-,-,1,-,-,87.6,0.1,-,6.57
"231André AlmeidaValencia, 25, M(CL),FW","André Almeida Valencia, 25, M(CL),FW",24(10),1987,-,4,2,-,0.5,88.6,0.1,-,6.57
"232Mika MármolLas Palmas, 24, D(CL)","Mika Mármol Las Palmas, 24, D(CL)",27(3),2401,-,1,5,-,0.3,79.4,0.9,-,6.56
"233David LópezGirona, 36, D(C),DMC","David López Girona, 36, D(C),DMC",27(2),2431,1,1,4,-,0.4,92.3,1.1,1,6.56
"234Jorge de FrutosRayo Vallecano, 29, AM(LR),FW","Jorge de Frutos Rayo Vallecano, 29, AM(LR),FW",30(6),2512,6,3,3,1,1.4,73.8,0.4,2,6.56
"235Javi RodríguezCelta Vigo, 22, D(CR)","Javi Rodríguez Celta Vigo, 22, D(CR)",26(10),2514,3,2,7,-,0.3,86.8,1.2,1,6.56
"236Facundo GarcésDeportivo Alaves, 26, D(C)","Facundo Garcés Deportivo Alaves, 26, D(C)",7(3),676,-,-,2,-,0.5,76.4,1.3,-,6.56
"237NatanReal Betis, 25, D(CL)","Natan Real Betis, 25, D(CL)",23(8),2172,1,1,5,1,0.3,89.0,2.2,-,6.56
"238Yvan NeyouLeganes, 29, DMC","Yvan Neyou Leganes, 29, DMC",27(3),2322,1,1,14,-,0.5,88.1,0.8,1,6.56
"239Javi PuadoEspanyol, 27, AM(CLR),FW","Javi Puado Espanyol, 27, AM(CLR),FW",35,2989,12,4,7,-,2.0,79.5,0.3,1,6.56
"240Coba da CostaGetafe, 23, AM(L)","Coba da Costa Getafe, 23, AM(L)",12(7),1012,1,1,4,-,1.2,69.9,1.0,-,6.55
"241Domingos DuarteGetafe, 31, D(C)","Domingos Duarte Getafe, 31, D(C)",21(1),1861,1,-,2,2,0.1,78.7,1.3,-,6.55
"242Juanlu SánchezSevilla, 22, D(R),M(CR)","Juanlu Sánchez Sevilla, 22, D(R),M(CR)",18(14),1725,4,4,4,1,0.4,85.3,0.7,2,6.55
"243KokeAtletico, 34, M(CLR)","Koke Atletico, 34, M(CLR)",20(12),1928,1,1,4,-,0.3,89.1,0.3,2,6.55
"244Jesús AresoOsasuna, 26, D(R)","Jesús Areso Osasuna, 26, D(R)",35(1),3088,-,3,9,-,0.2,80.9,0.8,1,6.55
"245Jon MoncayolaOsasuna, 27, D(R),M(CR)","Jon Moncayola Osasuna, 27, D(R),M(CR)",26(6),2113,-,-,8,-,0.7,80.2,0.5,-,6.54
"246Paulo GazzanigaGirona, 34, GK","Paulo Gazzaniga Girona, 34, GK",36,3196,-,-,4,-,-,78.2,-,1,6.54
"247Aitor ParedesAthletic Club, 25, D(C)","Aitor Paredes Athletic Club, 25, D(C)",21(2),1815,3,-,2,1,0.3,83.6,1.3,1,6.54
"248Giorgi MamardashviliValencia, 25, GK","Giorgi Mamardashvili Valencia, 25, GK",34,3060,-,-,2,-,-,63.9,0.2,3,6.54
"249Iván VillarCelta Vigo, 28, GK","Iván Villar Celta Vigo, 28, GK",4,360,-,-,-,-,-,78.4,0.3,-,6.54
"250Oliver McBurnieLas Palmas, 29, AM(CL),FW","Oliver McBurnie Las Palmas, 29, AM(CL),FW",20(14),1839,3,6,3,-,0.9,65.9,2.6,-,6.54
"251Yáser AsprillaGirona, 22, AM(CLR),FW","Yáser Asprilla Girona, 22, AM(CLR),FW",15(12),1403,3,1,2,-,1.4,80.7,0.2,1,6.54
"252Dário EssugoLas Palmas, 21, DMC","Dário Essugo Las Palmas, 21, DMC",25(2),1954,1,-,7,2,0.9,85.6,1.1,-,6.54
"253Diego CondeVillarreal, 27, GK","Diego Conde Villarreal, 27, GK",22,1963,-,1,2,-,-,77.5,0.1,1,6.54
"254Nahuel MolinaAtletico, 28, D(R),M(R)","Nahuel Molina Atletico, 28, D(R),M(R)",17(13),1585,-,3,1,-,0.3,82.5,0.3,-,6.54
"255Ladislav KrejcíGirona, 27, D(C),DMC","Ladislav Krejcí Girona, 27, D(C),DMC",28(1),2440,2,-,10,-,0.6,90.5,1.9,1,6.54
"256Luka SucicReal Sociedad, 23, AM(CR),FW","Luka Sucic Real Sociedad, 23, AM(CR),FW",21(8),1797,1,1,4,-,1.5,84.5,0.9,1,6.54
"257Cristhian MosqueraValencia, 21, D(CR)","Cristhian Mosquera Valencia, 21, D(CR)",37,3320,1,-,6,-,0.1,91.2,1.1,1,6.54
"258Iker AlmenaGirona, 21, Forward","Iker Almena Girona, 21, Forward",0(2),46,-,1,-,-,0.5,80.8,-,-,6.54
"259Javi GuerraValencia, 22, M(C)","Javi Guerra Valencia, 22, M(C)",31(5),2594,3,3,5,-,1.3,80.4,0.5,1,6.54
"260Dani CárdenasRayo Vallecano, 29, GK","Dani Cárdenas Rayo Vallecano, 29, GK",6,540,-,-,-,-,-,46.5,0.2,-,6.53
"261Frenkie de JongBarcelona, 28, D(C),M(C)","Frenkie de Jong Barcelona, 28, D(C),M(C)",9(17),1140,2,2,3,-,0.2,95.1,0.4,-,6.53
"262Carlos DomínguezCelta Vigo, 25, D(C)","Carlos Domínguez Celta Vigo, 25, D(C)",13(6),1182,-,-,1,-,0.2,88.8,1.5,-,6.53
"263Abdel AbqarDeportivo Alaves, 27, D(C)","Abdel Abqar Deportivo Alaves, 27, D(C)",29,2468,-,1,13,-,0.4,76.9,1.4,-,6.53
"264Stefan BajceticLas Palmas, 21, DMC","Stefan Bajcetic Las Palmas, 21, DMC",12(2),977,1,-,4,-,0.4,73.3,1.2,-,6.53
"265Djibril SowSevilla, 29, M(C)","Djibril Sow Sevilla, 29, M(C)",24(6),2072,2,1,5,-,0.7,89.6,0.9,-,6.53
"266Pacha EspinoRayo Vallecano, 34, D(L)","Pacha Espino Rayo Vallecano, 34, D(L)",9(7),833,-,1,4,-,0.6,76.8,0.9,-,6.52
"267Adnan JanuzajLas Palmas, 31, AM(CLR)","Adnan Januzaj Las Palmas, 31, AM(CLR)",5(13),591,2,1,5,-,0.9,79.5,0.2,1,6.52
"268Adam AznouReal Valladolid, 19, D(L)","Adam Aznou Real Valladolid, 19, D(L)",10(3),876,-,-,2,-,0.3,71.0,0.8,-,6.52
"269Dinko HorkasLas Palmas, 27, GK","Dinko Horkas Las Palmas, 27, GK",11(2),1084,-,-,1,-,-,73.6,0.1,-,6.52
"270Borja IglesiasCelta Vigo, 33, FW","Borja Iglesias Celta Vigo, 33, FW",24(13),1967,11,3,2,-,1.2,72.7,0.4,1,6.52
"271Alfon GonzálezCelta Vigo, 26, AM(L)","Alfon González Celta Vigo, 26, AM(L)",14(12),1373,5,2,1,1,1.8,77.0,0.1,2,6.52
"272Unai LópezRayo Vallecano, 30, M(CR)","Unai López Rayo Vallecano, 30, M(CR)",23(9),1722,3,1,9,1,0.8,86.0,0.3,-,6.52
"273Thierry CorreiaValencia, 27, D(R),M(R)","Thierry Correia Valencia, 27, D(R),M(R)",9(2),771,-,-,1,-,0.6,73.4,0.4,-,6.52
"274Brais MéndezReal Sociedad, 29, AM(CR),FW","Brais Méndez Real Sociedad, 29, AM(CR),FW",19(8),1540,3,2,4,-,1.1,82.4,0.7,1,6.52
"275Youssouf SabalyReal Betis, 33, D(LR),M(R)","Youssouf Sabaly Real Betis, 33, D(LR),M(R)",20(2),1590,-,1,1,-,0.2,88.3,0.4,-,6.52
