Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"273Toma BasicSalernitana, 29, M(C)","Toma Basic Salernitana, 29, M(C)",14(1),1166,-,-,5,-,0.8,84.6,0.5,-,6.48
"274Pierluigi GolliniNapoli, 31, GK","Pierluigi Gollini Napoli, 31, GK",7,630,-,-,-,-,0.1,80.3,0.4,-,6.48
"275Adam MarusicLazio, 33, D(CLR),M(LR)","Adam Marusic Lazio, 33, D(CLR),M(LR)",37,3108,1,-,3,1,0.2,84.7,0.9,1,6.48
"276Kenan YildizJuventus, 20, AM(CLR),FW","Kenan Yildiz Juventus, 20, AM(CLR),FW",9(18),946,2,-,3,-,0.7,84.2,0.6,1,6.48
"277Davide FrattesiInter, 26, DMC","Davide Frattesi Inter, 26, DMC",6(26),935,6,3,1,-,1,80.9,0.4,1,6.48
"278Rui PatrícioRoma, 38, GK","Rui Patrício Roma, 38, GK",23,2070,-,-,1,-,-,75.0,0.1,3,6.48
"279Alessio ZerbinMonza, 27, M(CLR)","Alessio Zerbin Monza, 27, M(CLR)",7(6),685,-,1,-,1,0.5,82.4,0.2,-,6.48
"280Fabio MirettiJuventus, 22, AM(CL)","Fabio Miretti Juventus, 22, AM(CL)",16(9),1110,1,1,3,-,0.8,80.1,0.2,1,6.48
"281Patrick DorguLecce, 21, D(L),M(LR)","Patrick Dorgu Lecce, 21, D(L),M(LR)",17(15),1567,2,-,6,-,0.6,83.9,0.8,-,6.48
"282Martin ErlicSassuolo, 28, D(C)","Martin Erlic Sassuolo, 28, D(C)",31(1),2627,1,-,5,-,0.3,80.5,1.8,-,6.47
"283Isak HienVerona, 27, D(C)","Isak Hien Verona, 27, D(C)",9(1),865,-,-,1,1,0.4,82.2,3.4,-,6.47
"284Daniel BolocaSassuolo, 27, DMC","Daniel Boloca Sassuolo, 27, DMC",23(7),2024,1,-,6,1,0.4,90.4,0.8,1,6.47
"285Samuel Iling-JuniorJuventus, 22, D(L),M(LR)","Samuel Iling-Junior Juventus, 22, D(L),M(LR)",4(20),801,1,2,1,-,0.4,79.3,0.4,-,6.47
"286Djed SpenceGenoa, 25, D(LR),M(LR)","Djed Spence Genoa, 25, D(LR),M(LR)",8(8),855,-,-,1,-,0.1,79.8,0.8,-,6.47
"287DodôFiorentina, 27, D(R),M(R)","Dodô Fiorentina, 27, D(R),M(R)",7(2),523,-,-,-,-,0.2,84.7,0.7,-,6.47
"288Zito LuvumboCagliari, 24, AM(CLR),FW","Zito Luvumbo Cagliari, 24, AM(CLR),FW",19(11),1947,4,5,5,-,1.7,72.9,0.2,-,6.47
"289Rasmus KristensenRoma, 28, D(CR),M(R)","Rasmus Kristensen Roma, 28, D(CR),M(R)",19(10),1745,1,1,5,-,0.3,80.5,1.0,-,6.47
"290Leonardo PavolettiCagliari, 37, FW","Leonardo Pavoletti Cagliari, 37, FW",5(14),620,4,1,4,-,1.3,56.2,3.0,1,6.47
"291Marko ArnautovicInter, 37, AM(CLR),FW","Marko Arnautovic Inter, 37, AM(CLR),FW",5(22),785,5,3,-,-,0.6,77.1,0.1,-,6.46
"292Ilario MonterisiFrosinone, 24, D(C)","Ilario Monterisi Frosinone, 24, D(C)",16(8),1469,2,2,1,-,0.2,81.3,1.8,1,6.46
"293Mário RuiNapoli, 34, D(L),M(L)","Mário Rui Napoli, 34, D(L),M(L)",14(7),1208,-,2,5,1,0.2,82.7,0.5,-,6.46
"294Jackson TchatchouaVerona, 24, D(R),M(LR)","Jackson Tchatchoua Verona, 24, D(R),M(LR)",19(7),1727,-,2,2,-,-,77.3,0.5,-,6.46
"295Karol LinettyTorino, 31, M(CLR)","Karol Linetty Torino, 31, M(CLR)",19(9),1860,-,-,12,-,0.6,86.8,0.7,-,6.46
"296Josip BrekaloFiorentina, 27, AM(CLR),FW","Josip Brekalo Fiorentina, 27, AM(CLR),FW",8(3),655,1,-,-,-,0.8,86.7,0.1,-,6.46
"297João FerreiraUdinese, 25, D(CR),M(R)","João Ferreira Udinese, 25, D(CR),M(R)",18(17),1815,-,1,9,-,0.1,75.9,0.5,1,6.46
"298Alberto CerriEmpoli, 30, FW","Alberto Cerri Empoli, 30, FW",10(2),556,1,-,2,-,0.8,50.7,3.5,-,6.45
"299Nemanja RadonjicTorino, 30, M(CLR),FW","Nemanja Radonjic Torino, 30, M(CLR),FW",4(6),375,3,-,1,-,1.2,70.7,-,2,6.45
"300Ciro ImmobileLazio, 36, FW","Ciro Immobile Lazio, 36, FW",21(10),1662,7,1,8,-,1.6,74.6,0.5,1,6.45
"301Walid CheddiraFrosinone, 28, FW","Walid Cheddira Frosinone, 28, FW",24(12),2132,7,1,-,-,1.7,69.0,1.1,1,6.45
