Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Omar MarmoushEintracht Frankfurt, 27, AM(CL),FW","Omar Marmoush Eintracht Frankfurt, 27, AM(CL),FW",17,1454,15,9,2,-,4.5,79.6,0.4,9,8.23
"2Michael OliseBayern, 24, AM(CLR)","Michael Olise Bayern, 24, AM(CLR)",28(6),2348,12,15,3,-,2.5,86.2,0.3,9,7.74
"3Harry KaneBayern, 32, AM(C),FW","Harry Kane Bayern, 32, AM(C),FW",28(3),2391,26,8,5,-,3.7,80.7,1.0,9,7.72
"4Jamal MusialaBayern, 23, M(CLR)","Jamal Musiala Bayern, 23, M(CLR)",21(4),1807,12,2,3,-,2.7,83.5,0.3,5,7.56
"5Florian WirtzLeverkusen, 22, AM(CLR),FW","Florian Wirtz Leverkusen, 22, AM(CLR),FW",25(6),2357,10,12,3,-,2.5,82.3,0.3,7,7.5
"6Joshua KimmichBayern, 31, D(CR),DMC,M(R)","Joshua Kimmich Bayern, 31, D(CR),DMC,M(R)",32(1),2847,3,6,4,-,1.0,92.9,0.4,2,7.38
"7Tim KleindienstBorussia M.Gladbach, 30, FW","Tim Kleindienst Borussia M.Gladbach, 30, FW",31,2744,16,7,3,1,2.4,62.0,4.8,6,7.35
"8Xavi SimonsRBL, 23, AM(CLR),FW","Xavi Simons RBL, 23, AM(CLR),FW",25,2157,10,7,5,-,2.0,82.9,0.8,4,7.32
"9Hugo EkitikéEintracht Frankfurt, 23, FW","Hugo Ekitiké Eintracht Frankfurt, 23, FW",31(2),2582,15,8,1,-,3.5,76.4,1.6,4,7.31
"10Serhou GuirassyBorussia Dortmund, 30, AM(L),FW","Serhou Guirassy Borussia Dortmund, 30, AM(L),FW",29(1),2601,21,2,4,-,3.0,73.0,3.8,6,7.3
"11Maximilian MittelstädtStuttgart, 29, D(L),M(CL)","Maximilian Mittelstädt Stuttgart, 29, D(L),M(CL)",28(3),2476,1,7,5,-,0.7,87.4,0.8,3,7.22
"12Dayot UpamecanoBayern, 27, D(C)","Dayot Upamecano Bayern, 27, D(C)",20,1763,2,-,6,-,0.7,94.1,3.0,1,7.22
"13Nadiem AmiriMainz, 29, M(CLR),FW","Nadiem Amiri Mainz, 29, M(CLR),FW",30,2485,7,5,7,2,2.1,82.5,0.6,5,7.2
