Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Mohamed SalahLiverpool, 33, AM(CLR),FW","Mohamed Salah Liverpool, 33, AM(CLR),FW",38,3380,29,18,1,-,3.4,73.9,0.2,10,7.61
"2Bukayo SakaArsenal, 24, D(L),M(CLR)","Bukayo Saka Arsenal, 24, D(L),M(CLR)",20(5),1737,6,10,3,-,2.7,84.3,0.4,6,7.37
"3Cole PalmerChelsea, 23, AM(CLR),FW","Cole Palmer Chelsea, 23, AM(CLR),FW",36(1),3199,15,8,7,-,3.4,83.1,0.1,6,7.33
"4Bryan MbeumoBrentford, 26, AM(CLR),FW","Bryan Mbeumo Brentford, 26, AM(CLR),FW",38,3417,20,7,3,-,2.2,73.9,0.9,6,7.33
"5Erling HaalandMan City, 25, FW","Erling Haaland Man City, 25, FW",31,2742,22,3,2,-,3.5,67.5,1.8,6,7.32
"6Matheus CunhaWolves, 26, AM(CL),FW","Matheus Cunha Wolves, 26, AM(CL),FW",29(4),2604,15,6,4,-,3.3,79.3,0.4,9,7.32
"7Alexander IsakNewcastle, 26, AM(L),FW","Alexander Isak Newcastle, 26, AM(L),FW",34,2774,23,6,1,-,2.9,77.1,0.8,5,7.3
"8Luis DíazLiverpool, 29, AM(LR),FW","Luis Díaz Liverpool, 29, AM(LR),FW",28(8),2413,13,5,2,-,2,86.1,0.4,5,7.21
"9Bruno FernandesMan Utd, 31, M(CLR),FW","Bruno Fernandes Man Utd, 31, M(CLR),FW",35(1),3024,8,10,3,2,2.7,81.5,0.6,5,7.2
"10Mark TraversBournemouth, 26, GK","Mark Travers Bournemouth, 26, GK",5,450,-,-,-,-,-,62.8,0.2,1,7.2
"11Antoine SemenyoBournemouth, 26, AM(CLR),FW","Antoine Semenyo Bournemouth, 26, AM(CLR),FW",36(1),3210,11,5,9,-,3.4,78.2,1.8,5,7.2
"12Amad DialloMan Utd, 23, M(CR)","Amad Diallo Man Utd, 23, M(CR)",20(6),1903,8,6,5,-,1.8,85.9,0.4,3,7.17
"13Jarrod BowenWest Ham, 29, AM(CLR),FW","Jarrod Bowen West Ham, 29, AM(CLR),FW",34,2980,13,8,1,-,2.6,79.1,0.4,5,7.15
"14Omar MarmoushMan City, 27, AM(CL),FW","Omar Marmoush Man City, 27, AM(CL),FW",14(2),1183,7,-,-,-,3.1,84.3,0.3,1,7.13
"15Brandon AustinTottenham, 27, GK","Brandon Austin Tottenham, 27, GK",1,90,-,-,-,-,-,66.7,4,-,7.11
"16Daniel MuñozCrystal Palace, 29, D(CR),DMC,M(R)","Daniel Muñoz Crystal Palace, 29, D(CR),DMC,M(R)",37,3233,4,5,10,-,1,75.1,1.6,2,7.11
"17Jérémy DokuMan City, 23, M(CLR)","Jérémy Doku Man City, 23, M(CLR)",16(13),1515,3,6,1,-,1,84.4,-,3,7.11
"18Antonín KinskyTottenham, 23, GK","Antonín Kinsky Tottenham, 23, GK",6,540,-,-,-,-,-,72.6,0.3,-,7.1
"19James TarkowskiEverton, 33, D(C)","James Tarkowski Everton, 33, D(C)",33,2924,1,1,6,-,0.5,81.6,3.1,2,7.09
