Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Tjark ErnstHertha Berlin, 23, GK","Tjark Ernst Hertha Berlin, 23, GK",1,90,-,-,-,-,-,69.0,-,-,7.7
"2Jude BellinghamBorussia Dortmund, 22, M(CLR),FW","Jude Bellingham Borussia Dortmund, 22, M(CLR),FW",30(1),2693,8,4,8,-,2.2,83.1,1.1,6,7.58
"3Joshua KimmichBayern, 31, D(CR),DMC,M(R)","Joshua Kimmich Bayern, 31, D(CR),DMC,M(R)",32(1),2815,5,6,4,1,0.8,89.7,0.5,4,7.47
"4Niclas FüllkrugWerder Bremen, 33, FW","Niclas Füllkrug Werder Bremen, 33, FW",28,2479,16,5,4,-,2.8,63.7,5.5,5,7.38
"5Christopher NkunkuRBL, 28, M(CLR),FW","Christopher Nkunku RBL, 28, M(CLR),FW",20(5),1899,16,4,4,-,3,81.8,0.7,8,7.35
"6Jamal MusialaBayern, 23, M(CLR)","Jamal Musiala Bayern, 23, M(CLR)",26(7),2212,12,10,1,-,2,85.4,0.4,4,7.34
"7Dominik SzoboszlaiRBL, 25, D(R),M(CLR),FW","Dominik Szoboszlai RBL, 25, D(R),M(CLR),FW",28(3),2453,6,8,3,2,1.9,83.0,0.2,4,7.32
"8Randal Kolo MuaniEintracht Frankfurt, 27, AM(CLR),FW","Randal Kolo Muani Eintracht Frankfurt, 27, AM(CLR),FW",31(1),2648,15,11,4,1,2.4,67.0,1.9,10,7.29
"9Julian BrandtBorussia Dortmund, 29, M(CLR),FW","Julian Brandt Borussia Dortmund, 29, M(CLR),FW",29(3),2412,9,8,2,-,1.3,83.8,0.3,3,7.28
"10Raphaël GuerreiroBorussia Dortmund, 32, D(LR),M(CL)","Raphaël Guerreiro Borussia Dortmund, 32, D(LR),M(CL)",26(1),2296,4,12,4,-,1.2,85.1,0.2,3,7.27
"11Vincenzo GrifoFreiburg, 33, AM(CL)","Vincenzo Grifo Freiburg, 33, AM(CL)",30(3),2427,15,5,2,-,2.0,78.8,0.5,5,7.27
