Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Benjamin BourigeaudRennes, 32, M(CLR)","Benjamin Bourigeaud Rennes, 32, M(CLR)",1,81,1,-,-,-,2,85.7,2.0,-,7.99
"2Arnau TenasPSG, 24, GK","Arnau Tenas PSG, 24, GK",1,90,-,1,-,-,-,96.4,1.0,-,7.81
"3Logan CostaToulouse, 25, D(C)","Logan Costa Toulouse, 25, D(C)",1,90,-,-,-,-,-,83.3,4.0,-,7.73
"4Ousmane DembéléPSG, 28, AM(CLR),FW","Ousmane Dembélé PSG, 28, AM(CLR),FW",20(9),1737,21,6,2,-,3.3,83.2,0.1,9,7.65
"5Ismail JakobsMonaco, 26, D(L),M(L)","Ismail Jakobs Monaco, 26, D(L),M(L)",2,180,-,-,-,-,-,88.5,0.5,-,7.55
"6Amine GouiriMarseille, 26, AM(CLR),FW","Amine Gouiri Marseille, 26, AM(CLR),FW",12(2),1052,10,3,-,-,3.6,89.8,0.1,3,7.51
"7Mason GreenwoodMarseille, 24, AM(CLR),FW","Mason Greenwood Marseille, 24, AM(CLR),FW",32(2),2819,21,5,3,-,3.5,83.3,0.2,11,7.38
"8Khvicha KvaratskheliaPSG, 25, AM(CLR),FW","Khvicha Kvaratskhelia PSG, 25, AM(CLR),FW",11(3),920,4,3,-,-,2.4,89.3,0.2,3,7.34
"9Andrey SantosStrasbourg, 21, DMC","Andrey Santos Strasbourg, 21, DMC",32,2857,10,3,8,-,1.4,88.6,1.3,3,7.33
"10Mika BierethMonaco, 23, FW","Mika Biereth Monaco, 23, FW",16,1240,13,2,1,-,2.6,64.0,1.2,4,7.31
"11Achraf HakimiPSG, 27, D(LR),M(R)","Achraf Hakimi PSG, 27, D(LR),M(R)",24(1),2068,4,6,4,-,1.3,90.9,0.4,-,7.3
"12Rayan CherkiLyon, 22, AM(CLR),FW","Rayan Cherki Lyon, 22, AM(CLR),FW",22(8),2048,8,11,3,-,1.5,84.1,0.1,6,7.3
"13Bradley BarcolaPSG, 23, AM(LR),FW","Bradley Barcola PSG, 23, AM(LR),FW",27(7),2194,14,10,2,-,2.2,83.4,0.4,4,7.25
"14Gaëtan PerrinAuxerre, 29, AM(CLR)","Gaëtan Perrin Auxerre, 29, AM(CLR)",31(3),2707,10,11,2,-,1.7,78.5,0.1,7,7.23
"15Désiré DouéPSG, 20, AM(CLR),FW","Désiré Doué PSG, 20, AM(CLR),FW",18(13),1735,6,6,1,-,1.8,86.1,0.3,2,7.21
"16Jonathan ClaussNice, 33, D(R),M(LR)","Jonathan Clauss Nice, 33, D(R),M(LR)",27(1),2312,3,8,7,-,0.9,77.5,0.6,3,7.2
"17Evann GuessandNice, 24, AM(CLR),FW","Evann Guessand Nice, 24, AM(CLR),FW",30(3),2575,12,8,2,-,1.9,77.2,0.9,5,7.19
"18Adrien RabiotMarseille, 31, M(CL)","Adrien Rabiot Marseille, 31, M(CL)",27(2),2483,9,4,4,-,1.7,86.8,1.2,2,7.14
"19Dilane BakwaStrasbourg, 23, M(CLR)","Dilane Bakwa Strasbourg, 23, M(CLR)",29(1),2512,6,8,4,-,1.7,81.3,0.4,5,7.13
"20João NevesPSG, 21, D(R),DMC","João Neves PSG, 21, D(R),DMC",22(7),1851,3,8,1,-,1.0,92.2,0.8,4,7.11
"21Théo De PercinAuxerre, 25, GK","Théo De Percin Auxerre, 25, GK",2,180,-,-,-,-,-,49.1,-,1,7.1
"22Benjamin AndréLille, 35, D(R),M(CLR)","Benjamin André Lille, 35, D(R),M(CLR)",30,2693,-,3,12,-,0.5,83.9,3.2,3,7.09
