Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Bukayo SakaArsenal, 24, D(L),M(CLR)","Bukayo Saka Arsenal, 24, D(L),M(CLR)",35,2937,16,9,4,-,3.1,83.0,0.7,6,7.67
"2RodriMan City, 29, D(C),DMC","Rodri Man City, 29, D(C),DMC",34,2937,8,9,8,1,1.8,92.5,1.6,5,7.62
"3Michael OliseCrystal Palace, 24, AM(CLR)","Michael Olise Crystal Palace, 24, AM(CLR)",14(5),1277,10,6,-,-,3.0,83.1,0.4,6,7.61
"4Phil FodenMan City, 25, AM(CLR),FW","Phil Foden Man City, 25, AM(CLR),FW",33(2),2869,19,8,2,-,3.0,89.1,0.2,10,7.55
"5Cole PalmerChelsea, 23, AM(CLR),FW","Cole Palmer Chelsea, 23, AM(CLR),FW",29(4),2618,22,11,7,-,3.3,83.3,-,5,7.48
"6Eberechi EzeCrystal Palace, 27, AM(CLR)","Eberechi Eze Crystal Palace, 27, AM(CLR)",24(3),2064,11,4,3,-,3.1,83.7,0.4,5,7.45
"7Erling HaalandMan City, 25, FW","Erling Haaland Man City, 25, FW",29(2),2559,27,5,1,-,3.9,77.4,1.3,6,7.4
"8Bruno FernandesMan Utd, 31, M(CLR),FW","Bruno Fernandes Man Utd, 31, M(CLR),FW",35,3120,10,8,9,-,2.7,79.4,0.6,6,7.39
"9Declan RiceArsenal, 27, D(C),DMC","Declan Rice Arsenal, 27, D(C),DMC",37(1),3232,7,8,5,-,1.5,90.7,1,5,7.38
"10Bruno GuimarãesNewcastle, 28, DMC","Bruno Guimarães Newcastle, 28, DMC",37,3269,7,8,9,-,1.3,85.0,0.5,6,7.37
"11Declan RiceArsenal, 27, D(C),DMC","Declan Rice Arsenal, 27, D(C),DMC",37(1),3232,7,8,5,-,1.5,90.7,1.0,5,7.38
"12Bruno GuimarãesNewcastle, 28, DMC","Bruno Guimarães Newcastle, 28, DMC",37,3269,7,8,9,-,1.3,85.0,0.5,6,7.37
"13Martin ØdegaardArsenal, 27, AM(CR)","Martin Ødegaard Arsenal, 27, AM(CR)",35,3104,8,10,2,-,2.2,86.8,0.1,5,7.37
"14Arijanet MuricBurnley, 27, GK","Arijanet Muric Burnley, 27, GK",10,900,-,-,-,-,-,67.5,0.4,1,7.34
"15Son Heung-MinTottenham, 33, M(CLR),FW","Son Heung-Min Tottenham, 33, M(CLR),FW",34(1),2948,17,10,1,-,2.4,85.1,0.1,6,7.3
"16Anthony GordonNewcastle, 25, AM(CLR),FW","Anthony Gordon Newcastle, 25, AM(CLR),FW",34(1),2906,11,10,10,1,2.3,81.8,0.3,4,7.29
"17Ollie WatkinsAston Villa, 30, AM(LR),FW","Ollie Watkins Aston Villa, 30, AM(LR),FW",37,3227,19,13,4,-,2.9,76.8,1.4,7,7.27
"18Jérémy DokuMan City, 23, M(CLR)","Jérémy Doku Man City, 23, M(CLR)",18(11),1596,3,8,3,-,1.9,86.0,0.1,5,7.24
"19Mohamed SalahLiverpool, 33, AM(CLR),FW","Mohamed Salah Liverpool, 33, AM(CLR),FW",28(4),2536,18,10,2,-,3.6,75.7,0.2,4,7.24
"20Mohammed KudusWest Ham, 25, M(CLR),FW","Mohammed Kudus West Ham, 25, M(CLR),FW",27(6),2488,8,6,6,-,2,84.5,0.5,6,7.23
"21Daniel MuñozCrystal Palace, 29, D(CR),DMC,M(R)","Daniel Muñoz Crystal Palace, 29, D(CR),DMC,M(R)",16,1440,-,4,4,-,0.5,79.2,1.6,-,7.17
"22James MaddisonTottenham, 29, AM(CLR)","James Maddison Tottenham, 29, AM(CLR)",26(2),2155,4,9,5,-,2.1,87.4,0.1,1,7.17
"23Kai HavertzArsenal, 26, M(CR),FW","Kai Havertz Arsenal, 26, M(CR),FW",30(7),2641,13,7,11,-,1.9,81.1,2.8,3,7.16
"24Bernardo SilvaMan City, 31, M(CLR),FW","Bernardo Silva Man City, 31, M(CLR),FW",29(4),2582,6,9,8,-,1.0,89.4,0.1,2,7.15
"25Virgil van DijkLiverpool, 34, D(C)","Virgil van Dijk Liverpool, 34, D(C)",36,3178,2,2,3,1,1.3,91.5,3.9,1,7.15
"26Alexander IsakNewcastle, 26, AM(L),FW","Alexander Isak Newcastle, 26, AM(L),FW",27(3),2267,21,2,1,-,2.6,80.0,0.3,3,7.14
"27Conor BradleyLiverpool, 22, D(R),M(R)","Conor Bradley Liverpool, 22, D(R),M(R)",10(1),761,1,3,2,-,1.1,80.3,1.0,2,7.13
"28Pascal GroßBrighton, 34, D(LR),M(CR),FW","Pascal Groß Brighton, 34, D(LR),M(CR),FW",34(2),3114,4,10,7,-,1.5,90.2,0.4,6,7.13
"29Conor GallagherChelsea, 26, M(CL)","Conor Gallagher Chelsea, 26, M(CL)",37,3137,5,7,7,1,1.3,91.5,0.7,1,7.13
"30Matheus CunhaWolves, 26, AM(CL),FW","Matheus Cunha Wolves, 26, AM(CL),FW",29(3),2454,12,7,9,-,2.3,81.6,0.5,5,7.13
"31Andy RobertsonLiverpool, 32, D(L),M(L)","Andy Robertson Liverpool, 32, D(L),M(L)",18(5),1693,3,2,2,-,0.5,87.7,0.6,-,7.12
"32Trent Alexander-ArnoldLiverpool, 27, D(R),DMC,M(R)","Trent Alexander-Arnold Liverpool, 27, D(R),DMC,M(R)",25(3),2161,3,4,6,-,1.7,79.6,0.3,3,7.12
"33Julián AlvarezMan City, 26, AM(CLR),FW","Julián Alvarez Man City, 26, AM(CLR),FW",31(5),2660,11,9,2,-,2.7,87.9,0.1,1,7.1
"34Jarrod BowenWest Ham, 29, AM(CLR),FW","Jarrod Bowen West Ham, 29, AM(CLR),FW",34,3021,16,6,2,-,2.5,75.1,1.0,2,7.1
"35Diogo JotaLiverpool, 29, AM(CLR),FW","Diogo Jota Liverpool, 29, AM(CLR),FW",14(7),1151,10,3,1,1,2.0,74.5,0.9,1,7.09
"36Alexis Mac AllisterLiverpool, 27, M(CL),FW","Alexis Mac Allister Liverpool, 27, M(CL),FW",31(2),2612,5,5,7,1,1.3,87.8,0.9,2,7.09
"37Luis DíazLiverpool, 29, AM(LR),FW","Luis Díaz Liverpool, 29, AM(LR),FW",32(5),2646,8,5,3,-,2.5,85.3,0.7,3,7.09
"38James TarkowskiEverton, 33, D(C)","James Tarkowski Everton, 33, D(C)",38,3420,1,1,11,-,0.7,77.8,3.8,5,7.08
"39Nicolas JacksonChelsea, 24, FW","Nicolas Jackson Chelsea, 24, FW",31(4),2810,14,5,10,-,2.3,78.0,1.0,3,7.07
"40Kieran TrippierNewcastle, 35, D(LR),M(R)","Kieran Trippier Newcastle, 35, D(LR),M(R)",26(2),2240,1,10,5,-,0.3,79.7,1.1,3,7.07
"41Thomas StrakoshaBrentford, 31, GK","Thomas Strakosha Brentford, 31, GK",1(1),135,-,-,-,-,-,71.2,0.5,-,7.05
"42Manor SolomonTottenham, 26, AM(CLR)","Manor Solomon Tottenham, 26, AM(CLR)",2(3),198,-,2,1,-,1.4,90.6,-,-,7.05
"43Ross BarkleyLuton, 32, M(CLR)","Ross Barkley Luton, 32, M(CLR)",30(2),2622,5,4,6,-,2.1,84.5,1.4,1,7.05
"44Lucas PaquetáWest Ham, 28, M(CLR),FW","Lucas Paquetá West Ham, 28, M(CLR),FW",31,2638,4,6,10,-,1.4,75.2,2,-,7.04
"45Pedro PorroTottenham, 26, D(R),M(R)","Pedro Porro Tottenham, 26, D(R),M(R)",35,3093,3,7,3,-,1.5,79.6,0.5,3,7.04
"46João PalhinhaFulham, 30, D(C),DMC","João Palhinha Fulham, 30, D(C),DMC",31(2),2711,4,1,13,-,1.4,83.0,1.2,2,7.04
"47Dominic SolankeBournemouth, 28, FW","Dominic Solanke Bournemouth, 28, FW",37(1),3333,19,3,3,-,2.9,73.7,2.6,3,7.03
"48Josko GvardiolMan City, 24, D(CL)","Josko Gvardiol Man City, 24, D(CL)",26(2),2330,4,1,3,-,1.1,88.3,1.1,1,7.03
"49Cristian RomeroTottenham, 27, D(C)","Cristian Romero Tottenham, 27, D(C)",33,2793,5,-,7,1,0.7,91.9,2.7,1,7.03
"50Bryan MbeumoBrentford, 26, AM(CLR),FW","Bryan Mbeumo Brentford, 26, AM(CLR),FW",22(3),1960,9,6,2,-,2.1,72.3,0.9,3,7.02
"51Morgan Gibbs-WhiteNottingham Forest, 26, AM(CLR),FW","Morgan Gibbs-White Nottingham Forest, 26, AM(CLR),FW",35(2),3164,5,10,9,-,1.9,76.9,1.6,2,7.0
"52James Ward-ProwseWest Ham, 31, M(CR)","James Ward-Prowse West Ham, 31, M(CR)",34(3),3006,7,7,4,-,1.2,89.6,0.7,4,6.99
"53Jacob MurphyNewcastle, 31, D(R),M(LR)","Jacob Murphy Newcastle, 31, D(R),M(LR)",14(7),1194,3,7,1,-,1.4,73.6,0.2,1,6.99
"54Gabriel MagalhãesArsenal, 28, D(C)","Gabriel Magalhães Arsenal, 28, D(C)",34(2),3044,4,-,4,-,0.9,89.1,2.2,1,6.99
"55Pedro NetoWolves, 26, AM(CLR),FW","Pedro Neto Wolves, 26, AM(CLR),FW",18(2),1521,2,9,4,-,1.8,83.4,0.2,1,6.99
"56John McGinnAston Villa, 31, M(CLR)","John McGinn Aston Villa, 31, M(CLR)",35,3010,6,4,9,1,1.1,82.7,0.3,3,6.98
"57Dwight McNeilEverton, 26, M(CLR)","Dwight McNeil Everton, 26, M(CLR)",33(2),2900,3,6,2,-,1.6,78.3,0.5,3,6.97
"58CasemiroMan Utd, 34, D(C),DMC","Casemiro Man Utd, 34, D(C),DMC",24(1),1987,1,2,7,-,1.6,82.6,1.7,1,6.97
"59Leon BaileyAston Villa, 28, M(CLR),FW","Leon Bailey Aston Villa, 28, M(CLR),FW",22(13),2080,10,9,5,-,1.5,78.2,0.4,3,6.96
"60Dejan KulusevskiTottenham, 26, AM(CR),FW","Dejan Kulusevski Tottenham, 26, AM(CR),FW",31(5),2767,8,3,7,-,1.6,81.9,0.2,3,6.96
"61Alphonse AreolaWest Ham, 33, GK","Alphonse Areola West Ham, 33, GK",31,2702,-,-,1,-,-,59.3,0.4,4,6.96
"62Diogo DalotMan Utd, 27, D(LR),M(LR)","Diogo Dalot Man Utd, 27, D(LR),M(LR)",35(1),3174,2,3,4,1,0.8,83.8,0.9,1,6.96
"63Douglas LuizAston Villa, 27, M(C)","Douglas Luiz Aston Villa, 27, M(C)",35,3003,9,5,12,-,1.4,89.4,0.7,3,6.95
"64Aleksandar MitrovicFulham, 31, FW","Aleksandar Mitrovic Fulham, 31, FW",0(1),32,-,-,-,-,2,50.0,2.0,-,6.95
"65Willy BolyNottingham Forest, 35, D(C)","Willy Boly Nottingham Forest, 35, D(C)",18(2),1443,2,1,1,1,0.7,76.9,2.9,1,6.94
"66Dan BurnNewcastle, 33, D(CL),M(L)","Dan Burn Newcastle, 33, D(CL),M(L)",32(1),2733,2,2,4,-,0.7,81.1,3.1,1,6.94
"67João PedroBrighton, 24, AM(CL),FW","João Pedro Brighton, 24, AM(CL),FW",19(12),2046,9,3,2,-,2.4,82.7,1.3,3,6.93
"68Ben WhiteArsenal, 28, D(CR),DMC","Ben White Arsenal, 28, D(CR),DMC",35(2),2995,4,4,8,-,0.4,86.7,1.0,-,6.93
"69Adam WhartonCrystal Palace, 22, DMC","Adam Wharton Crystal Palace, 22, DMC",15(1),1305,-,3,2,-,0.6,81.1,0.5,-,6.93
"70Antonee RobinsonFulham, 28, D(L),M(L)","Antonee Robinson Fulham, 28, D(L),M(L)",37,3269,-,6,6,-,0.4,75.9,1.1,1,6.92
"71Jarrad BranthwaiteEverton, 23, D(C)","Jarrad Branthwaite Everton, 23, D(C)",35,3117,3,-,8,-,0.4,80.1,2.7,-,6.9
"72Gabriel JesusArsenal, 29, AM(LR),FW","Gabriel Jesus Arsenal, 29, AM(LR),FW",17(10),1482,4,5,6,-,2.0,81.0,0.6,2,6.89
"73Gabriel MartinelliArsenal, 24, AM(LR),FW","Gabriel Martinelli Arsenal, 24, AM(LR),FW",24(11),2031,6,4,1,-,1.7,85.0,0.5,1,6.89
"74Ryan ChristieBournemouth, 31, M(CLR),FW","Ryan Christie Bournemouth, 31, M(CLR),FW",35(2),2922,-,5,6,-,1.2,79.3,0.6,2,6.89
"75Ivan ToneyBrentford, 30, FW","Ivan Toney Brentford, 30, FW",16(1),1449,4,2,5,-,3.0,55.7,3.2,2,6.89
