Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Salvatore SiriguFiorentina, 39, GK","Salvatore Sirigu Fiorentina, 39, GK",1,90,-,-,-,-,-,65.5,-,-,7.63
"2Victor OsimhenNapoli, 27, FW","Victor Osimhen Napoli, 27, FW",30(2),2583,26,4,4,-,4.2,71.0,2.1,5,7.45
"3Khvicha KvaratskheliaNapoli, 25, AM(CLR),FW","Khvicha Kvaratskhelia Napoli, 25, AM(CLR),FW",30(4),2541,12,10,1,-,2.5,83.7,0.2,7,7.43
"4Francesco BardiBologna, 34, GK","Francesco Bardi Bologna, 34, GK",1,90,-,-,-,-,-,76.5,-,-,7.36
"5Sergej Milinkovic-SavicLazio, 31, AM(C)","Sergej Milinkovic-Savic Lazio, 31, AM(C)",34(2),3030,9,8,10,-,1.8,77.1,2.7,6,7.24
"6Paulo DybalaRoma, 32, AM(CR),FW","Paulo Dybala Roma, 32, AM(CR),FW",22(4),1752,12,6,5,-,2.5,82.3,0.2,6,7.2
"7Rafael LeãoAC Milan, 26, AM(CL),FW","Rafael Leão AC Milan, 26, AM(CL),FW",28(7),2434,15,8,5,1,2.6,74.4,0.8,8,7.19
"8Lautaro MartínezInter, 28, FW","Lautaro Martínez Inter, 28, FW",27(11),2577,21,6,3,-,3.3,75.6,1.1,8,7.18
"9Mattia ZaccagniLazio, 30, AM(CL),FW","Mattia Zaccagni Lazio, 30, AM(CL),FW",33(2),2783,10,6,9,-,1.6,84.5,0.4,5,7.16
"10Domenico BerardiSassuolo, 31, AM(R),FW","Domenico Berardi Sassuolo, 31, AM(R),FW",22(4),1872,12,7,7,-,3.2,71.1,0.5,6,7.15
"11Armand LaurientéSassuolo, 27, AM(LR),FW","Armand Laurienté Sassuolo, 27, AM(LR),FW",27(1),2191,7,6,8,1,2.0,79.2,-,4,7.11
"12Adrien RabiotJuventus, 31, M(CL)","Adrien Rabiot Juventus, 31, M(CL)",31(1),2751,8,4,9,-,1.5,83.6,1.6,3,7.11
"13Teun KoopmeinersAtalanta, 28, D(C),M(C)","Teun Koopmeiners Atalanta, 28, D(C),M(C)",32(1),2861,10,4,7,-,1.8,78.1,1.2,2,7.11
"14Lorenzo PellegriniRoma, 29, M(CL),FW","Lorenzo Pellegrini Roma, 29, M(CL),FW",29(3),2558,4,5,5,-,2.0,80.1,0.4,5,7.09
"15Felipe AndersonLazio, 33, M(CLR),FW","Felipe Anderson Lazio, 33, M(CLR),FW",35(3),2969,9,2,3,-,1.1,79.8,0.4,4,7.09
"16Mário RuiNapoli, 34, D(L),M(L)","Mário Rui Napoli, 34, D(L),M(L)",21(1),1763,-,6,2,1,0.5,84.2,0.6,2,7.09
"17Lucas Martínez QuartaFiorentina, 29, D(C)","Lucas Martínez Quarta Fiorentina, 29, D(C)",25(2),2173,1,1,6,-,1.0,81.9,2.8,5,7.08
"18Hakan ÇalhanogluInter, 32, M(CLR),FW","Hakan Çalhanoglu Inter, 32, M(CLR),FW",28(5),2375,3,6,3,-,1.7,88.3,0.4,1,7.07
"19Kim Min-JaeNapoli, 29, D(C)","Kim Min-Jae Napoli, 29, D(C)",35,3055,2,2,5,-,0.2,91.0,2.6,1,7.07
"20Gerard DeulofeuUdinese, 32, AM(CLR),FW","Gerard Deulofeu Udinese, 32, AM(CLR),FW",15(1),1219,2,6,1,-,2.8,80.5,0.1,2,7.06
"21Giovanni Di LorenzoNapoli, 32, D(CLR),M(R)","Giovanni Di Lorenzo Napoli, 32, D(CLR),M(R)",36(1),3257,3,4,2,-,0.8,86.0,1.1,5,7.04
"22DaniloJuventus, 34, D(CLR),DMC","Danilo Juventus, 34, D(CLR),DMC",35(2),3182,3,3,5,-,0.9,85.1,1.4,2,7.04
"23Frank AnguissaNapoli, 30, M(C)","Frank Anguissa Napoli, 30, M(C)",36,3062,3,5,3,-,1.4,88.8,1.3,1,7.03
"24Simone PerilliVerona, 31, GK","Simone Perilli Verona, 31, GK",1,90,-,-,-,-,-,29.4,-,-,7.0
"25Carlos AugustoMonza, 27, D(CL),M(L)","Carlos Augusto Monza, 27, D(CL),M(L)",35,3087,6,5,4,-,1.2,84.7,1.6,4,6.99
"26Luis AlbertoLazio, 33, AM(CL),FW","Luis Alberto Lazio, 33, AM(CL),FW",27(8),2444,6,7,4,-,1.3,87.6,0.2,3,6.98
"27Stefan PoschBologna, 28, D(CR)","Stefan Posch Bologna, 28, D(CR)",30,2541,6,2,6,-,0.9,76.7,0.9,7,6.96
"28Romelu LukakuInter, 32, AM(R),FW","Romelu Lukaku Inter, 32, AM(R),FW",19(6),1663,10,6,1,-,2,72.5,1.6,3,6.96
"29Ismaël BennacerAC Milan, 28, M(C)","Ismaël Bennacer AC Milan, 28, M(C)",24(4),2015,2,2,5,-,0.6,89.2,0.8,2,6.96
"30Martin TurkSampdoria, 22, GK","Martin Turk Sampdoria, 22, GK",4,360,-,-,-,-,-,59.1,0.3,-,6.96
"31Nicolò BarellaInter, 29, AM(C)","Nicolò Barella Inter, 29, AM(C)",31(4),2622,6,6,6,-,0.9,85.0,0.6,4,6.94
"32Armando IzzoMonza, 34, D(C)","Armando Izzo Monza, 34, D(C)",29(1),2475,1,-,10,-,0.5,87.7,1.3,3,6.93
"33Piotr ZielinskiNapoli, 31, M(CLR)","Piotr Zielinski Napoli, 31, M(CLR)",27(10),2306,3,8,3,-,1.4,87.5,0.1,1,6.93
"34Fabiano ParisiEmpoli, 25, D(LR),M(LR)","Fabiano Parisi Empoli, 25, D(LR),M(LR)",33,2835,2,-,10,1,0.6,79.0,0.9,1,6.93
"35Nicolás DomínguezBologna, 27, M(CLR)","Nicolás Domínguez Bologna, 27, M(CLR)",26(5),2309,3,2,10,-,1.4,83.7,1.2,1,6.92
"36Cristiano BiraghiFiorentina, 33, D(CL),M(L)","Cristiano Biraghi Fiorentina, 33, D(CL),M(L)",30(3),2556,2,4,1,-,0.8,78.5,0.6,2,6.92
"37BremerJuventus, 29, D(C)","Bremer Juventus, 29, D(C)",30,2640,4,1,6,-,1.1,90.2,2.6,3,6.92
"38Chris SmallingRoma, 36, D(CR)","Chris Smalling Roma, 36, D(CR)",31(1),2808,3,1,7,-,0.5,87.5,2.3,2,6.91
"39Pierluigi GolliniFiorentina, 31, GK","Pierluigi Gollini Fiorentina, 31, GK",3,270,-,-,-,-,-,72.5,-,-,6.91
"40Sandro TonaliAC Milan, 25, DMC","Sandro Tonali AC Milan, 25, DMC",30(4),2721,2,7,7,-,0.9,81.0,0.4,2,6.91
"41Ademola LookmanAtalanta, 28, AM(CLR),FW","Ademola Lookman Atalanta, 28, AM(CLR),FW",20(11),1737,13,6,3,-,1.7,78.6,0.1,1,6.91
"42Ivan ProvedelLazio, 32, GK","Ivan Provedel Lazio, 32, GK",37(1),3412,-,-,1,-,-,78.1,0.2,-,6.89
"43Fikayo TomoriAC Milan, 28, D(CR)","Fikayo Tomori AC Milan, 28, D(CR)",32(1),2765,1,1,5,-,0.3,88.9,1.9,2,6.89
"44Juan CuadradoJuventus, 37, D(R),M(CLR),FW","Juan Cuadrado Juventus, 37, D(R),M(CLR),FW",24(7),2090,1,3,6,1,1,87.0,0.4,2,6.89
"45Olivier GiroudAC Milan, 39, FW","Olivier Giroud AC Milan, 39, FW",25(8),2148,13,5,6,1,2.4,63.3,3.1,1,6.88
"46Manuel LocatelliJuventus, 28, M(C)","Manuel Locatelli Juventus, 28, M(C)",29(3),2460,-,2,8,-,0.9,82.7,1.1,1,6.88
"47Boulaye DiaSalernitana, 29, AM(CLR),FW","Boulaye Dia Salernitana, 29, AM(CLR),FW",27(6),2527,16,6,4,-,1.5,77.3,0.6,4,6.88
"48Ionut RaduCremonese, 28, GK","Ionut Radu Cremonese, 28, GK",9,810,-,-,-,-,-,63.1,0.3,1,6.88
"49Ciro ImmobileLazio, 36, FW","Ciro Immobile Lazio, 36, FW",27(4),2228,12,5,3,-,2.5,75.9,0.5,5,6.88
