Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Juan MussoAtalanta, 31, GK","Juan Musso Atalanta, 31, GK",1,90,-,-,-,-,-,44.8,1,-,7.8
"2Daniele PadelliUdinese, 40, GK","Daniele Padelli Udinese, 40, GK",1,90,-,-,-,-,-,72.2,-,-,7.47
"3BremerJuventus, 29, D(C)","Bremer Juventus, 29, D(C)",6,540,-,-,1,-,0.5,92.8,2,1,7.35
"4Benjamin SiegristGenoa, 34, GK","Benjamin Siegrist Genoa, 34, GK",2,153,-,-,-,-,-,60.9,-,-,7.31
"5Scott McTominayNapoli, 29, D(C),M(CL)","Scott McTominay Napoli, 29, D(C),M(CL)",33(1),2941,12,4,3,-,2.2,85.1,2,7,7.26
"6Ademola LookmanAtalanta, 28, AM(CLR),FW","Ademola Lookman Atalanta, 28, AM(CLR),FW",28(3),2266,15,5,4,-,2.6,79.0,0.6,5,7.24
"7Marcus ThuramInter, 28, AM(L),FW","Marcus Thuram Inter, 28, AM(L),FW",27(5),2299,14,4,1,-,2,75.0,1.5,5,7.24
"8Simone ScuffetNapoli, 29, GK","Simone Scuffet Napoli, 29, GK",1,90,-,-,-,-,-,76.9,1,-,7.19
"9Mateo ReteguiAtalanta, 26, FW","Mateo Retegui Atalanta, 26, FW",32(4),2405,25,8,2,-,2.9,78.1,1.4,4,7.17
"10Duván ZapataTorino, 35, FW","Duván Zapata Torino, 35, FW",7,589,3,-,1,-,3,69.4,2.9,1,7.14
"11Hakan ÇalhanogluInter, 32, M(CLR),FW","Hakan Çalhanoglu Inter, 32, M(CLR),FW",26(3),1964,5,6,5,-,1.6,90.2,0.6,1,7.13
"12Lautaro MartínezInter, 28, FW","Lautaro Martínez Inter, 28, FW",31,2579,12,3,1,-,3.3,76.6,1.2,4,7.13
"13Khvicha KvaratskheliaNapoli, 25, AM(CLR),FW","Khvicha Kvaratskhelia Napoli, 25, AM(CLR),FW",15(2),1191,5,3,1,-,2.9,83.3,0.3,2,7.12
"14Nico PazComo, 21, AM(CR),FW","Nico Paz Como, 21, AM(CR),FW",30(5),2695,6,8,6,-,3.1,83.4,0.9,4,7.12
"15Moise KeanFiorentina, 26, AM(LR),FW","Moise Kean Fiorentina, 26, AM(LR),FW",31(1),2712,19,3,6,-,3.3,71.8,1.6,3,7.11
"16Alexis SaelemaekersRoma, 26, M(LR)","Alexis Saelemaekers Roma, 26, M(LR)",17(5),1397,7,3,4,-,1.1,85.9,0.4,2,7.09
"17Christian PulisicAC Milan, 27, M(CLR),FW","Christian Pulisic AC Milan, 27, M(CLR),FW",29(5),2490,11,9,1,-,1.7,83.5,0.3,5,7.08
"18Stefan PoschAtalanta, 28, D(CR)","Stefan Posch Atalanta, 28, D(CR)",4(1),388,-,-,-,-,0.6,85.2,0.8,-,7.08
"19Rui PatrícioAtalanta, 38, GK","Rui Patrício Atalanta, 38, GK",3,270,-,-,-,-,-,82.0,0.3,-,7.07
"20Mattia ZaccagniLazio, 30, AM(CL),FW","Mattia Zaccagni Lazio, 30, AM(CL),FW",33(1),2704,8,6,10,-,1.4,84.9,0.6,4,7.04
"21Rafael LeãoAC Milan, 26, AM(CL),FW","Rafael Leão AC Milan, 26, AM(CL),FW",25(9),2332,8,8,5,-,1.9,77.0,0.8,5,7.04
"22Alessandro BuongiornoNapoli, 26, D(C)","Alessandro Buongiorno Napoli, 26, D(C)",22,1926,1,-,2,-,0.4,91.0,2.0,-,7.03
"23Valentín CastellanosLazio, 27, AM(R),FW","Valentín Castellanos Lazio, 27, AM(R),FW",28(1),2396,10,3,8,1,3.7,70.3,2.4,4,7.03
