Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"38Anton StachMainz, 27, D(C),M(C)","Anton Stach Mainz, 27, D(C),M(C)",2,171,-,-,-,-,1,65.2,6,1,7.05
"39Jadon SanchoBorussia Dortmund, 26, AM(CLR)","Jadon Sancho Borussia Dortmund, 26, AM(CLR)",11(3),954,2,2,1,-,0.6,83.8,0.1,-,7.05
"40Angelo StillerStuttgart, 25, DMC","Angelo Stiller Stuttgart, 25, DMC",30(1),2697,1,5,5,-,0.5,90.9,1,-,7.04
"41Sepp van den BergMainz, 24, D(CR),M(R)","Sepp van den Berg Mainz, 24, D(CR),M(R)",31(2),2839,3,-,9,-,0.8,81.3,5.2,2,7.04
"42Julian BrandtBorussia Dortmund, 29, M(CLR),FW","Julian Brandt Borussia Dortmund, 29, M(CLR),FW",26(6),2232,7,11,2,-,1.0,87.2,0.3,4,7.03
"43Kim Min-JaeBayern, 29, D(C)","Kim Min-Jae Bayern, 29, D(C)",22(3),1971,1,1,3,-,0.4,93.0,3.0,1,7.03
"44Mitchell WeiserWerder Bremen, 32, D(R),M(CR)","Mitchell Weiser Werder Bremen, 32, D(R),M(CR)",30,2639,3,7,5,-,1.5,75.5,0.8,2,7.01
"45Ian MaatsenBorussia Dortmund, 24, D(L),M(CLR)","Ian Maatsen Borussia Dortmund, 24, D(L),M(CLR)",15(1),1271,2,2,5,-,0.7,89.4,0.1,1,7.01
"46Franck HonoratBorussia M.Gladbach, 29, M(CLR),FW","Franck Honorat Borussia M.Gladbach, 29, M(CLR),FW",28(4),2359,3,9,1,-,0.9,74.4,0.5,4,7.0
"47Patrick MainkaFC Heidenheim, 31, D(C)","Patrick Mainka FC Heidenheim, 31, D(C)",34,3060,2,-,1,-,0.9,83.0,3.6,3,7.0
"48Nico SchlotterbeckBorussia Dortmund, 26, D(C)","Nico Schlotterbeck Borussia Dortmund, 26, D(C)",32(1),2861,2,1,4,-,0.8,89.2,1.8,1,6.99
"49Jonas WindWolfsburg, 27, AM(C),FW","Jonas Wind Wolfsburg, 27, AM(C),FW",31(3),2662,11,7,3,-,2.1,71.3,2.7,6,6.98
"50Benjamin HenrichsRBL, 29, D(LR),DMC,M(LR)","Benjamin Henrichs RBL, 29, D(LR),DMC,M(LR)",28(5),2532,1,5,5,-,1.1,79.5,0.8,1,6.98
"51Ermedin DemirovicAugsburg, 28, AM(CL),FW","Ermedin Demirovic Augsburg, 28, AM(CL),FW",33,2881,15,9,7,-,2.5,66.5,1.6,3,6.98
"52Maximilian BeierHoffenheim, 23, AM(CLR),FW","Maximilian Beier Hoffenheim, 23, AM(CLR),FW",29(4),2434,16,1,-,-,2.5,73.5,0.6,2,6.98
"53Marvin DuckschWerder Bremen, 32, AM(C),FW","Marvin Ducksch Werder Bremen, 32, AM(C),FW",32(1),2713,12,9,9,-,2.4,66.4,0.6,2,6.96
"54Jonathan TahLeverkusen, 30, D(C)","Jonathan Tah Leverkusen, 30, D(C)",30(1),2633,4,1,6,-,0.8,94.7,2.0,-,6.96
"55Waldemar AntonStuttgart, 29, D(CR),DMC","Waldemar Anton Stuttgart, 29, D(CR),DMC",32(1),2888,-,3,7,-,0.8,89.3,2.5,1,6.96
"56Niclas FüllkrugBorussia Dortmund, 33, FW","Niclas Füllkrug Borussia Dortmund, 33, FW",27(2),2225,12,8,1,-,1.8,66.6,2.3,2,6.96
"57Josip StanisicLeverkusen, 26, D(CLR),M(R)","Josip Stanisic Leverkusen, 26, D(CLR),M(R)",13(7),1257,3,1,3,-,0.5,90.7,0.6,3,6.94
"58Enzo MillotStuttgart, 23, M(CR)","Enzo Millot Stuttgart, 23, M(CR)",27(4),2256,5,4,5,-,1.3,86.7,0.2,-,6.94
"59Ritsu DoanFreiburg, 27, M(CLR),FW","Ritsu Doan Freiburg, 27, M(CLR),FW",26(4),2255,7,2,2,-,1.2,75.4,0.7,1,6.93
"60Xaver SchlagerRBL, 28, M(C)","Xaver Schlager RBL, 28, M(C)",29,2482,-,5,7,-,0.7,88.9,0.8,-,6.93
"61Oliver BaumannHoffenheim, 35, GK","Oliver Baumann Hoffenheim, 35, GK",34,3060,-,1,1,-,-,71.7,0.2,1,6.92
"62ArthurLeverkusen, 23, D(R),M(R)","Arthur Leverkusen, 23, D(R),M(R)",2(2),184,-,2,-,-,0.5,81.1,0.5,-,6.92
"63Vincenzo GrifoFreiburg, 33, AM(CL)","Vincenzo Grifo Freiburg, 33, AM(CL)",29(3),2347,8,8,3,-,1.5,80.5,0.4,2,6.92
"64Odilon KossounouLeverkusen, 25, D(CR)","Odilon Kossounou Leverkusen, 25, D(CR)",21(1),1813,1,-,3,-,0.2,89.1,1.0,-,6.92
"65Noussair MazraouiBayern, 28, D(CLR),M(R)","Noussair Mazraoui Bayern, 28, D(CLR),M(R)",15(4),1198,-,3,3,-,0.6,89.9,1.0,-,6.9
"66BernardoBochum, 30, D(CLR),M(L)","Bernardo Bochum, 30, D(CLR),M(L)",33,2926,1,-,9,-,0.9,71.1,4.5,2,6.9
"67Marco FriedlWerder Bremen, 28, D(CL),M(L)","Marco Friedl Werder Bremen, 28, D(CL),M(L)",25,2199,1,-,6,-,0.3,86.8,1.7,2,6.9
"68Robin GosensUnion Berlin, 31, D(L),M(CL)","Robin Gosens Union Berlin, 31, D(L),M(CL)",27(3),2300,6,3,7,1,1.1,74.6,2.1,2,6.9
"69Keven SchlotterbeckBochum, 28, D(C)","Keven Schlotterbeck Bochum, 28, D(C)",24(3),2184,5,1,9,-,1,79.3,4.3,1,6.89
"70Dan-Axel ZagadouStuttgart, 26, D(CL)","Dan-Axel Zagadou Stuttgart, 26, D(CL)",16(3),1453,1,-,1,-,0.6,86.7,3.2,-,6.89
"71Emre CanBorussia Dortmund, 32, D(CLR),DMC","Emre Can Borussia Dortmund, 32, D(CLR),DMC",22(3),1956,2,2,5,-,0.7,87.6,1.2,1,6.88
"72Marco ReusBorussia Dortmund, 36, M(CLR),FW","Marco Reus Borussia Dortmund, 36, M(CLR),FW",18(8),1612,6,6,2,-,1.6,85.9,0.5,3,6.88
"73Robert AndrichLeverkusen, 31, D(C),M(C)","Robert Andrich Leverkusen, 31, D(C),M(C)",18(10),1683,4,2,4,-,0.8,90.8,0.8,4,6.88
"74Timo HübersFC Koln, 29, D(C)","Timo Hübers FC Koln, 29, D(C)",31,2779,-,-,6,-,0.7,84.8,3.3,2,6.88
"75Jeff ChabotFC Koln, 28, D(C)","Jeff Chabot FC Koln, 28, D(C)",32,2708,-,-,7,1,0.6,84.5,3.3,2,6.88
"76Marcel SabitzerBorussia Dortmund, 32, M(CLR),FW","Marcel Sabitzer Borussia Dortmund, 32, M(CLR),FW",23(2),1966,4,3,3,1,1.9,83.0,0.2,1,6.87
"77Wout WeghorstHoffenheim, 33, FW","Wout Weghorst Hoffenheim, 33, FW",24(4),1987,7,3,4,-,1.4,73.0,2.3,2,6.87
"78Thomas MüllerBayern, 36, M(CLR),FW","Thomas Müller Bayern, 36, M(CLR),FW",20(11),1660,5,9,-,-,1.2,78.3,1.0,-,6.86
"79Atakan KarazorStuttgart, 29, D(C),DMC","Atakan Karazor Stuttgart, 29, D(C),DMC",31(2),2630,-,4,9,-,0.6,89.7,1.4,1,6.86
"80Willi OrbánRBL, 33, D(C)","Willi Orbán RBL, 33, D(C)",18(1),1583,-,-,2,-,0.4,89.7,2.8,-,6.86
"81Antonios PapadopoulosBorussia Dortmund, 26, Defender","Antonios Papadopoulos Borussia Dortmund, 26, Defender",1(1),116,-,-,-,-,-,79.7,2.5,-,6.86
"82Michael ZettererWerder Bremen, 30, GK","Michael Zetterer Werder Bremen, 30, GK",27,2430,-,-,2,-,-,76.8,0.6,-,6.85
"83Péter GulácsiRBL, 35, GK","Péter Gulácsi RBL, 35, GK",13,1170,-,-,-,-,-,84.5,0.5,-,6.85
"84Hiroki ItoStuttgart, 26, D(CL)","Hiroki Ito Stuttgart, 26, D(CL)",25(1),2232,-,2,1,-,0.7,89.4,1.2,-,6.85
"85Max WöberBorussia M.Gladbach, 28, D(CL)","Max Wöber Borussia M.Gladbach, 28, D(CL)",24(1),2070,2,3,2,1,0.8,83.8,1.9,-,6.84
"86Mats HummelsBorussia Dortmund, 37, D(C)","Mats Hummels Borussia Dortmund, 37, D(C)",20(5),1583,3,-,4,1,0.6,89.3,1.6,2,6.84
"87Gregor KobelBorussia Dortmund, 28, GK","Gregor Kobel Borussia Dortmund, 28, GK",27,2366,-,-,1,-,-,81.9,0.2,1,6.84
"88Hendry BlankBorussia Dortmund, 21, D(C)","Hendry Blank Borussia Dortmund, 21, D(C)",0(1),45,-,-,-,-,-,98.3,2.0,-,6.84
"89Benjamin SeskoRBL, 22, AM(C),FW","Benjamin Sesko RBL, 22, AM(C),FW",17(14),1532,14,2,-,-,1.5,66.6,1.2,2,6.83
"90Serge GnabryBayern, 30, AM(CLR),FW","Serge Gnabry Bayern, 30, AM(CLR),FW",5(5),433,3,1,-,-,1.7,87.3,0.3,-,6.83
"91Leandro BarreiroMainz, 26, M(C)","Leandro Barreiro Mainz, 26, M(C)",29(2),2607,4,1,8,-,1.2,73.9,1.3,2,6.83
"92Alassane PléaBorussia M.Gladbach, 33, AM(CLR),FW","Alassane Pléa Borussia M.Gladbach, 33, AM(CLR),FW",24(3),1914,7,4,1,-,2.1,72.7,0.6,2,6.82
"93Brajan GrudaMainz, 21, AM(CR)","Brajan Gruda Mainz, 21, AM(CR)",19(9),1652,4,3,5,-,1.1,71.4,0.5,1,6.82
