Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Thibaut CourtoisReal Madrid, 33, GK","Thibaut Courtois Real Madrid, 33, GK",4,333,-,-,-,-,-,89.8,0.3,-,7.82
"2Jude BellinghamReal Madrid, 22, M(CLR),FW","Jude Bellingham Real Madrid, 22, M(CLR),FW",27(1),2324,19,6,5,1,2.3,89.8,0.9,7,7.81
"3Samu AghehowaGranada, 21, FW","Samu Aghehowa Granada, 21, FW",1,81,1,-,-,-,3,66.7,2,-,7.5
"4Vinícius JúniorReal Madrid, 25, AM(L),FW","Vinícius Júnior Real Madrid, 25, AM(L),FW",22(4),1875,15,5,7,-,3,78.1,-,4,7.41
"5IscoReal Betis, 34, M(CLR),FW","Isco Real Betis, 34, M(CLR),FW",28(1),2340,8,5,10,-,2.2,86.2,0.6,5,7.4
"6SavinhoGirona, 22, AM(CLR)","Savinho Girona, 22, AM(CLR)",35(2),2992,9,10,5,-,1.2,83.2,0.1,6,7.29
"7Alexander SørlothVillarreal, 30, AM(R),FW","Alexander Sørloth Villarreal, 30, AM(R),FW",30(4),2493,23,6,3,-,2.3,76.6,2.4,7,7.23
"8Antoine GriezmannAtletico, 35, AM(CLR),FW","Antoine Griezmann Atletico, 35, AM(CLR),FW",31(2),2654,16,6,5,-,2.4,82.7,0.4,6,7.23
"9Antal YaakobishviliGirona, 21, Defender","Antal Yaakobishvili Girona, 21, Defender",0(1),61,-,-,-,-,-,88.1,2,-,7.22
"10Dominik GreifMallorca, 29, GK","Dominik Greif Mallorca, 29, GK",1,90,-,-,-,-,-,72.4,-,-,7.2
"11Robert LewandowskiBarcelona, 37, FW","Robert Lewandowski Barcelona, 37, FW",32(3),2759,19,8,5,-,2.7,72.3,1.5,4,7.2
"12Mikel MerinoReal Sociedad, 29, M(C),FW","Mikel Merino Real Sociedad, 29, M(C),FW",27(5),2485,5,3,10,-,0.9,77.5,5.3,6,7.18
"13Juanma HerzogLas Palmas, 21, D(C)","Juanma Herzog Las Palmas, 21, D(C)",3(1),291,2,-,1,-,0.8,88.6,1.0,-,7.16
"14Nico WilliamsAthletic Club, 23, AM(LR)","Nico Williams Athletic Club, 23, AM(LR)",29(2),2283,5,11,4,1,1.8,79.2,0.3,3,7.16
"15Iñaki WilliamsAthletic Club, 31, AM(CLR),FW","Iñaki Williams Athletic Club, 31, AM(CLR),FW",32(2),2856,12,3,4,-,2.7,73.7,0.9,4,7.15
