Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Jérémy DokuRennes, 23, M(CLR)","Jérémy Doku Rennes, 23, M(CLR)",1(1),111,1,-,-,-,3,87.5,-,1,7.87
"2Kylian MbappéPSG, 27, AM(CLR),FW","Kylian Mbappé PSG, 27, AM(CLR),FW",24(5),2160,27,7,4,-,4.1,85.2,-,8,7.71
"3Jean-Ricner BellegardeStrasbourg, 27, M(CLR)","Jean-Ricner Bellegarde Strasbourg, 27, M(CLR)",3,270,2,2,2,-,1.7,75.6,-,2,7.62
"4Massamba NdiayeClermont Foot, 24, Goalkeeper","Massamba Ndiaye Clermont Foot, 24, Goalkeeper",4,360,-,-,-,-,-,70.8,0.5,2,7.37
"5Romain Del CastilloBrest, 30, AM(CLR),FW","Romain Del Castillo Brest, 30, AM(CLR),FW",30(3),2522,8,8,4,-,1.2,75.3,0.7,7,7.35
"6Aleksandr GolovinMonaco, 29, M(CLR),FW","Aleksandr Golovin Monaco, 29, M(CLR),FW",25,2155,6,6,9,1,1.8,80.7,0.5,3,7.3
"7Téji SavanierMontpellier, 34, M(C)","Téji Savanier Montpellier, 34, M(C)",32,2777,9,6,8,1,2.6,75.8,0.7,5,7.28
"8Ousmane DembéléPSG, 28, AM(CLR),FW","Ousmane Dembélé PSG, 28, AM(CLR),FW",17(9),1510,3,8,-,-,1.7,81.8,0.1,4,7.28
"9VitinhaPSG, 26, M(C)","Vitinha PSG, 26, M(C)",23(5),2130,7,4,-,-,1.6,91.3,0.1,1,7.23
"10Pierre Lees-MelouBrest, 32, M(CLR)","Pierre Lees-Melou Brest, 32, M(CLR)",29,2521,4,-,10,1,1.8,86.5,0.7,4,7.22
"11Radoslaw MajeckiMonaco, 26, GK","Radoslaw Majecki Monaco, 26, GK",12,1080,-,-,1,-,-,68.2,0.4,1,7.21
"12Caio HenriqueMonaco, 28, D(CL),M(CL)","Caio Henrique Monaco, 28, D(CL),M(CL)",7(2),625,-,5,-,-,0.7,85.4,0.2,1,7.17
"13Georges MikautadzeMetz, 25, FW","Georges Mikautadze Metz, 25, FW",20,1755,13,4,1,1,2.9,74.7,0.8,4,7.17
"14Edon ZhegrovaLille, 27, AM(R)","Edon Zhegrova Lille, 27, AM(R)",25(8),2299,6,6,3,1,2.5,82.6,0.2,5,7.15
"15Manuel UgartePSG, 25, DMC","Manuel Ugarte PSG, 25, DMC",21(4),1935,-,2,5,-,0.4,91.5,0.6,-,7.15
"16Wilfried SingoMonaco, 25, D(CR),M(R)","Wilfried Singo Monaco, 25, D(CR),M(R)",24(1),2187,1,1,8,1,0.8,87.2,2.6,2,7.15
"17Gianluigi DonnarummaPSG, 27, GK","Gianluigi Donnarumma PSG, 27, GK",25,2170,-,-,3,1,-,87.1,0.1,2,7.14
"18Florian SotocaLens, 35, M(CR),FW","Florian Sotoca Lens, 35, M(CR),FW",29(3),2603,7,6,4,1,2.2,77.5,2.9,3,7.13
"19Mohammed SalisuMonaco, 27, D(CL)","Mohammed Salisu Monaco, 27, D(CL)",11(1),1035,-,1,2,-,0.3,84.7,3.0,1,7.11
"20Pierre-Emerick AubameyangMarseille, 36, M(CLR),FW","Pierre-Emerick Aubameyang Marseille, 36, M(CLR),FW",30(4),2628,17,8,4,-,3.4,70.8,0.8,7,7.09
"21Junya ItoReims, 33, M(LR),FW","Junya Ito Reims, 33, M(LR),FW",31,2722,3,7,2,-,1.5,73.4,0.6,3,7.09
"22Jordan AmaviBrest, 32, D(L),M(L)","Jordan Amavi Brest, 32, D(L),M(L)",1(1),91,1,-,1,-,0.5,86.7,0.5,-,7.09
"23Benjamin AndréLille, 35, D(R),M(CLR)","Benjamin André Lille, 35, D(R),M(CLR)",29(1),2575,4,-,9,-,0.8,84.3,2.6,3,7.08
"24Bradley LockoBrest, 23, D(L),M(L)","Bradley Locko Brest, 23, D(L),M(L)",33,2961,-,3,5,-,0.4,85.5,0.9,1,7.07
"25Alexandre LacazetteLyon, 34, M(CLR),FW","Alexandre Lacazette Lyon, 34, M(CLR),FW",27(2),2308,19,2,3,1,2.1,72.4,0.9,5,7.07
"26Jérémie BogaNice, 29, AM(CLR),FW","Jérémie Boga Nice, 29, AM(CLR),FW",24(4),2011,6,6,1,-,1.4,84.8,0.1,4,7.06
"27Jonathan DavidLille, 26, AM(C),FW","Jonathan David Lille, 26, AM(C),FW",30(4),2641,19,4,4,-,2.3,82.7,0.6,3,7.05
"28Saïd BenrahmaLyon, 30, AM(CLR)","Saïd Benrahma Lyon, 30, AM(CLR)",10(2),779,3,3,2,-,2.1,77.3,0.1,1,7.05
"29Christopher OpériLe Havre, 28, D(L),M(L)","Christopher Opéri Le Havre, 28, D(L),M(L)",28,2447,3,4,6,-,0.8,76.8,1.1,3,7.05
"30Mateusz WieteskaClermont Foot, 29, D(C)","Mateusz Wieteska Clermont Foot, 29, D(C)",2,176,1,-,-,-,1.5,78.1,2.0,-,7.04
