"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Abdallah Sima,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Loan,F,23,Senegal,Brest,,"
"Habib Diarra,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,21,Senegal,Strasbourg,,"
"Lorenz Assignon,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,24,France,Rennes,,"
"Mikayil Faye,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,20,Senegal,Rennes,,"
"Luis Henrique,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,23,Brazil,Marseille,,"
"Fodé Ballo-Touré,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,28,Senegal,Le Havre,,"
"Donovan Léon,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,32,French Guiana,Auxerre,,"
"Niklas Schmidt,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,26,Germany,Toulouse,,"
"Elisha Owusu,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,27,Ghana,Auxerre,,"
"Alidu Seidu,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,24,Ghana,Rennes,,"
"Mohamed Abdelmonem,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,26,Egypt,Nice,,"
"Emanuel Emegha,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,22,Netherlands,Strasbourg,,"
"Naouirou Ahamada,,""$ 15,009"",""$ 780,486"",,""$ 780,486"",""$ 780,486"",Loan,M,22,France,Rennes,,"
"Edon Zhegrova,,""$ 14,357"",""$ 746,552"",,""$ 746,552"",""$ 746,552"",Active,F,25,Kosovo,Lille,,"
"Quentin Merlin,,""$ 14,357"",""$ 746,552"",,""$ 746,552"",""$ 746,552"",Active,D,22,France,Marseille,,"
"Junya Ito,,""$ 14,357"",""$ 746,552"",,""$ 746,552"",""$ 746,552"",Active,F,31,Japan,Reims,,"
"Arnau Tenas,,""$ 14,357"",""$ 746,552"",,""$ 746,552"",""$ 746,552"",Active,K,23,Spain,PSG,,"
"Osame Sahraoui,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,23,Morocco,Lille,,"
"Hákon Arnar Haraldsson,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,21,Iceland,Lille,,"
"Frank Magri,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,25,Cameroon,Toulouse,,"
"Lassine Sinayoko,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,25,Mali,Auxerre,,"
"Lamine Camara,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,21,Senegal,Monaco,,"
"Nicolas Cozza,,""$ 13,704"",""$ 712,618"",,""$ 712,618"",""$ 712,618"",Loan,D,26,France,Nantes,,"
"Mika Biereth,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,21,Denmark,Monaco,,"
"Lucas Chevalier,,""$ 13,704"",""$ 712,618"",,""$ 712,618"",""$ 712,618"",Active,K,23,France,Lille,,"
"Faris Moumbagna,,""$ 13,269"",""$ 689,995"",,""$ 689,995"",""$ 689,995"",Active,F,24,Cameroon,Marseille,,"
"Jordan Amavi,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,30,France,Brest,,"
"Yunis Abdelhamid,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,37,Morocco,St-Etienne,,"
"Abakar Sylla,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,22,Cote d'Ivoire,Strasbourg,,"
"Sebastian Nanasi,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,22,Sweden,Strasbourg,,"
"Diego Moreira,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,20,Portugal,Strasbourg,,"
"Cédric Kipré,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,28,Cote d'Ivoire,Reims,,"
"Kelvin Amian,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,26,France,Nantes,,"
"Ibrahim Salah,,""$ 12,834"",""$ 667,372"",,""$ 667,372"",""$ 667,372"",Loan,F,23,Morocco,Brest,,"
"Soumaïla Coulibaly,,""$ 12,399"",""$ 644,749"",,""$ 644,749"",""$ 644,749"",Loan,D,21,France,Brest,,"
"Christian Mawissa,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,19,France,Monaco,,"
"Matthis Abline,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Active,F,21,France,Nantes,,"
"Sinaly Diomandé,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Active,D,23,Cote d'Ivoire,Auxerre,,"
"Adrien Truffert,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Active,D,23,France,Rennes,,"
"Eduard Sobol,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Active,D,29,Ukraine,Strasbourg,,"
"Matias Fernandez-Pardo,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Active,F,20,Belgium,Lille,,"
"Adrien Hunou,,""$ 11,529"",""$ 599,504"",,""$ 599,504"",""$ 599,504"",Active,F,31,France,Angers,,"
"Han-Noah Massengo,,""$ 11,311"",""$ 588,192"",,""$ 588,192"",""$ 588,192"",Loan,M,23,France,Auxerre,,"
"George Ilenikhena,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,18,Nigeria,Monaco,,"
"Cristian Cásseres Jr,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,25,Venezuela,Toulouse,,"
"Tino Kadewere,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,29,Zimbabwe,Nantes,,"
"Ayyoub Bouaddi,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,17,France,Lille,,"
"Marco Bizot,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,33,Netherlands,Brest,,"
"Jeffrey de Lange,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,26,Netherlands,Marseille,,"
"Massadio Haidara,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,32,Mali,Brest,,"
"Florent Hanin,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,35,France,Angers,,"
"Jean-Charles Castelletto,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,30,Cameroon,Nantes,,"
"Maxime Dupé,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,31,France,Nice,,"
"Douglas Augusto,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,28,Brazil,Nantes,,"
"Jean-Eudes Aholou,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,30,Cote d'Ivoire,Angers,,"
"Mohamed Bayo,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Inactive,F,26,Guinea,Lille,,"
"Andrey Santos,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,M,20,Brazil,Strasbourg,,"
"Evann Guessand,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,23,Cote d'Ivoire,Nice,,"
"Gabriel Moscardo,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,M,19,Brazil,Reims,,"
"Zuriko Davitashvili,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,23,Georgia,St-Etienne,,"
"Lucas Perri,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,27,Brazil,Lyon,,"
"Félix Lemaréchal,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,21,France,Strasbourg,,"
"Ahmed Hassan,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,31,Egypt,Le Havre,,"
"Sorba Thomas,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,F,26,Wales,Nantes,,"
"Christopher Jullien,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,31,France,Montpellier,,"
"Sergio Akieme,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,27,Spain,Reims,,"
"Valentín Barco,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,D,20,Argentina,Strasbourg,,"
"Mohamed-Ali Cho,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,21,France,Nice,,"
"Andy Diouf,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,21,France,Lens,,"
"Nikola Maksimović,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,33,Serbia,Montpellier,,"
"Mathew Ryan,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,32,Australia,Lens,,"
"Jonathan Rowe,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,F,21,England,Marseille,,"
"Carlos Andrés Gómez,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,22,Colombia,Rennes,,"
"Bamba Dieng,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,F,24,Senegal,Angers,,"
"Guéla Doué,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,22,Cote d'Ivoire,Strasbourg,,"
"Teddy Teuma,,""$ 10,224"",""$ 531,635"",,""$ 531,635"",""$ 531,635"",Active,M,31,Malta,Reims,,"
"Anthony Briançon,,""$ 10,006"",""$ 520,324"",,""$ 520,324"",""$ 520,324"",Active,D,30,France,St-Etienne,,"
"Ado Onaiwu,,""$ 10,006"",""$ 520,324"",,""$ 520,324"",""$ 520,324"",Active,F,29,Japan,Auxerre,,"
"Meschack Elia,,""$ 10,006"",""$ 520,324"",,""$ 520,324"",""$ 520,324"",Loan,F,27,Democratic Republic of the Congo,Nantes,,"
"Abdoulaye Bamba,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,35,Cote d'Ivoire,Angers,,"
"Emmanuel Biumla,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,20,France,Angers,,"
"Arouna Sangante,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,22,Senegal,Le Havre,,"
"Étienne Youté Kinkoué,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,23,France,Le Havre,,"
"Ngal'ayel Mukau,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,20,Democratic Republic of the Congo,Lille,,"
"Mory Gbane,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,24,Cote d'Ivoire,Reims,,"
"Gauthier Gallon,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,K,31,France,Rennes,,"
"Karl-Johan Johnsson,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,K,35,Sweden,Strasbourg,,"
"Mamadou Sarr,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,19,France,Strasbourg,,"
"Charlie Cresswell,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,22,England,Toulouse,,"
"Guillaume Restes,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,K,19,France,Toulouse,,"
"Jonas Martin,,""$ 9,571"",""$ 497,701"",,""$ 497,701"",""$ 497,701"",Active,M,34,France,Brest,,"
"Florian Ayé,,""$ 9,354"",""$ 486,390"",,""$ 486,390"",""$ 486,390"",Active,F,28,France,Auxerre,,"
"Florian Tardieu,,""$ 9,354"",""$ 486,390"",,""$ 486,390"",""$ 486,390"",Active,M,32,France,St-Etienne,,"
"Paul Akouokou,,""$ 8,919"",""$ 463,767"",,""$ 463,767"",""$ 463,767"",Active,M,27,Cote d'Ivoire,Lyon,,"
"Benjamin Bouchouari,,""$ 8,919"",""$ 463,767"",,""$ 463,767"",""$ 463,767"",Active,M,23,Morocco,St-Etienne,,"
"Yann Gboho,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,24,France,Toulouse,,"
"Bilal Nadir,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,21,Morocco,Marseille,,"
"Yassine Kechta,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,22,Morocco,Le Havre,,"
"Julien Le Cardinal,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,27,France,Brest,,"
"Óscar Perea,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,19,Colombia,Strasbourg,,"
"Marcus Coco,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,28,Guadeloupe,Nantes,,"
"Dylan Batubinsika,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,28,Democratic Republic of the Congo,St-Etienne,,"
"Mickaël Nade,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,25,France,St-Etienne,,"
"Hervé Koffi,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,K,28,Burkina Faso,Lens,,"
"Lucas Stassin,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,20,Belgium,St-Etienne,,"
"Paul Joly,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,24,France,Auxerre,,"
"Derek Cornelius,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,27,Canada,Marseille,,"
"Gabriel Osho,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,26,Nigeria,Auxerre,,"
"Senny Mayulu,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,18,France,PSG,,"
"Aïmen Moueffek,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,23,Morocco,St-Etienne,,"
"Augustine Boakye,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,24,Ghana,St-Etienne,,"
"Johann Lepenant,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Loan,M,22,France,Nantes,,"
"Pedro Chirivella,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,27,Spain,Nantes,,"
"Angel Gomes,,""$ 8,484"",""$ 441,144"",,""$ 441,144"",""$ 441,144"",Active,F,24,England,Lille,,"
"Reda Khadra,,""$ 8,484"",""$ 441,144"",,""$ 441,144"",""$ 441,144"",Active,F,23,Germany,Reims,,"
"Jubal,,""$ 8,484"",""$ 441,144"",,""$ 441,144"",""$ 441,144"",Active,D,31,Brazil,Auxerre,,"
"Dilane Bakwa,,""$ 8,484"",""$ 441,144"",,""$ 441,144"",""$ 441,144"",Active,F,22,France,Strasbourg,,"
"Kassoum Ouattara,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,20,France,Monaco,,"
"Soungoutou Magassa,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,21,France,Monaco,,"
"Junior Mwanga,,""$ 8,048"",""$ 418,521"",,""$ 418,521"",""$ 418,521"",Loan,M,21,France,Le Havre,,"
"Dennis Appiah,,""$ 7,831"",""$ 407,210"",,""$ 407,210"",""$ 407,210"",Active,D,32,France,St-Etienne,,"
"Saïdou Sow,,""$ 7,831"",""$ 407,210"",,""$ 407,210"",""$ 407,210"",Loan,D,22,Guinea,Nantes,,"
"Warmed Omari,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,D,24,Comoros,Lyon,,"
"Kamory Doumbia,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,21,Mali,Brest,,"
"Yassin Belkhdim,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,23,Morocco,Angers,,"
"Assane Dioussé,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,27,Senegal,Auxerre,,"
"Alaa Bellaarouch,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,K,23,Morocco,Strasbourg,,"
"Clément Akpa,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,23,Cote d'Ivoire,Auxerre,,"
"Kiki Kouyaté,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,27,Mali,Montpellier,,"
"Tom Louchet,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,21,France,Nice,,"
"Martín Satriano,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,F,23,Uruguay,Lens,,"
"Jhoanner Chávez,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,22,Ecuador,Lens,,"
"Igor Miladinovic,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,21,Serbia,St-Etienne,,"
"Jordan James,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,20,Wales,Rennes,,"
"Jérémy Jacquet,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,19,France,Rennes,,"
"Cédric Hountondji,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,31,Benin,Angers,,"
"Ibrahima Niane,,""$ 7,178"",""$ 373,276"",,""$ 373,276"",""$ 373,276"",Active,F,25,Senegal,Angers,,"
"Yehvann Diouf,,""$ 7,178"",""$ 373,276"",,""$ 373,276"",""$ 373,276"",Active,K,25,France,Reims,,"
"Eliesse Ben Seghir,,""$ 11,311"",""$ 588,192"",,""$ 588,192"",""$ 588,192"",Active,F,19,Morocco,Monaco,,"
"Ibrahima Wadji,,""$ 7,178"",""$ 373,276"",,""$ 373,276"",""$ 373,276"",Active,F,29,Senegal,St-Etienne,,"
"Gabriel Suazo,,""$ 7,178"",""$ 373,276"",,""$ 373,276"",""$ 373,276"",Active,D,27,Chile,Toulouse,,"
"Edan Diop,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,20,France,Monaco,,"
"Irvin Cardona,,""$ 6,743"",""$ 350,653"",,""$ 350,653"",""$ 350,653"",Loan,F,27,France,St-Etienne,,"
"Louis Leroux,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,19,France,Nantes,,"
"Antoine Mendy,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,20,France,Nice,,"
"Bradley Locko,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,22,France,Brest,,"
"Himad Abdelli,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,25,Algeria,Angers,,"
"Becir Omeragic,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,23,Switzerland,Montpellier,,"
"Pierrick Capelle,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,M,38,France,Angers,,"
"Yvann Maçon,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,26,France,St-Etienne,,"
"Patrik Carlgren,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,33,Sweden,Nantes,,"
"Maxime Bernauer,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,D,26,France,St-Etienne,,"
"Ethan Mbappé,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,M,18,France,Lille,,"
"Yoram Zague,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,18,France,PSG,,"
"Goduine Koyalipou,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,24,Central African Republic,Lens,,"
"Thomas Delaine,,""$ 6,308"",""$ 328,030"",,""$ 328,030"",""$ 328,030"",Active,D,32,France,Strasbourg,,"
"Mathias Pereira Lage,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Active,F,28,France,Brest,,"
"Oumar Diakité,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Active,F,21,Cote d'Ivoire,Reims,,"
"Modibo Sagnan,,""$ 6,091"",""$ 316,719"",,""$ 316,719"",""$ 316,719"",Active,D,25,Mali,Montpellier,,"
"Gaëtan Perrin,,""$ 5,656"",""$ 294,096"",,""$ 294,096"",""$ 294,096"",Active,F,28,France,Auxerre,,"
"Saël Kumbedi,,""$ 5,656"",""$ 294,096"",,""$ 294,096"",""$ 294,096"",Active,D,19,France,Lyon,,"
"Aurélio Buta,,""$ 5,656"",""$ 294,096"",,""$ 294,096"",""$ 294,096"",Loan,D,27,Portugal,Reims,,"
"Gautier Larsonneur,,""$ 5,656"",""$ 294,096"",,""$ 294,096"",""$ 294,096"",Active,K,27,France,St-Etienne,,"
"Yaya Fofana,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,20,Cote d'Ivoire,Reims,,"
"Timothée Pembélé,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Loan,D,22,France,Le Havre,,"
"Valentin Atangana,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,19,France,Reims,,"
"Herba Guirassy,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,18,Guinea,Nantes,,"
"Issa Soumaré,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,24,Senegal,Le Havre,,"
"Yanis Zouaoui,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,26,France,Le Havre,,"
"Nathan Zézé,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,19,France,Nantes,,"
"Rémy Labeau Lascary,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,21,Guadeloupe,Lens,,"
"Pierre Cornud,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,28,France,St-Etienne,,"
"Lamine Fomba,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,27,France,St-Etienne,,"
"Rassoul Ndiaye,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,M,23,Senegal,Le Havre,,"
"Kazeem Olaigbe,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,F,22,Belgium,Rennes,,"
"Nidal Celik,,""$ 5,438"",""$ 282,785"",,""$ 282,785"",""$ 282,785"",Active,D,18,Bosnia-Herzegovina,Lens,,"
"Farid El Melali,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Active,F,27,Algeria,Angers,,"
"Estéban Lepaul,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Active,F,24,France,Angers,,"
"Ibrahim Sissoko,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Active,F,29,Mali,St-Etienne,,"
"Léo Pétrot,,""$ 5,003"",""$ 260,162"",,""$ 260,162"",""$ 260,162"",Active,D,27,France,St-Etienne,,"
"Ismaël Doukouré,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,D,21,France,Strasbourg,,"
"Loïc Nego,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,D,34,Hungary,Le Havre,,"
"Gabriel Gudmundsson,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,D,25,Sweden,Lille,,"
"Issiaga Sylla,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Active,D,31,Guinea,Montpellier,,"
"Mahamadou Diawara,,""$ 4,786"",""$ 248,851"",,""$ 248,851"",""$ 248,851"",Loan,M,19,France,Le Havre,,"
"Abdoulaye Ndiaye,,""$ 4,568"",""$ 237,539"",,""$ 237,539"",""$ 237,539"",Loan,D,22,Senegal,Brest,,"
"Pablo Rosario,,""$ 4,568"",""$ 237,539"",,""$ 237,539"",""$ 237,539"",Active,M,28,Netherlands,Nice,,"
"Ousmane Camara,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,21,France,Angers,,"
"Marcin Bulka,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,25,Poland,Nice,,"
"Justin Bengui,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Inactive,K,19,France,Lyon,,"
"Marc-Aurèle Caillard,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,30,France,Lille,,"
"Ilyes Housni,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Loan,F,19,Morocco,Le Havre,,"
"Djaoui Cissé,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,M,21,France,Rennes,,"
"Vincent Sierro,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,M,29,Switzerland,Toulouse,,"
"Saad Agouzoul,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Inactive,D,27,Morocco,Auxerre,,"
"Lasso Coulibaly,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,F,22,Cote d'Ivoire,Auxerre,,"
"Brice Maubleu,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,K,35,France,St-Etienne,,"
"Théo Sainte-Luce,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,26,France,Montpellier,,"
"Jacques Ekomié,,""$ 4,351"",""$ 226,228"",,""$ 226,228"",""$ 226,228"",Active,D,21,Gabon,Angers,,"
"Mathieu Gorgelin,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,K,34,France,Le Havre,,"
"Ludovic Butelle,,""$ 4,133"",""$ 214,916"",,""$ 214,916"",""$ 214,916"",Active,K,41,France,Reims,,"
"Theo Bair,,""$ 3,915"",""$ 203,605"",,""$ 203,605"",""$ 203,605"",Active,F,25,Canada,Auxerre,,"
