"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ludovic Blas,,""$ 50,031"",""$ 2,601,620"",,""$ 2,601,620"",""$ 2,601,620"",Active,F,27,France,Rennes,,"
"Takumi Minamino,,""$ 78,310"",""$ 4,072,100"",,""$ 4,072,100"",""$ 4,072,100"",Active,F,30,Japan,Monaco,,"
"Aleksandr Golovin,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,F,28,Russia,Monaco,,"
"Mitchel Bakker,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Loan,D,24,Netherlands,Lille,,"
"Rayan Cherki,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,F,21,France,Lyon,,"
"Valentin Rongier,,""$ 47,421"",""$ 2,465,883"",,""$ 2,465,883"",""$ 2,465,883"",Active,M,30,France,Marseille,,"
"Gaëtan Laborde,,""$ 46,116"",""$ 2,398,015"",,""$ 2,398,015"",""$ 2,398,015"",Active,F,30,France,Nice,,"
"Chancel Mbemba,,""$ 45,898"",""$ 2,386,703"",,""$ 2,386,703"",""$ 2,386,703"",Active,D,30,Democratic Republic of the Congo,Marseille,,"
"Luiz Felipe,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,D,27,Italy,Marseille,,"
"Jérémie Boga,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,28,Cote d'Ivoire,Nice,,"
"Kang-in Lee,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,23,South Korea,PSG,,"
"Anthony Lopes,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,K,34,Portugal,Nantes,,"
"Ernest Nuamah,,""$ 43,505"",""$ 2,262,278"",,""$ 2,262,278"",""$ 2,262,278"",Active,F,21,Ghana,Lyon,,"
"Thiago Almada,,""$ 41,330"",""$ 2,149,164"",,""$ 2,149,164"",""$ 2,149,164"",Loan,F,23,Argentina,Lyon,,"
"Thilo Kehrer,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,D,28,Germany,Monaco,,"
"Breel Embolo,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,F,27,Switzerland,Monaco,,"
"Ainsley Maitland-Niles,,""$ 40,242"",""$ 2,092,607"",,""$ 2,092,607"",""$ 2,092,607"",Active,D,27,England,Lyon,,"
"Georges Mikautadze,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,24,Georgia,Lyon,,"
"Francis Coquelin,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,33,France,Nantes,,"
"Jordan Veretout,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,M,31,France,Lyon,,"
"Lucas Beraldo,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,D,21,Brazil,PSG,,"
"Samuel Umtiti,,""$ 38,285"",""$ 1,990,805"",,""$ 1,990,805"",""$ 1,990,805"",Active,D,31,France,Lille,,"
"Amine Harit,,""$ 37,197"",""$ 1,934,248"",,""$ 1,934,248"",""$ 1,934,248"",Active,F,27,Morocco,Marseille,,"
"Mohammed Salisu,,""$ 58,732"",""$ 3,054,075"",,""$ 3,054,075"",""$ 3,054,075"",Active,D,25,Ghana,Monaco,,"
"Vanderson,,""$ 58,732"",""$ 3,054,075"",,""$ 3,054,075"",""$ 3,054,075"",Active,D,23,Brazil,Monaco,,"
"Matvey Safonov,,""$ 36,980"",""$ 1,922,936"",,""$ 1,922,936"",""$ 1,922,936"",Active,K,25,Russia,PSG,,"
"Folarin Balogun,,""$ 57,645"",""$ 2,997,518"",,""$ 2,997,518"",""$ 2,997,518"",Active,F,23,United States,Monaco,,"
"Wahbi Khazri,,""$ 35,892"",""$ 1,866,379"",,""$ 1,866,379"",""$ 1,866,379"",Active,F,33,Tunisia,Montpellier,,"
"Youssoufa Moukoko,,""$ 35,892"",""$ 1,866,379"",""$ 1,866,379"",""$ 3,732,759"",""$ 3,732,759"",Loan,F,20,Germany,Nice,,"
"Neal Maupay,,""$ 35,892"",""$ 1,866,379"",,""$ 1,866,379"",""$ 1,866,379"",Loan,F,28,France,Marseille,,"
"Maghnes Akliouche,,""$ 56,557"",""$ 2,940,961"",,""$ 2,940,961"",""$ 2,940,961"",Active,F,22,France,Monaco,,"
"Krépin Diatta,,""$ 56,557"",""$ 2,940,961"",,""$ 2,940,961"",""$ 2,940,961"",Active,F,25,Senegal,Monaco,,"
"Adrien Thomasson,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,F,31,France,Lens,,"
"Melvin Bard,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,D,24,France,Nice,,"
"Tanner Tessmann,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,M,23,United States,Lyon,,"
"Sofiane Diop,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,F,24,Morocco,Nice,,"
"Kyogo Furuhashi,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,F,30,Japan,Rennes,,"
"Caio Henrique,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,27,Brazil,Monaco,,"
"M'Bala Nzola,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,F,28,Angola,Lens,,"
"Valentín Carboni,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,F,19,Argentina,Marseille,,"
"Brendan Chardonnet,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,30,France,Brest,,"
"Michael Murillo,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,28,Panama,Marseille,,"
"Nicolás Tagliafico,,""$ 32,629"",""$ 1,696,708"",""$ 1,131,139"",""$ 2,827,847"",""$ 2,827,847"",Active,D,32,Argentina,Lyon,,"
"Mostafa Mohamed,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,27,Egypt,Nantes,,"
"Jonathan Gradit,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,32,France,Lens,,"
"Youssouf Ndayishimiye,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,D,26,Burundi,Nice,,"
"Romain Del Castillo,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,F,28,France,Brest,,"
"Terem Moffi,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,F,25,Nigeria,Nice,,"
"Andy Delort,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Loan,F,33,Algeria,Montpellier,,"
"Gerónimo Rulli,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,K,32,Argentina,Marseille,,"
"Malick Fofana,,""$ 29,366"",""$ 1,527,038"",,""$ 1,527,038"",""$ 1,527,038"",Active,F,19,Belgium,Lyon,,"
"Moses Simon,,""$ 28,714"",""$ 1,493,103"",,""$ 1,493,103"",""$ 1,493,103"",Active,F,29,Nigeria,Nantes,,"
