"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Alexsandro,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Active,D,23,Brazil,Lille,,"
"Nabil Bentaleb,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Active,M,28,Algeria,Angers,,"
"Ante Palaversa,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Active,M,22,Croatia,Troyes,,"
"Maxime Gonalons,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Active,M,33,France,Clermont,,"
"Ignatius Ganago,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Active,F,23,Cameroon,Nantes,,"
"Xavier Chavalerin,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Active,M,31,France,Troyes,,"
"Mama Baldé,,""$ 8,741"",""$ 454,543"",,""$ 454,543"",""$ 468,005"",Active,F,27,Guinea-Bissau,Troyes,,"
"Jordan Lotomba,,""$ 8,741"",""$ 454,543"",,""$ 454,543"",""$ 468,005"",Active,D,24,Switzerland,Nice,,"
"Youcef Belaïli,,""$ 8,741"",""$ 454,543"",,""$ 454,543"",""$ 468,005"",Active,F,30,Algeria,Ajaccio,,"
"Arnaud Nordin,,""$ 8,533"",""$ 443,720"",,""$ 443,720"",""$ 456,862"",Active,F,24,France,Montpellier,,"
"Montassar Talbi,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,D,24,Tunisia,Lorient,,"
"Azor Matusiwa,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,24,Netherlands,Reims,,"
"Axel Disasi,,""$ 13,112"",""$ 681,814"",,""$ 681,814"",""$ 702,008"",Active,D,24,France,Monaco,,"
"Thomas Foket,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,D,28,Belgium,Reims,,"
"David Costa,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,F,22,Portugal,Lens,,"
"Johann Lepenant,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,20,France,Lyon,,"
"Arbër Zeneli,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,F,27,Kosovo,Reims,,"
"Miha Blazic,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,D,29,Slovenia,Angers,,"
"Thibault De Smet,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,D,25,Belgium,Reims,,"
"Jean-Louis Leca,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,K,37,France,Lens,,"
"Pedro Chirivella,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,25,Spain,Nantes,,"
"Jimmy Cabot,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,28,France,Lens,,"
"Brecht Dejaegere,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,31,Belgium,Toulouse,,"
"Laurent Abergel,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,30,France,Lorient,,"
"Marshall Munetsi,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,26,Zimbabwe,Reims,,"
"Jens Cajuste,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,23,Sweden,Reims,,"
"Rayan Raveloson,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,M,26,Madagascar,Auxerre,,"
"Kenny Lala,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 445,719"",Active,D,31,France,Brest,,"
"Angel Gomes,,""$ 8,117"",""$ 422,076"",,""$ 422,076"",""$ 434,576"",Active,F,22,England,Lille,,"
"Timothy Weah,,""$ 8,117"",""$ 422,076"",,""$ 422,076"",""$ 434,576"",Active,F,22,United States,Lille,,"
"Jubal,,""$ 8,117"",""$ 422,076"",,""$ 422,076"",""$ 434,576"",Active,D,29,Brazil,Auxerre,,"
"Abdu Conté,,""$ 8,117"",""$ 422,076"",,""$ 422,076"",""$ 434,576"",Active,D,24,Portugal,Troyes,,"
"Romain Salin,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 423,433"",Active,K,38,France,Rennes,,"
"Souleyman Doumbia,,""$ 7,701"",""$ 400,431"",,""$ 400,431"",""$ 412,290"",Active,D,26,Cote d'Ivoire,Angers,,"
"Tristan Dingomé,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,M,31,Cameroon,Troyes,,"
"Christophe Hérelle,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,D,30,Martinique,Brest,,"
"Rominigue Kouamé,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,M,26,Mali,Troyes,,"
"Jérémie Bela,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,F,29,Angola,Clermont,,"
"Przemyslaw Frankowski,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,M,27,Poland,Lens,,"
"Colin Dagba,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Loan,D,24,France,Strasbourg,,"
"Yoann Salmier,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,D,30,French Guiana,Troyes,,"
"Lucien Agoume,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Loan,M,20,France,Troyes,,"
"Erik Palmer-Brown,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,D,25,United States,Troyes,,"
"Jackson Porozo,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Active,D,22,Ecuador,Troyes,,"
"Issa Kabore,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 401,147"",Loan,D,21,Burkina Faso,Marseille,,"
"Ismail Jakobs,,""$ 11,863"",""$ 616,880"",,""$ 616,880"",""$ 635,150"",Active,D,23,Senegal,Monaco,,"
"Kiki Kouyaté,,""$ 7,284"",""$ 378,786"",,""$ 378,786"",""$ 390,004"",Active,D,25,Mali,Montpellier,,"
"Cédric Hountondji,,""$ 7,284"",""$ 378,786"",,""$ 378,786"",""$ 390,004"",Active,D,29,Benin,Angers,,"
"Youssouf Fofana,,""$ 11,447"",""$ 595,235"",,""$ 595,235"",""$ 612,864"",Active,M,24,France,Monaco,,"
"Sinaly Diomandé,,""$ 7,076"",""$ 367,963"",,""$ 367,963"",""$ 378,861"",Active,D,21,Cote d'Ivoire,Lyon,,"
"Habib Diallo,,""$ 7,076"",""$ 367,963"",,""$ 367,963"",""$ 378,861"",Active,F,27,Senegal,Strasbourg,,"
"Dimitri Liénard,,""$ 7,076"",""$ 367,963"",,""$ 367,963"",""$ 378,861"",Active,M,34,France,Strasbourg,,"
"Moussa Djitté,,""$ 7,076"",""$ 367,963"",,""$ 367,963"",""$ 378,861"",Loan,F,23,Senegal,Ajaccio,,"
"Alexandre Letellier,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,K,32,France,PSG,,"
"Ibrahima Niane,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Loan,F,23,Senegal,Angers,,"
"Gabriel Suazo,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,D,25,Chile,Toulouse,,"
"Mikkel Desler,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,D,27,Denmark,Toulouse,,"
"Julien Laporte,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,D,29,France,Lorient,,"
"Ado Onaiwu,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,F,27,Japan,Toulouse,,"
"Thomas Mangani,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,M,35,France,Ajaccio,,"
"Massadio Haidara,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,D,30,Mali,Lens,,"
"Franck Honorat,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,F,26,France,Brest,,"
"Yehvann Diouf,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,K,23,France,Reims,,"
"Emmanuel Agbadou,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,D,25,Cote d'Ivoire,Reims,,"
"Mattia Viti,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,D,21,Italy,Nice,,"
"Joe Rodon,,""$ 6,660"",""$ 346,318"",,""$ 346,318"",""$ 356,575"",Loan,D,25,Wales,Rennes,,"
"Ibrahim Amadou,,""$ 6,452"",""$ 335,496"",,""$ 335,496"",""$ 345,432"",Active,M,29,France,Angers,,"
"Pedro Mendes,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,D,32,Portugal,Montpellier,,"
"Rasmus Nicolaisen,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,D,25,Denmark,Toulouse,,"
"Batista Mendy,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,M,23,France,Angers,,"
"Jean-Charles Castelletto,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,D,28,Cameroon,Nantes,,"
"Pierrick Capelle,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,M,36,France,Angers,,"
"Brendan Chardonnet,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,D,28,France,Brest,,"
"Haris Belkebla,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,M,29,Algeria,Brest,,"
"Hugo Magnetti,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,M,24,France,Brest,,"
"Marco Bizot,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,K,31,Netherlands,Brest,,"
"Romain Del Castillo,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,M,26,France,Brest,,"
"Johan Gastien,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,M,35,France,Clermont,,"
"Gédéon Kalulu,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,D,25,Democratic Republic of the Congo,Lorient,,"
"Charles Traoré,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,D,31,Mali,Nantes,,"
"Veljko Birmancevic,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Active,F,24,Serbia,Toulouse,,"
"Maximiliano Caufriez,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 323,146"",Loan,D,25,Belgium,Clermont,,"
"El Chadaille Bitshiabu,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 323,146"",Active,D,17,France,PSG,,"
"Donovan Léon,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 323,146"",Active,K,30,French Guiana,Auxerre,,"
"Thomas Delaine,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 323,146"",Active,D,30,France,Strasbourg,,"
"Mathias Pereira Lage,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 312,003"",Active,M,26,France,Brest,,"
"Vincent Le Goff,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 312,003"",Active,D,33,France,Lorient,,"
"Kevin Danso,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 312,003"",Active,D,24,Austria,Lens,,"
"Rafael Ratão,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 312,003"",Active,F,27,Brazil,Toulouse,,"
"Stephy Mavididi,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 312,003"",Active,F,24,England,Montpellier,,"
"Saël Kumbedi,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 289,717"",Active,D,17,France,Lyon,,"
"Achraf Dari,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 289,717"",Active,D,23,Morocco,Brest,,"
"Marcus Coco,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 289,717"",Active,F,26,France,Nantes,,"
"Julien Le Cardinal,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 289,717"",Active,D,25,France,Lens,,"
"Youssouf M'Changama,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 289,717"",Active,F,32,Comoros,Auxerre,,"
"Saïd Hamulic,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 289,717"",Active,F,22,Bosnia-Herzegovina,Toulouse,,"
"Eliesse Ben Seghir,,""$ 8,741"",""$ 454,543"",,""$ 454,543"",""$ 468,005"",Active,F,17,France,Monaco,,"
"Wuilker Fariñez,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 289,717"",Active,K,24,Venezuela,Lens,,"
"Birama Touré,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Active,M,30,Mali,Auxerre,,"
"Siriki Dembélé,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Loan,F,26,Scotland,Auxerre,,"
"Mamadou Sakho,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Active,D,32,France,Montpellier,,"
"Himad Abdelli,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Active,F,23,France,Angers,,"
"Gerzino Nyamsi,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Active,D,26,France,Strasbourg,,"
"Darline Yongwa,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Active,D,22,Cameroon,Lorient,,"
"Neto Borges,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Active,D,26,Brazil,Clermont,,"
"Théo Le Bris,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 278,575"",Active,D,20,France,Lorient,,"
"Théo Pellenard,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 267,432"",Active,D,28,France,Auxerre,,"
"Mathías Suárez,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 256,289"",Active,D,26,Uruguay,Montpellier,,"
"Mickaël Barreto,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 256,289"",Active,F,32,France,Ajaccio,,"
"Florent Ogier,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 256,289"",Active,D,33,France,Clermont,,"
"Gideon Mensah,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 256,289"",Active,D,24,Ghana,Auxerre,,"
"Rémy Riou,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 256,289"",Active,K,35,France,Lyon,,"
"Jean Onana,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 256,289"",Active,M,23,Cameroon,Lens,,"
"Farid El Melali,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 256,289"",Active,F,25,Algeria,Angers,,"
"Malo Gusto,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 245,146"",Loan,D,19,France,Lyon,,"
"Gabriel Gudmundsson,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 245,146"",Active,D,23,Sweden,Lille,,"
"Elisha Owusu,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 245,146"",Active,M,25,Ghana,Auxerre,,"
"Ismaël Doukouré,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 245,146"",Active,D,19,France,Strasbourg,,"
"Maxime Le Marchand,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 245,146"",Active,D,33,France,Strasbourg,,"
"Issiaga Sylla,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 245,146"",Active,D,29,Guinea,Montpellier,,"
"Julien Ponceau,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 234,003"",Active,F,22,France,Lorient,,"
"Pablo Rosario,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 234,003"",Active,M,26,Netherlands,Nice,,"
"Bradley Barcola,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 234,003"",Active,F,20,France,Lyon,,"
"Chrislain Matsima,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 367,718"",Active,D,20,France,Monaco,,"
"Ismaël Gharbi,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 234,003"",Active,F,18,Spain,PSG,,"
"Kaj Sierhuis,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 234,003"",Active,F,24,Netherlands,Reims,,"
"Eiji Kawashima,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,K,39,Japan,Strasbourg,,"
"Théo Sainte-Luce,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,D,24,France,Montpellier,,"
"Denys Bain,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,D,29,France,Auxerre,,"
"Soungoutou Magassa,,""$ 6,452"",""$ 335,496"",,""$ 335,496"",""$ 345,432"",Active,M,19,France,Monaco,,"
"Gauthier Gallon,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,K,29,France,Troyes,,"
"Bingourou Kamara,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,K,26,Senegal,Montpellier,,"
"Adil Aouchiche,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,F,20,France,Lorient,,"
"Leny Yoro,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,D,17,France,Lille,,"
"Vincent Marchetti,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,M,25,France,Ajaccio,,"
"Bafodé Diakité,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,D,22,France,Lille,,"
"Vincent Sierro,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,M,27,Switzerland,Toulouse,,"
"Jérémy Le Douaron,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,F,24,France,Brest,,"
"Ilyes Housni,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,F,17,France,PSG,,"
"Alexis Beka Beka,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,M,21,France,Nice,,"
"Désiré Doué,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,F,17,France,Rennes,,"
"Marcin Bulka,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 222,860"",Active,K,23,Poland,Nice,,"
"Cédric Avinel,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 211,717"",Active,D,36,Guadeloupe,Ajaccio,,"
"Mitchell van Bergen,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 211,717"",Active,F,23,Netherlands,Reims,,"
"Sada Thioub,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 211,717"",Active,F,27,Senegal,Angers,,"
"Thomas Didillon,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 334,289"",Loan,K,27,France,Monaco,,"
"Jean-Ricner Bellegarde,,""$ 3,954"",""$ 205,627"",,""$ 205,627"",""$ 211,717"",Active,M,24,France,Strasbourg,,"
"Tiago Djaló,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 200,574"",Active,D,22,Portugal,Lille,,"
"Ibrahima Sissoko,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 200,574"",Active,M,25,France,Strasbourg,,"
"Mory Diaw,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 200,574"",Active,K,29,Senegal,Clermont,,"
"Mathias Autret,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 200,574"",Active,F,31,France,Auxerre,,"
"Han-Noah Massengo,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 200,574"",Loan,M,21,Congo,Auxerre,,"
"Timothée Pembélé,,""$ 3,746"",""$ 194,804"",,""$ 194,804"",""$ 200,574"",Active,D,20,France,PSG,,"
"Gaëtan Perrin,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,M,26,France,Auxerre,,"
"Steven Fortes,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,D,30,Cape Verde,Lens,,"
"Fernand Mayembo,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,D,27,Congo,Ajaccio,,"
"Khalil Fayad,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,M,18,France,Montpellier,,"
"Ayman Kari,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Loan,M,18,France,Lorient,,"
"Bamo Meïté,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,M,21,Cote d'Ivoire,Lorient,,"
"Nuno Da Costa,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,F,31,Cape Verde,Auxerre,,"
"Mahdi Camara,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Loan,M,24,France,Brest,,"
"Mateusz Lis,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Loan,K,25,Poland,Troyes,,"
"Komnen Andric,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,F,27,Serbia,Clermont,,"
"Robin Risser,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,K,18,France,Strasbourg,,"
"Alidu Seidu,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,D,22,Ghana,Clermont,,"
"Kjetil Haug,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,K,24,Norway,Toulouse,,"
"Evann Guessand,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Loan,F,21,France,Nantes,,"
"Grejohn Kyei,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,F,27,France,Clermont,,"
"Zakaria Aboukhlal,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,F,22,Morocco,Toulouse,,"
"Gauthier Hein,,""$ 3,538"",""$ 183,982"",,""$ 183,982"",""$ 189,431"",Active,F,26,France,Auxerre,,"
"Logan Costa,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 178,288"",Active,D,21,Cape Verde,Toulouse,,"
"Alexis Tibidi,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 178,288"",Active,F,19,France,Troyes,,"
"Benjamin Leroy,,""$ 3,330"",""$ 173,159"",,""$ 173,159"",""$ 178,288"",Active,K,33,France,Ajaccio,,"
"Mateusz Wieteska,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,D,25,Poland,Clermont,,"
"Julian Jeanvier,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,D,30,Guinea,Auxerre,,"
"Bonke Innocent,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,M,27,Nigeria,Lorient,,"
"Papa Ndiaga Yade,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Loan,F,23,Senegal,Troyes,,"
"Hamza Sakhi,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,F,26,Morocco,Auxerre,,"
"Ousmane Camara,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,D,19,France,Angers,,"
"Muhammed Cham,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,F,22,Austria,Clermont,,"
"Alan Virginius,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,F,20,France,Lille,,"
"Yanis Guermouche,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,F,21,Algeria,Montpellier,,"
"Faitout Maouassa,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Loan,D,24,France,Montpellier,,"
"Andreas Bruus,,""$ 3,122"",""$ 162,337"",,""$ 162,337"",""$ 167,145"",Active,D,24,Denmark,Troyes,,"
"Maxime Dupé,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,K,29,France,Toulouse,,"
"Léo Leroy,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,M,22,France,Montpellier,,"
"Jaouen Hadjam,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,D,19,France,Nantes,,"
"Warren Zaïre-Emery,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,M,16,France,PSG,,"
"Ibrahima Koné,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,F,23,Mali,Lorient,,"
"Lorenz Assignon,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,D,22,France,Rennes,,"
"Thibault Tamas,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,D,21,France,Montpellier,,"
"Adam Jakubech,,""$ 2,914"",""$ 151,514"",,""$ 151,514"",""$ 156,002"",Active,K,26,Slovakia,Lille,,"
"Yahia Fofana,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,K,22,France,Angers,,"
"Souleymane Isaak Touré,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Loan,D,19,France,Auxerre,,"
"Christopher Wooh,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,D,21,Cameroon,Rennes,,"
"Mickaël Alphonse,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,D,33,Guadeloupe,Ajaccio,,"
"Vito Mannone,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,K,34,Italy,Lorient,,"
"Moussa Soumano,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,F,17,France,Ajaccio,,"
"Oliver Zandén,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,D,21,Sweden,Toulouse,,"
"Mehdi Zeffane,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,D,30,Algeria,Clermont,,"
"Amine Salama,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,F,22,France,Angers,,"
"Theocharis Tsingaras,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Loan,M,22,Greece,Toulouse,,"
"Rémy Labeau Lascary,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,F,20,Guadeloupe,Lens,,"
"Denis Petric,,""$ 2,706"",""$ 140,692"",,""$ 140,692"",""$ 144,859"",Active,K,35,Slovenia,Nantes,,"
