"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kylian Mbappé,,""$ 824,145"",""$ 42,855,556"",""$ 35,712,963"",""$ 78,568,519"",""$ 79,310,069"",Active,F,25,France,PSG,,"
"Aleksandr Golovin,,""$ 68,679"",""$ 3,571,296"",,""$ 3,571,296"",""$ 3,605,003"",Active,F,27,Russia,Monaco,,"
"Benjamin Mendy,,""$ 42,872"",""$ 2,229,355"",,""$ 2,229,355"",""$ 2,250,396"",Active,D,29,France,Lorient,,"
"Moussa Sissoko,,""$ 42,664"",""$ 2,218,533"",,""$ 2,218,533"",""$ 2,239,472"",Active,M,34,France,Nantes,,"
"Jérémie Boga,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,184,850"",Active,F,27,Cote d'Ivoire,Nice,,"
"Kang-in Lee,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,184,850"",Active,F,22,South Korea,PSG,,"
"Arthur Theate,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,184,850"",Active,D,23,Belgium,Rennes,,"
"Rayan Cherki,,""$ 41,207"",""$ 2,142,778"",,""$ 2,142,778"",""$ 2,163,002"",Active,F,20,France,Lyon,,"
"Takumi Minamino,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,277,276"",Active,F,29,Japan,Monaco,,"
"Thilo Kehrer,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,277,276"",Loan,D,27,Germany,Monaco,,"
"Breel Embolo,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,277,276"",Active,F,26,Switzerland,Monaco,,"
"Maxence Caqueret,,""$ 38,502"",""$ 2,002,090"",,""$ 2,002,090"",""$ 2,020,987"",Active,M,23,France,Lyon,,"
"Jonathan Clauss,,""$ 37,877"",""$ 1,969,624"",,""$ 1,969,624"",""$ 1,988,214"",Active,D,31,France,Marseille,,"
"Lucas Beraldo,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 1,966,365"",Active,D,20,Brazil,PSG,,"
"Samuel Umtiti,,""$ 36,629"",""$ 1,904,691"",,""$ 1,904,691"",""$ 1,922,668"",Active,D,30,France,Lille,,"
"Danilo Pereira,,""$ 36,629"",""$ 1,904,691"",,""$ 1,904,691"",""$ 1,922,668"",Active,D,32,Portugal,PSG,,"
"Mohammed Salisu,,""$ 56,192"",""$ 2,921,970"",,""$ 2,921,970"",""$ 2,949,548"",Active,D,24,Ghana,Monaco,,"
"Amine Harit,,""$ 35,588"",""$ 1,850,581"",,""$ 1,850,581"",""$ 1,868,047"",Active,F,26,Morocco,Marseille,,"
"Wahbi Khazri,,""$ 34,339"",""$ 1,785,648"",,""$ 1,785,648"",""$ 1,802,502"",Active,F,32,Tunisia,Montpellier,,"
"Martin Terrier,,""$ 34,339"",""$ 1,785,648"",,""$ 1,785,648"",""$ 1,802,502"",Active,F,26,France,Rennes,,"
"Elye Wahi,,""$ 34,339"",""$ 1,785,648"",,""$ 1,785,648"",""$ 1,802,502"",Active,F,21,France,Lens,,"
"Brice Samba,,""$ 34,339"",""$ 1,785,648"",,""$ 1,785,648"",""$ 1,802,502"",Active,K,29,France,Lens,,"
"Vanderson,,""$ 54,111"",""$ 2,813,749"",,""$ 2,813,749"",""$ 2,840,305"",Active,D,22,Brazil,Monaco,,"
"Krépin Diatta,,""$ 54,111"",""$ 2,813,749"",,""$ 2,813,749"",""$ 2,840,305"",Active,F,24,Senegal,Monaco,,"
"Sofiane Diop,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,747,880"",Active,F,23,Morocco,Nice,,"
"Ainsley Maitland-Niles,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,747,880"",Active,M,26,England,Lyon,,"
"Adrien Thomasson,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,747,880"",Active,F,30,France,Lens,,"
"Caio Henrique,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,731,063"",Active,D,26,Brazil,Monaco,,"
"Folarin Balogun,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,731,063"",Active,F,22,United States,Monaco,,"
"Adam Ounas,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,638,638"",Active,F,27,Algeria,Lille,,"
"Nicolás Tagliafico,,""$ 31,218"",""$ 1,623,316"",""$ 1,082,211"",""$ 2,705,528"",""$ 2,731,063"",Active,D,31,Argentina,Lyon,,"
"Jean Onana,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,638,638"",Loan,M,24,Cameroon,Marseille,,"
"Morgan Sanson,,""$ 29,761"",""$ 1,547,562"",,""$ 1,547,562"",""$ 1,562,168"",Loan,M,29,France,Nice,,"
"Valentin Rosier,,""$ 29,136"",""$ 1,515,095"",,""$ 1,515,095"",""$ 1,529,395"",Loan,D,27,France,Nice,,"
"Tiemoué Bakayoko,,""$ 28,720"",""$ 1,493,451"",,""$ 1,493,451"",""$ 1,507,547"",Active,M,29,France,Lorient,,"
"Duje Caleta-Car,,""$ 27,680"",""$ 1,439,341"",,""$ 1,439,341"",""$ 1,452,926"",Loan,D,27,Croatia,Lyon,,"
"Moses Simon,,""$ 27,472"",""$ 1,428,519"",,""$ 1,428,519"",""$ 1,442,001"",Active,F,28,Nigeria,Nantes,,"
"Romain Del Castillo,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,420,153"",Active,F,27,France,Brest,,"
"Youssouf Ndayishimiye,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,420,153"",Active,M,25,Burundi,Nice,,"
"Terem Moffi,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,420,153"",Active,F,24,Nigeria,Nice,,"
"Benjamin Bourigeaud,,""$ 26,015"",""$ 1,352,764"",,""$ 1,352,764"",""$ 1,365,531"",Active,M,30,France,Rennes,,"
"Steve Mandanda,,""$ 26,015"",""$ 1,352,764"",,""$ 1,352,764"",""$ 1,365,531"",Active,K,38,France,Rennes,,"
"Samuel Gigot,,""$ 26,015"",""$ 1,352,764"",,""$ 1,352,764"",""$ 1,365,531"",Active,D,30,France,Marseille,,"
"Laurent Abergel,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,310,910"",Active,M,31,France,Lorient,,"
"Enzo Le Fée,,""$ 24,974"",""$ 1,298,653"",,""$ 1,298,653"",""$ 1,310,910"",Active,F,23,France,Rennes,,"
