"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Timo Werner,,""$ 115,994"",""$ 6,031,688"",""$ 1,277,900"",""$ 7,309,588"",""$ 7,590,091"",Loan,F,27,Germany,Tottenham,,"
"Bruno Guimarães,,""$ 112,554"",""$ 5,852,782"",""$ 1,456,806"",""$ 7,309,588"",""$ 7,590,091"",Active,M,26,Brazil,Newcastle,,"
"Andrew Robertson,,""$ 112,554"",""$ 5,852,782"",,""$ 5,852,782"",""$ 6,077,381"",Active,D,29,Scotland,Liverpool,,"
"Nathan Aké,,""$ 112,554"",""$ 5,852,782"",,""$ 5,852,782"",""$ 6,077,381"",Active,D,28,Netherlands,Manchester City,,"
"Ansu Fati,,""$ 112,554"",""$ 5,852,782"",,""$ 5,852,782"",""$ 6,077,381"",Loan,F,21,Spain,Brighton,,"
"Alisson,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,K,31,Brazil,Liverpool,,"
"Kalvin Phillips,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Loan,M,28,England,West Ham,,"
"Jarrod Bowen,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,F,27,England,West Ham,,"
"Moisés Caicedo,,""$ 105,427"",""$ 5,482,191"",""$ 920,088"",""$ 6,402,279"",""$ 6,647,965"",Active,M,22,Ecuador,Chelsea,,"
"Ben White,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,D,26,England,Arsenal,,"
"Mateo Kovacic,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,M,29,Croatia,Manchester City,,"
"Ryan Gravenberch,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,M,21,Netherlands,Liverpool,,"
"Christian Eriksen,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,M,31,Denmark,Manchester United,,"
"Oleksandr Zinchenko,,""$ 105,427"",""$ 5,482,191"",,""$ 5,482,191"",""$ 5,692,569"",Active,D,27,Ukraine,Arsenal,,"
