"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ryan Christie,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,F,28,Scotland,Bournemouth,,"
"Aaron Hickey,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,D,21,Scotland,Brentford,,"
"Angelo Ogbonna,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,D,35,Italy,West Ham,,"
"Pape Sarr,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,M,21,Senegal,Tottenham,,"
"Micky van de Ven,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,D,22,Netherlands,Tottenham,,"
"Giovani Lo Celso,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,F,27,Argentina,Tottenham,,"
"Mason Holgate,,""$ 49,150"",""$ 2,555,800"",""$ 728,403"",""$ 3,284,203"",""$ 3,410,233"",Loan,D,27,England,Sheffield United,,"
"Jefferson Lerma,,""$ 49,150"",""$ 2,555,800"",,""$ 2,555,800"",""$ 2,653,878"",Active,M,29,Colombia,Crystal Palace,,"
"Sofyan Amrabat,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Loan,M,27,Morocco,Manchester United,,"
"Nicolas Jackson,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Active,F,22,Senegal,Chelsea,,"
"Pascal Groß,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Active,M,32,Germany,Brighton,,"
"Jonny Evans,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Active,D,36,Northern Ireland,Manchester United,,"
"Adama Traoré,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Active,F,28,Spain,Fulham,,"
"Luis Sinisterra,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Loan,F,24,Colombia,Bournemouth,,"
"Lukasz Fabianski,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Active,K,38,Poland,West Ham,,"
"Maxwel Cornet,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Active,F,27,Cote d'Ivoire,West Ham,,"
"Timothy Castagne,,""$ 45,710"",""$ 2,376,894"",,""$ 2,376,894"",""$ 2,468,107"",Active,D,28,Belgium,Fulham,,"
"Sasa Lukic,,""$ 44,235"",""$ 2,300,220"",,""$ 2,300,220"",""$ 2,388,490"",Active,M,27,Serbia,Fulham,,"
"Nicolò Zaniolo,,""$ 42,269"",""$ 2,197,988"",""$ 549,497"",""$ 2,747,485"",""$ 2,852,919"",Loan,F,24,Italy,Aston Villa,,"
"Manor Solomon,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,F,24,Israel,Tottenham,,"
"Anthony Gordon,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,F,22,England,Newcastle,,"
"Miguel Almirón,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,F,29,Paraguay,Newcastle,,"
"José Sá,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,K,31,Portugal,Wolverhampton,,"
"Scott McTominay,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,M,27,Scotland,Manchester United,,"
"Jeffrey Schlupp,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,M,31,Ghana,Crystal Palace,,"
"Nick Pope,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,K,31,England,Newcastle,,"
"Robert Sánchez,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,K,26,Spain,Chelsea,,"
"James Milner,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,M,38,England,Brighton,,"
"Adrián,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,K,37,Spain,Liverpool,,"
"Matheus Cunha,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,F,24,Brazil,Wolverhampton,,"
"Tyler Adams,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,M,24,United States,Bournemouth,,"
"Danny Welbeck,,""$ 42,269"",""$ 2,197,988"",,""$ 2,197,988"",""$ 2,282,335"",Active,F,33,England,Brighton,,"
"Jakub Kiwior,,""$ 40,795"",""$ 2,121,314"",,""$ 2,121,314"",""$ 2,202,719"",Active,D,23,Poland,Arsenal,,"
"Vitaliy Mykolenko,,""$ 40,795"",""$ 2,121,314"",,""$ 2,121,314"",""$ 2,202,719"",Active,D,24,Ukraine,Everton,,"
"Dan Burn,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,D,31,England,Newcastle,,"
"Ben Mee,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,D,34,England,Brentford,,"
"Seamus Coleman,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,D,35,Ireland,Everton,,"
"Emil Krafth,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,D,29,Sweden,Newcastle,,"
"Yves Bissouma,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,M,27,Mali,Tottenham,,"
"Ryan Sessegnon,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,M,23,England,Tottenham,,"
"Chris Richards,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,D,23,United States,Crystal Palace,,"
"Luis Díaz,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,F,27,Colombia,Liverpool,,"
"Saïd Benrahma,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,F,28,Algeria,West Ham,,"
"Mohamed Elneny,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,M,31,Egypt,Arsenal,,"
"Evan Ferguson,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,F,19,Ireland,Brighton,,"
"Jairo Riedewald,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,M,27,Netherlands,Crystal Palace,,"
"Adam Webster,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,D,29,England,Brighton,,"
"Boubacar Traoré,,""$ 38,583"",""$ 2,006,303"",,""$ 2,006,303"",""$ 2,083,294"",Active,M,22,Mali,Wolverhampton,,"
"Sergio Reguilón,,""$ 37,354"",""$ 1,942,408"",,""$ 1,942,408"",""$ 2,016,947"",Loan,D,27,Spain,Brentford,,"
"Arnaut Danjuma,,""$ 36,863"",""$ 1,916,850"",,""$ 1,916,850"",""$ 1,990,409"",Loan,F,27,Netherlands,Everton,,"
"Marc Guéhi,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,23,England,Crystal Palace,,"
"Solly March,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,29,England,Brighton,,"
"Pervis Estupiñán,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,26,Ecuador,Brighton,,"
"Trevoh Chalobah,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,24,England,Chelsea,,"
"Calum Chambers,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,29,England,Aston Villa,,"
"Neco Williams,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,22,Wales,Nottingham Forest,,"
"James Tomkins,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,34,England,Crystal Palace,,"
"Jean-Philippe Mateta,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,26,France,Crystal Palace,,"
"Joël Veltman,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,32,Netherlands,Brighton,,"
"João Pedro,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,22,Brazil,Brighton,,"
"Jan Paul van Hecke,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,23,Netherlands,Brighton,,"
"Taiwo Awoniyi,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,26,Nigeria,Nottingham Forest,,"
"Nathaniel Clyne,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,32,England,Crystal Palace,,"
"Will Hughes,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,M,29,England,Crystal Palace,,"
"Mason Greenwood,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Inactive,F,21,England,Manchester United,,"
"Neal Maupay,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Loan,F,27,France,Brentford,,"
"Beto,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,26,Portugal,Everton,,"
"Mathias Jensen,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,M,28,Denmark,Brentford,,"
"Aaron Cresswell,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,34,England,West Ham,,"
"Alejandro Garnacho,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,19,Argentina,Manchester United,,"
"Sergio Gómez,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,23,Spain,Manchester City,,"
"Neto,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,K,34,Brazil,Bournemouth,,"
"Konstantinos Mavropanos,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,26,Greece,West Ham,,"
"Albert Sambi Lokonga,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Loan,M,24,Belgium,Luton Town,,"
"Marcos Senesi,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,26,Argentina,Bournemouth,,"
"Andreas Pereira,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,28,Brazil,Fulham,,"
"Antonee Robinson,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,26,United States,Fulham,,"
"Jérémy Doku,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,21,Belgium,Manchester City,,"
"Wataru Endo,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,M,30,Japan,Liverpool,,"
"Pedro Neto,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,23,Portugal,Wolverhampton,,"
"Oscar Bobb,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,20,Norway,Manchester City,,"
"Harrison Reed,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,M,29,England,Fulham,,"
"Nayef Aguerd,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,27,Morocco,West Ham,,"
"Kenny Tete,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,28,Netherlands,Fulham,,"
"Conor Gallagher,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,M,23,England,Chelsea,,"
"Robin Olsen,,""$ 35,142"",""$ 1,827,397"",""$ 1,098,994"",""$ 2,926,391"",""$ 3,038,690"",Active,K,34,Sweden,Aston Villa,,"
"Matt Doherty,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,32,Ireland,Wolverhampton,,"
"Max Kilman,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,26,England,Wolverhampton,,"
"Sean Longstaff,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,M,26,England,Newcastle,,"
"Noni Madueke,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,F,21,England,Chelsea,,"
"Tino Livramento,,""$ 35,142"",""$ 1,827,397"",,""$ 1,827,397"",""$ 1,897,523"",Active,D,21,England,Newcastle,,"
"Callum Wilson,,""$ 32,439"",""$ 1,686,828"",,""$ 1,686,828"",""$ 1,751,560"",Active,F,31,England,Newcastle,,"
"Rob Holding,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,28,England,Crystal Palace,,"
"Craig Dawson,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,33,England,Wolverhampton,,"
"Bryan Mbeumo,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,F,24,Cameroon,Brentford,,"
"Malo Gusto,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,20,France,Chelsea,,"
"Igor,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,25,Brazil,Brighton,,"
"Roméo Lavia,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,20,Belgium,Chelsea,,"
"Fabian Schär,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,32,Switzerland,Newcastle,,"
"Odysseas Vlachodimos,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,K,29,Greece,Nottingham Forest,,"
"Jack Cork,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,34,England,Burnley,,"
"Mario Lemina,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,30,Gabon,Wolverhampton,,"
"Moussa Niakhaté,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,27,Senegal,Nottingham Forest,,"
"Calvin Bassey,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,24,Nigeria,Fulham,,"
"Daniel Muñoz,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,D,27,Colombia,Crystal Palace,,"
"Lesley Ugochukwu,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,19,France,Chelsea,,"
"Cheikhou Kouyaté,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,34,Senegal,Nottingham Forest,,"
"Tom Heaton,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,K,37,England,Manchester United,,"
"Fábio Vieira,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,F,23,Portugal,Arsenal,,"
"Josh Brownhill,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,28,England,Burnley,,"
"Philip Billing,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,27,Denmark,Bournemouth,,"
"Matt Ritchie,,""$ 31,702"",""$ 1,648,491"",,""$ 1,648,491"",""$ 1,711,751"",Active,M,34,Scotland,Newcastle,,"
"Bryan Gil,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,F,22,Spain,Tottenham,,"
"Emile Smith Rowe,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,F,23,England,Arsenal,,"
"Alex Scott,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,M,20,England,Bournemouth,,"
"Lewis Cook,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,M,26,England,Bournemouth,,"
"Frank Onyeka,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,M,26,Nigeria,Brentford,,"
"Kristoffer Ajer,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,25,Norway,Brentford,,"
"Jay Rodríguez,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,F,34,England,Burnley,,"
"Josh Cullen,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,M,27,Ireland,Burnley,,"
"Sander Berge,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,M,25,Norway,Burnley,,"
"Deivid Washington,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,F,18,Brazil,Chelsea,,"
"Matheus França,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,F,19,Brazil,Crystal Palace,,"
"Sam Johnstone,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,K,30,England,Crystal Palace,,"
"Tyrick Mitchell,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,24,England,Crystal Palace,,"
"Ashley Young,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,38,England,Everton,,"
"Armando Broja,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Loan,F,22,Albania,Fulham,,"
"Tosin Adarabioyo,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,26,England,Fulham,,"
"Harvey Elliott,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,F,20,England,Liverpool,,"
"Stefan Bajcetic,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,M,19,Spain,Liverpool,,"
"Jamaal Lascelles,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,30,England,Newcastle,,"
"Martin Dubravka,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,K,35,Slovakia,Newcastle,,"
"Giovanni Reyna,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Loan,F,21,United States,Nottingham Forest,,"
"Matt Turner,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,K,29,United States,Nottingham Forest,,"
"Ola Aina,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,27,Nigeria,Nottingham Forest,,"
"Willy Boly,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,33,Cote d'Ivoire,Nottingham Forest,,"
"Emerson,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,25,Brazil,Tottenham,,"
"Oliver Skipp,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,M,23,England,Tottenham,,"
"Santiago Bueno,,""$ 28,016"",""$ 1,456,806"",,""$ 1,456,806"",""$ 1,512,711"",Active,D,25,Uruguay,Wolverhampton,,"
"Álex Moreno,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,30,Spain,Aston Villa,,"
"Bobby Reid,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,31,Jamaica,Fulham,,"
"Rico Henry,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,26,England,Brentford,,"
"Jacob Bruun Larsen,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Loan,F,25,Denmark,Burnley,,"
"Ryan Fredericks,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,31,England,Bournemouth,,"
"Romain Faivre,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,M,25,France,Bournemouth,,"
"Paul Dummett,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,32,Wales,Newcastle,,"
"Christian Nørgaard,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,M,29,Denmark,Brentford,,"
"Matz Sels,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,K,31,Belgium,Nottingham Forest,,"
"Jarrad Branthwaite,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,21,England,Everton,,"
"Altay Bayındır,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,K,25,Turkey,Manchester United,,"
"Marcus Bettinelli,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,K,31,England,Chelsea,,"
"Marcus Tavernier,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,24,England,Bournemouth,,"
"Ben Brereton,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Loan,F,24,Chile,Sheffield United,,"
"Adam Smith,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,32,England,Bournemouth,,"
"Andrew Omobamidele,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,21,Ireland,Nottingham Forest,,"
"Keane Lewis-Potter,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,22,England,Brentford,,"
"Bart Verbruggen,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,K,21,Netherlands,Brighton,,"
"Rhian Brewster,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,23,England,Sheffield United,,"
"Nicolás Domínguez,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,M,25,Argentina,Nottingham Forest,,"
"Vladimir Coufal,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,31,Czech Republic,West Ham,,"
"Joel Ward,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,34,England,Crystal Palace,,"
"Chris Mepham,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,26,Wales,Bournemouth,,"
"Adam Wharton,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,M,19,England,Crystal Palace,,"
"Tariq Lamptey,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,23,Ghana,Brighton,,"
"Dango Ouattara,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,21,Burkina Faso,Bournemouth,,"
"Harry Toffolo,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,28,England,Nottingham Forest,,"
"Max Aarons,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,D,24,England,Bournemouth,,"
"Nathan Redmond,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,29,England,Burnley,,"
"Jóhann Berg Gudmundsson,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,33,Iceland,Burnley,,"
"Jacob Murphy,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,28,England,Newcastle,,"
"Harry Wilson,,""$ 24,575"",""$ 1,277,900"",,""$ 1,277,900"",""$ 1,326,939"",Active,F,26,Wales,Fulham,,"
"Fodé Ballo-Touré,,""$ 22,855"",""$ 1,188,447"",,""$ 1,188,447"",""$ 1,234,053"",Loan,D,27,Senegal,Fulham,,"
"Lyle Foster,,""$ 22,855"",""$ 1,188,447"",,""$ 1,188,447"",""$ 1,234,053"",Active,F,23,South Africa,Burnley,,"
"Danilo,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,M,22,Brazil,Nottingham Forest,,"
"Tahith Chong,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,F,24,Netherlands,Luton Town,,"
"Ethan Pinnock,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,D,30,Jamaica,Brentford,,"
"Murillo,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,D,21,Brazil,Nottingham Forest,,"
"Elliot Anderson,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,F,21,Scotland,Newcastle,,"
"Milos Kerkez,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,D,20,Hungary,Bournemouth,,"
"Gustavo Hamer,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,M,26,Netherlands,Sheffield United,,"
"Mikkel Damsgaard,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,F,23,Denmark,Brentford,,"
"Mark Flekken,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,K,30,Netherlands,Brentford,,"
"Anel Ahmedhodzic,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,D,24,Bosnia-Herzegovina,Sheffield United,,"
"Tim Ream,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,D,36,United States,Fulham,,"
"Marvelous Nakamba,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,M,30,Zimbabwe,Luton Town,,"
"Jhon Durán,,""$ 21,135"",""$ 1,098,994"",,""$ 1,098,994"",""$ 1,141,168"",Active,F,20,Colombia,Aston Villa,,"
