"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kevin De Bruyne,,""$ 273,636"",""$ 14,229,072"",,""$ 14,229,072"",""$ 15,269,144"",Active,F,31,Belgium,Manchester City,,"
"David de Gea,,""$ 256,653"",""$ 13,345,974"",,""$ 13,345,974"",""$ 14,321,496"",Active,K,32,Spain,Manchester United,,"
"Erling Haaland,,""$ 256,653"",""$ 13,345,974"",""$ 16,903,242"",""$ 30,249,216"",""$ 32,460,278"",Active,F,22,Norway,Manchester City,,"
"Casemiro,,""$ 239,432"",""$ 12,450,438"",""$ 3,557,268"",""$ 16,007,706"",""$ 17,177,787"",Active,M,30,Brazil,Manchester United,,"
"Mohamed Salah,,""$ 239,432"",""$ 12,450,438"",,""$ 12,450,438"",""$ 13,360,501"",Active,F,30,Egypt,Liverpool,,"
"Raphaël Varane,,""$ 232,495"",""$ 12,089,736"",,""$ 12,089,736"",""$ 12,973,434"",Active,D,29,France,Manchester United,,"
"Raheem Sterling,,""$ 222,449"",""$ 11,567,340"",,""$ 11,567,340"",""$ 12,412,853"",Active,F,28,England,Chelsea,,"
"Jack Grealish,,""$ 205,227"",""$ 10,671,804"",,""$ 10,671,804"",""$ 11,451,858"",Active,F,27,England,Manchester City,,"
"Kalidou Koulibaly,,""$ 201,878"",""$ 10,497,672"",,""$ 10,497,672"",""$ 11,264,998"",Active,D,31,Senegal,Chelsea,,"
"N'Golo Kanté,,""$ 198,290"",""$ 10,311,102"",,""$ 10,311,102"",""$ 11,064,791"",Active,M,31,France,Chelsea,,"
"Gabriel Jesus,,""$ 181,308"",""$ 9,428,004"",,""$ 9,428,004"",""$ 10,117,143"",Active,F,25,Brazil,Arsenal,,"
"Reece James,,""$ 171,023"",""$ 8,893,170"",,""$ 8,893,170"",""$ 9,543,215"",Active,D,23,England,Chelsea,,"
"John Stones,,""$ 171,023"",""$ 8,893,170"",,""$ 8,893,170"",""$ 9,543,215"",Active,D,28,England,Manchester City,,"
"Kai Havertz,,""$ 171,023"",""$ 8,893,170"",""$ 1,778,634"",""$ 10,671,804"",""$ 11,451,858"",Active,F,23,Germany,Chelsea,,"
"Anthony Martial,,""$ 171,023"",""$ 8,893,170"",,""$ 8,893,170"",""$ 9,543,215"",Active,F,27,France,Manchester United,,"
"Jadon Sancho,,""$ 171,023"",""$ 8,893,170"",""$ 3,557,268"",""$ 12,450,438"",""$ 13,360,501"",Active,F,22,England,Manchester United,,"
"Bruno Fernandes,,""$ 164,086"",""$ 8,532,468"",,""$ 8,532,468"",""$ 9,156,148"",Active,F,28,Portugal,Manchester United,,"
"Phil Foden,,""$ 154,040"",""$ 8,010,072"",,""$ 8,010,072"",""$ 8,595,567"",Active,M,22,England,Manchester City,,"
"Rodri,,""$ 150,452"",""$ 7,823,502"",,""$ 7,823,502"",""$ 8,395,360"",Active,M,26,Spain,Manchester City,,"
"Virgil van Dijk,,""$ 150,452"",""$ 7,823,502"",,""$ 7,823,502"",""$ 8,395,360"",Active,D,31,Netherlands,Liverpool,,"
"Marcel Sabitzer,,""$ 143,755"",""$ 7,475,238"",,""$ 7,475,238"",""$ 8,021,640"",Loan,M,28,Austria,Manchester United,,"
"Ben Chilwell,,""$ 136,818"",""$ 7,114,536"",,""$ 7,114,536"",""$ 7,634,572"",Active,D,26,England,Chelsea,,"
"Marcus Rashford,,""$ 136,818"",""$ 7,114,536"",,""$ 7,114,536"",""$ 7,634,572"",Active,F,25,England,Manchester United,,"
"Harry Kane,,""$ 136,818"",""$ 7,114,536"",,""$ 7,114,536"",""$ 7,634,572"",Active,F,29,England,Tottenham,,"
"Wesley Fofana,,""$ 136,818"",""$ 7,114,536"",,""$ 7,114,536"",""$ 7,634,572"",Active,D,22,France,Chelsea,,"
"Thiago,,""$ 136,818"",""$ 7,114,536"",,""$ 7,114,536"",""$ 7,634,572"",Active,M,31,Spain,Liverpool,,"
"Thomas Partey,,""$ 136,818"",""$ 7,114,536"",,""$ 7,114,536"",""$ 7,634,572"",Active,M,29,Ghana,Arsenal,,"
"Jordan Henderson,,""$ 136,818"",""$ 7,114,536"",,""$ 7,114,536"",""$ 7,634,572"",Active,M,32,England,Liverpool,,"
"Bukayo Saka,,""$ 133,469"",""$ 6,940,404"",""$ 3,557,268"",""$ 10,497,672"",""$ 11,264,998"",Active,M,21,England,Arsenal,,"
"João Félix,,""$ 133,469"",""$ 6,940,404"",,""$ 6,940,404"",""$ 7,447,712"",Loan,F,23,Portugal,Chelsea,,"
"Heung-min Son,,""$ 129,881"",""$ 6,753,834"",,""$ 6,753,834"",""$ 7,247,505"",Active,F,30,South Korea,Tottenham,,"
"Harry Maguire,,""$ 129,881"",""$ 6,753,834"",,""$ 6,753,834"",""$ 7,247,505"",Active,D,29,England,Manchester United,,"
"Gabriel Martinelli,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,F,21,Brazil,Arsenal,,"
"César Azpilicueta,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,D,33,Spain,Chelsea,,"
"Fabinho,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,M,29,Brazil,Liverpool,,"
"Manuel Akanji,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,D,27,Switzerland,Manchester City,,"
"Trent Alexander-Arnold,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,D,24,England,Liverpool,,"
"Enzo Fernández,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,M,22,Argentina,Chelsea,,"
"Roberto Firmino,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,F,31,Brazil,Liverpool,,"
"Rúben Dias,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,D,25,Portugal,Manchester City,,"
"Ivan Perisic,,""$ 123,184"",""$ 6,405,570"",,""$ 6,405,570"",""$ 6,873,784"",Active,M,33,Croatia,Tottenham,,"
"Marc Cucurella,,""$ 119,835"",""$ 6,231,438"",,""$ 6,231,438"",""$ 6,686,924"",Active,D,24,Spain,Chelsea,,"
"Cristian Romero,,""$ 112,899"",""$ 5,870,736"",,""$ 5,870,736"",""$ 6,299,857"",Active,D,24,Argentina,Tottenham,,"
"Kyle Walker,,""$ 109,550"",""$ 5,696,604"",,""$ 5,696,604"",""$ 6,112,997"",Active,D,32,England,Manchester City,,"
"Riyad Mahrez,,""$ 109,550"",""$ 5,696,604"",,""$ 5,696,604"",""$ 6,112,997"",Active,F,31,Algeria,Manchester City,,"
"Andrew Robertson,,""$ 109,550"",""$ 5,696,604"",,""$ 5,696,604"",""$ 6,112,997"",Active,D,28,Scotland,Liverpool,,"
"Pierre-Emerick Aubameyang,,""$ 109,550"",""$ 5,696,604"",,""$ 5,696,604"",""$ 6,112,997"",Active,F,33,Gabon,Chelsea,,"
"Christian Pulisic,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,F,24,United States,Chelsea,,"
"Oleksandr Zinchenko,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,D,26,Ukraine,Arsenal,,"
"Luke Shaw,,""$ 102,614"",""$ 5,335,902"",""$ 1,778,634"",""$ 7,114,536"",""$ 7,634,572"",Active,D,27,England,Manchester United,,"
"Kepa Arrizabalaga,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,K,28,Spain,Chelsea,,"
"Lucas Paquetá,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,F,25,Brazil,West Ham,,"
"Bernardo Silva,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,F,28,Portugal,Manchester City,,"
"Alisson,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,K,30,Brazil,Liverpool,,"
"Kalvin Phillips,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,M,27,England,Manchester City,,"
"Christian Eriksen,,""$ 102,614"",""$ 5,335,902"",,""$ 5,335,902"",""$ 5,725,929"",Active,M,30,Denmark,Manchester United,,"
"Clément Lenglet,,""$ 99,265"",""$ 5,161,770"",,""$ 5,161,770"",""$ 5,539,069"",Loan,D,27,France,Tottenham,,"
"Jamie Vardy,,""$ 95,677"",""$ 4,975,200"",,""$ 4,975,200"",""$ 5,338,862"",Active,F,36,England,Leicester,,"
"Diogo Jota,,""$ 95,677"",""$ 4,975,200"",,""$ 4,975,200"",""$ 5,338,862"",Active,F,26,Portugal,Liverpool,,"
"Darwin Núñez,,""$ 95,677"",""$ 4,975,200"",,""$ 4,975,200"",""$ 5,338,862"",Active,F,23,Uruguay,Liverpool,,"
"Ilkay Gündogan,,""$ 95,677"",""$ 4,975,200"",,""$ 4,975,200"",""$ 5,338,862"",Active,M,32,Germany,Manchester City,,"
"Wilfried Zaha,,""$ 88,980"",""$ 4,626,936"",,""$ 4,626,936"",""$ 4,965,141"",Active,F,30,Cote d'Ivoire,Crystal Palace,,"
"Danny Ings,,""$ 85,631"",""$ 4,452,804"",,""$ 4,452,804"",""$ 4,778,281"",Active,F,30,England,West Ham,,"
"Kurt Zouma,,""$ 85,631"",""$ 4,452,804"",,""$ 4,452,804"",""$ 4,778,281"",Active,D,28,France,West Ham,,"
"Jordan Pickford,,""$ 85,631"",""$ 4,452,804"",,""$ 4,452,804"",""$ 4,778,281"",Active,K,28,England,Everton,,"
"Philippe Coutinho,,""$ 85,631"",""$ 4,452,804"",,""$ 4,452,804"",""$ 4,778,281"",Active,F,30,Brazil,Aston Villa,,"
"Naby Keïta,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,27,Guinea,Liverpool,,"
"Alex Oxlade-Chamberlain,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,29,England,Liverpool,,"
"Cody Gakpo,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,F,23,Netherlands,Liverpool,,"
"Emiliano Martínez,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,K,30,Argentina,Aston Villa,,"
"John McGinn,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,28,Scotland,Aston Villa,,"
"Lucas Digne,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,D,29,France,Aston Villa,,"
"Alphonse Areola,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,K,29,France,West Ham,,"
"Granit Xhaka,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,30,Switzerland,Arsenal,,"
"Kieran Trippier,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,D,32,England,Newcastle,,"
"Bruno Guimarães,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,25,Brazil,Newcastle,,"
"Ruben Loftus-Cheek,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,27,England,Chelsea,,"
"Alexander Isak,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,F,23,Sweden,Newcastle,,"
"Victor Lindelöf,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,D,28,Sweden,Manchester United,,"
"Abdoulaye Doucouré,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,30,Mali,Everton,,"
"Lisandro Martínez,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,D,25,Argentina,Manchester United,,"
"Fred,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,29,Brazil,Manchester United,,"
"Idrissa Gueye,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,33,Senegal,Everton,,"
