"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Kevin De Bruyne,,""$ 273,636"",""$ 14,229,072"",,""$ 14,229,072"",""$ 15,269,144"",Active,F,31,Belgium,Manchester City,,"
"Donny van de Beek,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,M,25,Netherlands,Manchester United,,"
"Yerry Mina,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,D,28,Colombia,Everton,,"
"Ben White,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,D,25,England,Arsenal,,"
"Aaron Ramsdale,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,K,25,England,Arsenal,,"
"Boubacar Kamara,,""$ 82,043"",""$ 4,266,234"",""$ 1,069,668"",""$ 5,335,902"",""$ 5,725,929"",Active,M,23,France,Aston Villa,,"
"Aymeric Laporte,,""$ 82,043"",""$ 4,266,234"",,""$ 4,266,234"",""$ 4,578,074"",Active,D,28,Spain,Manchester City,,"
"Martin Ødegaard,,""$ 78,694"",""$ 4,092,102"",,""$ 4,092,102"",""$ 4,391,214"",Active,F,24,Norway,Arsenal,,"
"Arthur,,""$ 75,346"",""$ 3,917,970"",,""$ 3,917,970"",""$ 4,204,353"",Loan,M,26,Brazil,Liverpool,,"
"Thiago Silva,,""$ 75,346"",""$ 3,917,970"",,""$ 3,917,970"",""$ 4,204,353"",Active,D,38,Brazil,Chelsea,,"
"James Maddison,,""$ 75,346"",""$ 3,917,970"",,""$ 3,917,970"",""$ 4,204,353"",Active,F,26,England,Leicester,,"
"Kieran Tierney,,""$ 75,346"",""$ 3,917,970"",,""$ 3,917,970"",""$ 4,204,353"",Active,D,25,Scotland,Arsenal,,"
"Dejan Kulusevski,,""$ 75,346"",""$ 3,917,970"",,""$ 3,917,970"",""$ 4,204,353"",Loan,F,22,Sweden,Tottenham,,"
"Jorginho,,""$ 75,346"",""$ 3,917,970"",,""$ 3,917,970"",""$ 4,204,353"",Active,M,31,Italy,Arsenal,,"
"Antony,,""$ 71,758"",""$ 3,731,400"",,""$ 3,731,400"",""$ 4,004,146"",Active,F,22,Brazil,Manchester United,,"
"Amadou Onana,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,M,21,Belgium,Everton,,"
"Joel Matip,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,D,31,Cameroon,Liverpool,,"
"Leon Bailey,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,F,25,Jamaica,Aston Villa,,"
"Tyrone Mings,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,D,29,England,Aston Villa,,"
"Dominic Calvert-Lewin,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,F,25,England,Everton,,"
"Ederson,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,K,29,Brazil,Manchester City,,"
"Dean Henderson,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Loan,K,25,England,Nottingham Forest,,"
"Raúl Jiménez,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,F,31,Mexico,Wolverhampton,,"
"Eddie Nketiah,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,F,23,England,Arsenal,,"
"Julián Álvarez,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,F,23,Argentina,Manchester City,,"
"Gabriel Magalhães,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,D,25,Brazil,Arsenal,,"
"Mykhailo Mudryk,,""$ 68,409"",""$ 3,557,268"",""$ 1,069,668"",""$ 4,626,936"",""$ 4,965,141"",Active,F,22,Ukraine,Chelsea,,"
"James Ward-Prowse,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,M,28,England,Southampton,,"
"Mateo Kovacic,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,M,28,Croatia,Chelsea,,"
"Rodrigo,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,F,31,Spain,Leeds,,"
"Jonny Evans,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,D,35,Northern Ireland,Leicester,,"
"Carney Chukwuemeka,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,M,19,England,Chelsea,,"
"Hugo Lloris,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,K,36,France,Tottenham,,"
"Pierre-Emile Höjbjerg,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,M,27,Denmark,Tottenham,,"
"João Moutinho,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,M,36,Portugal,Wolverhampton,,"
"Hakim Ziyech,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,F,29,Morocco,Chelsea,,"
"James Tarkowski,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,D,30,England,Everton,,"
"Matt Targett,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,D,27,England,Newcastle,,"
"Diego Carlos,,""$ 68,409"",""$ 3,557,268"",,""$ 3,557,268"",""$ 3,817,286"",Active,D,29,Brazil,Aston Villa,,"
"Emerson,,""$ 65,060"",""$ 3,383,136"",,""$ 3,383,136"",""$ 3,630,426"",Active,D,28,Italy,West Ham,,"
"Bernd Leno,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,K,30,Germany,Fulham,,"
"Adam Lallana,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,F,34,England,Brighton,,"
"Richarlison,,""$ 61,472"",""$ 3,196,566"",""$ 1,417,932"",""$ 4,614,498"",""$ 4,951,794"",Active,F,25,Brazil,Tottenham,,"
"Lucas Moura,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,F,30,Brazil,Tottenham,,"
"Keylor Navas,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Loan,K,36,Costa Rica,Nottingham Forest,,"
"Sven Botman,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,D,23,Netherlands,Newcastle,,"
"Jack Harrison,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,F,26,England,Leeds,,"
"Nathan Aké,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,D,27,Netherlands,Manchester City,,"
"Aaron Wan-Bissaka,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,D,25,England,Manchester United,,"
"Benoît Badiashile,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,D,21,France,Chelsea,,"
"Layvin Kurzawa,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Loan,D,30,France,Fulham,,"
"Leandro Trossard,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,F,28,Belgium,Arsenal,,"
"Denis Zakaria,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Loan,M,26,Switzerland,Chelsea,,"
"Gianluca Scamacca,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,F,24,Italy,West Ham,,"
"Pablo Sarabia,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,F,30,Spain,Wolverhampton,,"
"Leander Dendoncker,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,M,27,Belgium,Aston Villa,,"
"Benjamin Mendy,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,D,28,France,Manchester City,,"
"Odsonne Edouard,,""$ 61,472"",""$ 3,196,566"",,""$ 3,196,566"",""$ 3,430,219"",Active,F,25,France,Crystal Palace,,"
"Diogo Dalot,,""$ 58,124"",""$ 3,022,434"",""$ 534,834"",""$ 3,557,268"",""$ 3,817,286"",Active,D,24,Portugal,Manchester United,,"
"Joelinton,,""$ 58,124"",""$ 3,022,434"",,""$ 3,022,434"",""$ 3,243,358"",Active,F,26,Brazil,Newcastle,,"
"Matheus Nunes,,""$ 58,124"",""$ 3,022,434"",,""$ 3,022,434"",""$ 3,243,358"",Active,M,24,Portugal,Wolverhampton,,"
"Michail Antonio,,""$ 58,124"",""$ 3,022,434"",""$ 534,834"",""$ 3,557,268"",""$ 3,817,286"",Active,F,32,Jamaica,West Ham,,"
"Joe Gomez,,""$ 58,124"",""$ 3,022,434"",,""$ 3,022,434"",""$ 3,243,358"",Active,D,25,England,Liverpool,,"
"Pedro Porro,,""$ 58,124"",""$ 3,022,434"",,""$ 3,022,434"",""$ 3,243,358"",Loan,D,23,Spain,Tottenham,,"
"Eric Dier,,""$ 58,124"",""$ 3,022,434"",,""$ 3,022,434"",""$ 3,243,358"",Active,D,29,England,Tottenham,,"
"Chris Wood,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Loan,F,31,New Zealand,Nottingham Forest,,"
"Joachim Andersen,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,26,Denmark,Crystal Palace,,"
"Thilo Kehrer,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,26,Germany,West Ham,,"
"Felipe,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,33,Brazil,Nottingham Forest,,"
"Jesse Lingard,,""$ 54,775"",""$ 2,848,302"",""$ 1,417,932"",""$ 4,266,234"",""$ 4,578,074"",Active,F,30,England,Nottingham Forest,,"
"Nélson Semedo,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,29,Portugal,Wolverhampton,,"
"Aleksandar Mitrovic,,""$ 54,775"",""$ 2,848,302"",""$ 1,069,668"",""$ 3,917,970"",""$ 4,204,353"",Active,F,28,Serbia,Fulham,,"
"Morgan Gibbs-White,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,F,23,England,Nottingham Forest,,"
"Matty Cash,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,25,Poland,Aston Villa,,"
"Boubakary Soumaré,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,M,23,France,Leicester,,"
"Kelechi Iheanacho,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,F,26,Nigeria,Leicester,,"
"Michael Keane,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,30,England,Everton,,"
"Mislav Orsic,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,F,30,Croatia,Southampton,,"
"Ben Davies,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,29,Wales,Tottenham,,"
"Mason Mount,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,F,24,England,Chelsea,,"
"Joe Willock,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,M,23,England,Newcastle,,"
"Ryan Bertrand,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,33,England,Leicester,,"
"Nathaniel Clyne,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,31,England,Crystal Palace,,"
"Ricardo Pereira,,""$ 54,775"",""$ 2,848,302"",,""$ 2,848,302"",""$ 3,056,498"",Active,D,29,Portugal,Leicester,,"
"Bertrand Traoré,,""$ 53,340"",""$ 2,773,674"",,""$ 2,773,674"",""$ 2,976,415"",Active,F,27,Burkina Faso,Aston Villa,,"
"Fraser Forster,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,K,34,England,Tottenham,,"
"Phil Jones,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,D,30,England,Manchester United,,"
"Lewis Dunk,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,D,31,England,Brighton,,"
"Emiliano Buendía,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,F,26,Argentina,Aston Villa,,"
"Weston McKennie,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Loan,M,24,United States,Leeds,,"
"Cédric Soares,,""$ 51,426"",""$ 2,674,170"",""$ 895,536"",""$ 3,569,706"",""$ 3,830,633"",Loan,D,31,Portugal,Fulham,,"
"Tyrell Malacia,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,D,23,Netherlands,Manchester United,,"
"Patson Daka,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,F,24,Zambia,Leicester,,"
"Theo Walcott,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,F,33,England,Southampton,,"
"Rodrigo Bentancur,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,M,25,Uruguay,Tottenham,,"
"Douglas Luiz,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,M,24,Brazil,Aston Villa,,"
"Jonjo Shelvey,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,M,30,England,Nottingham Forest,,"
"Dennis Praet,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,M,28,Belgium,Leicester,,"
"Vicente Guaita,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,K,36,Spain,Crystal Palace,,"
"Ollie Watkins,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,F,27,England,Aston Villa,,"
"Luka Milivojevic,,""$ 51,426"",""$ 2,674,170"",,""$ 2,674,170"",""$ 2,869,638"",Active,M,31,Serbia,Crystal Palace,,"
