Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Simone Perilli,Verona,7.54,90,,,1
Lautaro Martínez,Inter,7.53,2668,24.0,3.0,31(2)
Khvicha Kvaratskhelia,Napoli,7.5,2752,11.0,6.0,32(2)
Hakan Çalhanoglu,Inter,7.41,2576,13.0,3.0,32
Rafael LeãoAC,Milan,7.31,2524,9.0,9.0,29(5)
Marcus Thuram,Inter,7.29,2707,13.0,7.0,34(1)
Davide Biraschi,Genoa,7.23,90,1.0,,1
Christian PulisicAC,Milan,7.16,2621,12.0,8.0,32(4)
Mile Svilar,Roma,7.16,1350,,,15
Alessandro Buongiorno,Torino,7.14,2530,3.0,,29
Matías Soulé,Frosinone,7.14,3141,11.0,3.0,36
Federico Dimarco,Inter,7.12,2105,5.0,6.0,29(1)
Paulo Dybala,Roma,7.12,1977,13.0,9.0,25(3)
Albert Gudmundsson,Genoa,7.1,3024,14.0,4.0,34(1)
Adrien Rabiot,Juventus,7.07,2651,5.0,3.0,30(1)
Raffaele Di Gennaro,Inter,7.07,22,,,0(1)
Domenico Berardi,Sassuolo,7.07,1437,9.0,3.0,17
Nico González,Fiorentina,7.06,1914,12.0,2.0,21(8)
Alessandro Bastoni,Inter,7.06,2283,1.0,3.0,28
Duván Zapata,Atalanta,7.06,114,1.0,,2
Michele Di Gregorio,Monza,7.03,2874,,,33
Joshua Zirkzee,Bologna,7.03,2772,11.0,4.0,32(2)
Teun Koopmeiners,Atalanta,7.03,2633,12.0,5.0,29(5)
Charles De Ketelaere,Atalanta,7.03,2045,10.0,8.0,25(10)
Ademola Lookman,Atalanta,7.01,1903,11.0,7.0,22(9)
Mattia Zaccagni,Lazio,7.01,1974,6.0,1.0,24(4)
Danilo,Juventus,6.99,2451,1.0,1.0,27(2)
Riccardo Calafiori,Bologna,6.99,2338,2.0,5.0,26(4)
Bremer,Juventus,6.99,3234,3.0,,36
Duván Zapata,Torino,6.98,2893,12.0,4.0,34(1)
Victor Osimhen,Napoli,6.98,1990,15.0,3.0,22(3)
Federico Chiesa,Juventus,6.98,2207,9.0,2.0,25(8)
Nicolas Haas,Empoli,6.97,90,,,1
Henrikh Mkhitaryan,Inter,6.96,2804,2.0,8.0,35(1)
Tijjani Noslin,Verona,6.96,1347,5.0,4.0,17
Federico Ravaglia,Bologna,6.96,536,,,6
Elia Caprile,Empoli,6.95,2070,,,23
Francesco Acerbi,Inter,6.95,2387,3.0,1.0,26(3)
Lewis Ferguson,Bologna,6.94,2718,6.0,3.0,31
Gianluca Scamacca,Atalanta,6.94,1459,12.0,6.0,17(12)
Olivier GiroudAC,Milan,6.94,2374,15.0,8.0,28(7)
Lorenzo Pellegrini,Roma,6.93,1867,8.0,3.0,20(9)
Éderson,Atalanta,6.92,2875,6.0,1.0,32(4)
Giorgio Scalvini,Atalanta,6.91,2556,1.0,3.0,31(2)
Theo HernándezAC,Milan,6.91,2795,5.0,4.0,31(1)
Nadir Zortea,Frosinone,6.91,1260,1.0,5.0,14
Marten de Roon,Atalanta,6.9,2599,,5.0,29(1)
Lucas Martínez Quarta,Fiorentina,6.89,2292,5.0,1.0,26(3)
Benjamin Pavard,Inter,6.89,1679,,2.0,21(2)
Yann Sommer,Inter,6.89,3060,,,34
Ruben Loftus-CheekAC,Milan,6.88,2081,6.0,1.0,26(3)
Matteo Politano,Napoli,6.88,2387,8.0,7.0,31(6)
Bryan Cristante,Roma,6.88,3292,3.0,4.0,37
Lazar Samardzic,Udinese,6.88,2381,6.0,2.0,28(6)
Milan Djuric,Verona,6.87,1208,5.0,1.0,13(7)
Milan Djuric,Monza,6.87,1258,4.0,1.0,13(4)
Luis Alberto,Lazio,6.87,2321,5.0,7.0,29(4)
Alberto Dossena,Cagliari,6.87,2979,2.0,4.0,33(2)
Cyril Ngonge,Verona,6.86,1438,6.0,2.0,17(2)
Giacomo Bonaventura,Fiorentina,6.86,2288,8.0,3.0,27(4)
Felipe Anderson,Lazio,6.86,2784,5.0,6.0,33(5)
Tijjani ReijndersAC,Milan,6.85,2830,3.0,3.0,33(3)
Manuel Locatelli,Juventus,6.85,3011,1.0,4.0,34(2)
Lautaro Giannetti,Udinese,6.84,630,1.0,,7
Romelu Lukaku,Roma,6.83,2648,13.0,3.0,30(2)
Carlo Pinsoglio,Juventus,6.83,45,,,0(1)
Michael Kayode,Fiorentina,6.83,2064,1.0,1.0,22(4)
Mathías Olivera,Napoli,6.82,1574,1.0,1.0,18(5)
Stefan de Vrij,Inter,6.82,1578,1.0,,17(8)
Jaka Bijol,Udinese,6.81,2083,,,23(1)
Morten Frendrup,Genoa,6.81,3149,2.0,5.0,36(1)
Riccardo Orsolini,Bologna,6.8,1795,10.0,2.0,19(14)
Berat Djimsiti,Atalanta,6.8,2832,,1.0,32(5)
Alexis Saelemaekers,Bologna,6.8,1893,4.0,2.0,21(9)
Nicolò Barella,Inter,6.79,2860,2.0,3.0,34(3)
Raoul Bellanova,Torino,6.78,3065,1.0,7.0,36(1)
Dusan Vlahovic,Juventus,6.78,2318,16.0,4.0,27(6)
Weston McKennie,Juventus,6.78,2603,,7.0,29(5)
Etrit Berisha,Empoli,6.78,1260,,,14
Amir Rrahmani,Napoli,6.78,2603,3.0,,30
Marco Carnesecchi,Atalanta,6.77,2426,,,27
Aleksey Miranchuk,Atalanta,6.77,1172,3.0,5.0,12(15)
Pietro Terracciano,Fiorentina,6.77,2970,,,33
Mike MaignanAC,Milan,6.77,2610,,1.0,29
Emil Audero,Inter,6.77,338,,,4
Remo Freuler,Bologna,6.77,2632,1.0,1.0,30(2)
Ivan Ilic,Torino,6.76,2103,3.0,2.0,25(6)
Lameck Banda,Lecce,6.76,1360,2.0,4.0,17(4)
Matteo GabbiaAC,Milan,6.76,1277,2.0,1.0,14(4)
Maduka Okoye,Udinese,6.76,1890,,,21
Mario Pasalic,Atalanta,6.75,2051,6.0,6.0,23(11)
Mario Gila,Lazio,6.75,1814,,,21
Stefan Posch,Bologna,6.75,2420,1.0,2.0,29(2)
Fikayo TomoriAC,Milan,6.75,2125,4.0,,24(2)
Johan Vásquez,Genoa,6.75,2853,1.0,1.0,32(5)
Jhon Lucumí,Bologna,6.75,2214,,,23(6)
Radu Dragusin,Genoa,6.75,1710,2.0,1.0,19
Armand Laurienté,Sassuolo,6.75,2929,5.0,4.0,35(2)
Yann Bisseck,Inter,6.74,899,2.0,,9(7)
Vanja Milinkovic-Savic,Torino,6.74,3240,,,36
Yacine AdliAC,Milan,6.74,1413,1.0,2.0,17(7)
Ivan Provedel,Lazio,6.74,2700,,,30
Luca Mazzitelli,Frosinone,6.74,2223,5.0,,26(3)
Matteo Ruggeri,Atalanta,6.74,2470,,4.0,28(6)
Marco SportielloAC,Milan,6.74,630,,,7
Giovanni Di Lorenzo,Napoli,6.73,3235,1.0,6.0,36
Cristiano Biraghi,Fiorentina,6.73,2359,2.0,5.0,27(2)
Andrea Colpani,Monza,6.73,2685,8.0,4.0,36(2)
Ismaël BennacerAC,Milan,6.72,1151,2.0,2.0,13(7)
Alessio Romagnoli,Lazio,6.72,2410,,,26(3)
Frank Anguissa,Napoli,6.72,2792,,2.0,32(2)
Christos Mandas,Lazio,6.72,721,,,8(1)
Leandro Paredes,Roma,6.72,2646,3.0,5.0,32(2)
Josep Martínez,Genoa,6.71,3240,,,36
Wladimiro Falcone,Lecce,6.71,3420,,,38
Piotr Zielinski,Napoli,6.71,1939,3.0,2.0,23(5)
Filippo Terracciano,Verona,6.71,1296,,1.0,14(4)
Wojciech Szczesny,Juventus,6.7,3150,,,35
Nicolò Fagioli,Juventus,6.7,440,,2.0,4(4)
Nehuén Pérez,Udinese,6.7,3240,,,36
Angeliño,Roma,6.7,1148,,1.0,14(2)
Matteo Darmian,Inter,6.69,2417,2.0,1.0,27(6)
Nicola Leali,Genoa,6.69,177,,,2(1)
Carlos Augusto,Inter,6.69,1705,,3.0,14(23)
Denzel Dumfries,Inter,6.69,1643,4.0,4.0,19(12)
Alfred Duncan,Fiorentina,6.69,1899,2.0,5.0,24(6)
Filip Kostic,Juventus,6.69,1834,,4.0,26(3)
Diego Coppola,Verona,6.69,1636,2.0,,18(6)
Andrea Carboni,Monza,6.68,1490,1.0,,16(5)
Simone Romagnoli,Frosinone,6.68,2716,1.0,1.0,30(3)
Perr Schuurs,Torino,6.68,771,1.0,,9
Milan Badelj,Genoa,6.68,2555,1.0,3.0,32(1)
Alessandro FlorenziAC,Milan,6.68,1732,1.0,4.0,19(12)
Juan Musso,Atalanta,6.68,990,,,11
Antonio Candreva,Salernitana,6.68,2760,6.0,6.0,32(2)
Daniel Maldini,Monza,6.68,328,4.0,1.0,2(9)
Arthur,Fiorentina,6.67,1998,2.0,3.0,23(10)
Andrea Belotti,Fiorentina,6.67,953,3.0,,11(4)
Roberto Gagliardini,Monza,6.67,2368,1.0,2.0,29(4)
Federico Gatti,Juventus,6.67,2641,4.0,,30(2)
Fabiano Parisi,Fiorentina,6.66,1454,,1.0,16(5)
Lukasz Skorupski,Bologna,6.66,2880,,,32
Matías Viña,Sassuolo,6.66,1022,,3.0,13(2)
Lorenzo Montipò,Verona,6.65,3330,,1.0,37
Junior Messias,Genoa,6.65,1057,1.0,,13(5)
Nikola Milenkovic,Fiorentina,6.65,2506,,,27(7)
Yerry Mina,Cagliari,6.65,1218,2.0,,14
Tomás Suslov,Verona,6.65,2099,3.0,5.0,23(9)
Gaetano Castrovilli,Fiorentina,6.65,370,1.0,2.0,5(1)
Mateo Retegui,Genoa,6.65,2226,7.0,2.0,26(3)
Evan Ndicka,Roma,6.65,2171,,3.0,25
Giangiacomo Magnani,Verona,6.64,2442,,,27(6)
Valentin Gendrey,Lecce,6.64,3052,2.0,3.0,35(2)
Rémi Oudin,Lecce,6.64,1828,3.0,2.0,21(10)
Juan Cabal,Verona,6.64,1497,,,17(5)
Abdou Harroui,Frosinone,6.64,1028,3.0,3.0,13(5)
Walace,Udinese,6.64,3245,2.0,,37
Andrea Cambiaso,Juventus,6.64,2389,2.0,3.0,28(6)
Gianluca Gaetano,Cagliari,6.64,751,4.0,1.0,10(1)
Ricardo Rodríguez,Torino,6.64,2783,1.0,2.0,34(1)
Nicolò Rovella,Lazio,6.64,1324,,2.0,16(7)
Victor Kristiansen,Bologna,6.64,2312,,3.0,26(6)
Diego Llorente,Roma,6.64,2180,1.0,1.0,26(3)
Ondrej Duda,Verona,6.63,2465,1.0,4.0,29(3)
Davide CalabriaAC,Milan,6.63,2196,1.0,3.0,26(3)
Nicolas Viola,Cagliari,6.63,1203,5.0,2.0,11(15)
Thomas Kristensen,Udinese,6.63,2097,,1.0,23(3)
Michael Folorunsho,Verona,6.63,2794,5.0,1.0,33(1)
Emil Holm,Atalanta,6.63,950,1.0,1.0,12(10)
Nikola Vlasic,Torino,6.62,2615,3.0,2.0,30(3)
Nadir Zortea,Atalanta,6.62,145,1.0,,0(5)
Federico Di Francesco,Lecce,6.62,14,1.0,,0(2)
Marco PellegrinoAC,Milan,6.62,68,,,0(1)
Daichi Kamada,Lazio,6.62,1546,2.0,2.0,17(12)
Isak Hien,Atalanta,6.62,930,,1.0,9(7)
Gianluca Mancini,Roma,6.62,2874,4.0,1.0,34(2)
Matteo Pessina,Monza,6.61,3228,6.0,3.0,37
Stanislav Lobotka,Napoli,6.61,3295,,1.0,38
Andrea Pinamonti,Sassuolo,6.61,3100,11.0,1.0,37(1)
Chaka TraorèAC,Milan,6.61,18,1.0,,0(2)
Pontus Almqvist,Lecce,6.61,2115,2.0,1.0,25(5)
Patrick Ciurria,Monza,6.6,1602,,1.0,18(4)
Davide Zappacosta,Atalanta,6.6,1878,2.0,1.0,23(8)
Fabien Centonze,Verona,6.6,675,,1.0,7(3)
Giovanni Bonfanti,Atalanta,6.6,89,,,1(1)
Leo Østigård,Napoli,6.6,1624,1.0,,19(7)
Pawel Dawidowicz,Verona,6.6,2144,,,25(3)
Kristian Thorstvedt,Sassuolo,6.6,2413,6.0,1.0,30(4)
Leonardo Spinazzola,Roma,6.6,1313,1.0,2.0,15(9)
Sead Kolasinac,Atalanta,6.59,2183,1.0,,25(5)
Riccardo Sottil,Fiorentina,6.59,1110,2.0,3.0,13(9)
Suat Serdar,Verona,6.59,1665,,2.0,19(6)
Malick ThiawAC,Milan,6.59,1621,,1.0,19(2)
Nikola Krstovic,Lecce,6.59,2391,7.0,1.0,30(5)
Florian Thauvin,Udinese,6.58,1717,5.0,3.0,19(10)
Sebastian Walukiewicz,Empoli,6.58,2056,,,23(4)
Marin Pongracic,Lecce,6.58,3220,,,36
Pablo Marí,Monza,6.58,2618,,,30(4)
Sebastiano Luperto,Empoli,6.58,3407,1.0,1.0,38
Antonino Gallo,Lecce,6.58,2504,,3.0,30(5)
Alessandro Vogliacco,Genoa,6.58,1175,,1.0,14(6)
Jovane Cabral,Salernitana,6.58,680,1.0,,8(4)
Juan Jesus,Napoli,6.58,2118,1.0,,23(1)
Mattia Bani,Genoa,6.58,2310,2.0,,27
Daniele Rugani,Juventus,6.58,1189,2.0,,13(4)
