Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Juan Musso,Atalanta,7.8,90,,,1
Daniele Padelli,Udinese,7.47,90,,,1
Bremer,Juventus,7.35,540,,,6
Benjamin Siegrist,Genoa,7.31,153,,,2
Scott McTominay,Napoli,7.26,2941,12.0,4.0,33(1)
Ademola Lookman,Atalanta,7.24,2266,15.0,5.0,28(3)
Marcus Thuram,Inter,7.24,2299,14.0,4.0,27(5)
Simone Scuffet,Napoli,7.19,90,,,1
Mateo Retegui,Atalanta,7.17,2405,25.0,8.0,32(4)
Duván Zapata,Torino,7.14,589,3.0,,7
Hakan Çalhanoglu,Inter,7.13,1964,5.0,6.0,26(3)
Lautaro Martínez,Inter,7.13,2579,12.0,3.0,31
Khvicha Kvaratskhelia,Napoli,7.12,1191,5.0,3.0,15(2)
Nico Paz,Como,7.12,2695,6.0,8.0,30(5)
Moise Kean,Fiorentina,7.11,2712,19.0,3.0,31(1)
Alexis Saelemaekers,Roma,7.09,1397,7.0,3.0,17(5)
Christian PulisicAC,Milan,7.08,2490,11.0,9.0,29(5)
Stefan Posch,Atalanta,7.08,388,,,4(1)
Rui Patrício,Atalanta,7.07,270,,,3
Mattia Zaccagni,Lazio,7.04,2704,8.0,6.0,33(1)
Rafael LeãoAC,Milan,7.04,2332,8.0,8.0,25(9)
Alessandro Buongiorno,Napoli,7.03,1926,1.0,,22
Valentín Castellanos,Lazio,7.03,2396,10.0,3.0,28(1)
Assane Diao,Como,7.03,1259,8.0,1.0,14(1)
Renato Veiga,Juventus,7.03,1094,,1.0,12(1)
Amir Rrahmani,Napoli,7.03,3406,1.0,3.0,38
Riccardo Orsolini,Bologna,7.02,1889,15.0,4.0,23(7)
Matías Soulé,Roma,7.01,1792,5.0,5.0,22(5)
Florian Thauvin,Udinese,7.01,1971,8.0,3.0,24(1)
Raoul Bellanova,Torino,7.01,88,,,1
Kenan Yildiz,Juventus,7.01,2413,7.0,4.0,28(7)
Marten de Roon,Atalanta,6.99,3059,4.0,4.0,34(2)
Nuno Tavares,Lazio,6.99,1701,,8.0,22(1)
Tijjani ReijndersAC,Milan,6.99,3132,10.0,4.0,36(1)
Pablo Marí,Fiorentina,6.98,1098,,,12(1)
Frank Anguissa,Napoli,6.98,2858,6.0,4.0,32(3)
Christos Mandas,Lazio,6.97,810,,,9
Nicolò Barella,Inter,6.95,2467,3.0,6.0,28(5)
Alberto Paleari,Torino,6.95,90,,,1
Kialonda Gaspar,Lecce,6.94,2143,,1.0,24
Robin Gosens,Fiorentina,6.94,2529,5.0,5.0,29(3)
Josep Martínez,Inter,6.93,450,,,5
Vanja Milinkovic-Savic,Torino,6.93,3330,,,37
Pietro Terracciano,Fiorentina,6.93,270,,,3
Berat Djimsiti,Atalanta,6.92,2647,1.0,2.0,32(2)
Paulo Dybala,Roma,6.92,1420,6.0,3.0,16(8)
Theo HernándezAC,Milan,6.92,2699,4.0,3.0,30(3)
Éderson,Atalanta,6.92,2888,4.0,1.0,32(5)
Sebastian Walukiewicz,Empoli,6.92,180,,,2
Ardian Ismajli,Empoli,6.91,2510,,,29
Edoardo Bove,Fiorentina,6.91,857,1.0,2.0,11(1)
Federico Dimarco,Inter,6.91,2163,4.0,7.0,28(5)
Francesco Acerbi,Inter,6.91,1710,,1.0,20(3)
Milan Djuric,Monza,6.91,1270,4.0,1.0,13(5)
Randal Kolo Muani,Juventus,6.9,1164,8.0,1.0,13(3)
Manuel Locatelli,Juventus,6.9,2833,2.0,2.0,34(2)
Elia Caprile,Napoli,6.9,324,,,3(1)
Mats Hummels,Roma,6.89,920,,,11(3)
Alessandro Bastoni,Inter,6.88,2422,1.0,5.0,31(2)
Gabriel Strefezza,Como,6.88,2636,6.0,4.0,32(5)
Emerson RoyalAC,Milan,6.88,1382,,,16(1)
Oumar Solet,Udinese,6.88,1674,1.0,2.0,19
Diego Coppola,Verona,6.88,2927,2.0,,33(1)
Marco Carnesecchi,Atalanta,6.88,3060,,,34
Dodô,Fiorentina,6.88,3119,,5.0,35
Nicolás Valentini,Verona,6.88,1132,,,13(1)
Denzel Dumfries,Inter,6.88,1952,7.0,2.0,20(9)
Stefan de Vrij,Inter,6.87,1723,3.0,,18(8)
Jacob OndrejkaParma Calcio 1913,Desconocido,6.87,417,5.0,,3(9)
Giovanni Di Lorenzo,Napoli,6.87,3330,3.0,2.0,37
Johan Vásquez,Genoa,6.87,3042,3.0,,34(2)
Filip Stankovic,Venezia,6.86,1368,,,16
Charles De Ketelaere,Atalanta,6.86,2080,7.0,7.0,25(11)
Mile Svilar,Roma,6.85,3420,,,38
Nicolò Casale,Lazio,6.85,136,,,2
Strahinja PavlovicAC,Milan,6.85,1865,2.0,1.0,21(3)
Romelu Lukaku,Napoli,6.84,2871,14.0,10.0,35(1)
Yerry Mina,Cagliari,6.84,2577,1.0,,31
Matteo Politano,Napoli,6.84,2829,3.0,4.0,34(3)
Aarón Martín,Genoa,6.83,3089,,8.0,35(1)
Christian Kouamé,Empoli,6.83,508,1.0,,5(3)
Mattia Perin,Juventus,6.83,450,,,5
Khéphren Thuram,Juventus,6.83,2328,4.0,5.0,26(9)
Dan Ndoye,Bologna,6.82,2151,8.0,4.0,26(4)
Antonín Barák,Fiorentina,6.82,55,,,1
Leandro Paredes,Roma,6.82,1373,3.0,1.0,15(7)
