"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Robert Lewandowski,,""$ 270,553"",""$ 14,068,743"",,""$ 14,068,743"",""$ 14,444,815"",Active,F,35,Poland,Barcelona,,"
"Vinicius Junior,,""$ 249,741"",""$ 12,986,532"",""$ 6,493,266"",""$ 19,479,798"",""$ 20,000,513"",Active,F,23,Brazil,Real Madrid,,"
"Toni Kroos,,""$ 243,497"",""$ 12,661,869"",,""$ 12,661,869"",""$ 13,000,333"",Active,M,34,Germany,Real Madrid,,"
"David Alaba,,""$ 224,767"",""$ 11,687,879"",,""$ 11,687,879"",""$ 12,000,308"",Active,D,31,Austria,Real Madrid,,"
"Luka Modric,,""$ 218,523"",""$ 11,363,216"",,""$ 11,363,216"",""$ 11,666,966"",Active,M,38,Croatia,Real Madrid,,"
"Jude Bellingham,,""$ 208,118"",""$ 10,822,110"",""$ 2,164,422"",""$ 12,986,532"",""$ 13,333,675"",Active,F,20,England,Real Madrid,,"
"Jan Oblak,,""$ 208,118"",""$ 10,822,110"",,""$ 10,822,110"",""$ 11,111,396"",Active,K,31,Slovenia,Atletico Madrid,,"
"İlkay Gündoğan,,""$ 187,306"",""$ 9,739,899"",,""$ 9,739,899"",""$ 10,000,256"",Active,M,33,Germany,Barcelona,,"
"Frenkie de Jong,,""$ 179,814"",""$ 9,350,303"",""$ 4,577,753"",""$ 13,928,056"",""$ 14,300,367"",Active,M,26,Netherlands,Barcelona,,"
"Federico Valverde,,""$ 166,494"",""$ 8,657,688"",,""$ 8,657,688"",""$ 8,889,117"",Active,M,25,Uruguay,Real Madrid,,"
"Rodrygo,,""$ 166,494"",""$ 8,657,688"",,""$ 8,657,688"",""$ 8,889,117"",Active,F,23,Brazil,Real Madrid,,"
"Thibaut Courtois,,""$ 149,845"",""$ 7,791,919"",,""$ 7,791,919"",""$ 8,000,205"",Active,K,31,Belgium,Real Madrid,,"
"Éder Militão,,""$ 145,682"",""$ 7,575,477"",,""$ 7,575,477"",""$ 7,777,977"",Active,D,26,Brazil,Real Madrid,,"
"Antonio Rüdiger,,""$ 145,682"",""$ 7,575,477"",""$ 2,164,422"",""$ 9,739,899"",""$ 10,000,256"",Active,D,30,Germany,Real Madrid,,"
"Jules Koundé,,""$ 135,276"",""$ 7,034,372"",,""$ 7,034,372"",""$ 7,222,407"",Active,D,25,France,Barcelona,,"
"Álvaro Morata,,""$ 135,276"",""$ 7,034,372"",,""$ 7,034,372"",""$ 7,222,407"",Active,F,31,Spain,Atletico Madrid,,"
"João Cancelo,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,666,838"",Loan,D,29,Portugal,Barcelona,,"
"Raphinha,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,666,838"",Active,F,27,Brazil,Barcelona,,"
"Aurélien Tchouaméni,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,666,838"",Active,M,24,France,Real Madrid,,"
"Eduardo Camavinga,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,666,838"",Active,M,21,France,Real Madrid,,"
"Antoine Griezmann,,""$ 124,871"",""$ 6,493,266"",,""$ 6,493,266"",""$ 6,666,838"",Active,F,32,France,Atletico Madrid,,"
"Saúl Ñíguez,,""$ 119,876"",""$ 6,233,535"",,""$ 6,233,535"",""$ 6,400,164"",Active,M,29,Spain,Atletico Madrid,,"
"Nacho Fernández,,""$ 114,465"",""$ 5,952,160"",,""$ 5,952,160"",""$ 6,111,268"",Active,D,34,Spain,Real Madrid,,"
"Iñaki Williams,,""$ 113,840"",""$ 5,919,694"",,""$ 5,919,694"",""$ 6,077,934"",Active,F,29,Ghana,Athletic Club,,"
"Nico Williams,,""$ 104,059"",""$ 5,411,055"",,""$ 5,411,055"",""$ 5,555,698"",Active,F,21,Spain,Athletic Club,,"
"Dani Ceballos,,""$ 104,059"",""$ 5,411,055"",,""$ 5,411,055"",""$ 5,555,698"",Active,M,27,Spain,Real Madrid,,"
"Ferland Mendy,,""$ 104,059"",""$ 5,411,055"",,""$ 5,411,055"",""$ 5,555,698"",Active,D,28,France,Real Madrid,,"
"Daniel Carvajal,,""$ 104,059"",""$ 5,411,055"",,""$ 5,411,055"",""$ 5,555,698"",Active,D,32,Spain,Real Madrid,,"
"Ferran Torres,,""$ 99,896"",""$ 5,194,613"",""$ 1,558,384"",""$ 6,752,997"",""$ 6,933,511"",Active,F,23,Spain,Barcelona,,"
"Pedri,,""$ 93,653"",""$ 4,869,950"",,""$ 4,869,950"",""$ 5,000,128"",Active,M,21,Spain,Barcelona,,"
"Lucas Vázquez,,""$ 93,653"",""$ 4,869,950"",,""$ 4,869,950"",""$ 5,000,128"",Active,D,32,Spain,Real Madrid,,"
"Iñigo Martínez,,""$ 90,531"",""$ 4,707,618"",,""$ 4,707,618"",""$ 4,833,457"",Active,D,32,Spain,Barcelona,,"
"Kepa Arrizabalaga,,""$ 89,907"",""$ 4,675,152"",,""$ 4,675,152"",""$ 4,800,123"",Loan,K,29,Spain,Real Madrid,,"
"Andreas Christensen,,""$ 89,907"",""$ 4,675,152"",""$ 2,077,845"",""$ 6,752,997"",""$ 6,933,511"",Active,D,27,Denmark,Barcelona,,"
"Memphis Depay,,""$ 87,409"",""$ 4,545,286"",,""$ 4,545,286"",""$ 4,666,786"",Active,F,29,Netherlands,Atletico Madrid,,"
"Unai Simón,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,444,558"",Active,K,26,Spain,Athletic Club,,"
"Mario Hermoso,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,444,558"",Active,D,28,Spain,Atletico Madrid,,"
"Marcos Llorente,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,444,558"",Active,M,29,Spain,Atletico Madrid,,"
"Axel Witsel,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,444,558"",Active,D,35,Belgium,Atletico Madrid,,"
"César Azpilicueta,,""$ 79,917"",""$ 4,155,690"",,""$ 4,155,690"",""$ 4,266,776"",Active,D,34,Spain,Atletico Madrid,,"
"Brahim Díaz,,""$ 72,841"",""$ 3,787,738"",,""$ 3,787,738"",""$ 3,888,989"",Active,F,24,Spain,Real Madrid,,"
"Ronald Araujo,,""$ 69,927"",""$ 3,636,229"",,""$ 3,636,229"",""$ 3,733,429"",Active,D,24,Uruguay,Barcelona,,"
"Gavi,,""$ 67,846"",""$ 3,528,008"",,""$ 3,528,008"",""$ 3,622,315"",Active,M,19,Spain,Barcelona,,"
"Nabil Fekir,,""$ 67,846"",""$ 3,528,008"",,""$ 3,528,008"",""$ 3,622,315"",Active,F,30,France,Real Betis,,"
"Rodrigo de Paul,,""$ 66,598"",""$ 3,463,075"",,""$ 3,463,075"",""$ 3,555,647"",Active,M,29,Argentina,Atletico Madrid,,"
"Kieran Tierney,,""$ 66,598"",""$ 3,463,075"",,""$ 3,463,075"",""$ 3,555,647"",Loan,D,26,Scotland,Real Sociedad,,"
"Koke,,""$ 66,598"",""$ 3,463,075"",,""$ 3,463,075"",""$ 3,555,647"",Active,M,32,Spain,Atletico Madrid,,"
"Marc-André ter Stegen,,""$ 62,851"",""$ 3,268,277"",,""$ 3,268,277"",""$ 3,355,642"",Active,K,31,Germany,Barcelona,,"
"Mikel Oyarzabal,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,333,419"",Active,F,26,Spain,Real Sociedad,,"
"Isco,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,333,419"",Active,F,31,Spain,Real Betis,,"
"Marcos Alonso,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,333,419"",Active,D,33,Spain,Barcelona,,"
"José Giménez,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,333,419"",Active,D,29,Uruguay,Atletico Madrid,,"
"Eric García,,""$ 59,938"",""$ 3,116,768"",,""$ 3,116,768"",""$ 3,200,082"",Loan,D,23,Spain,Girona,,"
"Gonçalo Guedes,,""$ 53,902"",""$ 2,802,926"",,""$ 2,802,926"",""$ 2,877,852"",Loan,F,27,Portugal,Villarreal,,"
"Adnan Januzaj,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,777,849"",Active,F,28,Belgium,Sevilla,,"
"Fran García,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,777,849"",Active,D,24,Spain,Real Madrid,,"
"Mariano Díaz,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,777,849"",Active,F,30,Dominican Republic,Sevilla,,"
"Takefusa Kubo,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,777,849"",Active,F,22,Japan,Real Sociedad,,"
"Brais Méndez,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,777,849"",Active,F,27,Spain,Real Sociedad,,"
"Arda Güler,,""$ 52,029"",""$ 2,705,528"",,""$ 2,705,528"",""$ 2,777,849"",Active,F,18,Turkey,Real Madrid,,"
"Sergi Roberto,,""$ 49,948"",""$ 2,597,306"",,""$ 2,597,306"",""$ 2,666,735"",Active,M,31,Spain,Barcelona,,"
"André Silva,,""$ 49,948"",""$ 2,597,306"",,""$ 2,597,306"",""$ 2,666,735"",Loan,F,28,Portugal,Real Sociedad,,"
"Boubakary Soumaré,,""$ 48,491"",""$ 2,521,552"",,""$ 2,521,552"",""$ 2,588,955"",Loan,M,24,France,Sevilla,,"
"Borja Mayoral,,""$ 47,867"",""$ 2,489,085"",,""$ 2,489,085"",""$ 2,555,621"",Active,F,26,Spain,Getafe,,"
"José Gayà,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,444,507"",Active,D,28,Spain,Valencia,,"
"Vedat Muriqi,,""$ 45,786"",""$ 2,380,864"",,""$ 2,380,864"",""$ 2,444,507"",Active,F,29,Kosovo,Mallorca,,"
"Stefan Savic,,""$ 44,953"",""$ 2,337,576"",,""$ 2,337,576"",""$ 2,400,062"",Active,D,33,Montenegro,Atletico Madrid,,"
"Marcão,,""$ 43,705"",""$ 2,272,643"",,""$ 2,272,643"",""$ 2,333,393"",Active,D,27,Brazil,Sevilla,,"
"Yuri Berchiche,,""$ 42,664"",""$ 2,218,533"",,""$ 2,218,533"",""$ 2,277,836"",Active,D,34,Spain,Athletic Club,,"
"Tanguy Nianzou,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,222,279"",Active,D,21,France,Sevilla,,"
"Djibril Sow,,""$ 41,624"",""$ 2,164,422"",""$ 432,884"",""$ 2,597,306"",""$ 2,666,735"",Active,M,26,Switzerland,Sevilla,,"
"Oihan Sancet,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,222,279"",Active,F,23,Spain,Athletic Club,,"
"Álex Remiro,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,222,279"",Active,K,28,Spain,Real Sociedad,,"
"Jonathan Bamba,,""$ 41,624"",""$ 2,164,422"",,""$ 2,164,422"",""$ 2,222,279"",Active,F,27,Cote d'Ivoire,Celta Vigo,,"
"Pau Cubarsí,,""$ 39,959"",""$ 2,077,845"",,""$ 2,077,845"",""$ 2,133,388"",Active,D,17,Spain,Barcelona,,"
"Mouctar Diakhaby,,""$ 39,959"",""$ 2,077,845"",,""$ 2,077,845"",""$ 2,133,388"",Active,D,27,Guinea,Valencia,,"
"Nemanja Gudelj,,""$ 39,542"",""$ 2,056,201"",,""$ 2,056,201"",""$ 2,111,165"",Active,D,32,Serbia,Sevilla,,"
"Diadié Samassékou,,""$ 38,918"",""$ 2,023,735"",,""$ 2,023,735"",""$ 2,077,831"",Loan,M,28,Mali,Cadiz,,"
"Nahuel Molina,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 2,000,051"",Active,D,25,Argentina,Atletico Madrid,,"
"David López,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 2,000,051"",Active,D,34,Spain,Girona,,"
"Gerard Moreno,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 2,000,051"",Active,F,31,Spain,Villarreal,,"
"Dani Parejo,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 2,000,051"",Active,M,34,Spain,Villarreal,,"
"Francis Coquelin,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 2,000,051"",Active,M,32,France,Villarreal,,"
"Mauro Arambarri,,""$ 37,461"",""$ 1,947,980"",,""$ 1,947,980"",""$ 2,000,051"",Active,M,28,Uruguay,Getafe,,"
"Maxi Gómez,,""$ 36,421"",""$ 1,893,869"",,""$ 1,893,869"",""$ 1,944,494"",Loan,F,27,Uruguay,Cadiz,,"
"Alexander Sörloth,,""$ 36,004"",""$ 1,872,225"",,""$ 1,872,225"",""$ 1,922,271"",Active,F,28,Norway,Villarreal,,"
"Joan Jordán,,""$ 35,380"",""$ 1,839,759"",,""$ 1,839,759"",""$ 1,888,937"",Active,M,29,Spain,Sevilla,,"
"Ángel Correa,,""$ 34,964"",""$ 1,818,114"",,""$ 1,818,114"",""$ 1,866,715"",Active,F,28,Argentina,Atletico Madrid,,"
"Bertrand Traoré,,""$ 34,964"",""$ 1,818,114"",,""$ 1,818,114"",""$ 1,866,715"",Active,F,28,Burkina Faso,Villarreal,,"
"Vitor Roque,,""$ 34,964"",""$ 1,818,114"",,""$ 1,818,114"",""$ 1,866,715"",Active,F,18,Brazil,Barcelona,,"
"Oriol Romeu,,""$ 34,964"",""$ 1,818,114"",""$ 259,731"",""$ 2,077,845"",""$ 2,133,388"",Active,M,32,Spain,Barcelona,,"
"Alfonso Pedraza,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,777,823"",Active,D,27,Spain,Villarreal,,"
"Lamine Yamal,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,777,823"",Active,F,16,Spain,Barcelona,,"
"Daley Blind,,""$ 33,299"",""$ 1,731,538"",,""$ 1,731,538"",""$ 1,777,823"",Active,D,34,Netherlands,Girona,,"
"Loïc Badé,,""$ 32,883"",""$ 1,709,893"",""$ 367,952"",""$ 2,077,845"",""$ 2,133,388"",Active,D,23,France,Sevilla,,"
"Erik Lamela,,""$ 32,883"",""$ 1,709,893"",,""$ 1,709,893"",""$ 1,755,601"",Active,F,31,Argentina,Sevilla,,"
"Thomas Lemar,,""$ 32,466"",""$ 1,688,249"",,""$ 1,688,249"",""$ 1,733,378"",Active,F,28,France,Atletico Madrid,,"
"Javi Galán,,""$ 32,466"",""$ 1,688,249"",,""$ 1,688,249"",""$ 1,733,378"",Loan,D,29,Spain,Real Sociedad,,"
"Iñaki Peña,,""$ 32,466"",""$ 1,688,249"",,""$ 1,688,249"",""$ 1,733,378"",Active,K,24,Spain,Barcelona,,"
"Mikel Merino,,""$ 32,050"",""$ 1,666,605"",,""$ 1,666,605"",""$ 1,711,155"",Active,M,27,Spain,Real Sociedad,,"
"Jesús Navas,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,D,38,Spain,Sevilla,,"
"Dani Vivian,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,D,24,Spain,Athletic Club,,"
"Arthur Vermeeren,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,M,18,Belgium,Atletico Madrid,,"
"Denis Suárez,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,F,30,Spain,Villarreal,,"
"Eric Bailly,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,D,29,Cote d'Ivoire,Villarreal,,"
"Djené,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,D,32,Togo,Getafe,,"
"Pablo Fornals,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,F,27,Spain,Real Betis,,"
"Ander Barrenetxea,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,F,22,Spain,Real Sociedad,,"
"Héctor Bellerín,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,D,28,Spain,Real Betis,,"
"Igor Zubeldia,,""$ 31,218"",""$ 1,623,316"",,""$ 1,623,316"",""$ 1,666,709"",Active,D,26,Spain,Real Sociedad,,"
"Raúl de Tomás,,""$ 31,010"",""$ 1,612,494"",,""$ 1,612,494"",""$ 1,655,598"",Active,F,29,Spain,Rayo Vallecano,,"
"Marc Roca,,""$ 30,177"",""$ 1,569,206"",,""$ 1,569,206"",""$ 1,611,152"",Loan,M,27,Spain,Real Betis,,"
"Youssef En-Nesyri,,""$ 29,969"",""$ 1,558,384"",,""$ 1,558,384"",""$ 1,600,041"",Active,F,26,Morocco,Sevilla,,"
"Martín Zubimendi,,""$ 29,969"",""$ 1,558,384"",,""$ 1,558,384"",""$ 1,600,041"",Active,M,25,Spain,Real Sociedad,,"
"Clément Lenglet,,""$ 29,969"",""$ 1,558,384"",,""$ 1,558,384"",""$ 1,600,041"",Inactive,D,28,France,Barcelona,,"
"Dodi Lukébakio,,""$ 29,969"",""$ 1,558,384"",,""$ 1,558,384"",""$ 1,600,041"",Active,F,26,Belgium,Sevilla,,"
"Ander Herrera,,""$ 29,969"",""$ 1,558,384"",""$ 313,841"",""$ 1,872,225"",""$ 1,922,271"",Active,M,34,Spain,Athletic Club,,"
"Sergiño Dest,,""$ 29,969"",""$ 1,558,384"",,""$ 1,558,384"",""$ 1,600,041"",Inactive,D,22,United States,Barcelona,,"
"Iago Aspas,,""$ 29,136"",""$ 1,515,095"",,""$ 1,515,095"",""$ 1,555,595"",Active,F,36,Spain,Celta Vigo,,"
"Marcos Acuña,,""$ 28,928"",""$ 1,504,273"",,""$ 1,504,273"",""$ 1,544,484"",Active,D,32,Argentina,Sevilla,,"
"Raúl Albiol,,""$ 28,304"",""$ 1,471,807"",,""$ 1,471,807"",""$ 1,511,150"",Active,D,38,Spain,Villarreal,,"
"Andriy Lunin,,""$ 28,096"",""$ 1,460,985"",,""$ 1,460,985"",""$ 1,500,038"",Active,K,24,Ukraine,Real Madrid,,"
"Robin Le Normand,,""$ 27,888"",""$ 1,450,163"",,""$ 1,450,163"",""$ 1,488,927"",Active,D,27,Spain,Real Sociedad,,"
"Suso,,""$ 27,888"",""$ 1,450,163"",,""$ 1,450,163"",""$ 1,488,927"",Active,F,30,Spain,Sevilla,,"
"Dani García,,""$ 27,680"",""$ 1,439,341"",,""$ 1,439,341"",""$ 1,477,816"",Active,M,33,Spain,Athletic Club,,"
"Ansu Fati,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,444,481"",Inactive,F,20,Spain,Barcelona,,"
"Sergi Darder,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,444,481"",Active,M,30,Spain,Mallorca,,"
"Viktor Tsyhankov,,""$ 27,055"",""$ 1,406,874"",""$ 140,687"",""$ 1,547,562"",""$ 1,588,930"",Active,F,26,Ukraine,Girona,,"
"Álvaro Odriozola,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,444,481"",Active,D,28,Spain,Real Sociedad,,"
"Cédric Bakambu,,""$ 27,055"",""$ 1,406,874"",,""$ 1,406,874"",""$ 1,444,481"",Active,F,32,Democratic Republic of the Congo,Real Betis,,"
"Gabriel Paulista,,""$ 26,015"",""$ 1,352,764"",,""$ 1,352,764"",""$ 1,388,924"",Active,D,33,Brazil,Atletico Madrid,,"
"Roman Yaremchuk,,""$ 26,015"",""$ 1,352,764"",,""$ 1,352,764"",""$ 1,388,924"",Loan,F,28,Ukraine,Valencia,,"
