"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Alexander Sörloth,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,F,29,Norway,Atletico Madrid,,"
"Brahim Díaz,,""$ 76,134"",""$ 3,958,986"",,""$ 3,958,986"",""$ 3,958,986"",Active,F,25,Morocco,Real Madrid,,"
"Saúl Ñíguez,,""$ 73,089"",""$ 3,800,627"",,""$ 3,800,627"",""$ 3,800,627"",Inactive,M,29,Spain,Atletico Madrid,,"
"Koke,,""$ 69,609"",""$ 3,619,645"",,""$ 3,619,645"",""$ 3,619,645"",Active,M,33,Spain,Atletico Madrid,,"
"Rodrigo De Paul,,""$ 69,609"",""$ 3,619,645"",,""$ 3,619,645"",""$ 3,619,645"",Active,M,30,Argentina,Atletico Madrid,,"
"Mikel Oyarzabal,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,F,27,Spain,Real Sociedad,,"
"Isco,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,F,32,Spain,Real Betis,,"
"Bryan Zaragoza,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Loan,F,23,Spain,Osasuna,,"
"Raúl Asencio,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,D,21,Spain,Real Madrid,,"
"Pablo Barrios,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,21,Spain,Atletico Madrid,,"
"José Giménez,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,D,30,Uruguay,Atletico Madrid,,"
"Robin Le Normand,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,D,28,Spain,Atletico Madrid,,"
"Eric García,,""$ 62,648"",""$ 3,257,680"",,""$ 3,257,680"",""$ 3,257,680"",Active,D,24,Spain,Barcelona,,"
"Fran García,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,25,Spain,Real Madrid,,"
"Arthur,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Loan,M,28,Brazil,Girona,,"
"Brais Méndez,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,28,Spain,Real Sociedad,,"
"Arda Güler,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,19,Turkey,Real Madrid,,"
"Giovani Lo Celso,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,M,28,Argentina,Real Betis,,"
