"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Isi Palazón,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,30,Spain,Rayo Vallecano,,"
"Jon Aramburu,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,22,Venezuela,Real Sociedad,,"
"Juan Foyth,,""$ 20,883"",""$ 1,085,893"",,""$ 1,085,893"",""$ 1,085,893"",Active,D,27,Argentina,Villarreal,,"
"Álex Baena,,""$ 20,883"",""$ 1,085,893"",,""$ 1,085,893"",""$ 1,085,893"",Active,F,23,Spain,Villarreal,,"
"Clément Lenglet,,""$ 20,883"",""$ 1,085,893"",,""$ 1,085,893"",""$ 1,085,893"",Inactive,D,29,France,Barcelona,,"
"Alex Král,,""$ 20,665"",""$ 1,074,582"",,""$ 1,074,582"",""$ 1,074,582"",Loan,M,26,Czech Republic,Espanyol,,"
"Hugo Guillamón,,""$ 20,012"",""$ 1,040,648"",,""$ 1,040,648"",""$ 1,040,648"",Active,M,25,Spain,Valencia,,"
"Rafa Mir,,""$ 19,795"",""$ 1,029,336"",,""$ 1,029,336"",""$ 1,029,336"",Loan,F,27,Spain,Valencia,,"
"Edu Expósito,,""$ 19,577"",""$ 1,018,025"",""$ 158,359"",""$ 1,176,385"",""$ 1,176,385"",Active,M,28,Spain,Espanyol,,"
"Diego Conde,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,K,26,Spain,Villarreal,,"
"Johan Mojica,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,32,Colombia,Mallorca,,"
"Akor Adams,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,25,Nigeria,Sevilla,,"
"Chidera Ejuke,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,27,Nigeria,Sevilla,,"
"Cristhian Mosquera,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,20,Spain,Valencia,,"
"Rubén García,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,31,Spain,Osasuna,,"
"Romain Perraud,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,27,France,Real Betis,,"
"Jorge de Frutos,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,27,Spain,Rayo Vallecano,,"
"Óscar Valentín,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,30,Spain,Rayo Vallecano,,"
"Álvaro Djaló,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,25,Spain,Athletic Club,,"
"Portu,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,32,Spain,Girona,,"
"Nayef Aguerd,,""$ 18,925"",""$ 984,091"",,""$ 984,091"",""$ 984,091"",Loan,D,28,Morocco,Real Sociedad,,"
"Jesús Vallejo,,""$ 18,707"",""$ 972,780"",,""$ 972,780"",""$ 972,780"",Active,D,28,Spain,Real Madrid,,"
"Valentin Rosier,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Active,D,28,France,Leganes,,"
"Toni Martínez,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Active,F,27,Spain,Alaves,,"
"Unai Núñez,,""$ 17,837"",""$ 927,534"",,""$ 927,534"",""$ 927,534"",Loan,D,28,Spain,Athletic Club,,"
"Alejandro Catena,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,30,Spain,Osasuna,,"
"Alejandro Balde,,""$ 17,402"",""$ 904,911"",""$ 226,228"",""$ 1,131,139"",""$ 1,131,139"",Active,D,21,Spain,Barcelona,,"
"Aimar Oroz,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,23,Spain,Osasuna,,"
"Aihen Muñoz,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,27,Spain,Real Sociedad,,"
"Beñat Turrientes,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,23,Spain,Real Sociedad,,"
"Sergi Gómez,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,32,Spain,Espanyol,,"
"Luka Sucic,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,22,Croatia,Real Sociedad,,"
"Dimitri Foulquier,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,32,Guadeloupe,Valencia,,"
"Pepelu,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,26,Spain,Valencia,,"
"Aitor Ruibal,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,28,Spain,Real Betis,,"
"Unai López,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,29,Spain,Rayo Vallecano,,"
"Antonio Raíllo,,""$ 17,185"",""$ 893,600"",,""$ 893,600"",""$ 893,600"",Active,D,33,Spain,Mallorca,,"
"Ilaix Moriba,,""$ 16,967"",""$ 882,288"",,""$ 882,288"",""$ 882,288"",Active,M,22,Guinea,Celta Vigo,,"
"Kenedy,,""$ 16,967"",""$ 882,288"",,""$ 882,288"",""$ 882,288"",Active,F,28,Brazil,Valladolid,,"
"Joseph Aidoo,,""$ 16,750"",""$ 870,977"",,""$ 870,977"",""$ 870,977"",Loan,D,29,Ghana,Valladolid,,"
"Borja Iglesias,,""$ 16,750"",""$ 870,977"",,""$ 870,977"",""$ 870,977"",Active,F,32,Spain,Celta Vigo,,"
"Paulo Gazzaniga,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,K,33,Argentina,Girona,,"
"Jaime Mata,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,F,36,Spain,Las Palmas,,"
"Antonio Sivera,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,K,28,Spain,Alaves,,"
"Pedro Díaz,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,M,26,Spain,Rayo Vallecano,,"
"Andoni Gorosabel,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,D,28,Spain,Athletic Club,,"
"Tajon Buchanan,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Loan,M,25,Canada,Villarreal,,"
"Carl Starfelt,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,D,29,Sweden,Celta Vigo,,"
"Giorgi Mamardashvili,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Loan,K,24,Georgia,Valencia,,"
"Anuar,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Active,F,30,Morocco,Valladolid,,"
"Sergi Canós,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Active,F,28,Spain,Valencia,,"
"Stefan Bajcetic,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Loan,M,20,Spain,Las Palmas,,"
"Alejo Veliz,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Loan,F,21,Argentina,Espanyol,,"
"Marcos André,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Active,F,28,Brazil,Valladolid,,"
"Sandro Ramírez,,""$ 15,662"",""$ 814,420"",,""$ 814,420"",""$ 814,420"",Active,F,29,Spain,Las Palmas,,"
"Adrián,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,38,Spain,Real Betis,,"
"Moi Gómez,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,30,Spain,Osasuna,,"
"Iñigo Ruiz de Galarreta,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,31,Spain,Athletic Club,,"
"Jon Moncayola,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,26,Spain,Osasuna,,"
"Munir El Haddadi,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,29,Morocco,Leganes,,"
"Ander Guevara,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,27,Spain,Alaves,,"
"Toni Lato,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,27,Spain,Mallorca,,"
"Beñat Prados,,""$ 15,227"",""$ 791,797"",""$ 113,114"",""$ 904,911"",""$ 904,911"",Active,M,23,Spain,Athletic Club,,"
"Pablo Maffeo,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,27,Argentina,Mallorca,,"
"Andrei Rațiu,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,26,Romania,Rayo Vallecano,,"
"Renato Tapia,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,29,Peru,Leganes,,"
"Antonio Sánchez,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,27,Spain,Mallorca,,"
"Abde Ezzalzouli,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,23,Morocco,Real Betis,,"
"Takuma Asano,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,30,Japan,Mallorca,,"
"Darwin Machís,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,31,Venezuela,Valladolid,,"
"Jaume Doménech,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,34,Spain,Valencia,,"
"Willy Kambwala,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,20,France,Villarreal,,"
"Sheraldo Becker,,""$ 14,574"",""$ 757,863"",,""$ 757,863"",""$ 757,863"",Active,F,29,Suriname,Real Sociedad,,"
"Gerard Martín,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,D,22,Spain,Barcelona,,"
"Yeremi Pino,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,22,Spain,Villarreal,,"
"Kike Barja,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,27,Spain,Osasuna,,"
"Enzo Boyomo,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,23,Cameroon,Osasuna,,"
"Arsen Zakharyan,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,21,Russia,Real Sociedad,,"
"Domingos Duarte,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,29,Portugal,Getafe,,"
"Jon Guridi,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,29,Spain,Alaves,,"
"Randy Nteka,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,27,Angola,Rayo Vallecano,,"
"Raúl García,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,24,Spain,Osasuna,,"
"Óscar de Marcos,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,35,Spain,Athletic Club,,"
"Max Aarons,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Loan,D,25,England,Valencia,,"
"Samuel Lino,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,25,Brazil,Atletico Madrid,,"
"Enzo Barrenechea,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Loan,M,23,Argentina,Valencia,,"
"Ørjan Nyland,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,K,34,Norway,Sevilla,,"
"Manu Morlanes,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,26,Spain,Mallorca,,"
"Fernando Calero,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,29,Spain,Espanyol,,"
"Pere Milla,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,32,Spain,Espanyol,,"
"Stanko Juric,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,28,Croatia,Valladolid,,"
"Borna Barisic,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Loan,D,32,Croatia,Leganes,,"
"Antonio Candela,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Loan,D,24,Italy,Valladolid,,"
"Yáser Asprilla,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,21,Colombia,Girona,,"
"Ladislav Krejci,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,25,Czech Republic,Girona,,"
"André Almeida,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,24,Portugal,Valencia,,"
"Miguel Gutiérrez,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,23,Spain,Girona,,"
"Stole Dimitrievski,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,K,31,North Macedonia,Valencia,,"
"Franco Cervi,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,30,Argentina,Celta Vigo,,"
"Arnau Martínez,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,21,Spain,Girona,,"
"Álvaro Valles,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,K,27,Spain,Las Palmas,,"
"Umar Sadiq,,""$ 12,617"",""$ 656,061"",,""$ 656,061"",""$ 656,061"",Loan,F,28,Nigeria,Valencia,,"
"Omar Alderete,,""$ 12,617"",""$ 656,061"",,""$ 656,061"",""$ 656,061"",Active,D,28,Paraguay,Getafe,,"
"Cristhian Stuani,,""$ 12,617"",""$ 656,061"",,""$ 656,061"",""$ 656,061"",Active,F,38,Uruguay,Girona,,"
"Óscar Mingueza,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Active,D,25,Spain,Celta Vigo,,"
"Javier Manquillo,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Active,D,30,Spain,Celta Vigo,,"
"Yangel Herrera,,""$ 11,529"",""$ 599,504"",,""$ 599,504"",""$ 599,504"",Active,M,27,Venezuela,Girona,,"
"Adrià Pedrosa,,""$ 11,529"",""$ 599,504"",,""$ 599,504"",""$ 599,504"",Active,D,26,Spain,Sevilla,,"
"Iván Sánchez,,""$ 11,311"",""$ 588,192"",,""$ 588,192"",""$ 588,192"",Active,F,32,Spain,Valladolid,,"
"Mihailo Ristic,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,29,Serbia,Celta Vigo,,"
"Óscar Rodríguez,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,26,Spain,Leganes,,"
"Samú Costa,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,24,Portugal,Mallorca,,"
"Abel Bretones,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,24,Spain,Osasuna,,"
"Oscar Trejo,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,36,Argentina,Rayo Vallecano,,"
"Pep Chavarría,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,26,Spain,Rayo Vallecano,,"
"Álex Sola,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,25,Spain,Getafe,,"
"Leandro Cabrera,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,33,Uruguay,Espanyol,,"
"Jofre Carreras,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,23,Spain,Espanyol,,"
"Jon Pacheco,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,24,Spain,Real Sociedad,,"
"Orri Óskarsson,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,20,Iceland,Real Sociedad,,"
"Pablo Marín,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,21,Spain,Real Sociedad,,"
"Iván Villar,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,27,Spain,Celta Vigo,,"
"Lucien Agoume,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,22,France,Sevilla,,"
"Luis Rioja,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,31,Spain,Valencia,,"
"Thierry Correia,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,25,Portugal,Valencia,,"
"Eray Cömert,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,D,27,Switzerland,Valladolid,,"
"Raúl Moro,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,22,Spain,Valladolid,,"
"Carlos Vicente,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,25,Spain,Alaves,,"
"Antonio Blanco,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,24,Spain,Alaves,,"
"Fernando Pacheco,,""$ 10,441"",""$ 542,947"",,""$ 542,947"",""$ 542,947"",Active,K,32,Spain,Espanyol,,"
"Manu Sánchez,,""$ 10,441"",""$ 542,947"",,""$ 542,947"",""$ 542,947"",Loan,D,24,Spain,Alaves,,"
"Iñigo Lekue,,""$ 10,441"",""$ 542,947"",,""$ 542,947"",""$ 542,947"",Active,D,31,Spain,Athletic Club,,"
"Kiko Femenía,,""$ 10,441"",""$ 542,947"",,""$ 542,947"",""$ 542,947"",Active,D,34,Spain,Villarreal,,"
"Adrián Embarba,,""$ 10,006"",""$ 520,324"",,""$ 520,324"",""$ 520,324"",Loan,F,32,Spain,Rayo Vallecano,,"
"Sergio Herrera,,""$ 10,006"",""$ 520,324"",,""$ 520,324"",""$ 520,324"",Active,K,31,Spain,Osasuna,,"
"Nahuel Tenaglia,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,28,Argentina,Alaves,,"
"Facundo Garcés,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,25,Argentina,Alaves,,"
"Raúl Albiol,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,39,Spain,Villarreal,,"
"Hugo Álvarez,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,21,Spain,Celta Vigo,,"
"Álvaro Aguado,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,28,Spain,Espanyol,,"
"Alfonso Espino,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,33,Uruguay,Rayo Vallecano,,"
"Iván Balliu,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,33,Albania,Rayo Vallecano,,"
"Pol Lozano,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,25,Spain,Espanyol,,"
"Marc Casadó,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,21,Spain,Barcelona,,"
"Jailson,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,29,Brazil,Celta Vigo,,"
"Thierno Barry,,""$ 9,571"",""$ 497,701"",,""$ 497,701"",""$ 497,701"",Active,F,22,France,Villarreal,,"
"Mamadou Sylla,,""$ 9,354"",""$ 486,390"",,""$ 486,390"",""$ 486,390"",Active,F,30,Senegal,Valladolid,,"
"Youssouf Sabaly,,""$ 8,919"",""$ 463,767"",,""$ 463,767"",""$ 463,767"",Active,D,31,Senegal,Real Betis,,"
"Jon Martín,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,18,Spain,Real Sociedad,,"
"Jasper Cillessen,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,K,35,Netherlands,Las Palmas,,"
"Omar El Hilali,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,21,Morocco,Espanyol,,"
"Sergio Camello,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,23,Spain,Rayo Vallecano,,"
"Héctor Fort,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,18,Spain,Barcelona,,"
"Cyle Larin,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,29,Canada,Mallorca,,"
"Roberto López,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,24,Spain,Leganes,,"
"Mateu Morey Bauzà,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,24,Spain,Mallorca,,"
"Dani Rodríguez,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,36,Spain,Mallorca,,"
"Javi Rodríguez,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,21,Spain,Celta Vigo,,"
"Juanmi Latasa,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,23,Spain,Valladolid,,"
"Tomás Conechny,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,26,Argentina,Alaves,,"
"Javi Hernández,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,26,Spain,Leganes,,"
"Aitor Fernández,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,K,33,Spain,Osasuna,,"
"Maroan Sannadi,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,24,Spain,Athletic Club,,"
"Omar Mascarell,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,32,Equatorial Guinea,Mallorca,,"
"Rubén Peña,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,33,Spain,Osasuna,,"
"José Campaña,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,31,Spain,Las Palmas,,"
"Kirian Rodríguez,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,28,Spain,Las Palmas,,"
"Diego López,,""$ 8,266"",""$ 429,833"",,""$ 429,833"",""$ 429,833"",Active,F,22,Spain,Valencia,,"
"Reinildo Mandava,,""$ 8,266"",""$ 429,833"",,""$ 429,833"",""$ 429,833"",Active,D,31,Mozambique,Atletico Madrid,,"
"Moussa Diarra,,""$ 8,266"",""$ 429,833"",,""$ 429,833"",""$ 429,833"",Active,D,24,Mali,Alaves,,"
"Augusto Batalla,,""$ 8,048"",""$ 418,521"",,""$ 418,521"",""$ 418,521"",Loan,K,28,Argentina,Rayo Vallecano,,"
"Julen Agirrezabala,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,K,24,Spain,Athletic Club,,"
"Aleksandar Sedlar,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,33,Serbia,Alaves,,"
"Abdón Prats,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,32,Spain,Mallorca,,"
"Asier Villalibre,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,27,Spain,Alaves,,"
"Bojan Miovski,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,25,North Macedonia,Girona,,"
"Hugo Sotelo,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,21,Spain,Celta Vigo,,"
"Robert Navarro,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,22,Spain,Mallorca,,"
"Alejandro Francés,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,22,Spain,Girona,,"
"Amath Ndiaye,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,28,Senegal,Valladolid,,"
"Carlos Benavidez,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,26,Uruguay,Alaves,,"
"Álvaro Fernández,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,K,26,Spain,Sevilla,,"
"Javi López,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,22,Spain,Real Sociedad,,"
"Juan Iglesias,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,26,Spain,Getafe,,"
"Joan García,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,K,23,Spain,Espanyol,,"
"Javi Muñoz,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,29,Spain,Las Palmas,,"
"Iker Muñoz,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,22,Spain,Osasuna,,"
"Iván Jaime,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,F,24,Spain,Valencia,,"
"José Manuel Arnáiz,,""$ 7,178"",""$ 373,276"",,""$ 373,276"",""$ 373,276"",Active,F,29,Spain,Osasuna,,"
"Javi Sánchez,,""$ 6,961"",""$ 361,964"",,""$ 361,964"",""$ 361,964"",Active,D,27,Spain,Valladolid,,"
"Gerard Gumbau,,""$ 6,743"",""$ 350,653"",,""$ 350,653"",""$ 350,653"",Loan,M,30,Spain,Rayo Vallecano,,"
"Kike García,,""$ 6,743"",""$ 350,653"",,""$ 350,653"",""$ 350,653"",Active,F,35,Spain,Alaves,,"
"Carles Aleñá,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Loan,M,27,Spain,Alaves,,"
"Alex Suárez,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,31,Spain,Las Palmas,,"
"Marc Cardona,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,29,Spain,Las Palmas,,"
"Enzo Loiodice,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,M,24,France,Las Palmas,,"
"Jesús Vázquez,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,22,Spain,Valencia,,"
"Peque Fernández,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,F,22,Spain,Sevilla,,"
"Dani Cárdenas,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,K,27,Spain,Rayo Vallecano,,"
