"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Gonzalo Villar,,""$ 15,401"",""$ 800,861"",,""$ 800,861"",""$ 845,080"",Loan,M,24,Spain,Getafe,,"
"Pape Gueye,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Loan,M,24,Senegal,Sevilla,,"
"Haris Seferovic,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Loan,F,30,Switzerland,Celta Vigo,,"
"Pepe Reina,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,K,40,Spain,Villarreal,,"
"Unai Vencedor,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,M,22,Spain,Athletic Club,,"
"Giorgi Mamardashvili,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,K,22,Georgia,Valencia,,"
"Chimy Ávila,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,F,28,Argentina,Osasuna,,"
"Luis Suárez,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Loan,F,25,Colombia,Almeria,,"
"Víctor Ruiz,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,D,34,Spain,Real Betis,,"
"Yunus Musah,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,M,20,United States,Valencia,,"
"Joaquín,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,F,41,Spain,Real Betis,,"
"José Luis Morales,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,F,35,Spain,Villarreal,,"
"Anuar,,""$ 14,985"",""$ 779,216"",,""$ 779,216"",""$ 822,240"",Active,M,28,Morocco,Valladolid,,"
"Moi Gómez,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 799,400"",Active,F,28,Spain,Osasuna,,"
"Pablo Maffeo,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 799,400"",Active,D,25,Spain,Mallorca,,"
"Jon Moncayola,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 799,400"",Active,M,24,Spain,Osasuna,,"
"Antonio Sánchez,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 799,400"",Active,M,25,Spain,Mallorca,,"
"Álvaro García,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 799,400"",Active,F,30,Spain,Rayo Vallecano,,"
"Darwin Machís,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 799,400"",Active,F,29,Venezuela,Valladolid,,"
"Andrés Guardado,,""$ 13,944"",""$ 725,104"",,""$ 725,104"",""$ 765,140"",Active,M,36,Mexico,Real Betis,,"
"Alberto Moreno,,""$ 13,944"",""$ 725,104"",,""$ 725,104"",""$ 765,140"",Active,D,30,Spain,Villarreal,,"
"Agustín Marchesín,,""$ 13,944"",""$ 725,104"",,""$ 725,104"",""$ 765,140"",Active,K,34,Argentina,Celta Vigo,,"
"Florian Lejeune,,""$ 13,944"",""$ 725,104"",,""$ 725,104"",""$ 765,140"",Loan,D,31,France,Rayo Vallecano,,"
"Gonzalo Montiel,,""$ 13,736"",""$ 714,282"",,""$ 714,282"",""$ 753,720"",Active,D,26,Argentina,Sevilla,,"
"Yeremi Pino,,""$ 13,528"",""$ 703,459"",,""$ 703,459"",""$ 742,300"",Active,F,20,Spain,Villarreal,,"
"Rodrigo Battaglia,,""$ 13,112"",""$ 681,814"",,""$ 681,814"",""$ 719,460"",Active,M,31,Argentina,Mallorca,,"
"Manu Morlanes,,""$ 13,112"",""$ 681,814"",,""$ 681,814"",""$ 719,460"",Loan,M,24,Spain,Mallorca,,"
"Juan Miranda,,""$ 12,904"",""$ 670,992"",,""$ 670,992"",""$ 708,040"",Active,D,23,Spain,Real Betis,,"
"Marko Dmitrović,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Active,K,31,Serbia,Sevilla,,"
"Domingos Duarte,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Active,D,27,Portugal,Getafe,,"
"Juan Cruz,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Active,D,30,Spain,Osasuna,,"
"Fernando Calero,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Active,D,27,Spain,Espanyol,,"
"Ayoze Pérez,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Loan,F,29,Spain,Real Betis,,"
"Samuel Lino,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Loan,F,23,Brazil,Valencia,,"
"Franco Cervi,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Active,F,28,Argentina,Celta Vigo,,"
"Miguel Gutiérrez,,""$ 12,487"",""$ 649,347"",,""$ 649,347"",""$ 685,200"",Active,D,21,Spain,Girona,,"
"Falcao,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,F,36,Colombia,Rayo Vallecano,,"
"Ander Capa,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,D,30,Spain,Athletic Club,,"
"Sergi Gómez,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,D,30,Spain,Espanyol,,"
"Edgar González,,""$ 12,071"",""$ 627,702"",""$ 151,514"",""$ 779,216"",""$ 822,240"",Active,D,25,Spain,Real Betis,,"
"Claudio Bravo,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,K,40,Chile,Real Betis,,"
"Omar Alderete,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Loan,D,26,Paraguay,Getafe,,"
"Diego Rico,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,D,29,Spain,Real Sociedad,,"
"Aleix García,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,M,25,Spain,Girona,,"
"Cristhian Stuani,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,F,36,Uruguay,Girona,,"
"Manu Trigueros,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Active,M,31,Spain,Villarreal,,"
"Óscar Rodríguez,,""$ 12,071"",""$ 627,702"",,""$ 627,702"",""$ 662,360"",Loan,F,24,Spain,Celta Vigo,,"
"Óscar Mingueza,,""$ 11,447"",""$ 595,235"",,""$ 595,235"",""$ 628,100"",Active,D,23,Spain,Celta Vigo,,"
"Rubén García,,""$ 11,447"",""$ 595,235"",,""$ 595,235"",""$ 628,100"",Active,F,29,Spain,Osasuna,,"
"Lucas Robertone,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 605,260"",Active,M,25,Argentina,Almeria,,"
"Eray Cömert,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 605,260"",Active,D,24,Switzerland,Valencia,,"
"Samuel Chukwueze,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 605,260"",Active,F,23,Nigeria,Villarreal,,"
"Dani Vivian,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 605,260"",Active,D,23,Spain,Athletic Club,,"
"Yangel Herrera,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 605,260"",Loan,M,25,Venezuela,Girona,,"
"Théo Bongonda,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 605,260"",Active,F,27,Democratic Republic of the Congo,Cadiz,,"
"Johan Mojica,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 605,260"",Active,D,30,Colombia,Villarreal,,"
"Carlos Clerc,,""$ 10,822"",""$ 562,767"",,""$ 562,767"",""$ 593,840"",Active,D,30,Spain,Elche,,"
"Tino Kadewere,,""$ 10,822"",""$ 562,767"",,""$ 562,767"",""$ 593,840"",Loan,F,27,Zimbabwe,Mallorca,,"
"Iván Sánchez,,""$ 10,822"",""$ 562,767"",,""$ 562,767"",""$ 593,840"",Active,F,30,Spain,Valladolid,,"
"Ludwig Augustinsson,,""$ 10,614"",""$ 551,945"",,""$ 551,945"",""$ 582,420"",Loan,D,28,Sweden,Mallorca,,"
"Jorge Cuenca,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 571,000"",Active,D,23,Spain,Villarreal,,"
"Martin Braithwaite,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 571,000"",Inactive,F,31,Denmark,Barcelona,,"
"Óscar Trejo,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 571,000"",Active,F,34,Argentina,Rayo Vallecano,,"
"Sergio Asenjo,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 571,000"",Active,K,33,Spain,Valladolid,,"
"André Almeida,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 571,000"",Active,M,22,Portugal,Valencia,,"
"Pol Lirola,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Loan,D,25,Spain,Elche,,"
"Abner,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,D,22,Brazil,Real Betis,,"
"Kiko Femenía,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,D,31,Spain,Villarreal,,"
"Aleix Vidal,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,D,33,Spain,Espanyol,,"
"Lucas Olaza,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,D,28,Uruguay,Valladolid,,"
"Sergio León,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,F,34,Spain,Valladolid,,"
"Iñigo Lekue,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,D,29,Spain,Athletic Club,,"
"Mikel Vesga,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,M,29,Spain,Athletic Club,,"
"Fernando Pacheco,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,K,30,Spain,Espanyol,,"
"Álvaro Negredo,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,F,37,Spain,Cadiz,,"
"Carlos Fernández,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 548,160"",Active,F,26,Spain,Real Sociedad,,"
"Adrián Embarba,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 525,320"",Active,F,30,Spain,Almeria,,"
"Sergio Herrera,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 525,320"",Active,K,29,Spain,Osasuna,,"
"Martin Hongla,,""$ 9,366"",""$ 487,010"",,""$ 487,010"",""$ 513,900"",Loan,M,24,Cameroon,Valladolid,,"
"Valentín Castellanos,,""$ 9,157"",""$ 476,188"",,""$ 476,188"",""$ 502,480"",Loan,F,24,Argentina,Girona,,"
"Rui Silva,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 491,060"",Active,K,28,Portugal,Real Betis,,"
"Joseba Zaldua,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 491,060"",Active,D,30,Spain,Cadiz,,"
"Ronaël Pierre-Gabriel,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 491,060"",Loan,D,24,France,Espanyol,,"
"Jorge Meré,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 491,060"",Loan,D,25,Spain,Cadiz,,"
"Mikel Balenziaga,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 491,060"",Active,D,34,Spain,Athletic Club,,"
"Andoni Gorosabel,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 491,060"",Active,D,26,Spain,Real Sociedad,,"
"Pedro Bigas,,""$ 8,741"",""$ 454,543"",,""$ 454,543"",""$ 479,640"",Active,D,33,Spain,Elche,,"
"Nacho Vidal,,""$ 8,741"",""$ 454,543"",,""$ 454,543"",""$ 479,640"",Active,D,28,Spain,Osasuna,,"
"Ander Guevara,,""$ 8,741"",""$ 454,543"",,""$ 454,543"",""$ 479,640"",Active,M,25,Spain,Real Sociedad,,"
"Ivo Grbic,,""$ 8,533"",""$ 443,720"",,""$ 443,720"",""$ 468,220"",Active,K,27,Croatia,Atletico Madrid,,"
"Enes Ünal,,""$ 8,533"",""$ 443,720"",,""$ 443,720"",""$ 468,220"",Active,F,25,Turkey,Getafe,,"
"Aihen Muñoz,,""$ 8,533"",""$ 443,720"",,""$ 443,720"",""$ 468,220"",Active,D,25,Spain,Real Sociedad,,"
"Paulo Gazzaniga,,""$ 8,533"",""$ 443,720"",,""$ 443,720"",""$ 468,220"",Loan,K,31,Argentina,Girona,,"
"Youssouf Sabaly,,""$ 8,533"",""$ 443,720"",,""$ 443,720"",""$ 468,220"",Active,D,29,Senegal,Real Betis,,"
"Predrag Rajković,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 456,800"",Active,K,27,Serbia,Mallorca,,"
"Jeremías Ledesma,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 456,800"",Active,K,29,Argentina,Cadiz,,"
"Thierry Correia,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 456,800"",Active,D,23,Portugal,Valencia,,"
"Leandro Cabrera,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 456,800"",Active,D,31,Uruguay,Espanyol,,"
"Kike Barja,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 456,800"",Active,F,25,Spain,Osasuna,,"
"Rubén Peña,,""$ 8,325"",""$ 432,898"",,""$ 432,898"",""$ 456,800"",Active,D,31,Spain,Osasuna,,"
"Omar Mascarell,,""$ 8,117"",""$ 422,076"",,""$ 422,076"",""$ 445,380"",Active,M,29,Spain,Elche,,"
"Francisco Portillo,,""$ 8,117"",""$ 422,076"",,""$ 422,076"",""$ 445,380"",Active,F,32,Spain,Almeria,,"
"Iddrisu Baba,,""$ 8,117"",""$ 422,076"",,""$ 422,076"",""$ 445,380"",Active,M,27,Ghana,Mallorca,,"
"Jon Morcillo,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 433,960"",Active,F,24,Spain,Athletic Club,,"
"Reinildo Mandava,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 433,960"",Active,D,29,Mozambique,Atletico Madrid,,"
"Giovanni González,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 433,960"",Active,D,28,Uruguay,Mallorca,,"
"Ante Budimir,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 433,960"",Active,F,31,Croatia,Osasuna,,"
"David García,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 433,960"",Active,D,28,Spain,Osasuna,,"
"Luiz Henrique,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 433,960"",Active,F,22,Brazil,Real Betis,,"
"Rubén Sobrino,,""$ 7,909"",""$ 411,253"",,""$ 411,253"",""$ 433,960"",Active,F,31,Spain,Cadiz,,"
"Manu Sánchez,,""$ 7,701"",""$ 400,431"",,""$ 400,431"",""$ 422,540"",Loan,D,22,Spain,Osasuna,,"
"Sergio Escudero,,""$ 7,701"",""$ 400,431"",,""$ 400,431"",""$ 422,540"",Active,D,33,Spain,Valladolid,,"
"Dennis Hadzikadunic,,""$ 7,701"",""$ 400,431"",,""$ 400,431"",""$ 422,540"",Loan,D,24,Bosnia-Herzegovina,Mallorca,,"
"Rubén Alcaraz,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 411,120"",Active,M,32,Spain,Cadiz,,"
"Alexander Callens,,""$ 7,492"",""$ 389,608"",,""$ 389,608"",""$ 411,120"",Active,D,30,Peru,Girona,,"
"Fede San Emeterio,,""$ 7,284"",""$ 378,786"",,""$ 378,786"",""$ 399,700"",Active,M,25,Spain,Cadiz,,"
"Alejandro Pozo,,""$ 7,284"",""$ 378,786"",,""$ 378,786"",""$ 399,700"",Active,D,23,Spain,Almeria,,"
"Gonçalo Paciência,,""$ 7,284"",""$ 378,786"",,""$ 378,786"",""$ 399,700"",Active,F,28,Portugal,Celta Vigo,,"
"Aitor Fernández,,""$ 7,076"",""$ 367,963"",,""$ 367,963"",""$ 388,280"",Active,K,31,Spain,Osasuna,,"
"Martin Valjent,,""$ 7,076"",""$ 367,963"",,""$ 367,963"",""$ 388,280"",Active,D,27,Slovakia,Mallorca,,"
"Álvaro Fernández,,""$ 7,076"",""$ 367,963"",,""$ 367,963"",""$ 388,280"",Loan,K,24,Spain,Espanyol,,"
"César Montes,,""$ 6,868"",""$ 357,141"",,""$ 357,141"",""$ 376,860"",Active,D,25,Mexico,Espanyol,,"
"Jawad El Yamiq,,""$ 6,660"",""$ 346,318"",,""$ 346,318"",""$ 365,440"",Active,D,30,Morocco,Valladolid,,"
"Augusto Solari,,""$ 6,660"",""$ 346,318"",,""$ 346,318"",""$ 365,440"",Active,F,31,Argentina,Celta Vigo,,"
"Iñigo Ruiz de Galarreta,,""$ 6,660"",""$ 346,318"",,""$ 346,318"",""$ 365,440"",Active,M,29,Spain,Mallorca,,"
"Javi Sánchez,,""$ 6,660"",""$ 346,318"",,""$ 346,318"",""$ 365,440"",Active,D,25,Spain,Valladolid,,"
"Stole Dimitrievski,,""$ 6,660"",""$ 346,318"",,""$ 346,318"",""$ 365,440"",Active,K,29,North Macedonia,Rayo Vallecano,,"
"Édgar Badía,,""$ 6,452"",""$ 335,496"",,""$ 335,496"",""$ 354,020"",Active,K,30,Spain,Elche,,"
"Ander Barrenetxea,,""$ 6,452"",""$ 335,496"",,""$ 335,496"",""$ 354,020"",Active,F,21,Spain,Real Sociedad,,"
"Kaiky,,""$ 6,452"",""$ 335,496"",,""$ 335,496"",""$ 354,020"",Active,D,19,Brazil,Almeria,,"
"Carles Aleñá,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,M,25,Spain,Getafe,,"
"Fidel,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,F,33,Spain,Elche,,"
"Choco Lozano,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,F,29,Honduras,Cadiz,,"
"Darko Brasanac,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,M,30,Serbia,Osasuna,,"
"Kike García,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,F,33,Spain,Osasuna,,"
"Pathé Ciss,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,M,28,Senegal,Rayo Vallecano,,"
"Juan Iglesias,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,D,24,Spain,Getafe,,"
"Damián Suárez,,""$ 6,244"",""$ 324,673"",,""$ 324,673"",""$ 342,600"",Active,D,34,Uruguay,Getafe,,"
"Juanpe,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,D,32,Spain,Girona,,"
"Reinier,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Loan,F,21,Brazil,Girona,,"
"Nico González,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Loan,M,21,Spain,Valencia,,"
"Sergio Akieme,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,D,25,Spain,Almeria,,"
"Jon Pacheco,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,D,22,Spain,Real Sociedad,,"
"Kevin Vázquez,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,D,30,Spain,Celta Vigo,,"
"Fabrizio Angileri,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,D,28,Argentina,Getafe,,"
"Filip Jörgensen,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,K,20,Denmark,Villarreal,,"
"Santiago Bueno,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,D,24,Uruguay,Girona,,"
"Léo Baptistão,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,F,30,Brazil,Almeria,,"
"Aitor Ruibal,,""$ 6,036"",""$ 313,851"",,""$ 313,851"",""$ 331,180"",Active,D,26,Spain,Real Betis,,"
"Cenk Özkacar,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 319,760"",Loan,D,22,Turkey,Valencia,,"
"El Bilal Touré,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 319,760"",Active,F,21,Mali,Almeria,,"
"Juan Cala,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 319,760"",Active,D,33,Spain,Cadiz,,"
"Roger Martí,,""$ 5,827"",""$ 303,029"",,""$ 303,029"",""$ 319,760"",Loan,F,32,Spain,Cadiz,,"
"Luis Hernández,,""$ 5,619"",""$ 292,206"",,""$ 292,206"",""$ 308,340"",Active,D,33,Spain,Cadiz,,"
"Martín Merquelanz,,""$ 5,619"",""$ 292,206"",,""$ 292,206"",""$ 308,340"",Active,F,27,Spain,Real Sociedad,,"
"Dani Gómez,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Loan,F,24,Spain,Espanyol,,"
"Jörgen Strand Larsen,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,F,22,Norway,Celta Vigo,,"
"Mario Suárez,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,D,35,Spain,Rayo Vallecano,,"
"Brian Ocampo,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,F,23,Uruguay,Cadiz,,"
"Jaime Seoane,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,M,26,Spain,Getafe,,"
"José Ángel Carmona,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Loan,D,21,Spain,Elche,,"
"Clément Grenier,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,M,32,France,Mallorca,,"
"Unai López,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,M,27,Spain,Rayo Vallecano,,"
"Gonzalo Melero,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,M,29,Spain,Almeria,,"
"Brian Oliván,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,D,28,Spain,Espanyol,,"
"Dyego Sousa,,""$ 5,411"",""$ 281,384"",,""$ 281,384"",""$ 296,920"",Active,F,33,Portugal,Almeria,,"
"Unai García,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 285,500"",Active,D,30,Spain,Osasuna,,"
"Youba Diarra,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 285,500"",Active,M,24,Mali,Cadiz,,"
"Santi Comesaña,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 285,500"",Active,M,26,Spain,Rayo Vallecano,,"
"Luis Pérez,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 285,500"",Active,D,27,Spain,Valladolid,,"
"Abdul Mumin,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 285,500"",Active,D,24,Ghana,Rayo Vallecano,,"
"Nicolas Jackson,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 285,500"",Active,F,21,Senegal,Villarreal,,"
"Óscar Gil,,""$ 5,203"",""$ 270,561"",,""$ 270,561"",""$ 285,500"",Active,D,24,Spain,Espanyol,,"
"Alfonso Espino,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,D,31,Uruguay,Cadiz,,"
"Diego López,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,K,41,Spain,Rayo Vallecano,,"
"Rodri,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,F,22,Spain,Real Betis,,"
"Fali,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,D,29,Spain,Cadiz,,"
"Adrià Pedrosa,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,D,24,Spain,Espanyol,,"
"Beñat Turrientes,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,M,21,Spain,Real Sociedad,,"
"Álex Fernández,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,F,30,Spain,Cadiz,,"
"Óscar Plano,,""$ 4,995"",""$ 259,739"",,""$ 259,739"",""$ 274,080"",Active,F,31,Spain,Valladolid,,"
"Jordi Masip,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,K,34,Spain,Valladolid,,"
"Gonzalo Plata,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,F,22,Ecuador,Valladolid,,"
"Iza Carcelén,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,D,29,Spain,Cadiz,,"
"Jesús Vázquez,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,D,20,Spain,Valencia,,"
"José Gragera,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,M,22,Spain,Espanyol,,"
"Bernardo Espinosa,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,D,33,Colombia,Girona,,"
"Toni Villa,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,F,28,Spain,Girona,,"
"Raúl Guti,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,M,26,Spain,Elche,,"
"Iván Alejo,,""$ 4,787"",""$ 248,916"",,""$ 248,916"",""$ 262,660"",Active,F,27,Spain,Cadiz,,"
"Nico Melamed,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 251,240"",Active,F,21,Spain,Espanyol,,"
"Sergio Camello,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 251,240"",Loan,F,21,Spain,Rayo Vallecano,,"
"Iñigo Eguaras,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 251,240"",Active,M,30,Spain,Almeria,,"
"Selim Amallah,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 251,240"",Active,F,26,Morocco,Valladolid,,"
"Iván Balliu,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 251,240"",Active,D,31,Albania,Rayo Vallecano,,"
"Paul Akouokou,,""$ 4,579"",""$ 238,094"",,""$ 238,094"",""$ 251,240"",Active,M,25,Cote d'Ivoire,Real Betis,,"
"Fernando Martínez,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 239,820"",Active,K,32,Spain,Almeria,,"
"Dani Rodríguez,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 239,820"",Active,F,34,Spain,Mallorca,,"
"Rodrigo Ely,,""$ 4,371"",""$ 227,271"",,""$ 227,271"",""$ 239,820"",Active,D,29,Brazil,Almeria,,"
"Julen Agirrezabala,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,K,22,Spain,Athletic Club,,"
"Jaume Costa,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Active,D,35,Spain,Mallorca,,"
"Cyle Larin,,""$ 4,162"",""$ 216,449"",,""$ 216,449"",""$ 228,400"",Loan,F,27,Canada,Valladolid,,"
