"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Axel Witsel,,""$ 83,250"",""$ 4,328,980"",,""$ 4,328,980"",""$ 4,568,000"",Active,M,34,Belgium,Atletico Madrid,,"
"Mariano Díaz,,""$ 83,250"",""$ 4,328,980"",,""$ 4,328,980"",""$ 4,568,000"",Active,F,29,Dominican Republic,Real Madrid,,"
"Mario Hermoso,,""$ 83,250"",""$ 4,328,980"",,""$ 4,328,980"",""$ 4,568,000"",Active,D,27,Spain,Atletico Madrid,,"
"Marcos Llorente,,""$ 83,250"",""$ 4,328,980"",,""$ 4,328,980"",""$ 4,568,000"",Active,M,28,Spain,Atletico Madrid,,"
"Federico Valverde,,""$ 81,168"",""$ 4,220,756"",,""$ 4,220,756"",""$ 4,453,800"",Active,M,24,Uruguay,Real Madrid,,"
"Éder Militão,,""$ 72,843"",""$ 3,787,857"",""$ 541,122"",""$ 4,328,980"",""$ 4,568,000"",Active,D,25,Brazil,Real Madrid,,"
"Álvaro Odriozola,,""$ 72,843"",""$ 3,787,857"",,""$ 3,787,857"",""$ 3,997,000"",Active,D,27,Spain,Real Madrid,,"
"Ronald Araújo,,""$ 69,930"",""$ 3,636,343"",,""$ 3,636,343"",""$ 3,837,120"",Active,D,23,Uruguay,Barcelona,,"
"Geoffrey Kondogbia,,""$ 68,889"",""$ 3,582,231"",,""$ 3,582,231"",""$ 3,780,020"",Active,M,29,Central African Republic,Atletico Madrid,,"
"Nabil Fekir,,""$ 67,848"",""$ 3,528,119"",,""$ 3,528,119"",""$ 3,722,920"",Active,F,29,France,Real Betis,,"
"Gavi,,""$ 67,848"",""$ 3,528,119"",,""$ 3,528,119"",""$ 3,722,920"",Active,M,18,Spain,Barcelona,,"
"Luiz Felipe,,""$ 66,600"",""$ 3,463,184"",""$ 324,673"",""$ 3,787,857"",""$ 3,997,000"",Active,D,25,Italy,Real Betis,,"
"Rodrigo de Paul,,""$ 66,600"",""$ 3,463,184"",,""$ 3,463,184"",""$ 3,654,400"",Active,M,28,Argentina,Atletico Madrid,,"
"Ivan Rakitic,,""$ 64,518"",""$ 3,354,959"",""$ 649,347"",""$ 4,004,306"",""$ 4,225,400"",Active,M,34,Croatia,Sevilla,,"
"Mikel Oyarzabal,,""$ 62,437"",""$ 3,246,735"",,""$ 3,246,735"",""$ 3,426,000"",Active,F,25,Spain,Real Sociedad,,"
"Marcos Alonso,,""$ 62,437"",""$ 3,246,735"",,""$ 3,246,735"",""$ 3,426,000"",Active,D,32,Spain,Barcelona,,"
"Eric García,,""$ 59,940"",""$ 3,116,866"",,""$ 3,116,866"",""$ 3,288,960"",Active,D,22,Spain,Barcelona,,"
"Gabriel Paulista,,""$ 53,280"",""$ 2,770,547"",,""$ 2,770,547"",""$ 2,923,520"",Active,D,32,Brazil,Valencia,,"
"David Silva,,""$ 52,864"",""$ 2,748,902"",,""$ 2,748,902"",""$ 2,900,680"",Active,F,37,Spain,Real Sociedad,,"
"Munir El Haddadi,,""$ 52,447"",""$ 2,727,257"",,""$ 2,727,257"",""$ 2,877,840"",Active,F,27,Morocco,Getafe,,"
"Brais Méndez,,""$ 52,031"",""$ 2,705,612"",,""$ 2,705,612"",""$ 2,855,000"",Active,F,26,Spain,Real Sociedad,,"
