Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,James Abankwah,ie IRL,DF,Udinese,19,2004,0,,,,,0,,0,0,,6,,,,,,,Matches
2,Tammy Abraham,eng ENG,FW,Roma,25,1997,8,242,30,7.1,2.7,2,60,0,6,20,1,1.38,4,4,0,0.00,-0.54,Matches
3,Salim Abubakar,ne NIG,MF,Sassuolo,20,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
4,Francesco Acerbi,it ITA,DF,Inter,35,1988,29,2388,82,69.8,26.5,26,89,25,3,25,2,2.41,55,19,+36,+1.36,-1.35,Matches
5,Marius Adamonis,lt LTU,GK,Lazio,26,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
6,Yacine Adli,fr FRA,MF,Milan,23,2000,24,1407,59,41.1,15.6,17,74,6,7,21,14,1.88,25,22,+3,+0.19,-0.88,Matches
7,Michel Aebischer,ch SUI,MF,Bologna,26,1997,36,2230,62,65.2,24.8,26,79,13,10,17,1,1.81,29,20,+9,+0.36,-0.62,Matches
8,Lucien Agoume,fr FRA,MF,Inter,21,2002,1,5,5,0.1,0.1,0,,0,1,5,16,3.00,1,0,+1,+18.00,+16.26,Matches
9,Junior Ajayi,ci CIV,FW,Hellas Verona,18,2004,0,,,,,0,,0,0,,2,,,,,,,Matches
10,Marley Aké,fr FRA,"FW,MF",Udinese,22,2001,1,10,10,0.3,0.1,0,,0,1,10,14,1.00,0,0,0,0.00,+0.42,Matches
11,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,1,15,15,0.4,0.2,0,,0,1,15,4,3.00,0,0,0,0.00,-1.77,Matches
12,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,30,1992,19,705,37,20.6,7.8,8,67,1,11,15,15,1.37,9,10,-1,-0.13,+0.24,Matches
13,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,6,57,10,1.7,0.6,0,,0,6,10,6,1.33,0,0,0,0.00,0.00,Matches
14,Luis Alberto,es ESP,MF,Lazio,30,1992,33,2311,70,67.6,25.7,29,77,13,4,18,1,1.55,32,26,+6,+0.23,-0.09,Matches
15,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,10,380,38,11.1,4.2,3,75,1,7,22,3,1.40,8,5,+3,+0.71,+0.12,Matches
16,Filippo Alessio,it ITA,FW,Roma,18,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
17,Pasquale Allocca,it ITA,GK,Salernitana,18,2005,0,,,,,0,,0,0,,12,,,,,,,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,30,2107,70,61.6,23.4,25,79,12,5,24,1,0.97,20,32,-12,-0.51,+0.17,Matches
19,Agustín Álvarez,uy URU,FW,Sassuolo,22,2001,0,,,,,0,,0,0,,3,,,,,,,Matches
20,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,2,22,11,0.6,0.2,0,,0,2,11,15,1.50,0,0,0,0.00,-0.40,Matches
21,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,10,579,58,16.9,6.4,7,76,3,3,16,12,1.00,7,12,-5,-0.78,-0.52,Matches
22,Sofyan Amrabat,ma MAR,"DF,MF",Fiorentina,26,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
23,Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,38,2770,73,81.0,30.8,33,79,14,5,32,0,1.61,38,31,+7,+0.23,-0.19,Matches
24,Angeliño,es ESP,"DF,MF",Roma,26,1997,16,1141,71,33.4,12.7,14,76,5,2,42,0,1.75,22,16,+6,+0.47,-0.04,Matches
25,Jacopo Antolini,it ITA,MF,Torino,19,2004,0,,,,,0,,0,0,,7,,,,,,,Matches
26,Houssem Aouar,dz ALG,"MF,FW",Roma,25,1998,16,756,47,22.1,8.4,9,70,2,7,18,14,1.69,12,9,+3,+0.36,-0.18,Matches
27,Mattia Aramu,it ITA,"FW,MF",Genoa,28,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
28,Riccardo Arboscello,it ITA,MF,Genoa,17,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
29,Simone Aresti,it ITA,GK,Cagliari,37,1986,1,1,1,0.0,0.0,0,,0,1,1,33,0.00,0,1,-1,-90.00,-89.34,Matches
30,Marko Arnautović,at AUT,FW,Inter,34,1989,27,801,30,23.4,8.9,5,74,2,22,20,3,2.59,22,5,+17,+1.91,+0.19,Matches
31,Kristjan Asllani,al ALB,MF,Inter,21,2002,23,787,34,23.0,8.7,6,81,4,17,18,14,2.61,26,3,+23,+2.63,+1.13,Matches
32,Emil Audero,id IDN,GK,Inter,26,1997,4,337,84,9.9,3.7,4,84,3,0,,34,1.75,8,3,+5,+1.34,-0.47,Matches
33,Tommaso Augello,it ITA,"DF,MF",Cagliari,28,1994,32,2418,76,70.7,26.9,28,82,12,4,30,4,1.06,32,46,-14,-0.52,+0.56,Matches
34,Carlos Augusto,br BRA,"MF,DF",Inter,24,1999,37,1725,47,50.4,19.2,14,85,11,23,23,0,2.51,49,8,+41,+2.14,+0.76,Matches
35,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,16,904,57,26.4,10.0,9,90,8,7,14,22,2.50,26,6,+20,+1.99,+0.31,Matches
36,Sardar Azmoun,ir IRN,"FW,MF",Roma,28,1995,23,585,25,17.1,6.5,3,74,1,20,18,6,1.61,18,6,+12,+1.85,+1.62,Matches
37,Paulo Azzi,br BRA,"MF,DF",Cagliari,29,1994,25,950,38,27.8,10.6,9,73,3,16,18,13,0.96,9,19,-10,-0.95,-0.36,Matches
38,Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,18,547,30,16.0,6.1,5,75,2,13,13,11,1.78,8,7,+1,+0.16,-0.49,Matches
39,Milan Badelj,hr CRO,MF,Genoa,34,1989,33,2535,77,74.1,28.2,32,79,10,1,23,2,1.27,34,30,+4,+0.14,+0.55,Matches
40,Jaime Báez,uy URU,"MF,FW",Frosinone,28,1995,11,500,45,14.6,5.6,6,60,0,5,28,21,1.09,9,7,+2,+0.36,+1.19,Matches
41,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1,5,5,0.1,0.1,0,,0,1,5,29,0.00,0,0,0,0.00,-0.58,Matches
42,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,24,1999,28,1310,47,38.3,14.6,15,66,1,13,24,8,0.82,20,35,-15,-1.03,-0.31,Matches
43,Mitchel Bakker,nl NED,MF,Atalanta,23,2000,14,382,27,11.2,4.2,3,51,0,11,21,22,1.29,2,7,-5,-1.18,-2.21,Matches
44,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,20,2003,14,745,53,21.8,8.3,8,76,3,6,23,2,0.57,3,14,-11,-1.33,-0.86,Matches
45,Tommaso Baldanzi,it ITA,"MF,FW",Roma,20,2003,13,518,40,15.1,5.8,6,68,0,7,16,3,1.69,8,6,+2,+0.35,-0.18,Matches
46,Lameck Banda,zm ZAM,"FW,MF",Lecce,22,2001,21,1350,64,39.5,15.0,17,73,2,4,29,1,1.00,15,24,-9,-0.60,-0.03,Matches
47,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,14,446,32,13.0,5.0,3,78,1,11,19,3,1.21,6,11,-5,-1.01,-0.77,Matches
48,Mattia Bani,it ITA,DF,Genoa,29,1993,27,2306,85,67.4,25.6,27,85,23,0,,3,1.37,28,32,-4,-0.16,-0.48,Matches
49,Antonín Barák,cz CZE,"MF,FW",Fiorentina,28,1994,21,808,38,23.6,9.0,8,77,4,13,15,14,1.62,15,10,+5,+0.56,+0.21,Matches
50,Nicolò Barella,it ITA,MF,Inter,26,1997,37,2846,77,83.2,31.6,34,81,17,3,26,0,2.46,72,18,+54,+1.71,-0.33,Matches
51,Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,36,2811,78,82.2,31.2,32,86,20,4,13,0,0.94,36,54,-18,-0.58,+0.46,Matches
52,Davide Bartesaghi,it ITA,MF,Milan,17,2005,6,79,13,2.3,0.9,0,,0,6,13,18,2.67,2,0,+2,+2.28,+1.61,Matches
53,Andrea Bartoccioni,it ITA,GK,Milan,19,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
