Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
380,Marash Kumbulla,al ALB,DF,Roma,22,2000,7,259,37,7.6,2.9,5,48,1,2,9,19,1.57,4,3,+1,+0.35,+0.03,Matches
381,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,21,2001,34,2518,74,73.6,28.0,30,79,8,4,38,0,2.29,58,21,+37,+1.32,+0.13,Matches
382,Giorgos Kyriakopoulos,gr GRE,"FW,DF",Sassuolo,26,1996,12,766,64,22.4,8.5,9,74,1,3,33,8,1.08,10,12,-2,-0.23,+0.17,Matches
383,Giorgos Kyriakopoulos,gr GRE,"DF,MF",Bologna,26,1996,12,704,59,20.6,7.8,8,78,4,4,20,0,1.58,11,8,+3,+0.38,+0.35,Matches
384,Sam Lammers,nl NED,FW,Sampdoria,25,1997,19,1100,58,32.2,12.2,13,75,3,6,20,0,0.47,6,21,-15,-1.23,+0.01,Matches
385,Sam Lammers,nl NED,FW,Empoli,25,1997,14,883,63,25.8,9.8,10,73,4,4,38,1,1.21,9,14,-5,-0.51,-0.26,Matches
386,Kevin Lasagna,it ITA,"FW,MF",Hellas Verona,29,1992,26,1572,60,46.0,17.5,17,76,7,9,31,0,0.81,13,26,-13,-0.74,-0.01,Matches
387,Armand Lauriente,fr FRA,"FW,MF",Sassuolo,23,1998,28,2175,78,63.6,24.2,27,80,9,1,25,0,1.29,33,33,0,0.00,+1.01,Matches
388,Valentino Lazaro,at AUT,MF,Torino,26,1996,23,1373,60,40.1,15.3,15,80,6,8,22,3,1.17,17,17,0,0.00,-0.04,Matches
389,Marko Lazetić,rs SRB,FW,Milan,18,2004,1,9,9,0.3,0.1,0,,0,1,9,4,1.00,0,0,0,0.00,-0.55,Matches
390,Darko Lazović,rs SRB,MF,Hellas Verona,31,1990,30,2242,75,65.6,24.9,27,79,12,3,36,0,0.94,23,36,-13,-0.52,+0.62,Matches
391,Manuel Lazzari,it ITA,DF,Lazio,28,1993,28,1879,67,54.9,20.9,22,80,10,6,21,7,1.75,31,16,+15,+0.72,-0.16,Matches
392,Rafael Leão,pt POR,MF,Milan,23,1999,35,2421,69,70.8,26.9,28,79,13,7,31,0,2.00,53,31,+22,+0.82,+0.91,Matches
393,Mats Lemmens,be BEL,DF,Lecce,20,2002,0,,,,,0,,0,0,,20,,,,,,,Matches
394,Mehdi Léris,dz ALG,MF,Sampdoria,24,1998,32,2460,77,71.9,27.3,29,81,20,3,34,1,0.53,20,49,-29,-1.06,+0.63,Matches
395,Maxime Leverbe,fr FRA,DF,Sampdoria,25,1997,0,,,,,0,,0,0,,3,,,,,,,Matches
396,Karol Linetty,pl POL,MF,Torino,27,1995,32,1886,59,55.1,21.0,22,76,10,10,21,5,1.41,22,26,-4,-0.19,-0.48,Matches
397,Marcin Listkowski,pl POL,"FW,MF",Lecce,24,1998,5,77,15,2.3,0.9,0,,0,5,15,13,0.40,0,1,-1,-1.17,-0.85,Matches
398,Diego Llorente,es ESP,DF,Roma,28,1993,9,573,64,16.8,6.4,5,90,5,4,31,6,1.78,12,7,+5,+0.79,+0.56,Matches
399,Stanislav Lobotka,sk SVK,MF,Napoli,27,1994,38,3101,82,90.7,34.5,34,87,20,4,38,0,2.37,74,27,+47,+1.36,+0.80,Matches
400,Manuel Locatelli,it ITA,MF,Juventus,24,1998,32,2446,76,71.5,27.2,29,81,16,3,31,2,1.94,40,19,+21,+0.77,+0.59,Matches
401,Luka Lochoshvili,ge GEO,DF,Cremonese,24,1998,25,1839,74,53.8,20.4,22,79,9,3,31,7,0.72,21,33,-12,-0.59,+0.61,Matches
402,Ademola Lookman,ng NGA,"FW,MF",Atalanta,24,1997,31,1729,56,50.6,19.2,20,73,3,11,25,1,1.65,38,23,+15,+0.78,+0.62,Matches
403,Maxime Lopez,fr FRA,MF,Sassuolo,24,1997,30,2296,77,67.1,25.5,25,85,18,5,34,2,1.27,29,36,-7,-0.27,+0.29,Matches
404,Arttu Lötjönen,fi FIN,DF,Sampdoria,18,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
405,Corentin Louakima,fr FRA,DF,Roma,19,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
406,Matteo Lovato,it ITA,DF,Salernitana,22,2000,17,814,48,23.8,9.0,8,74,4,9,25,9,1.06,11,22,-11,-1.22,-1.11,Matches
407,Sandi Lovrić,si SVN,MF,Udinese,24,1998,37,2335,63,68.3,25.9,28,75,6,9,27,0,1.22,29,34,-5,-0.19,-0.52,Matches
408,Hirving Lozano,mx MEX,"FW,MF",Napoli,27,1995,32,1605,50,46.9,17.8,20,67,1,12,22,1,2.41,39,8,+31,+1.74,+0.85,Matches
409,Jhon Lucumí,co COL,DF,Bologna,24,1998,33,2900,88,84.8,32.2,33,88,31,0,,1,1.58,51,39,+12,+0.37,+1.76,Matches
410,José Luis Palomino,ar ARG,DF,Atalanta,32,1990,15,759,51,22.2,8.4,8,79,6,7,18,2,1.80,25,15,+10,+1.19,+0.92,Matches
411,Romelu Lukaku,be BEL,FW,Inter,29,1993,25,1660,66,48.5,18.4,19,81,10,6,21,1,1.80,27,16,+11,+0.60,-0.32,Matches
412,Saša Lukić,rs SRB,MF,Torino,25,1996,16,1195,75,34.9,13.3,13,87,12,3,23,0,1.06,13,18,-5,-0.38,-0.62,Matches
413,Sebastiano Luperto,it ITA,DF,Empoli,25,1996,36,3135,87,91.7,34.8,36,87,32,0,,0,1.08,34,44,-10,-0.29,+0.34,Matches
414,Babis Lykogiannis,gr GRE,DF,Bologna,28,1993,21,1108,53,32.4,12.3,11,75,5,10,29,17,1.10,16,19,-3,-0.24,-0.52,Matches
415,Giulio Maggiore,it ITA,MF,Salernitana,24,1998,16,894,56,26.1,9.9,11,65,4,5,36,7,1.00,14,14,0,0.00,+0.50,Matches
416,Giangiacomo Magnani,it ITA,DF,Hellas Verona,26,1995,24,1532,64,44.8,17.0,19,73,10,5,30,5,1.08,14,24,-10,-0.59,+0.27,Matches
417,Federico Magro,it ITA,GK,Lazio,17,2005,0,,,,,0,,0,0,,2,,,,,,,Matches
418,Mike Maignan,fr FRA,GK,Milan,27,1995,22,1978,90,57.8,22.0,22,90,21,0,,0,1.82,37,21,+16,+0.73,+0.42,Matches
419,Jordan Majchrzak,pl POL,FW,Roma,17,2004,1,14,14,0.4,0.2,0,,0,1,14,5,0.00,1,0,+1,+6.43,+6.14,Matches
420,Jean-Victor Makengo,fr FRA,MF,Udinese,24,1998,16,805,50,23.5,8.9,11,65,0,5,19,1,1.63,13,11,+2,+0.22,+0.33,Matches
421,Lorenzo Malagrida,it ITA,MF,Sampdoria,18,2003,6,109,18,3.2,1.2,0,,0,6,18,18,0.17,0,5,-5,-4.13,-2.99,Matches
422,Daniel Maldini,it ITA,"FW,MF",Spezia,20,2001,18,628,35,18.4,7.0,4,57,0,14,29,10,0.61,5,11,-6,-0.86,-0.05,Matches
