"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),Status,Signed,""Expiration Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029Jun 30, 2030Jun 30, 2031Jun 30, 2032Jun 30, 2035"",Years Remaining 123456710,Net Remaining (USD),Release Clause (USD),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Country,Club,Active,Loan"
"Nahuel Molina,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Active,""Jul 28, 2022"",""Jun 30, 2027"",2,""$ 4,206,721"",""$ 116,853,373"",D,RB,27,Argentina,Atletico Madrid,True,"
"Marash Kumbulla,,""$ 40,449"",""$ 2,103,361"",""$ 525,840"",""$ 2,629,201"",Loan,""Aug 18, 2025"",""Jun 30, 2026"",1,""$ 2,103,361"",,D,CB,25,Albania,Mallorca,True,"
"Dani Vivian,,""$ 39,326"",""$ 2,044,934"",""$ 514,155"",""$ 2,559,089"",Active,""Jun 1, 2024"",""Jun 30, 2032"",7,""$ 14,314,538"",,D,CB,26,Spain,Athletic Club,True,"
"Joan Jordán,,""$ 38,202"",""$ 1,986,507"",""$ 490,784"",""$ 2,477,292"",Active,""Jan 27, 2022"",""Jun 30, 2027"",2,""$ 3,973,015"",,M,CM,31,Spain,Sevilla,True,"
"Nicolas Pépé,,""$ 38,202"",""$ 1,986,507"",""$ 490,784"",""$ 2,477,292"",Active,""Jul 16, 2025"",""Jun 30, 2028"",3,""$ 5,959,522"",,F,RW,30,Cote d'Ivoire,Villarreal,True,"
"Daley Blind,,""$ 35,955"",""$ 1,869,654"",""$ 467,413"",""$ 2,337,067"",Active,""May 15, 2024"",""Jun 30, 2026"",1,""$ 1,869,654"",,D,CB,35,Netherlands,Girona,True,"
"Alfonso Pedraza,,""$ 35,955"",""$ 1,869,654"",""$ 467,413"",""$ 2,337,067"",Active,""May 26, 2022"",""Jun 30, 2026"",1,""$ 1,869,654"",,D,LB,29,Spain,Villarreal,True,"
"Juan Musso,,""$ 35,955"",""$ 1,869,654"",""$ 467,413"",""$ 2,337,067"",Active,""Jun 10, 2025"",""Jun 30, 2028"",3,""$ 5,608,962"",,K,GK,31,Argentina,Atletico Madrid,True,"
"Alexis Sánchez,,""$ 33,708"",""$ 1,752,801"",""$ 444,043"",""$ 2,196,843"",Active,""Sep 1, 2025"",""Jun 30, 2026"",1,""$ 1,752,801"",,F,CF,37,Chile,Sevilla,True,"
"Diego Llorente,,""$ 33,708"",""$ 1,752,801"",""$ 432,357"",""$ 2,185,158"",Active,""Jul 9, 2024"",""Jun 30, 2028"",3,""$ 5,258,402"",,D,CB,32,Spain,Real Betis,True,"
