"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Dusan Vlahovic,,""$ 145,687"",""$ 7,575,715"",,""$ 7,575,715"",""$ 7,767,312"",Active,F,23,Serbia,Juventus,,"
"Samuel Umtiti,,""$ 199,799"",""$ 10,389,552"",,""$ 10,389,552"",""$ 10,652,313"",Loan,D,29,France,Lecce,,"
"Wojciech Szczesny,,""$ 135,281"",""$ 7,034,592"",,""$ 7,034,592"",""$ 7,212,504"",Active,K,33,Poland,Juventus,,"
"Leonardo Bonucci,,""$ 135,281"",""$ 7,034,592"",,""$ 7,034,592"",""$ 7,212,504"",Active,D,35,Italy,Juventus,,"
"Marcelo Brozovic,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,657,696"",Active,M,30,Croatia,Inter Milan,,"
"Lautaro Martínez,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,657,696"",Active,F,25,Argentina,Inter Milan,,"
"Alex Sandro,,""$ 124,874"",""$ 6,493,470"",,""$ 6,493,470"",""$ 6,657,696"",Active,D,32,Brazil,Juventus,,"
"Romelu Lukaku,,""$ 176,905"",""$ 9,199,082"",,""$ 9,199,082"",""$ 9,431,735"",Loan,F,29,Belgium,Inter Milan,,"
"Paul Pogba,,""$ 166,499"",""$ 8,657,960"",""$ 2,164,490"",""$ 10,822,450"",""$ 11,096,159"",Active,M,29,France,Juventus,,"
"Hakan Calhanoglu,,""$ 104,062"",""$ 5,411,225"",,""$ 5,411,225"",""$ 5,548,080"",Active,M,28,Turkey,Inter Milan,,"
"Edin Dzeko,,""$ 104,062"",""$ 5,411,225"",,""$ 5,411,225"",""$ 5,548,080"",Active,F,36,Bosnia-Herzegovina,Inter Milan,,"
"Nicolò Barella,,""$ 104,062"",""$ 5,411,225"",,""$ 5,411,225"",""$ 5,548,080"",Active,M,25,Italy,Inter Milan,,"
"Bremer,,""$ 104,062"",""$ 5,411,225"",""$ 1,082,245"",""$ 6,493,470"",""$ 6,657,696"",Active,D,25,Brazil,Juventus,,"
"Federico Chiesa,,""$ 104,062"",""$ 5,411,225"",,""$ 5,411,225"",""$ 5,548,080"",Active,F,25,Italy,Juventus,,"
