"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Domenico Berardi,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,296,361"",Active,F,29,Italy,Sassuolo,,"
"Leander Dendoncker,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,296,361"",Loan,M,28,Belgium,Napoli,,"
"Alessandro Florenzi,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,296,361"",Active,D,32,Italy,AC Milan,,"
"Davide Frattesi,,""$ 58,273"",""$ 3,030,191"",,""$ 3,030,191"",""$ 3,076,603"",Loan,M,24,Italy,Inter Milan,,"
"Bryan Cristante,,""$ 58,273"",""$ 3,030,191"",""$ 757,548"",""$ 3,787,738"",""$ 3,845,754"",Active,M,28,Italy,Roma,,"
"Danilo,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,395,148"",Active,D,32,Brazil,Juventus,,"
"Christian Pulisic,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,395,148"",Active,F,25,United States,AC Milan,,"
"Evan N'Dicka,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,395,148"",Active,D,24,Cote d'Ivoire,Roma,,"
"Ruben Loftus-Cheek,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,395,148"",Active,M,28,England,AC Milan,,"
"Samuel Chukwueze,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,395,148"",Active,F,24,Nigeria,AC Milan,,"
"Theo Hernández,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,395,148"",Active,D,26,France,AC Milan,,"
"Henrikh Mkhitaryan,,""$ 79,085"",""$ 4,112,402"",,""$ 4,112,402"",""$ 4,175,390"",Active,M,35,Armenia,Inter Milan,,"
"Alexis Sánchez,,""$ 52,029"",""$ 2,705,528"",""$ 541,106"",""$ 3,246,633"",""$ 3,296,361"",Active,F,35,Chile,Inter Milan,,"
"Giacomo Raspadori,,""$ 52,029"",""$ 2,705,528"",""$ 541,106"",""$ 3,246,633"",""$ 3,296,361"",Active,F,23,Italy,Napoli,,"
