"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Tommaso Baldanzi,,""$ 23,493"",""$ 1,221,630"",,""$ 1,221,630"",""$ 1,221,630"",Active,F,21,Italy,Roma,,"
"Rui Patrício,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,K,36,Portugal,Atalanta,,"
"Warren Bondo,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,21,France,AC Milan,,"
"Valentino Lazaro,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,28,Austria,Torino,,"
"Yerry Mina,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,30,Colombia,Cagliari,,"
"Gustav Isaksen,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,23,Denmark,Lazio,,"
"Junior Sambia,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,D,28,France,Empoli,,"
"Eldor Shomurodov,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,29,Uzbekistan,Roma,,"
"Dodô,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,26,Brazil,Fiorentina,,"
"Yann Aurel Bisseck,,""$ 32,629"",""$ 1,696,708"",""$ 339,342"",""$ 2,036,050"",""$ 2,036,050"",Active,D,24,Germany,Inter Milan,,"
"Dennis Man,,""$ 32,629"",""$ 1,696,708"",""$ 565,570"",""$ 2,262,278"",""$ 2,262,278"",Active,F,26,Romania,Parma,,"
"Lazar Samardžić,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,M,22,Serbia,Atalanta,,"
"Ante Rebić,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,31,Croatia,Lecce,,"
"Edoardo Bove,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,22,Italy,Fiorentina,,"
"Gaetano Castrovilli,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,27,Italy,Monza,,"
"Jakub Jankto,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,29,Czech Republic,Cagliari,,"
"Stefano Sensi,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,29,Italy,Monza,,"
"Danilo D'Ambrosio,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,36,Italy,Monza,,"
"Nicolás Valentini,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,D,23,Argentina,Hellas Verona,,"
"Yann Karamoh,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,26,France,Torino,,"
"Rafael Tolói,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,34,Italy,Atalanta,,"
"Saud Abdulhamid,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,25,Saudi Arabia,Roma,,"
"Remo Freuler,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,32,Switzerland,Bologna,,"
"Ionut Radu,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,K,27,Romania,Venezia,,"
"Nicolò Zaniolo,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,F,25,Italy,Fiorentina,,"
"Davide Calabria,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,D,28,Italy,Bologna,,"
"Pietro Comuzzo,,""$ 21,753"",""$ 1,131,139"",""$ 339,342"",""$ 1,470,481"",""$ 1,470,481"",Active,D,20,Italy,Fiorentina,,"
"Gaetano Castrovilli,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Inactive,M,27,Italy,Lazio,,"
"Odilon Kossounou,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,D,24,Cote d'Ivoire,Atalanta,,"
"Nicolas Viola,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,35,Italy,Cagliari,,"
"Juan Jesus,,""$ 21,753"",""$ 1,131,139"",""$ 226,228"",""$ 1,357,367"",""$ 1,357,367"",Active,D,33,Brazil,Napoli,,"
"Sebastiano Luperto,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,28,Italy,Cagliari,,"
"Nicolò Casale,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,D,26,Italy,Bologna,,"
"Alberto Dossena,,""$ 21,753"",""$ 1,131,139"",""$ 226,228"",""$ 1,357,367"",""$ 1,357,367"",Active,D,26,Italy,Como,,"
"Máximo Perrone,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,22,Argentina,Como,,"
"Tommaso Pobega,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,25,Italy,Bologna,,"
"Davide Calabria,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Inactive,D,28,Italy,AC Milan,,"
"Borna Sosa,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,27,Croatia,Torino,,"
"Loum Tchaouna,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,21,France,Lazio,,"
"Marco Brescianini,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,25,Italy,Atalanta,,"
"Pasquale Mazzocchi,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,29,Italy,Napoli,,"
"Fabio Miretti,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,21,Italy,Genoa,,"
"Philip Billing,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,M,28,Denmark,Napoli,,"
"Mario Pasalic,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,29,Croatia,Atalanta,,"
"Marten de Roon,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,33,Netherlands,Atalanta,,"
"Milan Badelj,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,M,35,Croatia,Genoa,,"
"Perr Schuurs,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,D,25,Netherlands,Torino,,"
"Isak Hien,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,D,26,Sweden,Atalanta,,"
"Mattéo Guendouzi,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,M,25,France,Lazio,,"
"Christian Kabasele,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,33,Belgium,Udinese,,"
"Pietro Terracciano,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,K,34,Italy,Fiorentina,,"
"Davide Zappacosta,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,M,32,Italy,Atalanta,,"
"Nicolas Haas,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,29,Switzerland,Empoli,,"
"Gianluca Caprari,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,31,Italy,Monza,,"
"Jean-Daniel Akpa Akpro,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Loan,M,32,Cote d'Ivoire,Monza,,"
"Enrico Del Prato,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,25,Italy,Parma,,"
"Saúl Coco,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,25,Equatorial Guinea,Torino,,"
"Lukasz Skorupski,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,K,33,Poland,Bologna,,"
"Cyril Ngonge,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,24,Belgium,Napoli,,"
"Ivan Ilić,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,23,Serbia,Torino,,"
"Amin Sarr,,""$ 17,620"",""$ 916,223"",,""$ 916,223"",""$ 916,223"",Loan,F,23,Sweden,Hellas Verona,,"
"Marco Carnesecchi,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,K,24,Italy,Atalanta,,"
"Renato Veiga,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Loan,D,21,Portugal,Juventus,,"
"Berat Djimsiti,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,31,Albania,Atalanta,,"
"Matteo Cancellieri,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Loan,F,22,Italy,Parma,,"
"Tiago Djaló,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Inactive,D,24,Portugal,Juventus,,"
"Patrick Ciurria,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,29,Italy,Monza,,"
"Anastasios Douvikas,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,25,Greece,Como,,"
"Matteo Pessina,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,27,Italy,Monza,,"
"Silvere Ganvoula,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,28,Congo,Monza,,"
"Liam Henderson,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,28,Scotland,Empoli,,"
"Pierluigi Gollini,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,K,29,Italy,Roma,,"
"Filippo Terracciano,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,21,Italy,AC Milan,,"
"Reda Belahyane,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,20,Morocco,Lazio,,"
"Ismaël Bennacer,,""$ 17,402"",""$ 904,911"",""$ 226,228"",""$ 1,131,139"",""$ 1,131,139"",Inactive,M,26,Algeria,AC Milan,,"
"Jesse Joronen,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,K,31,Finland,Venezia,,"
"Jean Onana,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Loan,M,25,Cameroon,Genoa,,"
"Tajon Buchanan,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Inactive,M,25,Canada,Inter Milan,,"
"Maxwel Cornet,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Loan,F,28,Cote d'Ivoire,Genoa,,"
"Mandela Keita,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,M,22,Belgium,Parma,,"
"Nicolò Fagioli,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,M,23,Italy,Juventus,,"
"Mërgim Vojvoda,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,D,30,Kosovo,Como,,"
"Lautaro Giannetti,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,D,31,Argentina,Udinese,,"
"Nicolò Fagioli,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Loan,M,23,Italy,Fiorentina,,"
"Leonardo Pavoletti,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,36,Italy,Cagliari,,"
"Vanja Milinković-Savić,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,27,Serbia,Torino,,"
"Alberto Grassi,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,29,Italy,Empoli,,"
"Kike Pérez,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,27,Spain,Venezia,,"
"Jurgen Ekkelenkamp,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,24,Netherlands,Udinese,,"
"Alberto Moreno,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,32,Spain,Como,,"
"Frédéric Guilbert,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,30,France,Lecce,,"
"Marcus Holmgren Pedersen,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Loan,M,24,Norway,Torino,,"
"Daniele Baselli,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,32,Italy,Como,,"
"Marco Silvestri,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,33,Italy,Empoli,,"
"Oumar Solet,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,24,France,Udinese,,"
"Mattia Bani,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,31,Italy,Genoa,,"
"Adrien Tamèze,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,31,France,Torino,,"
"Răzvan Marin,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,28,Romania,Cagliari,,"
"Adam Masina,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,31,Morocco,Torino,,"
"Noah Okafor,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Inactive,F,24,Switzerland,AC Milan,,"
"Mile Svilar,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,K,25,Serbia,Roma,,"
"Pietro Pellegri,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,F,23,Italy,Empoli,,"
"Christian Gytkjaer,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,34,Denmark,Venezia,,"
"Aarón Martín,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,27,Spain,Genoa,,"
"Alexis Saelemaekers,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,F,25,Belgium,Roma,,"
"Ruslan Malinovskyi,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,31,Ukraine,Genoa,,"
"Noah Okafor,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,F,24,Switzerland,Napoli,,"
"Domagoj Bradarić,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,D,25,Croatia,Hellas Verona,,"
"Mario Gila,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,24,Spain,Lazio,,"
"Lewis Ferguson,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,25,Scotland,Bologna,,"
"Luca Caldirola,,""$ 14,792"",""$ 769,175"",,""$ 769,175"",""$ 769,175"",Active,D,34,Italy,Monza,,"
"Nikola Moro,,""$ 21,100"",""$ 1,097,205"",,""$ 1,097,205"",""$ 1,097,205"",Active,M,26,Croatia,Bologna,,"
"Hassane Kamara,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,30,Cote d'Ivoire,Udinese,,"
"Jens Odgaard,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,25,Denmark,Bologna,,"
"Nahuel Estévez,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,29,Argentina,Parma,,"
"Pontus Almqvist,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,25,Sweden,Parma,,"
"Federico Baschirotto,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,28,Italy,Lecce,,"
"John Yeboah,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,24,Ecuador,Venezia,,"
"Wladimiro Falcone,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,K,29,Italy,Lecce,,"
"Cher Ndour,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,20,Italy,Fiorentina,,"
"Youssef Maleh,,""$ 13,052"",""$ 678,683"",""$ 113,114"",""$ 791,797"",""$ 791,797"",Loan,M,26,Morocco,Empoli,,"
"Jesper Karlström,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,29,Sweden,Udinese,,"
"Dany Mota,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,26,Portugal,Monza,,"
"Cheick Condé,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,24,Guinea,Venezia,,"
"Emmanuel Gyasi,,""$ 13,052"",""$ 678,683"",""$ 226,228"",""$ 904,911"",""$ 904,911"",Active,F,31,Ghana,Empoli,,"
"Álex Jiménez,,""$ 13,052"",""$ 678,683"",""$ 226,228"",""$ 904,911"",""$ 904,911"",Active,D,19,Spain,AC Milan,,"
"Marc Oliver Kempf,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,30,Germany,Como,,"
"Gvidas Gineitis,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,20,Lithuania,Torino,,"
"Zito Luvumbo,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,22,Angola,Cagliari,,"
"Mikael Egill Ellertsson,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Loan,M,22,Iceland,Venezia,,"
"Sebastian Walukiewicz,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,24,Poland,Torino,,"
"José Luis Palomino,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,35,Argentina,Cagliari,,"
"Tomás Palacios,,""$ 13,052"",""$ 678,683"",""$ 113,114"",""$ 791,797"",""$ 791,797"",Loan,D,21,Argentina,Monza,,"
"Gabriele Zappa,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,25,Italy,Cagliari,,"
"Nicolò Cambiaghi,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,24,Italy,Bologna,,"
"Ondrej Duda,,""$ 18,707"",""$ 972,780"",,""$ 972,780"",""$ 972,780"",Active,M,30,Slovakia,Hellas Verona,,"
"Jonathan Ikoné,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Loan,F,26,France,Como,,"
"Jonathan Ikoné,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Inactive,F,26,France,Fiorentina,,"
"Morten Thorsby,,""$ 12,182"",""$ 633,438"",,""$ 633,438"",""$ 633,438"",Active,M,28,Norway,Genoa,,"
"Milan Djuric,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,34,Bosnia-Herzegovina,Parma,,"
"Christos Mandas,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,K,23,Greece,Lazio,,"
"Malick Thiaw,,""$ 17,402"",""$ 904,911"",""$ 226,228"",""$ 1,131,139"",""$ 1,131,139"",Active,D,23,Germany,AC Milan,,"
"Yacine Adli,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Loan,M,24,France,Fiorentina,,"
"Jesper Karlsson,,""$ 17,402"",""$ 904,911"",""$ 226,228"",""$ 1,131,139"",""$ 1,131,139"",Loan,F,26,Sweden,Lecce,,"
"Jaka Bijol,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,26,Slovenia,Udinese,,"
"Emil Holm,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,24,Sweden,Bologna,,"
"Morten Frendrup,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,23,Denmark,Genoa,,"
"Adrián Bernabé,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,23,Spain,Parma,,"
"Johan Vásquez,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,26,Mexico,Genoa,,"
"Michel Aebischer,,""$ 17,402"",""$ 904,911"",""$ 226,228"",""$ 1,131,139"",""$ 1,131,139"",Active,M,28,Switzerland,Bologna,,"
"Dan Ndoye,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,24,Switzerland,Bologna,,"
"Victor Nelsson,,""$ 11,964"",""$ 622,126"",,""$ 622,126"",""$ 622,126"",Loan,D,26,Denmark,Roma,,"
"Stefan Posch,,""$ 16,967"",""$ 882,288"",,""$ 882,288"",""$ 882,288"",Loan,D,27,Austria,Atalanta,,"
"Nicola Sansone,,""$ 11,746"",""$ 610,815"",,""$ 610,815"",""$ 610,815"",Active,F,33,Italy,Lecce,,"
"Jhon Lucumí,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,D,26,Colombia,Bologna,,"
"Antonino Gallo,,""$ 11,311"",""$ 588,192"",,""$ 588,192"",""$ 588,192"",Active,D,25,Italy,Lecce,,"
"Brenner,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,F,25,Brazil,Udinese,,"
"Antoine Makoumbou,,""$ 15,879"",""$ 825,731"",,""$ 825,731"",""$ 825,731"",Active,M,26,Congo,Cagliari,,"
"Alessandro Vogliacco,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,D,26,Italy,Parma,,"
"Marco Sportiello,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,32,Italy,AC Milan,,"
"Ibrahim Sulemana,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,21,Ghana,Atalanta,,"
"Matteo Ruggeri,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,22,Italy,Atalanta,,"
"Charalampos Lykogiannis,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,31,Greece,Bologna,,"
"Martin Erlić,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,27,Croatia,Bologna,,"
"Santiago Castro,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,20,Argentina,Bologna,,"
"Adam Obert,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,22,Slovakia,Cagliari,,"
"Gianluca Gaetano,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,F,24,Italy,Cagliari,,"
"Nadir Zortea,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,25,Italy,Cagliari,,"
"Tommaso Augello,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,30,Italy,Cagliari,,"
"Assane Diao,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,19,Spain,Como,,"
"Jean Butez,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,29,France,Como,,"
"Nico Paz,,""$ 10,876"",""$ 565,570"",""$ 113,114"",""$ 678,683"",""$ 678,683"",Active,F,20,Argentina,Como,,"
"Pepe Reina,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,42,Spain,Como,,"
"Yannik Engelhardt,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,23,Germany,Como,,"
"Giuseppe Pezzella,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,27,Italy,Empoli,,"
"Lorenzo Colombo,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,F,22,Italy,Empoli,,"
"Mattia De Sciglio,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,D,32,Italy,Empoli,,"
"Tommaso Martinelli,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,19,Italy,Fiorentina,,"
"Brooke Norton-Cuffy,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,21,England,Genoa,,"
"Davide Faraoni,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,33,Italy,Hellas Verona,,"
"Nicola Zalewski,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,M,23,Poland,Inter Milan,,"
"Alberto Costa,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,21,Portugal,Juventus,,"
"Nicolò Savona,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,22,Italy,Juventus,,"
"André Anderson,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,25,Italy,Lazio,,"
"Oliver Provstgaard,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,21,Denmark,Lazio,,"
"Andrea Carboni,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,24,Italy,Monza,,"
"Alessandro Circati,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,21,Australia,Parma,,"
"Emanuele Valeri,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,26,Italy,Parma,,"
"Jacob Ondrejka,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,22,Sweden,Parma,,"
"Zion Suzuki,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,22,Japan,Parma,,"
"Anass Salah-Eddine,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,23,Netherlands,Roma,,"
"Sandi Lovrić,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,26,Slovenia,Udinese,,"
"Martín Payero,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,26,Argentina,Udinese,,"
