"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Denzel Dumfries,,""$ 87,011"",""$ 4,524,556"",""$ 565,570"",""$ 5,090,125"",""$ 5,090,125"",Active,D,28,Netherlands,Inter Milan,,"
"Christian Pulisic,,""$ 87,011"",""$ 4,524,556"",,""$ 4,524,556"",""$ 4,524,556"",Active,F,26,United States,AC Milan,,"
"Samuel Chukwueze,,""$ 87,011"",""$ 4,524,556"",,""$ 4,524,556"",""$ 4,524,556"",Active,F,25,Nigeria,AC Milan,,"
"Victor Osimhen,,""$ 87,011"",""$ 4,524,556"",""$ 2,262,278"",""$ 6,786,834"",""$ 6,786,834"",Inactive,F,25,Nigeria,Napoli,,"
"Ruben Loftus-Cheek,,""$ 87,011"",""$ 4,524,556"",,""$ 4,524,556"",""$ 4,524,556"",Active,M,29,England,AC Milan,,"
"Evan N'Dicka,,""$ 87,011"",""$ 4,524,556"",,""$ 4,524,556"",""$ 4,524,556"",Active,D,25,Cote d'Ivoire,Roma,,"
"Theo Hernández,,""$ 87,011"",""$ 4,524,556"",,""$ 4,524,556"",""$ 4,524,556"",Active,D,27,France,AC Milan,,"
"Duván Zapata,,""$ 58,732"",""$ 3,054,075"",,""$ 3,054,075"",""$ 3,054,075"",Active,F,33,Colombia,Torino,,"
"Henrikh Mkhitaryan,,""$ 82,660"",""$ 4,298,328"",,""$ 4,298,328"",""$ 4,298,328"",Active,M,36,Armenia,Inter Milan,,"
"Kyle Walker,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Loan,D,34,England,AC Milan,,"
"Santiago Gimenez,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,23,Mexico,AC Milan,,"
"Francisco Conceição,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Loan,F,22,Portugal,Juventus,,"
"Alessandro Buongiorno,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,25,Italy,Napoli,,"
"Giacomo Raspadori,,""$ 54,382"",""$ 2,827,847"",""$ 565,570"",""$ 3,393,417"",""$ 3,393,417"",Active,F,24,Italy,Napoli,,"
"Randal Kolo Muani,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Loan,F,26,France,Juventus,,"
"Emerson,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,26,Brazil,AC Milan,,"
"Stephan El Shaarawy,,""$ 54,382"",""$ 2,827,847"",""$ 1,696,708"",""$ 4,524,556"",""$ 4,524,556"",Active,F,32,Italy,Roma,,"
"Nicolás González,,""$ 78,310"",""$ 4,072,100"",,""$ 4,072,100"",""$ 4,072,100"",Loan,F,26,Argentina,Juventus,,"
