Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Atakan Karazor,Stuttgart,6.81,2627,2.0,4.0,31(1)
Lucas Höler,Freiburg,6.8,1870,6.0,4.0,21(10)
Leo Østigård,Hoffenheim,6.8,928,,,11
Leon Goretzka,Bayern,6.8,1318,4.0,1.0,13(13)
Jeff Chabot,Stuttgart,6.8,2274,3.0,1.0,27(4)
Tuta,Eintracht Frankfurt,6.8,2277,2.0,1.0,26(4)
Philipp Hofmann,Bochum,6.79,2243,3.0,2.0,27(4)
Ko ItakuraBorussia M.,Gladbach,6.79,2790,3.0,,31
Jonas Wind,Wolfsburg,6.78,1972,9.0,3.0,21(10)
Noah Atubolu,Freiburg,6.78,2308,,,26
Pascal Groß,Borussia Dortmund,6.77,2339,,10.0,28(2)
Ivan Ordets,Bochum,6.77,1818,,,21(1)
Nikola VasiljSt.,Pauli,6.77,2970,,,33
Felix Nmecha,Borussia Dortmund,6.77,1512,4.0,1.0,19(7)
Ridle Baku,Wolfsburg,6.76,1175,2.0,1.0,14(1)
David Odogu,Wolfsburg,6.76,194,,,2(1)
Felix Agu,Werder Bremen,6.76,1763,3.0,,21(1)
Ibrahima Sissoko,Bochum,6.75,2625,2.0,1.0,30(2)
Léo ScienzaFC,Heidenheim,6.75,1158,3.0,3.0,13(12)
Marius Bülter,Hoffenheim,6.75,1742,7.0,2.0,22(3)
Lukas Kübler,Freiburg,6.75,1849,5.0,1.0,22(6)
Loïs OpendaRBL,Desconocido,6.75,2465,9.0,5.0,28(5)
Matús Bero,Bochum,6.75,2526,5.0,1.0,29(1)
Castello LukebaRBL,Desconocido,6.75,1577,,,18(5)
Ridle BakuRBL,Desconocido,6.74,1280,2.0,3.0,15(4)
Andrej Kramaric,Hoffenheim,6.74,2782,11.0,8.0,32
Sven Ulreich,Bayern,6.74,90,,,1
Jan SchöppnerFC,Heidenheim,6.74,2690,4.0,3.0,32(1)
Robin HackBorussia M.,Gladbach,6.74,2189,4.0,7.0,27(6)
Maximilian Beier,Borussia Dortmund,6.74,1592,8.0,5.0,17(12)
Marvin PieringerFC,Heidenheim,6.73,2224,7.0,3.0,26(5)
Ansgar Knauff,Eintracht Frankfurt,6.73,1604,4.0,5.0,18(12)
John Tolkin,Holstein Kiel,6.73,694,,1.0,9(2)
Matthias Ginter,Freiburg,6.73,2560,2.0,1.0,28(4)
Frans KrätzigFC,Heidenheim,6.73,1225,1.0,2.0,15(1)
Keven Schlotterbeck,Augsburg,6.73,1298,3.0,1.0,15(3)
Antonio NusaRBL,Desconocido,6.73,1557,3.0,3.0,16(9)
Maximilian Eggestein,Freiburg,6.73,2855,2.0,,33
Karol MetsSt.,Pauli,6.73,900,,,10
Eric SmithSt.,Pauli,6.72,2829,1.0,1.0,32
Hiroki Ito,Bayern,6.72,249,1.0,,3(3)
Christopher Trimmel,Union Berlin,6.72,1746,,3.0,20(6)
Konstantinos Koulierakis,Wolfsburg,6.71,2470,,2.0,28(2)
Alassane PléaBorussia M.,Gladbach,6.71,1916,11.0,4.0,24(6)
Matej Kovár,Leverkusen,6.7,450,,,5
Kamil Grabara,Wolfsburg,6.7,2586,,,29
Niklas Stark,Werder Bremen,6.7,2113,,1.0,25(1)
Josip Stanisic,Bayern,6.7,873,,2.0,9(5)
Florian Grillitsch,Hoffenheim,6.69,605,,,8
Exequiel Palacios,Leverkusen,6.69,1149,1.0,6.0,11(13)
Senne Lynen,Werder Bremen,6.69,2747,,1.0,32
Jeremie Frimpong,Leverkusen,6.69,2328,5.0,5.0,25(8)
Enzo Millot,Stuttgart,6.68,1853,6.0,5.0,22(7)
Leonidas Stergiou,Stuttgart,6.68,857,1.0,2.0,11(1)
Jamie Leweling,Stuttgart,6.68,1678,2.0,2.0,22(5)
Mario Hermoso,Leverkusen,6.68,292,,,3(1)
Ermedin Demirovic,Stuttgart,6.68,1857,15.0,1.0,20(14)
Hennes Behrens,Hoffenheim,6.68,28,,,0(1)
Kevin StögerBorussia M.,Gladbach,6.68,1547,3.0,4.0,16(15)
Benjamin HenrichsRBL,Desconocido,6.68,935,,2.0,10(5)
Budu ZivzivadzeFC,Heidenheim,6.67,957,2.0,2.0,10(5)
Andrej Ilic,Union Berlin,6.67,946,7.0,,11(5)
Danilho Doekhi,Union Berlin,6.67,3060,1.0,,34
Phillipp Mwene,Mainz,6.66,2620,1.0,4.0,32
Kevin Trapp,Eintracht Frankfurt,6.66,2296,,,26
Oliver Baumann,Hoffenheim,6.66,2520,,,28
Mario Götze,Eintracht Frankfurt,6.66,1549,3.0,2.0,18(6)
Aleix García,Leverkusen,6.66,1451,3.0,4.0,17(11)
Emre Can,Borussia Dortmund,6.66,2102,3.0,,23(8)
Julian WeiglBorussia M.,Gladbach,6.65,2888,,2.0,33
Amos Pieper,Werder Bremen,6.65,1501,,,16(7)
Hugo Larsson,Eintracht Frankfurt,6.65,2406,3.0,1.0,28(5)
Anthony Rouault,Stuttgart,6.65,1215,1.0,,14(4)
Robert Andrich,Leverkusen,6.65,1607,2.0,1.0,19(4)
Manolis SaliakasSt.,Pauli,6.65,2324,2.0,1.0,26(4)
Konrad Laimer,Bayern,6.64,1698,2.0,2.0,19(10)
Leopold Querfeld,Union Berlin,6.64,1743,2.0,2.0,17(10)
Nordi Mukiele,Leverkusen,6.64,897,1.0,,10(5)
Hauke WahlSt.,Pauli,6.63,2970,,,33
Patrick Erras,Holstein Kiel,6.63,834,1.0,,10
Robert Skov,Union Berlin,6.63,858,2.0,2.0,11(4)
Arthur Chaves,Hoffenheim,6.63,2189,1.0,,24(2)
