Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Harry Kane,Bayern,7.82,2844,36.0,8.0,32
Serhou Guirassy,Stuttgart,7.73,2214,28.0,2.0,25(3)
Leroy Sané,Bayern,7.68,2142,8.0,11.0,25(2)
Jamal Musiala,Bayern,7.65,1767,10.0,6.0,20(4)
Alejandro Grimaldo,Leverkusen,7.58,2787,10.0,13.0,31(2)
Xavi SimonsRBL,Desconocido,7.58,2675,8.0,11.0,32
Florian Wirtz,Leverkusen,7.5,2384,11.0,11.0,26(6)
Victor Boniface,Leverkusen,7.49,1554,14.0,8.0,18(5)
Nadiem Amiri,Mainz,7.47,1319,1.0,4.0,15
Deniz Undav,Stuttgart,7.45,2100,18.0,9.0,23(7)
Fabian Bredlow,Stuttgart,7.38,360,,,4
Matej Kovár,Leverkusen,7.33,90,,,1
Exequiel Palacios,Leverkusen,7.32,1841,4.0,5.0,21(3)
Niklas BesteFC,Heidenheim,7.32,2625,8.0,11.0,31
Loïs OpendaRBL,Desconocido,7.32,2716,24.0,7.0,33(1)
Maximilian Mittelstädt,Stuttgart,7.28,2106,2.0,4.0,23(8)
David RaumRBL,Desconocido,7.2,2745,2.0,8.0,31
Kevin Stöger,Bochum,7.19,2679,7.0,9.0,32
Dani OlmoRBL,Desconocido,7.17,1455,4.0,5.0,17(4)
Andrej Kramaric,Hoffenheim,7.17,2207,15.0,6.0,25(5)
Chris Führich,Stuttgart,7.15,2595,8.0,7.0,33(1)
Alphonso Davies,Bayern,7.13,2067,2.0,5.0,24(5)
Kingsley Coman,Bayern,7.13,1123,3.0,3.0,15(2)
Granit Xhaka,Leverkusen,7.13,2828,3.0,,32(1)
Joshua Kimmich,Bayern,7.13,2186,1.0,6.0,27(1)
Omar Marmoush,Eintracht Frankfurt,7.11,2311,12.0,6.0,27(2)
Jonas Hofmann,Leverkusen,7.11,2215,5.0,7.0,26(6)
Kjell Wätjen,Borussia Dortmund,7.1,104,,1.0,1(1)
Donyell Malen,Borussia Dortmund,7.1,1786,13.0,1.0,21(6)
Jens Grahl,Eintracht Frankfurt,7.1,180,,1.0,2
Milos Pantovic,Union Berlin,7.09,14,1.0,,0(1)
Leon Goretzka,Bayern,7.08,2243,6.0,7.0,25(5)
Alexander Schwolow,Union Berlin,7.08,90,,,1
Jeremie Frimpong,Leverkusen,7.08,2265,9.0,7.0,27(4)
Tim KleindienstFC,Heidenheim,7.06,2877,12.0,3.0,33
Amadou HaidaraRBL,Desconocido,7.06,1537,2.0,1.0,19(2)
Anton Stach,Hoffenheim,7.05,2326,2.0,3.0,26(5)
Anton Stach,Mainz,7.05,171,,,2
Jadon Sancho,Borussia Dortmund,7.05,954,2.0,2.0,11(3)
Angelo Stiller,Stuttgart,7.04,2697,1.0,5.0,30(1)
Sepp van den Berg,Mainz,7.04,2839,3.0,,31(2)
Julian Brandt,Borussia Dortmund,7.03,2232,7.0,11.0,26(6)
Kim Min-Jae,Bayern,7.03,1971,1.0,1.0,22(3)
Mitchell Weiser,Werder Bremen,7.01,2639,3.0,7.0,30
Ian Maatsen,Borussia Dortmund,7.01,1271,2.0,2.0,15(1)
Franck HonoratBorussia M.,Gladbach,7.0,2359,3.0,9.0,28(4)
Patrick MainkaFC,Heidenheim,7.0,3060,2.0,,34
Nico Schlotterbeck,Borussia Dortmund,6.99,2861,2.0,1.0,32(1)
Jonas Wind,Wolfsburg,6.98,2662,11.0,7.0,31(3)
Benjamin HenrichsRBL,Desconocido,6.98,2532,1.0,5.0,28(5)
Ermedin Demirovic,Augsburg,6.98,2881,15.0,9.0,33
Maximilian Beier,Hoffenheim,6.98,2434,16.0,1.0,29(4)
Marvin Ducksch,Werder Bremen,6.96,2713,12.0,9.0,32(1)
Jonathan Tah,Leverkusen,6.96,2633,4.0,1.0,30(1)
Waldemar Anton,Stuttgart,6.96,2888,,3.0,32(1)
Niclas Füllkrug,Borussia Dortmund,6.96,2225,12.0,8.0,27(2)
Josip Stanisic,Leverkusen,6.94,1257,3.0,1.0,13(7)
Enzo Millot,Stuttgart,6.94,2256,5.0,4.0,27(4)
Ritsu Doan,Freiburg,6.93,2255,7.0,2.0,26(4)
Xaver SchlagerRBL,Desconocido,6.93,2482,,5.0,29
Oliver Baumann,Hoffenheim,6.92,3060,,1.0,34
