Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Tjark Ernst,Hertha Berlin,7.7,90,,,1
Jude Bellingham,Borussia Dortmund,7.58,2693,8.0,4.0,30(1)
Joshua Kimmich,Bayern,7.47,2815,5.0,6.0,32(1)
Niclas Füllkrug,Werder Bremen,7.38,2479,16.0,5.0,28
Christopher NkunkuRBL,Desconocido,7.35,1899,16.0,4.0,20(5)
Jamal Musiala,Bayern,7.34,2212,12.0,10.0,26(7)
Dominik SzoboszlaiRBL,Desconocido,7.32,2453,6.0,8.0,28(3)
Randal Kolo Muani,Eintracht Frankfurt,7.29,2648,15.0,11.0,31(1)
Julian Brandt,Borussia Dortmund,7.28,2412,9.0,8.0,29(3)
Raphaël Guerreiro,Borussia Dortmund,7.27,2296,4.0,12.0,26(1)
Vincenzo Grifo,Freiburg,7.27,2427,15.0,5.0,30(3)
Jonas HofmannBorussia M.,Gladbach,7.25,2693,12.0,9.0,30(1)
Sébastien Haller,Borussia Dortmund,7.21,1232,9.0,3.0,15(4)
Donyell Malen,Borussia Dortmund,7.2,1724,9.0,5.0,22(4)
Julien Duranville,Borussia Dortmund,7.2,28,,,0(1)
Kingsley Coman,Bayern,7.2,1421,8.0,5.0,16(8)
João Cancelo,Bayern,7.2,1015,1.0,4.0,11(4)
Eric Choupo-Moting,Bayern,7.19,1117,10.0,2.0,14(5)
Benjamin Pavard,Bayern,7.17,2432,4.0,1.0,27(3)
Alphonso Davies,Bayern,7.14,2049,1.0,4.0,24(2)
Florian Wirtz,Leverkusen,7.14,1092,1.0,6.0,11(6)
Yann SommerBorussia M.,Gladbach,7.13,900,,,10
Thomas Müller,Bayern,7.12,1672,7.0,8.0,21(6)
Jeff ChabotFC,Koln,7.12,1806,,2.0,21
Jeremie Frimpong,Leverkusen,7.12,2723,8.0,7.0,32(2)
Michael Gregoritsch,Freiburg,7.11,2173,10.0,4.0,27(3)
Serge Gnabry,Bayern,7.1,1943,14.0,5.0,22(12)
Marcus ThuramBorussia M.,Gladbach,7.09,2519,13.0,6.0,28(2)
Leroy Sané,Bayern,7.09,2012,8.0,7.0,20(12)
Nico Schlotterbeck,Borussia Dortmund,7.09,2255,4.0,5.0,27(1)
Frederik Winther,Augsburg,7.08,90,,1.0,1
Florian KainzFC,Koln,7.06,2372,6.0,10.0,31(1)
Moussa Diaby,Leverkusen,7.06,2716,9.0,8.0,33
Willi OrbánRBL,Desconocido,7.04,2951,4.0,,33
Ellyes SkhiriFC,Koln,7.04,2857,7.0,1.0,32
Maximilian Arnold,Wolfsburg,7.02,2775,5.0,3.0,32
Frederik Rønnow,Union Berlin,7.01,2610,,,29
Borna Sosa,Stuttgart,7.01,1961,2.0,7.0,22(3)
Philipp Hofmann,Bochum,7.0,2643,8.0,2.0,31(3)
Konstantinos Mavropanos,Stuttgart,7.0,2288,2.0,1.0,26(2)
Paulo Otávio,Wolfsburg,7.0,2051,,5.0,25
Marvin Ducksch,Werder Bremen,7.0,2867,12.0,6.0,34
Patrick Wimmer,Wolfsburg,6.99,1665,4.0,8.0,23(3)
Jonas HectorFC,Koln,6.99,2826,,2.0,32
Danilho Doekhi,Union Berlin,6.99,2218,5.0,1.0,25
Mats Hummels,Borussia Dortmund,6.98,2022,1.0,,24(6)
Wataru Endo,Stuttgart,6.97,2925,5.0,4.0,33
Ørjan NylandRBL,Desconocido,6.97,180,,1.0,2
Ludovic Ajorque,Mainz,6.97,1220,6.0,1.0,15(2)
Ramy BensebainiBorussia M.,Gladbach,6.96,2487,6.0,1.0,28
Matthias Ginter,Freiburg,6.95,3060,4.0,1.0,34
Ralf Fährmann,Schalke,6.94,1026,,,12
Diant Ramaj,Eintracht Frankfurt,6.94,90,,,1
Mitchell Weiser,Werder Bremen,6.93,2520,2.0,9.0,29(1)
Matthijs de Ligt,Bayern,6.93,2405,3.0,1.0,27(4)
Dani OlmoRBL,Desconocido,6.92,1285,2.0,5.0,15(8)
Christoph Baumgartner,Hoffenheim,6.91,2582,7.0,3.0,33
Sheraldo Becker,Union Berlin,6.91,2582,11.0,7.0,33(1)
Michael Zetterer,Werder Bremen,6.91,151,,,1(1)
Rodrigo Zalazar,Schalke,6.9,1326,1.0,6.0,15(7)
Ritsu Doan,Freiburg,6.9,2445,5.0,4.0,30(3)
Finn Dahmen,Mainz,6.9,720,,,8
Timo HübersFC,Koln,6.89,2558,3.0,,28(1)
Leon Goretzka,Bayern,6.89,1738,3.0,2.0,22(5)
Julian Ryerson,Union Berlin,6.88,1042,,,12(1)
Emre Can,Borussia Dortmund,6.88,1896,2.0,1.0,20(7)
Lucas Tousart,Hertha Berlin,6.87,2948,5.0,2.0,33
Andreas Hanche-Olsen,Mainz,6.87,1497,1.0,2.0,17
Robin Knoche,Union Berlin,6.87,2874,2.0,3.0,32
Sasa Kalajdzic,Stuttgart,6.87,235,,3.0,3
Marc Oliver Kempf,Hertha Berlin,6.87,2713,1.0,,31
Noussair Mazraoui,Bayern,6.86,1072,1.0,4.0,11(8)
Konrad LaimerRBL,Desconocido,6.86,1474,3.0,,17(4)
Felix Nmecha,Wolfsburg,6.86,1841,3.0,5.0,19(11)
Karim Adeyemi,Borussia Dortmund,6.86,1399,6.0,5.0,20(4)
Sadio Mané,Bayern,6.86,1432,7.0,5.0,18(7)
Anton Stach,Mainz,6.85,2078,1.0,4.0,22(8)
Dodi Lukébakio,Hertha Berlin,6.85,2407,11.0,3.0,27(5)
Robert Andrich,Leverkusen,6.85,2409,2.0,2.0,28(1)
Lucas Höler,Freiburg,6.84,1508,5.0,2.0,16(10)
Kevin Stöger,Bochum,6.84,2610,5.0,3.0,29(3)
Kevin Behrens,Union Berlin,6.83,1536,8.0,1.0,17(16)
Jan OlschowskyBorussia M.,Gladbach,6.83,360,,,4
Georginio Rutter,Hoffenheim,6.83,1010,2.0,2.0,11(4)
Ihlas Bebou,Hoffenheim,6.83,1423,7.0,,17(2)
Manuel Neuer,Bayern,6.82,1080,,,12
Karim Onisiwo,Mainz,6.82,2549,10.0,2.0,28(3)
Soichiro Kozuki,Schalke,6.82,383,1.0,,5
Timo WernerRBL,Desconocido,6.82,1948,9.0,3.0,23(4)
Exequiel Palacios,Leverkusen,6.82,1656,4.0,2.0,19(6)
Marius Wolf,Borussia Dortmund,6.81,1570,1.0,1.0,17(8)
Aurélio Buta,Eintracht Frankfurt,6.81,1325,3.0,2.0,15(3)
Manu KonéBorussia M.,Gladbach,6.81,2620,1.0,1.0,30
Philipp Lienhart,Freiburg,6.81,2498,1.0,,27(2)
Lukas Kübler,Freiburg,6.81,1648,2.0,1.0,19(3)
Lars StindlBorussia M.,Gladbach,6.81,1745,8.0,7.0,20(9)
Daichi Kamada,Eintracht Frankfurt,6.8,2271,9.0,6.0,25(7)
Rafal Gikiewicz,Augsburg,6.8,2070,,,23
Tomás Koubek,Augsburg,6.8,990,,,11
Mark Flekken,Freiburg,6.8,3060,,,34
Niklas Süle,Borussia Dortmund,6.8,2116,2.0,3.0,23(6)
Julian Ryerson,Borussia Dortmund,6.8,1417,1.0,,17
Nicolas Höfler,Freiburg,6.79,2822,,1.0,32
Gregor Kobel,Borussia Dortmund,6.79,2430,,,27
Florian Niederlechner,Augsburg,6.79,912,4.0,1.0,10(4)
Josip Juranovic,Union Berlin,6.79,932,2.0,1.0,10(2)
Lee Jae-Sung,Mainz,6.78,1904,7.0,4.0,24(10)
Koen Casteels,Wolfsburg,6.78,3060,,,34
Christopher Trimmel,Union Berlin,6.77,1811,,6.0,20(5)
Serhou Guirassy,Stuttgart,6.76,1653,11.0,,20(2)
Benjamin HenrichsRBL,Desconocido,6.76,2188,2.0,2.0,23(7)
Ermedin Demirovic,Augsburg,6.76,2383,8.0,4.0,30
Stefan Bell,Mainz,6.76,2395,,,26(4)
Abdou DialloRBL,Desconocido,6.76,476,1.0,,5(3)
Ko ItakuraBorussia M.,Gladbach,6.76,1982,,2.0,22(2)
Leandro Barreiro,Mainz,6.75,2144,4.0,3.0,25(6)
Gabriel Vidovic,Bayern,6.74,18,,1.0,0(1)
Hrvoje Smolcic,Eintracht Frankfurt,6.73,467,,,4(5)
Ridle Baku,Wolfsburg,6.73,2582,5.0,3.0,29(4)
Moritz Jenz,Schalke,6.73,946,,,11
Angeliño,Hoffenheim,6.73,2622,,9.0,30(3)
Marcin Kaminski,Schalke,6.73,631,2.0,,7(1)
Marius Bülter,Schalke,6.72,2605,11.0,1.0,30(3)
Tuta,Eintracht Frankfurt,6.72,2717,2.0,1.0,30(1)
Ivan Ordets,Bochum,6.72,2450,,,28(2)
Junior Dina Ebimbe,Eintracht Frankfurt,6.71,1061,3.0,1.0,10(9)
Dayot Upamecano,Bayern,6.71,2348,,1.0,27(2)
Luca Pellegrini,Eintracht Frankfurt,6.71,559,,,7(2)
John Anthony Brooks,Hoffenheim,6.71,1350,,,15
Jakub Kaminski,Wolfsburg,6.7,2074,4.0,2.0,25(6)
Marco Richter,Hertha Berlin,6.7,1844,6.0,5.0,21(8)
Kevin Akpoguma,Hoffenheim,6.7,1952,,,21(7)
Oliver Baumann,Hoffenheim,6.7,3060,,,34
Amine Adli,Leverkusen,6.7,1443,5.0,3.0,16(10)
Jonas OmlinBorussia M.,Gladbach,6.7,1291,,,15
Anthony Losilla,Bochum,6.7,2725,2.0,2.0,31
Xaver SchlagerRBL,Desconocido,6.69,1505,1.0,1.0,16(6)
Kerem Demirbay,Leverkusen,6.69,1548,4.0,3.0,17(8)
Hiroki Ito,Stuttgart,6.69,2563,1.0,1.0,29(1)
