Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Íñigo Ruíz de Galarreta,Athletic Club,6.78,2106,1.0,1.0,25(4)
Carl Starfelt,Celta Vigo,6.78,2221,1.0,,26(1)
Rodrigo De Paul,Atletico,6.77,2088,3.0,5.0,25(9)
Robin Le Normand,Real Sociedad,6.77,2473,2.0,,28(1)
Aitor Ruibal,Real Betis,6.77,1018,2.0,1.0,11(7)
Pau Cubarsí,Barcelona,6.77,1563,,,18(1)
Javi Galán,Real Sociedad,6.77,1076,,1.0,13(1)
Jonathan Bamba,Celta Vigo,6.76,1997,3.0,2.0,24(3)
Lucas Boyé,Granada,6.76,2555,6.0,3.0,30(1)
Luiz Henrique,Real Betis,6.76,612,,3.0,6(8)
Ronald Araujo,Barcelona,6.75,1996,1.0,2.0,21(4)
Sergi Roberto,Barcelona,6.75,864,3.0,2.0,10(4)
David Gil,Cadiz,6.75,371,,,4(1)
David Alaba,Real Madrid,6.75,1156,,1.0,14
Kepa Arrizabalaga,Real Madrid,6.74,1197,,,13(1)
Nemanja Maksimovic,Getafe,6.74,3272,4.0,,37
Ørjan Nyland,Sevilla,6.74,2160,,,24
Mario Hermoso,Atletico,6.74,2558,,1.0,29(2)
José Gayà,Valencia,6.74,1799,1.0,2.0,22(2)
Sergi Darder,Mallorca,6.73,2155,2.0,5.0,21(15)
Florian Lejeune,Rayo Vallecano,6.73,3328,3.0,1.0,37
Unai Núñez,Celta Vigo,6.73,2802,1.0,,31(3)
Jan Oblak,Atletico,6.73,3420,,,38
Kike Salas,Sevilla,6.73,1609,3.0,,20(4)
Yan Couto,Girona,6.73,2246,1.0,8.0,24(10)
Nabil Fekir,Real Betis,6.73,1050,1.0,2.0,10(9)
Kirian Rodríguez,Las Palmas,6.73,3217,6.0,2.0,36(1)
Álex Remiro,Real Sociedad,6.72,3276,,,37
Dani Parejo,Villarreal,6.72,2588,3.0,5.0,29(4)
Vicente Guaita,Celta Vigo,6.72,2402,,,26(1)
Mouctar Diakhaby,Valencia,6.72,1072,1.0,,12(2)
Jeremías Ledesma,Cadiz,6.71,3049,,,34
Joselu,Real Madrid,6.71,1676,10.0,2.0,15(19)
Hugo Duro,Valencia,6.71,2998,13.0,2.0,35(2)
Ángel Correa,Atletico,6.71,1528,9.0,2.0,14(18)
Axel Witsel,Atletico,6.71,2784,2.0,,30(5)
Juan Miranda,Real Betis,6.7,1862,1.0,1.0,21(4)
Sergio Arribas,Almeria,6.7,2057,9.0,4.0,22(12)
Adri Embarba,Almeria,6.7,2487,3.0,2.0,29(7)
Nemanja Gudelj,Sevilla,6.7,1744,1.0,1.0,20(2)
Reinildo Mandava,Atletico,6.69,726,2.0,1.0,7(9)
David López,Girona,6.69,1977,3.0,,25
Jonathan Viera,Las Palmas,6.69,621,2.0,1.0,7(2)
Jorge Cuenca,Villarreal,6.69,1963,3.0,1.0,21(8)
Rui Silva,Real Betis,6.69,2476,,,28
Luis Suárez,Almeria,6.69,918,6.0,,10(5)
Marcos Alonso,Barcelona,6.69,251,,,3(2)
Rubén Alcaraz,Cadiz,6.69,3141,3.0,1.0,36
David García,Osasuna,6.69,2336,,1.0,27
Matija Nastasic,Mallorca,6.69,2257,2.0,,25(1)
Koke,Atletico,6.69,2504,,4.0,32(3)
Luis Milla,Getafe,6.68,2124,,1.0,25(2)
Bruno Méndez,Granada,6.68,1337,2.0,,15(2)
Isi Palazón,Rayo Vallecano,6.68,2810,4.0,1.0,34(3)
Thierry Correia,Valencia,6.68,2162,,2.0,25(6)
Robert Navarro,Cadiz,6.68,1906,1.0,1.0,24(4)
