Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Antoine Griezmann,Atletico,7.69,2863,15.0,16.0,31(7)
Karim Benzema,Real Madrid,7.53,2044,19.0,3.0,24
Robert Lewandowski,Barcelona,7.49,2852,23.0,7.0,33(1)
Leo Román,Mallorca,7.38,90,,,1
Vinícius Júnior,Real Madrid,7.35,2833,10.0,9.0,32(1)
Rodrygo,Real Madrid,7.26,2382,9.0,8.0,25(9)
Memphis Depay,Barcelona,7.23,116,1.0,,2
Pedri,Barcelona,7.2,1983,6.0,1.0,22(4)
Joselu,Espanyol,7.15,2989,16.0,2.0,33(1)
Frenkie de Jong,Barcelona,7.15,2539,2.0,4.0,29(4)
Gerónimo Rulli,Villarreal,7.14,1260,,,14
Ousmane Dembélé,Barcelona,7.14,1416,5.0,7.0,16(9)
Mikel Merino,Real Sociedad,7.13,2500,2.0,9.0,28(5)
Gonzalo Escalante,Cadiz,7.1,1126,4.0,1.0,13(1)
Lee Kang-In,Mallorca,7.09,2841,6.0,6.0,33(3)
Federico Valverde,Real Madrid,7.08,2509,7.0,4.0,29(5)
Sergi Darder,Espanyol,7.08,3325,6.0,3.0,38
Enes Ünal,Getafe,7.07,2986,14.0,3.0,35
Juan Foyth,Villarreal,7.06,1960,1.0,,22(2)
Isi Palazón,Rayo Vallecano,7.05,2990,9.0,5.0,36(1)
Raphinha,Barcelona,7.04,2087,7.0,7.0,25(11)
Toni Kroos,Real Madrid,7.04,2164,2.0,4.0,25(5)
Aleix García,Girona,7.04,2341,1.0,5.0,26(4)
Aurélien Tchouaméni,Real Madrid,7.04,2120,,4.0,24(9)
David Gil,Cadiz,7.04,360,,,4
Jeremías Ledesma,Cadiz,7.03,3060,,,34
Éder Militão,Real Madrid,7.03,2703,5.0,,30(3)
Vedat Muriqi,Mallorca,7.01,2953,15.0,3.0,34(1)
Sergio Busquets,Barcelona,6.99,2347,,4.0,28(2)
Takefusa Kubo,Real Sociedad,6.98,2452,9.0,4.0,29(6)
Guido Rodríguez,Real Betis,6.98,2878,1.0,,33(1)
José Gayà,Valencia,6.98,2716,1.0,3.0,31
Javi Galán,Celta Vigo,6.98,3163,,3.0,36(1)
Jules Koundé,Barcelona,6.97,2429,1.0,3.0,28(1)
José María Giménez,Atletico,6.96,2421,2.0,1.0,26(2)
Dani Parejo,Villarreal,6.96,3289,3.0,4.0,37
Marco Asensio,Real Madrid,6.94,1436,9.0,6.0,15(16)
Thibaut Courtois,Real Madrid,6.94,2790,,,31
Gerard Moreno,Villarreal,6.94,1227,7.0,3.0,14(7)
Brais Méndez,Real Sociedad,6.93,2418,8.0,4.0,28(6)
Loïc Badé,Sevilla,6.92,1448,1.0,,16(3)
Iago Aspas,Celta Vigo,6.91,2868,12.0,3.0,31(6)
Viktor Tsygankov,Girona,6.91,1494,3.0,6.0,17(2)
Ronald Araujo,Barcelona,6.91,1802,,2.0,21(1)
Yéremy Pino,Villarreal,6.91,2465,4.0,5.0,31(5)
Lucas Robertone,Almeria,6.91,2860,2.0,7.0,34(3)
Reinildo Mandava,Atletico,6.91,1860,,,22
Félix Garreta,Real Betis,6.9,90,,,1
Alejandro Balde,Barcelona,6.9,2477,1.0,6.0,30(3)
Nico Williams,Athletic Club,6.89,2675,6.0,4.0,32(4)
Samuel Chukwueze,Villarreal,6.89,2350,6.0,5.0,27(10)
Claudio Bravo,Real Betis,6.88,1080,,,12
Antonio Raíllo,Mallorca,6.88,2767,2.0,3.0,31
Nicolas Jackson,Villarreal,6.87,1603,12.0,4.0,16(10)
Ayoze Pérez,Real Betis,6.87,1395,3.0,1.0,17(2)
Marc-André ter Stegen,Barcelona,6.85,3349,,,38
Yannick Carrasco,Atletico,6.85,2330,7.0,3.0,26(9)
Umar Sadiq,Almeria,6.85,242,2.0,,3
Alexander Sørloth,Real Sociedad,6.85,2398,12.0,3.0,28(6)
David Silva,Real Sociedad,6.85,1958,2.0,5.0,25(3)
Álvaro Morata,Atletico,6.85,1906,13.0,2.0,23(13)
Gerard Piqué,Barcelona,6.85,383,,,5(2)
Aitor Fernández,Osasuna,6.85,1890,,,21
André Almeida,Valencia,6.84,2552,2.0,4.0,29(5)
David Soria,Getafe,6.84,3420,,,38
Gavi,Barcelona,6.84,2543,2.0,4.0,30(6)
Álex Moreno,Real Betis,6.83,1350,,3.0,15
Iñaki Williams,Athletic Club,6.83,2853,10.0,3.0,34(2)
Jordi Masip,Real Valladolid,6.83,2508,,,28
Giovani Lo Celso,Villarreal,6.82,1130,2.0,3.0,14(8)
Jordi Alba,Barcelona,6.82,1423,2.0,3.0,14(10)
Andreas Christensen,Barcelona,6.82,1767,1.0,1.0,22(1)
Álvaro García,Rayo Vallecano,6.82,2890,5.0,5.0,34(1)
Gabri Veiga,Celta Vigo,6.82,2308,11.0,4.0,28(8)
Iñigo Martínez,Athletic Club,6.81,1339,1.0,,15
Samuel Lino,Valencia,6.81,2897,6.0,1.0,33(5)
Juan Miranda,Real Betis,6.81,1475,3.0,2.0,16(5)
Marcos Llorente,Atletico,6.81,1712,1.0,2.0,21(1)
Rodrigo De Paul,Atletico,6.81,1935,2.0,7.0,24(6)
Pau Torres,Villarreal,6.8,3055,1.0,,34
Adri Embarba,Almeria,6.8,1477,4.0,3.0,18(11)
Anuar Tuhami,Real Valladolid,6.8,212,1.0,,3
