Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Lamine Yamal,Barcelona,8.01,2864,9.0,13.0,31(4)
Sergio Arribas,Real Betis,7.78,90,,,1
Aitor Fernández,Osasuna,7.77,90,,,1
Kylian Mbappé,Real Madrid,7.75,2917,31.0,3.0,34
Raphinha,Barcelona,7.62,2845,18.0,9.0,32(4)
Unai Marrero,Real Sociedad,7.32,180,,,2
Robert Lewandowski,Barcelona,7.27,2682,27.0,2.0,32(2)
Jude Bellingham,Real Madrid,7.27,2495,9.0,8.0,29(2)
Vinícius Júnior,Real Madrid,7.23,2259,11.0,8.0,24(6)
Leo Román,Mallorca,7.23,630,,,7
Álex Baena,Villarreal,7.22,2608,7.0,9.0,30(2)
Isco,Real Betis,7.2,1552,9.0,8.0,17(5)
Cucho Hernández,Real Betis,7.19,1149,5.0,1.0,14(1)
Antony,Real Betis,7.18,1365,5.0,2.0,15(2)
Pedri,Barcelona,7.16,2897,4.0,5.0,35(2)
Federico Valverde,Real Madrid,7.16,3034,6.0,4.0,34(2)
Rodrygo,Real Madrid,7.13,1938,6.0,5.0,22(8)
Ayoze Pérez,Villarreal,7.11,1978,19.0,2.0,22(8)
Yeray Álvarez,Athletic Club,7.04,1781,1.0,,20(1)
Dani Olmo,Barcelona,7.02,1217,10.0,3.0,13(12)
Éder Militão,Real Madrid,7.02,940,1.0,1.0,11(1)
Dani Raba,Leganes,7.01,1893,8.0,6.0,24(5)
Julián Alvarez,Atletico,7.01,2521,17.0,4.0,30(7)
Giovani Lo Celso,Real Betis,6.99,1458,8.0,3.0,15(10)
Nico Williams,Athletic Club,6.98,2001,5.0,5.0,22(7)
Ante Budimir,Osasuna,6.98,2966,21.0,4.0,34(4)
Juan Foyth,Villarreal,6.98,1517,1.0,,17(2)
Dani Vivian,Athletic Club,6.97,2605,4.0,,28(4)
Ramon Terrats,Getafe,6.95,1230,4.0,1.0,15
Alexander Sørloth,Atletico,6.95,1563,20.0,2.0,15(20)
Lucas Ocampos,Sevilla,6.95,176,,1.0,2
Joan García,Espanyol,6.94,3420,,,38
Marc Bartra,Real Betis,6.94,2101,2.0,1.0,23(2)
Yan Diomande,Leganes,6.94,544,2.0,1.0,6(4)
Dodi Lukébakio,Sevilla,6.93,3104,11.0,2.0,36(2)
Eduardo Camavinga,Real Madrid,6.93,1098,1.0,2.0,11(8)
Nayef Aguerd,Real Sociedad,6.93,1765,,,21
Iñigo Martínez,Barcelona,6.91,2493,,4.0,28
Omar Alderete,Getafe,6.91,2978,1.0,,34
Marcos Llorente,Atletico,6.9,2516,2.0,4.0,28(5)
Sergi Cardona,Villarreal,6.9,2955,1.0,7.0,34(1)
Juan Musso,Atletico,6.9,180,,,2
Andrei Ratiu,Rayo Vallecano,6.9,3067,2.0,3.0,34(1)
Nahuel Tenaglia,Deportivo Alaves,6.89,2924,2.0,1.0,33(1)
Dani Carvajal,Real Madrid,6.89,611,1.0,,7(1)
Jules Koundé,Barcelona,6.89,2606,2.0,3.0,29(3)
