Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Benjamin Bourigeaud,Rennes,7.99,81,1.0,,1
Arnau TenasPSG,Desconocido,7.81,90,,1.0,1
Logan Costa,Toulouse,7.73,90,,,1
Ousmane DembéléPSG,Desconocido,7.65,1737,21.0,6.0,20(9)
Ismail Jakobs,Monaco,7.55,180,,,2
Amine Gouiri,Marseille,7.51,1052,10.0,3.0,12(2)
Mason Greenwood,Marseille,7.38,2819,21.0,5.0,32(2)
Khvicha KvaratskheliaPSG,Desconocido,7.34,920,4.0,3.0,11(3)
Andrey Santos,Strasbourg,7.33,2857,10.0,3.0,32
Mika Biereth,Monaco,7.31,1240,13.0,2.0,16
Achraf HakimiPSG,Desconocido,7.3,2068,4.0,6.0,24(1)
Rayan Cherki,Lyon,7.3,2048,8.0,11.0,22(8)
Bradley BarcolaPSG,Desconocido,7.25,2194,14.0,10.0,27(7)
Gaëtan Perrin,Auxerre,7.23,2707,10.0,11.0,31(3)
Désiré DouéPSG,Desconocido,7.21,1735,6.0,6.0,18(13)
Jonathan Clauss,Nice,7.2,2312,3.0,8.0,27(1)
Evann Guessand,Nice,7.19,2575,12.0,8.0,30(3)
Adrien Rabiot,Marseille,7.14,2483,9.0,4.0,27(2)
Dilane Bakwa,Strasbourg,7.13,2512,6.0,8.0,29(1)
João NevesPSG,Desconocido,7.11,1851,3.0,8.0,22(7)
Théo De Percin,Auxerre,7.1,180,,,2
Benjamin André,Lille,7.09,2693,,3.0,30
Moses Simon,Nantes,7.08,2626,8.0,10.0,31(1)
Ludovic Blas,Rennes,7.08,2302,6.0,8.0,26(3)
Jérémy Jacquet,Rennes,7.07,929,,1.0,11
Lee Kang-InPSG,Desconocido,7.07,1669,6.0,6.0,19(11)
Ludovic Ajorque,Brest,7.07,2505,13.0,2.0,29(2)
Corentin Tolisso,Lyon,7.06,2334,7.0,4.0,27(5)
Gaëtan Laborde,Nice,7.05,1840,11.0,4.0,20(8)
Maghnes Akliouche,Monaco,7.05,2408,5.0,10.0,27(5)
Pierre-Emile Højbjerg,Marseille,7.05,2666,2.0,4.0,30
Edon Zhegrova,Lille,7.05,986,4.0,1.0,12
Jubal,Auxerre,7.04,2643,6.0,,30
Nuno MendesPSG,Desconocido,7.03,1676,1.0,3.0,19(5)
Kevin Danso,Lens,7.02,1080,,,12
VitinhaPSG,Desconocido,7.01,2036,5.0,1.0,20(9)
Emmanuel Agbadou,Reims,7.01,1260,,,14
Denis Zakaria,Monaco,7.01,2148,6.0,4.0,24(2)
Hicham Boudaoui,Nice,7.0,2439,2.0,3.0,27(2)
Thilo Kehrer,Monaco,7.0,2385,4.0,,27
Diego Moreira,Strasbourg,7.0,2580,2.0,7.0,29(3)
Przemyslaw Frankowski,Lens,6.99,1389,4.0,2.0,16(2)
Djordje Petrovic,Strasbourg,6.99,2790,,,31
Lamine Camara,Monaco,6.99,2067,2.0,7.0,25(4)
Luis Henrique,Marseille,6.99,2623,7.0,7.0,29(4)
Marco AsensioPSG,Desconocido,6.98,620,2.0,4.0,8(4)
Mathew Ryan,Lens,6.98,1260,,,14
Juma Bah,Lens,6.97,687,,,8(2)
Hamed Traoré,Auxerre,6.96,2109,10.0,2.0,26
Jonathan David,Lille,6.96,2558,16.0,5.0,28(4)
Emmanuel Emegha,Strasbourg,6.96,2308,14.0,3.0,27
Donovan Léon,Auxerre,6.94,2880,,2.0,32
Junya Ito,Reims,6.93,2702,4.0,3.0,31(2)
Melvin Bard,Nice,6.93,1942,2.0,1.0,22(2)
Valentín Barco,Strasbourg,6.93,1166,,2.0,14
Karl-Johan Johnsson,Strasbourg,6.93,270,,,3
Neil El Aynaoui,Lens,6.93,1587,8.0,1.0,17(7)
MarquinhosPSG,Desconocido,6.93,1725,2.0,,19(3)
Youssouf Ndayishimiye,Nice,6.92,1934,3.0,,22(1)
Lilian Brassier,Rennes,6.91,1236,1.0,1.0,14
Vanderson,Monaco,6.91,2077,1.0,3.0,23(6)
Cristian Cásseres,Toulouse,6.91,2705,1.0,3.0,31(1)
Patrik Carlgren,Nantes,6.91,416,,,4(1)
Charlie Cresswell,Toulouse,6.91,2593,3.0,1.0,29(2)
Nicolás Tagliafico,Lyon,6.91,1905,3.0,1.0,22(2)
Tiago Santos,Lille,6.9,405,,,4(3)
Guéla Doué,Strasbourg,6.9,2717,1.0,2.0,30(2)
Aleksandr Golovin,Monaco,6.9,1155,3.0,,13(6)
Marcin Bulka,Nice,6.9,3060,,,34
Mahdi Camara,Brest,6.9,2669,5.0,3.0,31(3)
Nathan Zézé,Nantes,6.9,1513,,,17(1)
Yehvann Diouf,Reims,6.89,3060,,,34
Adrien Thomasson,Lens,6.89,2626,3.0,7.0,31(2)
Brice Samba,Rennes,6.89,1530,,,17
Abdukodir Khusanov,Lens,6.89,976,,,11(2)
Zuriko DavitashviliSaint-,Etienne,6.88,2788,9.0,8.0,32(1)
Alexandre Lacazette,Lyon,6.88,2061,15.0,2.0,24(6)
