Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Frédéric Guilbert,Strasbourg,6.84,1465,,1.0,17(1)
Axel Disasi,Monaco,6.83,3330,3.0,3.0,37(1)
Samuel Gigot,Marseille,6.83,1889,2.0,2.0,24(2)
Breel Embolo,Monaco,6.83,1856,12.0,2.0,19(13)
Adrien Truffert,Rennes,6.83,1962,,6.0,24(4)
Ismaily,Lille,6.83,1785,2.0,1.0,21(2)
Corentin Tolisso,Lyon,6.82,2050,1.0,2.0,25(5)
Jaouen Hadjam,Nantes,6.82,806,,1.0,8(5)
Alexis Flips,Reims,6.82,1998,4.0,6.0,28(5)
Mory Diaw,Clermont Foot,6.82,3330,,,37
Nathan Zézé,Nantes,6.82,60,,,1
Hamari Traoré,Rennes,6.82,2531,1.0,4.0,28(3)
Djed Spence,Rennes,6.82,575,,,7(1)
Sergio RamosPSG,Desconocido,6.82,2709,2.0,1.0,31(2)
Jordan Lotomba,Nice,6.82,2456,,2.0,27(6)
Chancel Mbemba,Marseille,6.82,2850,5.0,,32(4)
Angelo Fulgini,Lens,6.81,866,1.0,1.0,12(5)
Stijn Spierings,Toulouse,6.81,3123,2.0,,35(1)
Pau López,Marseille,6.81,2925,,2.0,32(1)
Alban Lafont,Nantes,6.81,3330,,,37
Luis Suárez,Marseille,6.81,291,3.0,1.0,2(5)
Florian Tardieu,Troyes,6.81,1010,3.0,,11(4)
Mikkel Desler,Toulouse,6.8,2262,1.0,2.0,26(1)
Facundo Medina,Lens,6.8,2784,2.0,4.0,32
Maxime Dupé,Toulouse,6.8,3420,,,38
Adam Ounas,Lille,6.8,1065,1.0,1.0,12(9)
Brendan Chardonnet,Brest,6.79,2489,,,27(3)
Montassar Talbi,Lorient,6.79,3420,1.0,2.0,38
Ionut Radu,Auxerre,6.79,1530,,,17
Johan Gastien,Clermont Foot,6.79,2607,4.0,3.0,29(2)
Alexsandro Ribeiro,Lille,6.79,1611,3.0,,16(5)
Salis Abdul Samed,Lens,6.79,2897,1.0,1.0,33
Emmanuel Agbadou,Reims,6.79,2390,,3.0,27(2)
Kasper Schmeichel,Nice,6.79,3240,,,36
Jean-Clair Todibo,Nice,6.79,2873,,,33(1)
Mohamed Camara,Monaco,6.78,2200,,3.0,25(4)
Krépin Diatta,Monaco,6.78,2079,4.0,2.0,22(9)
Himad Abdelli,Angers,6.78,2141,2.0,2.0,24(6)
Rominigue Kouamé,Troyes,6.77,2669,1.0,1.0,31(1)
Brice Samba,Lens,6.77,3330,,,37
Arnaud Nordin,Montpellier,6.76,2419,9.0,3.0,30(6)
Danilo PereiraPSG,Desconocido,6.76,2411,2.0,,27(6)
Guillermo Maripán,Monaco,6.76,2160,3.0,,25(1)
Nordi MukielePSG,Desconocido,6.76,1133,,3.0,12(7)
Youcef Atal,Nice,6.76,777,1.0,,8(10)
Melvin Bard,Nice,6.75,2460,,,28(5)
Sinaly Diomandé,Lyon,6.75,1959,,,22(2)
Alidu Seidu,Clermont Foot,6.75,2463,,,28
Faitout Maouassa,Montpellier,6.75,1935,5.0,5.0,23(10)
Jimmy Cabot,Lens,6.75,508,,1.0,5(6)
Sead Kolasinac,Marseille,6.74,2219,4.0,1.0,26(7)
