Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Jérémy Doku,Rennes,7.87,111,1.0,,1(1)
Kylian MbappéPSG,Desconocido,7.71,2160,27.0,7.0,24(5)
Jean-Ricner Bellegarde,Strasbourg,7.62,270,2.0,2.0,3
Massamba Ndiaye,Clermont Foot,7.37,360,,,4
Romain Del Castillo,Brest,7.35,2522,8.0,8.0,30(3)
Aleksandr Golovin,Monaco,7.3,2155,6.0,6.0,25
Téji Savanier,Montpellier,7.28,2777,9.0,6.0,32
Ousmane DembéléPSG,Desconocido,7.28,1510,3.0,8.0,17(9)
VitinhaPSG,Desconocido,7.23,2130,7.0,4.0,23(5)
Pierre Lees-Melou,Brest,7.22,2521,4.0,,29
Radoslaw Majecki,Monaco,7.21,1080,,,12
Caio Henrique,Monaco,7.17,625,,5.0,7(2)
Georges Mikautadze,Metz,7.17,1755,13.0,4.0,20
Edon Zhegrova,Lille,7.15,2299,6.0,6.0,25(8)
Manuel UgartePSG,Desconocido,7.15,1935,,2.0,21(4)
Wilfried Singo,Monaco,7.15,2187,1.0,1.0,24(1)
Gianluigi DonnarummaPSG,Desconocido,7.14,2170,,,25
Florian Sotoca,Lens,7.13,2603,7.0,6.0,29(3)
Mohammed Salisu,Monaco,7.11,1035,,1.0,11(1)
Pierre-Emerick Aubameyang,Marseille,7.09,2628,17.0,8.0,30(4)
Junya Ito,Reims,7.09,2722,3.0,7.0,31
Jordan Amavi,Brest,7.09,91,1.0,,1(1)
Benjamin André,Lille,7.08,2575,4.0,,29(1)
Bradley Locko,Brest,7.07,2961,,3.0,33
Alexandre Lacazette,Lyon,7.07,2308,19.0,2.0,27(2)
Jérémie Boga,Nice,7.06,2011,6.0,6.0,24(4)
Jonathan David,Lille,7.05,2641,19.0,4.0,30(4)
Saïd Benrahma,Lyon,7.05,779,3.0,3.0,10(2)
Christopher Opéri,Le Havre,7.05,2447,3.0,4.0,28
Mateusz Wieteska,Clermont Foot,7.04,176,1.0,,2
Youssouf Fofana,Monaco,7.03,2703,4.0,4.0,31(1)
Maxence Caqueret,Lyon,7.02,3025,1.0,3.0,34
Teddy Teuma,Reims,7.01,2125,6.0,3.0,25(3)
Rémy Descamps,Nantes,7.01,540,,,6
Vanderson,Monaco,7.01,1649,3.0,1.0,20
Achraf HakimiPSG,Desconocido,7.0,1931,4.0,5.0,20(5)
Leonardo Balerdi,Marseille,7.0,2275,2.0,,26(1)
Othmane Maamma,Montpellier,7.0,88,1.0,,1(1)
Azor Matusiwa,Reims,6.99,1388,1.0,,16
Kenny Lala,Brest,6.97,2970,2.0,3.0,33
Tiago Santos,Lille,6.96,2364,1.0,2.0,26(3)
Brendan Chardonnet,Brest,6.95,2970,1.0,1.0,33
Jonathan Clauss,Marseille,6.95,2072,3.0,4.0,25(2)
Joseph Okumu,Reims,6.95,1743,1.0,,19(2)
Youcef Atal,Nice,6.95,363,1.0,,5(1)
Lee Kang-InPSG,Desconocido,6.94,1472,3.0,4.0,18(5)
Nemanja Matic,Rennes,6.94,1028,,,11(2)
Bradley BarcolaPSG,Desconocido,6.94,1381,4.0,7.0,18(7)
Wissam Ben Yedder,Monaco,6.94,2323,16.0,2.0,26(6)
Marco AsensioPSG,Desconocido,6.93,1114,4.0,5.0,13(6)
Dimitry Bertaud,Montpellier,6.93,360,,,4
Matthieu Udol,Metz,6.92,2700,3.0,3.0,30
Anthony Lopes,Lyon,6.92,2790,,,31
Takumi Minamino,Monaco,6.92,2128,9.0,6.0,25(5)
Gonçalo RamosPSG,Desconocido,6.91,1422,11.0,1.0,16(13)
Yann Gboho,Toulouse,6.91,1200,3.0,2.0,13(3)
Mohamed Bamba,Lorient,6.91,1149,8.0,3.0,14(2)
Laurent Abergel,Lorient,6.91,2862,2.0,1.0,32(1)
Emmanuel Agbadou,Reims,6.91,2597,1.0,1.0,29(3)
Thijs Dallinga,Toulouse,6.9,2518,14.0,2.0,28(5)
Khéphren Thuram,Nice,6.9,2114,1.0,1.0,25(2)
Modibo Sagnan,Montpellier,6.9,1056,2.0,,12(1)
Abdoul Koné,Reims,6.9,196,,,3
Ruben Aguilar,Lens,6.9,1923,1.0,3.0,22(3)
Dilane Bakwa,Strasbourg,6.9,2188,3.0,6.0,25(6)
Thilo Kehrer,Monaco,6.9,1324,1.0,1.0,15
Ismaily,Lille,6.89,2467,1.0,1.0,28(2)
Frédéric Guilbert,Strasbourg,6.89,2495,2.0,,29(3)
