Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
429,Grischa Prömel,de GER,MF,Hoffenheim,28,1995,28,2139,76,69.9,23.8,27,78,15,1,33,0,1.43,45,44,+1,+0.04,+0.14,Matches
430,Gustavo Puerta,co COL,MF,Leverkusen,20,2003,7,46,7,1.5,0.5,0,,0,7,7,21,3.00,4,0,+4,+7.83,+6.00,Matches
431,Joshua Quarshie,de GER,DF,Hoffenheim,19,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
432,Luca Raimund,de GER,MF,Stuttgart,18,2005,3,30,10,1.0,0.3,0,,0,3,10,8,1.00,1,2,-1,-3.00,-4.19,Matches
433,Grant Ranos,am ARM,FW,Gladbach,20,2003,9,49,5,1.6,0.5,0,,0,9,5,11,1.00,1,0,+1,+1.84,+2.20,Matches
434,Nicolai Rapp,de GER,DF,Werder Bremen,26,1996,2,76,38,2.5,0.8,1,71,0,1,5,9,0.00,1,2,-1,-1.18,-1.03,Matches
435,David Raum,de GER,DF,RB Leipzig,25,1998,31,2739,88,89.5,30.4,31,88,25,0,,2,1.94,69,35,+34,+1.12,0.00,Matches
436,Rocco Reitz,de GER,MF,Gladbach,21,2002,34,2136,63,69.8,23.7,24,80,7,10,21,0,1.00,39,45,-6,-0.25,+0.23,Matches
437,Marco Reus,de GER,MF,Dortmund,34,1989,26,1601,62,52.3,17.8,18,77,2,8,28,6,1.81,37,27,+10,+0.56,-0.36,Matches
438,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,25,1997,25,1985,79,64.9,22.1,24,81,14,1,31,1,1.20,29,40,-11,-0.50,-0.58,Matches
439,Gio Reyna,us USA,MF,Dortmund,20,2002,11,280,25,9.2,3.1,1,45,0,10,24,4,1.91,9,4,+5,+1.61,+0.96,Matches
440,Marco Richter,de GER,MF,Mainz 05,25,1997,20,717,36,23.4,8.0,7,73,1,13,16,9,0.75,3,12,-9,-1.13,-1.01,Matches
441,Clemens Riedel,de GER,"DF,MF",Darmstadt 98,20,2003,14,755,54,24.7,8.4,9,80,7,5,8,6,0.71,9,20,-11,-1.31,+0.45,Matches
442,Manuel Riemann,de GER,GK,Bochum,34,1988,33,2970,90,97.1,33.0,33,90,33,0,,0,1.00,41,70,-29,-0.88,+2.12,Matches
443,Lasse Rieß,de GER,GK,Mainz 05,22,2001,0,,,,,0,,0,0,,21,,,,,,,Matches
444,Cimo Röcker,de GER,DF,Werder Bremen,29,1994,0,,,,,0,,0,0,,11,,,,,,,Matches
445,Sebastian Rode,de GER,MF,Eintracht Frankfurt,32,1990,8,61,8,2.0,0.7,1,5,0,7,8,0,1.38,1,3,-2,-2.95,-3.04,Matches
446,Rogério,br BRA,"DF,MF",Wolfsburg,25,1998,13,906,70,29.6,10.1,10,83,7,3,26,3,0.77,10,15,-5,-0.50,-0.08,Matches
447,Merlin Röhl,de GER,"MF,FW",Freiburg,21,2002,24,1477,62,48.3,16.4,17,74,3,7,31,3,1.29,21,29,-8,-0.49,-0.20,Matches
