Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,18,2003,7,173,25,5.7,1.9,0,,0,7,25,6,1.14,4,0,+4,+2.08,+2.02,Matches
2,Sargis Adamyan,am ARM,FW,Köln,29,1993,24,644,27,21.0,7.2,4,62,0,20,20,4,1.13,10,16,-6,-0.84,-0.88,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,20,2002,24,1386,58,45.3,15.4,20,64,2,4,27,1,2.17,41,17,+24,+1.56,+0.75,Matches
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,26,1435,55,46.9,15.9,16,74,1,10,26,1,1.69,29,17,+12,+0.75,+0.97,Matches
5,Felix Agu,ng NGA,"DF,MF",Werder Bremen,22,1999,3,49,16,1.6,0.5,0,,0,3,16,9,1.33,1,2,-1,-1.84,-1.48,Matches
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,17,1398,82,45.7,15.5,17,82,6,0,,0,0.94,17,26,-9,-0.58,-0.42,Matches
7,Antonis Aidonis,de GER,DF,Stuttgart,21,2001,0,,,,,0,,0,0,,5,,,,,,,Matches
8,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,17,1211,71,39.6,13.5,15,79,3,2,15,0,1.47,23,22,+1,+0.07,+0.17,Matches
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,28,1950,70,63.7,21.7,21,81,14,7,35,3,1.04,21,29,-8,-0.37,-0.29,Matches
10,Lucas Alario,ar ARG,FW,Eintracht Frankfurt,29,1992,20,331,17,10.8,3.7,2,78,1,18,10,9,1.25,5,9,-4,-1.09,-1.42,Matches
11,Faride Alidou,de GER,FW,Eintracht Frankfurt,21,2001,15,182,12,5.9,2.0,0,,0,15,12,10,1.13,3,4,-1,-0.49,-0.71,Matches
12,Éder Álvarez Balanta,co COL,MF,Schalke 04,29,1993,6,238,40,7.8,2.6,3,50,0,3,29,3,1.50,2,3,-1,-0.38,+0.74,Matches
13,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,1,17,17,0.6,0.2,0,,0,1,17,8,0.00,0,2,-2,-10.59,-10.91,Matches
14,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,25,977,39,31.9,10.9,9,75,2,16,19,4,1.44,19,20,-1,-0.09,-0.48,Matches
15,Robert Andrich,de GER,MF,Leverkusen,27,1994,29,2406,83,78.6,26.7,28,85,24,1,15,0,1.55,50,38,+12,+0.45,+1.00,Matches
16,Angeliño,es ESP,MF,Hoffenheim,25,1997,33,2617,79,85.5,29.1,30,86,23,3,13,0,1.09,38,51,-13,-0.45,-1.26,Matches
17,Waldemar Anton,de GER,DF,Stuttgart,26,1996,34,2934,86,95.9,32.6,34,86,27,0,,0,0.97,43,54,-11,-0.34,+0.38,Matches
18,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,29,1981,68,64.7,22.0,22,81,10,7,29,2,1.21,32,40,-8,-0.36,+1.64,Matches
19,Ayman Aourir,de GER,MF,Leverkusen,17,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
