Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23,2001,25,1545,62,50.5,17.2,19,75,4,6,20,5,1.40,20,29,-9,-0.52,-0.82,Matches
2,Wesley Adeh,de GER,MF,Werder Bremen,17,2007,0,,,,,0,,0,0,,2,,,,,,,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,22,2002,25,1433,57,46.8,15.9,17,72,2,8,25,0,1.84,37,24,+13,+0.82,+0.43,Matches
4,Amine Adli,ma MAR,"MF,FW",Leverkusen,24,2000,20,766,38,25.0,8.5,6,69,1,14,25,1,1.85,17,13,+4,+0.47,-0.51,Matches
5,Dapo Afolayan,eng ENG,"FW,MF",St Pauli,26,1997,32,1639,51,53.6,18.2,17,76,2,15,23,2,0.97,18,27,-9,-0.49,-0.24,Matches
6,Felix Agu,ng NGA,MF,Werder Bremen,24,1999,22,1751,80,57.2,19.5,21,82,9,1,30,2,1.64,30,31,-1,-0.05,+0.09,Matches
7,Erik Ahlstrand,se SWE,MF,St Pauli,22,2001,5,43,9,1.4,0.5,0,,0,5,9,16,1.20,1,1,0,0.00,+0.39,Matches
8,Romeo Aigbekaen,de GER,MF,St Pauli,20,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
9,Jonathan Akaegbobi,de GER,FW,Wolfsburg,18,2006,0,,,,,0,,0,0,,2,,,,,,,Matches
10,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29,1995,32,2220,69,72.5,24.7,23,86,21,9,26,2,0.97,30,48,-18,-0.73,-0.30,Matches
11,Kerim Alajbegović,ba BIH,FW,Leverkusen,16,2007,0,,,,,0,,0,0,,5,,,,,,,Matches
12,Andreas Albers,dk DEN,"FW,MF",St Pauli,34,1990,14,62,4,2.0,0.7,0,,0,14,4,4,0.86,1,2,-1,-1.45,-1.09,Matches
13,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,2,91,46,3.0,1.0,1,90,1,1,1,22,0.50,2,2,0,0.00,+0.39,Matches
14,Skelly Alvero,fr FRA,MF,Werder Bremen,22,2002,12,236,20,7.7,2.6,1,56,0,11,16,10,1.42,0,4,-4,-1.53,-1.56,Matches
15,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,21,2003,8,96,12,3.1,1.1,1,45,0,7,7,16,2.75,2,1,+1,+0.94,+0.30,Matches
16,Nadiem Amiri,de GER,MF,Mainz 05,27,1996,30,2473,82,80.8,27.5,30,82,18,0,,0,1.63,48,36,+12,+0.44,+0.44,Matches
17,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24,2000,31,2467,80,80.6,27.4,29,83,9,2,33,0,1.29,47,43,+4,+0.15,+0.45,Matches
18,Robert Andrich,de GER,"MF,DF",Leverkusen,29,1994,23,1598,69,52.2,17.8,19,81,9,4,16,9,2.17,35,20,+15,+0.84,-0.02,Matches
19,Mathys Angély,fr FRA,DF,Wolfsburg,17,2007,0,,,,,0,,0,0,,4,,,,,,,Matches
20,Waldemar Anton,de GER,DF,Dortmund,28,1996,26,1949,75,63.7,21.7,22,85,19,4,22,3,1.77,50,31,+19,+0.88,+0.80,Matches
21,Maximilian Arnold,de GER,MF,Wolfsburg,30,1994,28,2356,84,77.0,26.2,27,86,24,1,45,0,1.21,48,38,+10,+0.38,+1.40,Matches
22,Jann-Fiete Arp,de GER,FW,Holstein Kiel,24,2000,23,713,31,23.3,7.9,3,78,1,20,24,9,0.52,16,17,-1,-0.13,+1.02,Matches
23,Arthur,br BRA,"MF,DF",Leverkusen,21,2003,20,752,38,24.6,8.4,7,76,2,13,17,11,2.05,21,7,+14,+1.68,+1.09,Matches
24,Noah Atubolu,de GER,GK,Freiburg,22,2002,26,2307,89,75.4,25.6,26,89,25,0,,2,1.62,37,37,0,0.00,+0.48,Matches
25,Ayman Azhil,ma MAR,MF,Dortmund,23,2001,1,24,24,0.8,0.3,0,,0,1,24,7,3.00,0,0,0,0.00,-0.59,Matches
26,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,2,17,9,0.6,0.2,0,,0,2,9,11,3.00,0,2,-2,-10.59,-12.63,Matches
27,Mio Backhaus,de GER,GK,Werder Bremen,20,2004,0,,,,,0,,0,0,,33,,,,,,,Matches
