Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Bukayo Saka,Arsenal,7.67,2937,16.0,9.0,35
Rodri,Man City,7.62,2937,8.0,9.0,34
Michael Olise,Crystal Palace,7.61,1277,10.0,6.0,14(5)
Phil Foden,Man City,7.55,2869,19.0,8.0,33(2)
Cole Palmer,Chelsea,7.48,2618,22.0,11.0,29(4)
Eberechi Eze,Crystal Palace,7.45,2064,11.0,4.0,24(3)
Erling Haaland,Man City,7.4,2559,27.0,5.0,29(2)
Bruno Fernandes,Man Utd,7.39,3120,10.0,8.0,35
Declan Rice,Arsenal,7.38,3232,7.0,8.0,37(1)
Bruno Guimarães,Newcastle,7.37,3269,7.0,8.0,37
Declan Rice,Arsenal,7.38,3232,7.0,8.0,37(1)
Bruno Guimarães,Newcastle,7.37,3269,7.0,8.0,37
Martin Ødegaard,Arsenal,7.37,3104,8.0,10.0,35
Arijanet Muric,Burnley,7.34,900,,,10
Son Heung-Min,Tottenham,7.3,2948,17.0,10.0,34(1)
Anthony Gordon,Newcastle,7.29,2906,11.0,10.0,34(1)
Ollie Watkins,Aston Villa,7.27,3227,19.0,13.0,37
Jérémy Doku,Man City,7.24,1596,3.0,8.0,18(11)
Mohamed Salah,Liverpool,7.24,2536,18.0,10.0,28(4)
Mohammed Kudus,West Ham,7.23,2488,8.0,6.0,27(6)
Daniel Muñoz,Crystal Palace,7.17,1440,,4.0,16
James Maddison,Tottenham,7.17,2155,4.0,9.0,26(2)
Kai Havertz,Arsenal,7.16,2641,13.0,7.0,30(7)
Bernardo Silva,Man City,7.15,2582,6.0,9.0,29(4)
Virgil van Dijk,Liverpool,7.15,3178,2.0,2.0,36
Alexander Isak,Newcastle,7.14,2267,21.0,2.0,27(3)
Conor Bradley,Liverpool,7.13,761,1.0,3.0,10(1)
Pascal Groß,Brighton,7.13,3114,4.0,10.0,34(2)
Conor Gallagher,Chelsea,7.13,3137,5.0,7.0,37
Matheus Cunha,Wolves,7.13,2454,12.0,7.0,29(3)
Andy Robertson,Liverpool,7.12,1693,3.0,2.0,18(5)
Trent Alexander-Arnold,Liverpool,7.12,2161,3.0,4.0,25(3)
Julián Alvarez,Man City,7.1,2660,11.0,9.0,31(5)
Jarrod Bowen,West Ham,7.1,3021,16.0,6.0,34
Diogo Jota,Liverpool,7.09,1151,10.0,3.0,14(7)
Alexis Mac Allister,Liverpool,7.09,2612,5.0,5.0,31(2)
Luis Díaz,Liverpool,7.09,2646,8.0,5.0,32(5)
James Tarkowski,Everton,7.08,3420,1.0,1.0,38
Nicolas Jackson,Chelsea,7.07,2810,14.0,5.0,31(4)
Kieran Trippier,Newcastle,7.07,2240,1.0,10.0,26(2)
Thomas Strakosha,Brentford,7.05,135,,,1(1)
Manor Solomon,Tottenham,7.05,198,,2.0,2(3)
Ross Barkley,Luton,7.05,2622,5.0,4.0,30(2)
Lucas Paquetá,West Ham,7.04,2638,4.0,6.0,31
Pedro Porro,Tottenham,7.04,3093,3.0,7.0,35
João Palhinha,Fulham,7.04,2711,4.0,1.0,31(2)
Dominic Solanke,Bournemouth,7.03,3333,19.0,3.0,37(1)
Josko Gvardiol,Man City,7.03,2330,4.0,1.0,26(2)
Cristian Romero,Tottenham,7.03,2793,5.0,,33
Bryan Mbeumo,Brentford,7.02,1960,9.0,6.0,22(3)
Morgan Gibbs-White,Nottingham Forest,7.0,3164,5.0,10.0,35(2)
James Ward-Prowse,West Ham,6.99,3006,7.0,7.0,34(3)
Jacob Murphy,Newcastle,6.99,1194,3.0,7.0,14(7)
Gabriel Magalhães,Arsenal,6.99,3044,4.0,,34(2)
Pedro Neto,Wolves,6.99,1521,2.0,9.0,18(2)
John McGinn,Aston Villa,6.98,3010,6.0,4.0,35
Dwight McNeil,Everton,6.97,2900,3.0,6.0,33(2)
Casemiro,Man Utd,6.97,1987,1.0,2.0,24(1)
Leon Bailey,Aston Villa,6.96,2080,10.0,9.0,22(13)
Dejan Kulusevski,Tottenham,6.96,2767,8.0,3.0,31(5)
Alphonse Areola,West Ham,6.96,2702,,,31
Diogo Dalot,Man Utd,6.96,3174,2.0,3.0,35(1)
Douglas Luiz,Aston Villa,6.95,3003,9.0,5.0,35
Aleksandar Mitrovic,Fulham,6.95,32,,,0(1)
Willy Boly,Nottingham Forest,6.94,1443,2.0,1.0,18(2)
Dan Burn,Newcastle,6.94,2733,2.0,2.0,32(1)
João Pedro,Brighton,6.93,2046,9.0,3.0,19(12)
Ben White,Arsenal,6.93,2995,4.0,4.0,35(2)
Adam Wharton,Crystal Palace,6.93,1305,,3.0,15(1)
Antonee Robinson,Fulham,6.92,3269,,6.0,37
Jarrad Branthwaite,Everton,6.9,3117,3.0,,35
Gabriel Jesus,Arsenal,6.89,1482,4.0,5.0,17(10)
Gabriel Martinelli,Arsenal,6.89,2031,6.0,4.0,24(11)
Ryan Christie,Bournemouth,6.89,2922,,5.0,35(2)
Ivan Toney,Brentford,6.89,1449,4.0,2.0,16(1)
Darwin Núñez,Liverpool,6.89,2050,11.0,8.0,22(14)
Tomás Soucek,West Ham,6.88,2876,7.0,2.0,34(3)
Kaoru Mitoma,Brighton,6.88,1488,3.0,4.0,15(4)
Ethan Pinnock,Brentford,6.88,2521,2.0,,28(1)
Jean-Philippe Mateta,Crystal Palace,6.88,2285,16.0,5.0,25(10)
Antoine Semenyo,Bournemouth,6.88,2113,8.0,2.0,25(8)
Joachim Andersen,Crystal Palace,6.88,3418,2.0,3.0,38
Yoane Wissa,Brentford,6.87,2509,12.0,3.0,29(5)
Cody Gakpo,Liverpool,6.87,1646,8.0,5.0,17(18)
Harry Maguire,Man Utd,6.87,1651,2.0,2.0,18(4)
Cheick Doucouré,Crystal Palace,6.87,922,,,11
Marcus Tavernier,Bournemouth,6.86,2134,3.0,4.0,25(5)
Simon Adingra,Brighton,6.86,2233,6.0,1.0,25(6)
Mario Lemina,Wolves,6.85,2976,4.0,1.0,34(1)
Sergio Reguilón,Brentford,6.85,1122,,4.0,14(2)
Moisés Caicedo,Chelsea,6.85,2875,1.0,3.0,33(2)
William Saliba,Arsenal,6.85,3420,2.0,1.0,38
Vitalii Mykolenko,Everton,6.85,2472,2.0,,28
Jordan Ayew,Crystal Palace,6.85,2551,4.0,7.0,30(5)
Kyle Walker,Man City,6.85,2767,,4.0,30(2)
André Onana,Man Utd,6.84,3420,,,38
Noni Madueke,Chelsea,6.84,1057,5.0,2.0,13(10)
James Garner,Everton,6.84,3006,1.0,2.0,34(3)
Ibrahima Konaté,Liverpool,6.84,1571,,,17(5)
Richarlison,Tottenham,6.83,1493,11.0,4.0,18(10)
Rúben Dias,Man City,6.83,2558,,,28(2)
Idrissa Gueye,Everton,6.83,1896,4.0,,24(1)
Lewis Cook,Bournemouth,6.83,2792,,3.0,32(1)
Martin Dúbravka,Newcastle,6.83,1984,,,22(1)
Alfie Doughty,Luton,6.83,2938,2.0,8.0,34(3)
Leandro Trossard,Arsenal,6.82,1647,12.0,1.0,18(16)
Oliver McBurnie,Sheff Utd,6.82,1287,6.0,3.0,15(6)
Jefferson Lerma,Crystal Palace,6.82,2404,1.0,1.0,27(1)
Levi Colwill,Chelsea,6.82,1800,1.0,1.0,20(3)
Mark Travers,Bournemouth,6.82,360,,,4
Marc Cucurella,Chelsea,6.81,1786,,2.0,20(1)
Dominik Szoboszlai,Liverpool,6.81,2110,3.0,2.0,25(8)
Scott McKenna,Nottingham Forest,6.81,417,,,5
Craig Dawson,Wolves,6.81,2211,1.0,1.0,25
Fabian Schär,Newcastle,6.81,3057,4.0,1.0,35(1)
Oleksandr Zinchenko,Arsenal,6.81,1727,1.0,2.0,20(7)
Raheem Sterling,Chelsea,6.8,1983,8.0,4.0,22(9)
Tosin Adarabioyo,Fulham,6.8,1617,2.0,,18(2)
Kobbie Mainoo,Man Utd,6.8,1942,3.0,1.0,24
Matheus Nunes,Wolves,6.8,180,,,2
Ben Brereton,Sheff Utd,6.8,1111,6.0,1.0,14
Marcos Senesi,Bournemouth,6.8,2248,4.0,5.0,26(5)
Christian Nørgaard,Brentford,6.8,2513,2.0,1.0,30(1)
Caoimhín Kelleher,Liverpool,6.8,900,,,10
Boubacar Kamara,Aston Villa,6.79,1662,,1.0,20
Micky van de Ven,Tottenham,6.79,2344,3.0,,27
Hwang Hee-Chan,Wolves,6.79,2133,12.0,3.0,25(4)
Rodrigo Muniz,Fulham,6.79,1598,9.0,1.0,18(8)
Callum Hudson-Odoi,Nottingham Forest,6.79,1856,8.0,1.0,20(9)
Dominic Calvert-Lewin,Everton,6.79,2189,7.0,2.0,26(6)
Manuel Akanji,Man City,6.78,2514,2.0,,28(2)
Carlton Morris,Luton,6.78,2867,11.0,4.0,32(6)
Emerson,West Ham,6.78,3143,1.0,2.0,35(1)
Tyrick Mitchell,Crystal Palace,6.78,3209,2.0,3.0,37
Albert Sambi Lokonga,Luton,6.78,1310,1.0,3.0,16(1)
Robin Olsen,Aston Villa,6.78,405,,,4(1)
Thiago Silva,Chelsea,6.77,2528,3.0,1.0,28(3)
Joël Matip,Liverpool,6.77,783,,,9(1)
Alex Iwobi,Fulham,6.77,2205,5.0,2.0,25(5)
Chiedozie Ogbene,Luton,6.76,1994,4.0,1.0,20(10)
Brennan Johnson,Tottenham,6.76,2093,5.0,10.0,23(9)
Jarell Quansah,Liverpool,6.76,1190,2.0,,13(4)
Alejandro Garnacho,Man Utd,6.76,2578,7.0,4.0,30(6)
