Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Mohamed Salah,Liverpool,7.61,3380,29.0,18,38
Bukayo Saka,Arsenal,7.37,1737,6.0,10,20(5)
Cole Palmer,Chelsea,7.33,3199,15.0,8,36(1)
Bryan Mbeumo,Brentford,7.33,3417,20.0,7,38
Erling Haaland,Man City,7.32,2742,22.0,3,31
Matheus Cunha,Wolves,7.32,2604,15.0,6,29(4)
Alexander Isak,Newcastle,7.3,2774,23.0,6,34
Luis Díaz,Liverpool,7.21,2413,13.0,5,28(8)
Bruno Fernandes,Man Utd,7.2,3024,8.0,10,35(1)
Mark Travers,Bournemouth,7.2,450,,-,5
Antoine Semenyo,Bournemouth,7.2,3210,11.0,5,36(1)
Amad Diallo,Man Utd,7.17,1903,8.0,6,20(6)
Jarrod Bowen,West Ham,7.15,2980,13.0,8,34
Omar Marmoush,Man City,7.13,1183,7.0,-,14(2)
Brandon Austin,Tottenham,7.11,90,,-,1
Daniel Muñoz,Crystal Palace,7.11,3233,4.0,5,37
Jérémy Doku,Man City,7.11,1515,3.0,6,16(13)
Antonín Kinsky,Tottenham,7.1,540,,-,6
James Tarkowski,Everton,7.09,2924,1.0,1,33
Declan Rice,Arsenal,7.09,2833,4.0,7,33(2)
Eberechi Eze,Crystal Palace,7.09,2604,8.0,8,31(3)
Alexis Mac Allister,Liverpool,7.08,2608,5.0,5,30(5)
Youri Tielemans,Aston Villa,7.08,3033,3.0,7,35(1)
Virgil van Dijk,Liverpool,7.07,3330,3.0,1,37
Aaron Wan-Bissaka,West Ham,7.07,3155,2.0,5,35(1)
Antonee Robinson,Fulham,7.07,3167,,10,35(1)
Trent Alexander-Arnold,Liverpool,7.06,2378,3.0,6,28(5)
Neto,Bournemouth,7.03,180,,-,2
Moisés Caicedo,Chelsea,7.02,3356,1.0,2,38
Mikkel Damsgaard,Brentford,7.01,2930,2.0,10,34(4)
Murillo,Nottingham Forest,7.01,3191,2.0,-,36
Jacob Murphy,Newcastle,7.01,2380,8.0,12,31(4)
Yoane Wissa,Brentford,7.0,2930,19.0,4,34(1)
Son Heung-Min,Tottenham,7.0,2118,7.0,9,24(6)
Josko Gvardiol,Man City,7.0,3280,5.0,-,36(1)
Morgan Gibbs-White,Nottingham Forest,7.0,2825,7.0,8,34
Kai Havertz,Arsenal,7.0,1875,9.0,3,21(2)
Mark Flekken,Brentford,6.99,3276,,2,37
Iliman Ndiaye,Everton,6.99,2441,9.0,-,29(4)
James Maddison,Tottenham,6.98,1818,9.0,7,21(10)
Elliot Anderson,Nottingham Forest,6.98,2744,2.0,6,33(4)
Bruno Guimarães,Newcastle,6.98,3286,5.0,6,38
Kevin De Bruyne,Man City,6.97,1707,4.0,7,19(9)
Mateo Kovacic,Man City,6.97,2205,6.0,2,25(6)
Chris Wood,Nottingham Forest,6.96,2978,20.0,3,35(1)
Abdul Fatawu,Leicester,6.96,577,,2,6(5)
Pedro Porro,Tottenham,6.95,2609,2.0,6,28(5)
Christian Nørgaard,Brentford,6.95,2831,5.0,4,34
Rayan Aït-Nouri,Wolves,6.95,3129,4.0,7,37
Enzo Fernández,Chelsea,6.95,2948,6.0,7,32(4)
Ryan Gravenberch,Liverpool,6.94,3169,,4,37
Alex Iwobi,Fulham,6.94,2999,9.0,6,35(3)
Dango Ouattara,Bournemouth,6.94,2009,7.0,4,21(11)
Lewis Hall,Newcastle,6.93,2193,,4,24(3)
Nathan Collins,Brentford,6.93,3420,2.0,3,38
Nikola Milenkovic,Nottingham Forest,6.93,3330,5.0,2,37
Dean Huijsen,Bournemouth,6.93,2422,3.0,2,26(6)
Joelinton,Newcastle,6.93,2405,4.0,3,29
Thomas Partey,Arsenal,6.93,2799,4.0,2,31(4)
Morgan Rogers,Aston Villa,6.92,3131,8.0,10,37
Kaoru Mitoma,Brighton,6.92,2612,10.0,4,28(8)
Ryan Christie,Bournemouth,6.92,2131,2.0,3,27(2)
Trevoh Chalobah,Crystal Palace,6.92,1063,3.0,-,12
Jason Steele,Brighton,6.92,180,,-,2
Savinho,Man City,6.91,1773,1.0,8,21(8)
Bernardo Silva,Man City,6.91,2668,4.0,4,29(4)
Gabriel Magalhães,Arsenal,6.91,2366,3.0,1,28
Dwight McNeil,Everton,6.91,1371,4.0,6,15(6)
Martin Ødegaard,Arsenal,6.9,2332,3.0,8,26(4)
Mohammed Kudus,West Ham,6.89,2604,5.0,3,31(1)
João Pedro,Brighton,6.89,1955,10.0,6,23(4)
Dominik Szoboszlai,Liverpool,6.89,2496,6.0,6,29(7)
Kevin Schade,Brentford,6.89,2301,11.0,2,26(12)
Maxence Lacroix,Crystal Palace,6.88,3119,1.0,1,35
Carlos Baleba,Brighton,6.88,2674,3.0,1,31(3)
Emmanuel Agbadou,Wolves,6.88,1411,1.0,-,16
Neco Williams,Nottingham Forest,6.88,2592,1.0,3,28(7)
Nicolas Jackson,Chelsea,6.88,2241,10.0,5,28(2)
Pervis Estupiñán,Brighton,6.86,2403,1.0,1,26(4)
Callum Hudson-Odoi,Nottingham Forest,6.86,2205,5.0,2,25(6)
Justin Kluivert,Bournemouth,6.86,2360,12.0,6,29(5)
Lisandro Martínez,Man Utd,6.86,1754,2.0,1,20
Leandro Trossard,Arsenal,6.86,2560,8.0,7,28(10)
Cody Gakpo,Liverpool,6.86,1939,10.0,4,23(12)
Wilfred Ndidi,Leicester,6.85,2337,,5,28
Jordan Pickford,Everton,6.85,3420,,1,38
Martin Dúbravka,Newcastle,6.85,900,,-,10
Casemiro,Man Utd,6.84,1499,1.0,-,18(6)
Dominic Solanke,Tottenham,6.84,2205,9.0,3,25(2)
Marcus Tavernier,Bournemouth,6.84,1940,3.0,5,20(9)
Ibrahima Konaté,Liverpool,6.84,2567,1.0,2,30(1)
Yankuba Minteh,Brighton,6.84,1846,6.0,4,20(12)
Tomás Soucek,West Ham,6.84,2573,9.0,1,30(5)
Anthony Gordon,Newcastle,6.84,2447,6.0,5,28(6)
Dan Burn,Newcastle,6.84,3330,1.0,1,37
Vitalii Mykolenko,Everton,6.83,3084,1.0,2,35
Dejan Kulusevski,Tottenham,6.83,2392,7.0,4,27(5)
Diogo Dalot,Man Utd,6.83,2814,,3,31(2)
Sandro Tonali,Newcastle,6.83,2632,4.0,2,28(8)
Gabriel Martinelli,Arsenal,6.83,2302,8.0,4,25(8)
Noni Madueke,Chelsea,6.82,2049,7.0,3,27(5)
Idrissa Gueye,Everton,6.82,3070,,3,35(2)
Mario Lemina,Wolves,6.82,1365,1.0,3,15(2)
Raúl Jiménez,Fulham,6.82,2506,12.0,3,30(8)
Kenny Tete,Fulham,6.82,1779,,2,21(1)
Marcus Rashford,Aston Villa,6.82,443,2.0,2,4(6)
William Saliba,Arsenal,6.82,3042,2.0,-,35
Tyrone Mings,Aston Villa,6.81,1121,,-,12(2)
Julio Enciso,Ipswich,6.81,878,2.0,3,12(1)
Anthony Elanga,Nottingham Forest,6.81,2512,6.0,11,31(7)
Marc Guéhi,Crystal Palace,6.81,3060,3.0,2,34
Alisson Becker,Liverpool,6.8,2509,,-,28
Jean-Philippe Mateta,Crystal Palace,6.8,2659,14.0,2,33(4)
Cristian Romero,Tottenham,6.8,1421,1.0,-,18
Mikel Merino,Arsenal,6.8,1582,7.0,2,17(11)
Danny Welbeck,Brighton,6.8,2123,10.0,4,24(6)
Ollie Watkins,Aston Villa,6.8,2612,16.0,8,31(7)
Nick Pope,Newcastle,6.8,2520,,-,28
Joachim Andersen,Fulham,6.79,2573,,-,29
Matz Sels,Nottingham Forest,6.79,3420,,-,38
Fabian Schär,Newcastle,6.79,2938,4.0,-,33(1)
Jarrad Branthwaite,Everton,6.79,2510,,1,28(2)
Nico O'Reilly,Man City,6.79,527,2.0,-,6(3)
Lewis Cook,Bournemouth,6.78,2978,1.0,3,32(4)
Illia Zabarnyi,Bournemouth,6.78,3113,,1,35(1)
Evanilson,Bournemouth,6.78,2337,10.0,1,28(3)
Ismaïla Sarr,Crystal Palace,6.78,2721,8.0,6,30(8)
Jurriën Timber,Arsenal,6.78,2423,1.0,3,27(3)
Noussair Mazraoui,Man Utd,6.78,2850,,1,34(3)
Ethan Pinnock,Brentford,6.78,1914,2.0,-,21(1)
Milos Kerkez,Bournemouth,6.77,3341,2.0,5,38
Sven Botman,Newcastle,6.77,416,,-,6(2)
Brennan Johnson,Tottenham,6.76,2181,11.0,3,24(9)
Lucas Digne,Aston Villa,6.76,2362,,4,28(4)
Pedro Neto,Chelsea,6.76,2270,4.0,6,24(11)
Ola Aina,Nottingham Forest,6.76,3003,2.0,1,35
Tyrick Mitchell,Crystal Palace,6.76,3102,,5,37
Jørgen Strand Larsen,Wolves,6.75,2603,14.0,4,30(5)
Charly Alcaraz,Everton,6.75,763,2.0,3,7(8)
James Ward-Prowse,West Ham,6.75,1043,1.0,1,12(3)
Phil Foden,Man City,6.75,1779,7.0,2,20(8)
Toti Gomes,Wolves,6.74,2616,,1,30(1)
Levi Colwill,Chelsea,6.74,3150,2.0,1,35
Jake O'Brien,Everton,6.74,1569,2.0,-,17(3)
Marco Asensio,Aston Villa,6.74,749,3.0,1,9(4)
Djed Spence,Tottenham,6.73,1791,1.0,2,19(6)
Tosin Adarabioyo,Chelsea,6.73,1405,1.0,1,15(7)
Marshall Munetsi,Wolves,6.73,1079,2.0,1,12(2)
Amadou Onana,Aston Villa,6.73,1626,3.0,-,20(6)
Ferdi Kadioglu,Brighton,6.73,389,1.0,-,5(1)
Maximilian Kilman,West Ham,6.73,3349,,1,38
David Raya,Arsenal,6.73,3420,,-,38
Wesley Fofana,Chelsea,6.73,1176,,-,14
Ilkay Gündogan,Man City,6.72,2229,1.0,6,25(8)
Harvey Barnes,Newcastle,6.72,1756,9.0,4,17(16)
Jan Paul van Hecke,Brighton,6.72,2961,1.0,-,33(1)
Marcus Rashford,Man Utd,6.72,983,4.0,1,12(3)
Tyler Adams,Bournemouth,6.72,1966,,3,21(7)
Mateus Fernandes,Southampton,6.71,2923,2.0,4,34(2)
Emiliano Martínez,Aston Villa,6.71,3198,,-,37
Ayden Heaven,Man Utd,6.71,171,,-,2(2)
Jan Bednarek,Southampton,6.71,2535,2.0,-,30
Guglielmo Vicario,Tottenham,6.71,2160,,-,24
Lukasz Fabianski,West Ham,6.71,1161,,-,13(1)
Nico González,Man City,6.71,763,1.0,-,9(2)
Kieran Trippier,Newcastle,6.7,1310,,3,14(11)
Matty Cash,Aston Villa,6.7,2077,1.0,1,24(3)
Matheus Nunes,Man City,6.7,1673,1.0,6,19(7)
Kepa Arrizabalaga,Bournemouth,6.7,2790,,-,31
Chris Richards,Crystal Palace,6.7,1925,1.0,-,22(2)
Keane Lewis-Potter,Brentford,6.7,3103,1.0,3,36(2)
James Garner,Everton,6.7,1595,,1,17(4)
Matthijs de Ligt,Man Utd,6.69,2128,2.0,-,25(4)
Dara O'Shea,Ipswich,6.69,3123,,2,35
Yerson Mosquera,Wolves,6.69,442,,-,5
Sepp van den Berg,Brentford,6.68,2589,,-,29(2)
Nélson Semedo,Wolves,6.68,2896,,4,32(2)
Marc Cucurella,Chelsea,6.68,2991,5.0,1,33(3)
Harry Maguire,Man Utd,6.68,1758,1.0,-,19(8)
Tino Livramento,Newcastle,6.68,2842,,1,32(5)
Ben Davies,Tottenham,6.67,1330,,-,14(3)
Ben White,Arsenal,6.67,1198,,2,13(4)
Dan Bentley,Wolves,6.67,180,,-,2
Rúben Dias,Man City,6.66,2269,,-,25(2)
