Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Mathias Jensen,Brentford,6.82,2830,5.0,6.0,37
John McGinn,Aston Villa,6.81,2698,1.0,3.0,30(4)
Kepa Arrizabalaga,Chelsea,6.81,2566,,,29
Jarrod Bowen,West Ham,6.8,3237,6.0,5.0,36(2)
Tomás Soucek,West Ham,6.8,2820,2.0,3.0,32(4)
Bernardo Silva,Man City,6.8,2203,4.0,5.0,24(10)
Allan Saint-Maximin,Newcastle,6.8,1119,1.0,5.0,12(13)
Noni Madueke,Chelsea,6.8,646,1.0,,7(5)
Jordan Ayew,Crystal Palace,6.8,2721,4.0,3.0,31(7)
Enzo Fernández,Chelsea,6.8,1551,,2.0,18
John Stones,Man City,6.8,1849,2.0,2.0,21(2)
Cristian Romero,Tottenham,6.8,2365,,1.0,26(1)
Youri Tielemans,Leicester,6.8,2351,3.0,2.0,27(4)
Rúben Dias,Man City,6.79,1999,,,22(4)
Joachim Andersen,Crystal Palace,6.79,2784,1.0,,32
Hamed Traoré,Bournemouth,6.79,429,,,5(2)
Darwin Núñez,Liverpool,6.79,1701,9.0,3.0,19(10)
Pervis Estupiñán,Brighton,6.79,2683,1.0,5.0,31(4)
Dominic Solanke,Bournemouth,6.79,2873,6.0,7.0,32(1)
Ibrahima Konaté,Liverpool,6.79,1551,,,17(1)
Mohammed Salisu,Southampton,6.78,1973,,1.0,21(1)
Ben White,Arsenal,6.78,3068,2.0,5.0,36(2)
Andy Robertson,Liverpool,6.78,2588,,8.0,29(5)
Julio Enciso,Brighton,6.78,802,4.0,2.0,7(13)
Dejan Kulusevski,Tottenham,6.78,2079,2.0,7.0,23(7)
William Saliba,Arsenal,6.77,2416,2.0,1.0,27
Emerson Royal,Tottenham,6.77,1737,2.0,1.0,20(6)
Dan Burn,Newcastle,6.77,3117,1.0,,35(3)
Neto,Bournemouth,6.76,2386,,,27
Vicente Guaita,Crystal Palace,6.76,2430,,,27
Danny Welbeck,Brighton,6.76,1859,6.0,3.0,21(10)
Kai Havertz,Chelsea,6.75,2580,7.0,1.0,30(5)
Nathan Aké,Man City,6.75,1876,1.0,,22(4)
Antonee Robinson,Fulham,6.75,3089,,1.0,35
Tyrone Mings,Aston Villa,6.75,3150,1.0,2.0,35
Sven Botman,Newcastle,6.74,3129,,,35(1)
Ivan Perisic,Tottenham,6.74,2112,1.0,8.0,23(11)
Tosin Adarabioyo,Fulham,6.74,2084,1.0,,23(2)
Dango Ouattara,Bournemouth,6.74,1246,1.0,3.0,15(4)
Raheem Sterling,Chelsea,6.74,1905,6.0,3.0,23(5)
Diogo Jota,Liverpool,6.74,1133,7.0,4.0,12(10)
Jason Steele,Brighton,6.73,1350,,1.0,15
Sam Johnstone,Crystal Palace,6.73,810,,,9
Tyler Adams,Leeds,6.73,2157,,,24
James Justin,Leicester,6.73,1254,,,14
Andreas Pereira,Fulham,6.73,2718,4.0,6.0,33
Jack Harrison,Leeds,6.72,2729,5.0,7.0,34(2)
Cheick Doucouré,Crystal Palace,6.72,2786,,3.0,34
Timothy Castagne,Leicester,6.71,3257,2.0,3.0,36(1)
Armel Bella-Kotchap,Southampton,6.71,1885,,2.0,24
Kiernan Dewsbury-Hall,Leicester,6.71,2316,2.0,2.0,28(3)
Álex Moreno,Aston Villa,6.71,1336,,3.0,14(5)
Shea Charles,Man City,6.71,27,,,0(1)
Fabinho,Liverpool,6.71,2678,,2.0,31(5)
Danilo,Nottingham Forest,6.71,983,3.0,2.0,12(1)
Matt Doherty,Tottenham,6.71,667,1.0,,7(5)
Amadou Onana,Everton,6.71,2496,1.0,2.0,29(4)
Victor Lindelöf,Man Utd,6.7,1361,,,14(6)
Julián Alvarez,Man City,6.7,1454,9.0,,13(18)
Nick Pope,Newcastle,6.7,3262,,,37
Saïd Benrahma,West Ham,6.7,2073,6.0,3.0,22(13)
Emiliano Buendía,Aston Villa,6.7,2423,5.0,2.0,27(11)
Mason Mount,Chelsea,6.7,1658,3.0,2.0,20(4)
Christian Eriksen,Man Utd,6.7,2062,1.0,8.0,25(3)
Aymeric Laporte,Man City,6.69,994,,,11(1)
Jordan Pickford,Everton,6.69,3330,,1.0,37
Joe Gomez,Liverpool,6.69,1461,,,15(6)
Kurt Zouma,West Ham,6.68,1991,2.0,,24(1)
Marc Guéhi,Crystal Palace,6.68,3330,1.0,,37
Rodrigo,Leeds,6.68,1945,13.0,1.0,23(8)
Reiss Nelson,Arsenal,6.68,204,3.0,2.0,0(11)
Lukasz Fabianski,West Ham,6.68,3114,,,36
Nayef Aguerd,West Ham,6.67,1596,2.0,,17(1)
Curtis Jones,Liverpool,6.67,1040,3.0,1.0,12(6)
Evan Ferguson,Brighton,6.67,952,6.0,2.0,10(9)
David de Gea,Man Utd,6.67,3420,,,38
Jan Bednarek,Southampton,6.67,1674,,,20
Pascal Struijk,Leeds,6.66,2205,2.0,1.0,26(3)
Eric Dier,Tottenham,6.66,2817,2.0,1.0,31(2)
Tim Ream,Fulham,6.66,2899,1.0,,33
Issa Diop,Fulham,6.66,2009,1.0,,21(4)
Jeffrey Schlupp,Crystal Palace,6.66,2546,3.0,1.0,30(4)
Harvey Barnes,Leicester,6.66,2720,13.0,1.0,32(2)
Wout Faes,Leicester,6.66,2787,1.0,2.0,31
Idrissa Gueye,Everton,6.65,2594,,1.0,32(1)
Jefferson Lerma,Bournemouth,6.65,3256,5.0,,37
Marc Cucurella,Chelsea,6.65,1679,,2.0,21(3)
Jorginho,Chelsea,6.65,1282,2.0,,15(3)
Joel Ward,Crystal Palace,6.65,2256,1.0,,24(4)
Wesley Fofana,Chelsea,6.65,1187,1.0,,12(3)
Raphaël Varane,Man Utd,6.64,1917,,,22(2)
Rico Henry,Brentford,6.64,3244,,2.0,37
Marcel Sabitzer,Man Utd,6.64,628,,1.0,7(4)
Sean Longstaff,Newcastle,6.64,2517,1.0,4.0,28(5)
Tyrell Malacia,Man Utd,6.64,1395,,,14(8)
Vladimír Coufal,West Ham,6.64,2139,,1.0,24(3)
Harry Souttar,Leicester,6.64,991,,1.0,11(1)
Max Wöber,Leeds,6.63,1264,,,14(2)
Vitaly Janelt,Brentford,6.63,2212,3.0,1.0,24(11)
Ben Davies,Tottenham,6.63,2290,2.0,2.0,26(5)
Maximilian Kilman,Wolves,6.63,3308,,,37
Matheus Cunha,Wolves,6.63,972,2.0,,12(5)
Duje Caleta-Car,Southampton,6.63,945,1.0,,9(4)
João Félix,Chelsea,6.63,944,4.0,,11(5)
Rasmus Kristensen,Leeds,6.63,1962,3.0,1.0,21(5)
Aaron Ramsdale,Arsenal,6.63,3420,,,38
Demarai Gray,Everton,6.62,2512,4.0,1.0,27(6)
Dominic Calvert-Lewin,Everton,6.62,1176,2.0,1.0,15(2)
Lewis Dunk,Brighton,6.62,3240,1.0,,36
Kamaldeen Sulemana,Southampton,6.62,968,2.0,1.0,10(8)
Toti Gomes,Wolves,6.62,981,1.0,,10(7)
Liam Cooper,Leeds,6.62,1427,1.0,,16(2)
Craig Dawson,Wolves,6.62,1417,1.0,,17
Ben Chilwell,Chelsea,6.62,1408,2.0,2.0,15(8)
Robin Olsen,Aston Villa,6.61,280,,,2(2)
Leon Bailey,Aston Villa,6.61,1984,4.0,4.0,26(7)
Willy Boly,Nottingham Forest,6.61,687,,1.0,9(2)
Anthony Gordon,Everton,6.61,1097,3.0,,12(4)
Aaron Cresswell,West Ham,6.61,2237,,1.0,24(4)
Jorginho,Arsenal,6.6,855,,1.0,9(5)
Matheus Nunes,Wolves,6.6,2480,1.0,1.0,31(4)
Jakub Kiwior,Arsenal,6.6,427,1.0,,5(2)
Neco Williams,Nottingham Forest,6.6,1877,1.0,,20(11)
Ché Adams,Southampton,6.6,1998,5.0,3.0,23(5)
Lloyd Kelly,Bournemouth,6.59,2041,,2.0,23
Joël Veltman,Brighton,6.59,2196,1.0,1.0,25(6)
Anthony Martial,Man Utd,6.59,980,6.0,2.0,11(10)
Manuel Akanji,Man City,6.59,2287,,1.0,24(5)
Harry Maguire,Man Utd,6.59,762,,,8(8)
Dan Bentley,Wolves,6.59,180,,,2
Vitalii Mykolenko,Everton,6.58,2657,,,30(4)
Kyle Walker-Peters,Southampton,6.58,2653,1.0,,30(1)
Chris Mepham,Bournemouth,6.58,2198,,,24(2)
Caoimhín Kelleher,Liverpool,6.58,90,,,1
Luis Sinisterra,Leeds,6.58,875,5.0,,13(6)
Joe Worrall,Nottingham Forest,6.58,2217,1.0,,21(9)
Ashley Young,Aston Villa,6.58,2039,1.0,,23(6)
Pontus Jansson,Brentford,6.57,725,1.0,,9(3)
Ezri Konsa,Aston Villa,6.57,3323,,,37(1)
Dean Henderson,Nottingham Forest,6.57,1620,,,18
Jordan Henderson,Liverpool,6.57,2075,,2.0,23(12)
Danny Ings,Aston Villa,6.57,819,6.0,,8(10)
Séamus Coleman,Everton,6.57,1667,1.0,,20(3)
Ryan Christie,Bournemouth,6.56,1842,1.0,1.0,22(10)
Rico Lewis,Man City,6.56,905,,,10(4)
Matty Cash,Aston Villa,6.56,1821,,1.0,20(6)
Roméo Lavia,Southampton,6.56,2230,1.0,,26(3)
Ruben Loftus-Cheek,Chelsea,6.56,1543,,1.0,19(6)
João Gomes,Wolves,6.56,651,1.0,,7(4)
Boubacar Kamara,Aston Villa,6.56,1779,,1.0,21(3)
Luke Ayling,Leeds,6.55,2049,2.0,1.0,22(7)
Hugo Lloris,Tottenham,6.55,2206,,,25
Leander Dendoncker,Wolves,6.55,213,,,2(2)
Joe Aribo,Southampton,6.55,1229,2.0,,13(8)
Ayoze Pérez,Leicester,6.55,380,,1.0,3(5)
Clément Lenglet,Tottenham,6.55,2027,,2.0,24(2)
Levi Colwill,Brighton,6.54,1221,,2.0,13(4)
Conor Gallagher,Chelsea,6.54,1616,3.0,1.0,18(17)
Renan Lodi,Nottingham Forest,6.54,2222,,1.0,26(2)
Stefan Bajcetic,Liverpool,6.54,527,1.0,,6(5)
Kyle Walker,Man City,6.54,1957,,,22(5)
Daniel Amartey,Leicester,6.53,1610,,,18(2)
Tyrick Mitchell,Crystal Palace,6.53,2896,,2.0,34(2)
Angelo Ogbonna,West Ham,6.53,1236,,,13(3)
Sam Amo-Ameyaw,Southampton,6.53,3,,,0(1)
Keylor Navas,Nottingham Forest,6.53,1530,,,17
José Sá,Wolves,6.53,3240,,,36
Harvey Elliott,Liverpool,6.52,1615,1.0,2.0,18(14)
Marcos Senesi,Bournemouth,6.52,2496,2.0,,29(2)
Adam Webster,Brighton,6.52,1989,,,23(4)
Manor Solomon,Fulham,6.52,563,4.0,,4(15)
Robin Koch,Leeds,6.52,3178,,,36
Scott McTominay,Man Utd,6.52,1151,1.0,,10(14)
Adama Traoré,Wolves,6.52,1492,2.0,1.0,12(22)
César Azpilicueta,Chelsea,6.52,1526,,,16(9)
Matías Viña,Bournemouth,6.51,455,2.0,,5(7)
Yoane Wissa,Brentford,6.51,1601,7.0,3.0,16(22)
Rayan Aït-Nouri,Wolves,6.51,1070,1.0,,9(12)
Gianluca Scamacca,West Ham,6.51,929,3.0,,11(5)
Jack Stephens,Bournemouth,6.51,1172,,,13(2)
Cody Drameh,Leeds,6.51,70,,,1
Nathan Patterson,Everton,6.51,1274,,,14(5)
João Moutinho,Wolves,6.5,1787,,2.0,20(11)
Taiwo Awoniyi,Nottingham Forest,6.5,1412,10.0,1.0,17(10)
Daniel Podence,Wolves,6.5,1773,6.0,,20(12)
Joël Matip,Liverpool,6.5,1093,1.0,,12(2)
Morgan Gibbs-White,Wolves,6.5,180,,,2
Thilo Kehrer,West Ham,6.5,2231,,2.0,25(2)
Marc Roca,Leeds,6.5,2330,1.0,2.0,29(3)
Nélson Semedo,Wolves,6.5,2641,,1.0,31(5)
Ainsley Maitland-Niles,Southampton,6.5,1405,,,13(9)
Harrison Reed,Fulham,6.5,2882,3.0,4.0,35(2)
Charly Alcaraz,Southampton,6.49,1035,4.0,2.0,13(5)
Wilfred Ndidi,Leicester,6.49,1683,,,19(8)
Michail Antonio,West Ham,6.49,1837,5.0,3.0,21(12)
Matthew Craig,Tottenham,6.49,13,,,0(1)
Boubakary Soumaré,Leicester,6.49,1635,,,20(6)
Jordan Zemura,Bournemouth,6.49,1457,,1.0,17(2)
Brennan Johnson,Nottingham Forest,6.49,2941,8.0,3.0,33(5)
Mohamed Elyounoussi,Southampton,6.49,2180,1.0,1.0,27(6)
Jonny Evans,Leicester,6.49,1053,,,12(1)
David Datro Fofana,Chelsea,6.49,70,,,1(2)
Nathan Collins,Wolves,6.48,1813,,,19(7)
Tetê,Leicester,6.48,740,1.0,,9(4)
Fred,Man Utd,6.48,1235,2.0,2.0,12(23)
Moussa Niakhaté,Nottingham Forest,6.48,1162,,,14
Abdoulaye Doucouré,Everton,6.48,1529,5.0,2.0,17(8)
Kostas Tsimikas,Liverpool,6.48,769,,4.0,9(11)
Mateo Kovacic,Chelsea,6.48,1708,1.0,2.0,17(10)
Wilfried Gnonto,Leeds,6.48,1353,2.0,4.0,14(10)
Orel Mangala,Nottingham Forest,6.48,1558,1.0,1.0,20(7)
Fraser Forster,Tottenham,6.47,1215,,,13(1)
Lyanco,Southampton,6.47,1175,1.0,1.0,11(10)
Davinson Sánchez,Tottenham,6.47,852,,,8(10)
Kelechi Iheanacho,Leicester,6.47,1122,5.0,5.0,11(17)
Trevoh Chalobah,Chelsea,6.47,1604,,,18(7)
Diego Llorente,Leeds,6.46,648,,,7(1)
Bobby De Cordova-Reid,Fulham,6.46,2487,4.0,1.0,29(7)
Romain Perraud,Southampton,6.46,1839,2.0,2.0,22(7)
Danny Ward,Leicester,6.46,2340,,,26
Richarlison,Tottenham,6.46,1008,1.0,3.0,12(15)
Crysencio Summerville,Leeds,6.46,1418,4.0,2.0,12(16)
Marc Albrighton,Leicester,6.46,233,1.0,,1(5)
Mario Lemina,Wolves,6.45,1306,,1.0,17(2)
Moussa Djenepo,Southampton,6.45,706,,2.0,7(9)
Adam Lallana,Brighton,6.45,730,2.0,1.0,12(4)
Aaron Hickey,Brentford,6.45,1931,,1.0,23(3)
Hakim Ziyech,Chelsea,6.45,653,,3.0,6(12)
Patson Daka,Leicester,6.45,1181,4.0,4.0,13(17)
Ryan Yates,Nottingham Forest,6.45,1840,,2.0,21(5)
Jonny,Wolves,6.45,1263,1.0,,14(4)
Kevin Schade,Brentford,6.45,728,,1.0,7(11)
Conor Coady,Everton,6.45,2096,1.0,1.0,23(1)
Tino Livramento,Southampton,6.45,26,,,0(2)
Josh Dasilva,Brentford,6.44,1384,4.0,2.0,14(22)
Joe Rothwell,Bournemouth,6.44,1019,,1.0,12(8)
