"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Harry Kane,,""$ 275,756"",""$ 14,339,296"",,""$ 14,339,296"",""$ 14,650,720"",Active,F,30,England,Bayern Munich,,"
"Manuel Neuer,,""$ 231,635"",""$ 12,045,008"",,""$ 12,045,008"",""$ 12,306,605"",Active,K,37,Germany,Bayern Munich,,"
"Joshua Kimmich,,""$ 215,194"",""$ 11,190,062"",,""$ 11,190,062"",""$ 11,433,090"",Active,M,28,Germany,Bayern Munich,,"
"Serge Gnabry,,""$ 208,118"",""$ 10,822,110"",,""$ 10,822,110"",""$ 11,057,147"",Active,F,28,Germany,Bayern Munich,,"
"Kingsley Coman,,""$ 187,514"",""$ 9,750,721"",,""$ 9,750,721"",""$ 9,962,490"",Active,F,27,France,Bayern Munich,,"
"Matthijs de Ligt,,""$ 176,484"",""$ 9,177,149"",,""$ 9,177,149"",""$ 9,376,461"",Active,D,24,Netherlands,Bayern Munich,,"
"Leroy Sané,,""$ 165,453"",""$ 8,603,577"",""$ 2,867,859"",""$ 11,471,437"",""$ 11,720,576"",Active,F,28,Germany,Bayern Munich,,"
"Thomas Müller,,""$ 165,453"",""$ 8,603,577"",""$ 1,147,144"",""$ 9,750,721"",""$ 9,962,490"",Active,F,34,Germany,Bayern Munich,,"
"Leon Goretzka,,""$ 143,393"",""$ 7,456,434"",""$ 2,294,287"",""$ 9,750,721"",""$ 9,962,490"",Active,M,28,Germany,Bayern Munich,,"
"Min-jae Kim,,""$ 132,363"",""$ 6,882,862"",,""$ 6,882,862"",""$ 7,032,346"",Active,D,27,South Korea,Bayern Munich,,"
"Alphonso Davies,,""$ 124,038"",""$ 6,449,978"",,""$ 6,449,978"",""$ 6,590,060"",Active,D,23,Canada,Bayern Munich,,"
"Sébastien Haller,,""$ 121,333"",""$ 6,309,290"",,""$ 6,309,290"",""$ 6,446,317"",Active,F,29,Cote d'Ivoire,Borussia Dortmund,,"
"Niklas Süle,,""$ 110,302"",""$ 5,735,718"",""$ 573,572"",""$ 6,309,290"",""$ 6,446,317"",Active,D,28,Germany,Borussia Dortmund,,"
"Dayot Upamecano,,""$ 110,302"",""$ 5,735,718"",,""$ 5,735,718"",""$ 5,860,288"",Active,D,25,France,Bayern Munich,,"
"Dani Olmo,,""$ 104,059"",""$ 5,411,055"",""$ 541,106"",""$ 5,952,160"",""$ 6,081,431"",Active,F,25,Spain,Leipzig,,"
"Gregor Kobel,,""$ 99,896"",""$ 5,194,613"",,""$ 5,194,613"",""$ 5,307,431"",Active,K,26,Switzerland,Borussia Dortmund,,"
"Konrad Laimer,,""$ 99,272"",""$ 5,162,146"",,""$ 5,162,146"",""$ 5,274,259"",Active,M,26,Austria,Bayern Munich,,"
"Noussair Mazraoui,,""$ 88,242"",""$ 4,588,575"",,""$ 4,588,575"",""$ 4,688,230"",Active,D,26,Morocco,Bayern Munich,,"
"Raphaël Guerreiro,,""$ 88,242"",""$ 4,588,575"",,""$ 4,588,575"",""$ 4,688,230"",Active,D,30,Portugal,Bayern Munich,,"
"Emre Can,,""$ 88,242"",""$ 4,588,575"",,""$ 4,588,575"",""$ 4,688,230"",Active,M,30,Germany,Borussia Dortmund,,"
"Benjamin Henrichs,,""$ 83,247"",""$ 4,328,844"",,""$ 4,328,844"",""$ 4,422,859"",Active,D,27,Germany,Leipzig,,"
"David Raum,,""$ 83,247"",""$ 4,328,844"",""$ 1,082,211"",""$ 5,411,055"",""$ 5,528,574"",Active,D,25,Germany,Leipzig,,"
"Marcel Sabitzer,,""$ 82,831"",""$ 4,307,200"",,""$ 4,307,200"",""$ 4,400,745"",Active,M,29,Austria,Borussia Dortmund,,"
"Alejandro Grimaldo,,""$ 79,085"",""$ 4,112,402"",""$ 1,028,100"",""$ 5,140,502"",""$ 5,252,145"",Active,D,28,Spain,Bayer Leverkusen,,"
"Marco Reus,,""$ 77,212"",""$ 4,015,003"",""$ 573,572"",""$ 4,588,575"",""$ 4,688,230"",Active,F,34,Germany,Borussia Dortmund,,"
"Eric Maxim Choupo-Moting,,""$ 77,212"",""$ 4,015,003"",""$ 1,720,715"",""$ 5,735,718"",""$ 5,860,288"",Active,F,34,Cameroon,Bayern Munich,,"
"Mats Hummels,,""$ 77,212"",""$ 4,015,003"",""$ 573,572"",""$ 4,588,575"",""$ 4,688,230"",Active,D,35,Germany,Borussia Dortmund,,"
"Julian Brandt,,""$ 77,212"",""$ 4,015,003"",""$ 573,572"",""$ 4,588,575"",""$ 4,688,230"",Active,F,27,Germany,Borussia Dortmund,,"
"Yussuf Poulsen,,""$ 72,841"",""$ 3,787,738"",,""$ 3,787,738"",""$ 3,870,002"",Active,F,29,Denmark,Leipzig,,"
"Bryan Zaragoza,,""$ 72,841"",""$ 3,787,738"",""$ 1,082,211"",""$ 4,869,950"",""$ 4,975,716"",Active,F,22,Spain,Bayern Munich,,"
"Alexander Nübel,,""$ 71,801"",""$ 3,733,628"",,""$ 3,733,628"",""$ 3,814,716"",Inactive,K,26,Germany,Bayern Munich,,"
"Patrik Schick,,""$ 66,181"",""$ 3,441,431"",""$ 865,769"",""$ 4,307,200"",""$ 4,400,745"",Active,F,28,Czech Republic,Bayer Leverkusen,,"
"Donyell Malen,,""$ 66,181"",""$ 3,441,431"",,""$ 3,441,431"",""$ 3,516,173"",Active,F,25,Netherlands,Borussia Dortmund,,"
"Niclas Füllkrug,,""$ 66,181"",""$ 3,441,431"",,""$ 3,441,431"",""$ 3,516,173"",Active,F,30,Germany,Borussia Dortmund,,"
"Eljif Elmas,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,F,24,North Macedonia,Leipzig,,"
"Maximilian Arnold,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,M,29,Germany,Wolfsburg,,"
"Benjamin Sesko,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,F,21,Slovenia,Leipzig,,"
"Loïs Openda,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,F,23,Belgium,Leipzig,,"
"Matthias Ginter,,""$ 62,435"",""$ 3,246,633"",""$ 811,658"",""$ 4,058,291"",""$ 4,146,430"",Active,D,30,Germany,Freiburg,,"
"Edmond Tapsoba,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,D,25,Burkina Faso,Bayer Leverkusen,,"
"Exequiel Palacios,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,M,25,Argentina,Bayer Leverkusen,,"
"Lukas Klostermann,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,D,27,Germany,Leipzig,,"
"Willi Orbán,,""$ 62,435"",""$ 3,246,633"",,""$ 3,246,633"",""$ 3,317,144"",Active,D,31,Hungary,Leipzig,,"
"Péter Gulácsi,,""$ 61,811"",""$ 3,214,167"",,""$ 3,214,167"",""$ 3,283,973"",Active,K,33,Hungary,Leipzig,,"
"Philipp Lienhart,,""$ 58,273"",""$ 3,030,191"",,""$ 3,030,191"",""$ 3,096,001"",Active,D,27,Austria,Freiburg,,"
"Mathys Tel,,""$ 55,151"",""$ 2,867,859"",,""$ 2,867,859"",""$ 2,930,144"",Active,F,18,France,Bayern Munich,,"
"Karim Adeyemi,,""$ 55,151"",""$ 2,867,859"",""$ 573,572"",""$ 3,441,431"",""$ 3,516,173"",Active,F,22,Germany,Borussia Dortmund,,"
"Eric Dier,,""$ 55,151"",""$ 2,867,859"",,""$ 2,867,859"",""$ 2,930,144"",Loan,D,30,England,Bayern Munich,,"
"Jamal Musiala,,""$ 55,151"",""$ 2,867,859"",""$ 2,294,287"",""$ 5,162,146"",""$ 5,274,259"",Active,F,20,Germany,Bayern Munich,,"
