"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Edmond Tapsoba,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,D,26,Burkina Faso,Bayer Leverkusen,,"
"Exequiel Palacios,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,26,Argentina,Bayer Leverkusen,,"
"Pascal Groß,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,33,Germany,Borussia Dortmund,,"
"Maximilian Arnold,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,30,Germany,Wolfsburg,,"
"Aleksandar Pavlovic,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,M,20,Germany,Bayern Munich,,"
"Péter Gulácsi,,""$ 65,258"",""$ 3,393,417"",,""$ 3,393,417"",""$ 3,393,417"",Active,K,34,Hungary,Leipzig,,"
"Waldemar Anton,,""$ 60,907"",""$ 3,167,189"",,""$ 3,167,189"",""$ 3,167,189"",Active,D,28,Germany,Borussia Dortmund,,"
"Aleix García,,""$ 60,907"",""$ 3,167,189"",,""$ 3,167,189"",""$ 3,167,189"",Active,M,27,Spain,Bayer Leverkusen,,"
"Philipp Lienhart,,""$ 60,907"",""$ 3,167,189"",,""$ 3,167,189"",""$ 3,167,189"",Active,D,28,Austria,Freiburg,,"
"Lovro Majer,,""$ 59,820"",""$ 3,110,632"",,""$ 3,110,632"",""$ 3,110,632"",Active,F,27,Croatia,Wolfsburg,,"
"Julian Ryerson,,""$ 57,645"",""$ 2,997,518"",,""$ 2,997,518"",""$ 2,997,518"",Active,D,27,Norway,Borussia Dortmund,,"
"Eric Dier,,""$ 57,645"",""$ 2,997,518"",,""$ 2,997,518"",""$ 2,997,518"",Active,D,31,England,Bayern Munich,,"
"Felix Nmecha,,""$ 57,645"",""$ 2,997,518"",,""$ 2,997,518"",""$ 2,997,518"",Active,M,24,Germany,Borussia Dortmund,,"
"Karim Adeyemi,,""$ 57,645"",""$ 2,997,518"",""$ 599,504"",""$ 3,597,022"",""$ 3,597,022"",Active,F,23,Germany,Borussia Dortmund,,"
"Maximilian Mittelstädt,,""$ 56,557"",""$ 2,940,961"",,""$ 2,940,961"",""$ 2,940,961"",Active,D,27,Germany,Stuttgart,,"
"Castello Lukeba,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,22,France,Leipzig,,"
"Maximilian Eggestein,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,M,28,Germany,Freiburg,,"
"Nico Schlotterbeck,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,25,Germany,Borussia Dortmund,,"
"Lutsharel Geertruida,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,D,24,Netherlands,Leipzig,,"
"Alassane Pléa,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,31,France,Monchengladbach,,"
"Ermedin Demirovic,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,26,Bosnia-Herzegovina,Stuttgart,,"
"Martin Terrier,,""$ 54,382"",""$ 2,827,847"",,""$ 2,827,847"",""$ 2,827,847"",Active,F,27,France,Bayer Leverkusen,,"
"Vincenzo Grifo,,""$ 52,206"",""$ 2,714,734"",,""$ 2,714,734"",""$ 2,714,734"",Active,F,31,Italy,Freiburg,,"
"Deniz Undav,,""$ 52,206"",""$ 2,714,734"",,""$ 2,714,734"",""$ 2,714,734"",Active,F,28,Germany,Stuttgart,,"
"Angelo Stiller,,""$ 52,206"",""$ 2,714,734"",,""$ 2,714,734"",""$ 2,714,734"",Active,M,23,Germany,Stuttgart,,"
"Ramy Bensebaini,,""$ 51,989"",""$ 2,703,422"",,""$ 2,703,422"",""$ 2,703,422"",Active,D,29,Algeria,Borussia Dortmund,,"
"Florian Wirtz,,""$ 51,989"",""$ 2,703,422"",""$ 1,798,511"",""$ 4,501,933"",""$ 4,501,933"",Active,F,21,Germany,Bayer Leverkusen,,"
"Jonas Hofmann,,""$ 50,031"",""$ 2,601,620"",,""$ 2,601,620"",""$ 2,601,620"",Active,F,32,Germany,Bayer Leverkusen,,"
"Amadou Haidara,,""$ 50,031"",""$ 2,601,620"",,""$ 2,601,620"",""$ 2,601,620"",Active,M,27,Mali,Leipzig,,"
"Christoph Baumgartner,,""$ 50,031"",""$ 2,601,620"",,""$ 2,601,620"",""$ 2,601,620"",Active,F,25,Austria,Leipzig,,"
"Granit Xhaka,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Active,M,32,Switzerland,Bayer Leverkusen,,"
"Alexander Nübel,,""$ 47,856"",""$ 2,488,506"",,""$ 2,488,506"",""$ 2,488,506"",Loan,K,28,Germany,Stuttgart,,"
"Xaver Schlager,,""$ 46,116"",""$ 2,398,015"",,""$ 2,398,015"",""$ 2,398,015"",Active,M,27,Austria,Leipzig,,"
"Jeremie Frimpong,,""$ 46,116"",""$ 2,398,015"",,""$ 2,398,015"",""$ 2,398,015"",Active,M,24,Netherlands,Bayer Leverkusen,,"
"Andrej Kramaric,,""$ 45,681"",""$ 2,375,392"",,""$ 2,375,392"",""$ 2,375,392"",Active,F,33,Croatia,Hoffenheim,,"
"Florian Neuhaus,,""$ 45,681"",""$ 2,375,392"",,""$ 2,375,392"",""$ 2,375,392"",Active,M,27,Germany,Monchengladbach,,"
