"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Lukas Nmecha,,""$ 23,058"",""$ 1,199,007"",,""$ 1,199,007"",""$ 1,199,007"",Active,F,26,Germany,Wolfsburg,,"
"Pavel Kaderabek,,""$ 23,058"",""$ 1,199,007"",,""$ 1,199,007"",""$ 1,199,007"",Active,D,32,Czech Republic,Hoffenheim,,"
"David Jurásek,,""$ 22,188"",""$ 1,153,762"",,""$ 1,153,762"",""$ 1,153,762"",Loan,D,24,Czech Republic,Hoffenheim,,"
"Anton Stach,,""$ 21,970"",""$ 1,142,450"",,""$ 1,142,450"",""$ 1,142,450"",Active,M,26,Germany,Hoffenheim,,"
"Tomas Cvancara,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,24,Czech Republic,Monchengladbach,,"
"Phillipp Mwene,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,31,Austria,Mainz,,"
"Budu Zivzivadze,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,30,Georgia,Heidenheim,,"
"Rogério,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,27,Brazil,Wolfsburg,,"
"Denis Vavro,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,D,28,Slovakia,Wolfsburg,,"
"Lukas Kübler,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,32,Germany,Freiburg,,"
"Dan-Axel Zagadou,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,25,France,Stuttgart,,"
"Enzo Millot,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,22,France,Stuttgart,,"
"Rani Khedira,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,31,Germany,Union Berlin,,"
"Christopher Trimmel,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,38,Austria,Union Berlin,,"
"Jonathan Burkardt,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,24,Germany,Mainz,,"
"Ko Itakura,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,28,Japan,Monchengladbach,,"
"Ivan Ordets,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,32,Ukraine,Bochum,,"
"El Chadaille Bitshiabu,,""$ 20,665"",""$ 1,074,582"",,""$ 1,074,582"",""$ 1,074,582"",Active,D,20,France,Leipzig,,"
"Arnaud Nordin,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,26,France,Mainz,,"
"Jackson Irvine,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,31,Australia,St Pauli,,"
"Anthony Caci,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,27,France,Mainz,,"
"Alexis Claude-Maurice,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,F,26,France,Augsburg,,"
"Patrick Osterhage,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,25,Germany,Freiburg,,"
"Stefan Bell,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,33,Germany,Mainz,,"
"Benedikt Gimber,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,D,27,Germany,Heidenheim,,"
"Janik Haberer,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,30,Germany,Union Berlin,,"
"Niklas Dorsch,,""$ 19,577"",""$ 1,018,025"",,""$ 1,018,025"",""$ 1,018,025"",Active,M,27,Germany,Heidenheim,,"
"László Bénes,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Active,M,27,Slovakia,Union Berlin,,"
"Josip Juranovic,,""$ 18,490"",""$ 961,468"",,""$ 961,468"",""$ 961,468"",Active,D,29,Croatia,Union Berlin,,"
"Patrick Wimmer,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,23,Austria,Wolfsburg,,"
"Jan Schöppner,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,25,Germany,Heidenheim,,"
"Max Rosenfelder,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,21,Germany,Freiburg,,"
"András Schäfer,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,25,Hungary,Union Berlin,,"
"Elvis Rexhbecaj,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,27,Kosovo,Augsburg,,"
"Felix Agu,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,25,Germany,Werder Bremen,,"
"Eric Smith,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,28,Sweden,St Pauli,,"
"Danny da Costa,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,31,Germany,Mainz,,"
"Nathan N'Goumou,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,24,France,Monchengladbach,,"
"Daniel-Kofi Kyereh,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,28,Ghana,Freiburg,,"
"Rocco Reitz,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,22,Germany,Monchengladbach,,"
"Jeanuël Belocian,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,19,France,Bayer Leverkusen,,"
"Philipp Sander,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,26,Germany,Monchengladbach,,"
"Adrian Beck,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,27,Germany,Heidenheim,,"
"Nathaniel Brown,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,21,Germany,Eintracht Frankfurt,,"
"Marco Grüll,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,26,Austria,Werder Bremen,,"
"Luca Netz,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,21,Germany,Monchengladbach,,"
"André Silva,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Loan,F,29,Portugal,Werder Bremen,,"
"Tiago Tomás,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,22,Portugal,Wolfsburg,,"
"Tuta,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,25,Brazil,Eintracht Frankfurt,,"
"Jérôme Roussillon,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,32,Guadeloupe,Union Berlin,,"
"Kevin Akpoguma,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,D,29,Nigeria,Hoffenheim,,"
"Antonio Nusa,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,F,19,Norway,Leipzig,,"
"Ibrahima Sissoko,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,M,27,Mali,Bochum,,"
"Daniel Peretz,,""$ 17,402"",""$ 904,911"",,""$ 904,911"",""$ 904,911"",Active,K,24,Israel,Bayern Munich,,"
"Hyun-seok Hong,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,F,25,South Korea,Mainz,,"
"Tim Skarke,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,F,28,Germany,Union Berlin,,"
"Georgios Masouras,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Active,F,31,Greece,Bochum,,"
"Myron Boadu,,""$ 16,315"",""$ 848,354"",,""$ 848,354"",""$ 848,354"",Loan,F,24,Netherlands,Bochum,,"
"Moritz Jenz,,""$ 16,097"",""$ 837,043"",,""$ 837,043"",""$ 837,043"",Loan,D,25,Germany,Mainz,,"
"Tom Krauß,,""$ 16,097"",""$ 837,043"",,""$ 837,043"",""$ 837,043"",Loan,M,23,Germany,Bochum,,"
"Maarten Vandevoordt,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,22,Belgium,Leipzig,,"
"Grischa Prömel,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,30,Germany,Hoffenheim,,"
"Arne Maier,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,26,Germany,Augsburg,,"
"Mathias Honsak,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,28,Austria,Heidenheim,,"
"Dimitrios Giannoulis,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,29,Greece,Augsburg,,"
"Nikola Vasilj,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,K,29,Bosnia-Herzegovina,St Pauli,,"
"Robin Hranac,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,25,Czech Republic,Hoffenheim,,"
"Lennard Maloney,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,M,25,United States,Mainz,,"
"Bernardo,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,29,Brazil,Bochum,,"
"Diogo Leite,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,26,Portugal,Union Berlin,,"
"Dani de Wit,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,F,27,Netherlands,Bochum,,"
"Joe Scally,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,22,United States,Monchengladbach,,"
"Manolis Saliakas,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,28,Greece,St Pauli,,"
"Ameen Al-Dakhil,,""$ 15,227"",""$ 791,797"",,""$ 791,797"",""$ 791,797"",Active,D,22,Belgium,Stuttgart,,"
"Kevin Behrens,,""$ 15,009"",""$ 780,486"",,""$ 780,486"",""$ 780,486"",Active,F,34,Germany,Wolfsburg,,"
"Franck Honorat,,""$ 14,357"",""$ 746,552"",,""$ 746,552"",""$ 746,552"",Active,F,28,France,Monchengladbach,,"
"Issa Kabore,,""$ 14,357"",""$ 746,552"",,""$ 746,552"",""$ 746,552"",Loan,D,23,Burkina Faso,Werder Bremen,,"
"Paul Nebel,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,22,Germany,Mainz,,"
"Bazoumana Touré,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,18,Cote d'Ivoire,Hoffenheim,,"
"David Nemeth,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,D,23,Austria,St Pauli,,"
"Konstantinos Koulierakis,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,D,21,Greece,Wolfsburg,,"
"Mads Roerslev Rasmussen,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Loan,D,25,Denmark,Wolfsburg,,"
"Farès Chaïbi,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,F,22,Algeria,Eintracht Frankfurt,,"
"Assan Ouédraogo,,""$ 14,139"",""$ 735,240"",,""$ 735,240"",""$ 735,240"",Active,M,18,Germany,Leipzig,,"
"Frederik Rönnow,,""$ 13,922"",""$ 723,929"",,""$ 723,929"",""$ 723,929"",Active,K,32,Denmark,Union Berlin,,"
"Andreas Hanche-Olsen,,""$ 13,922"",""$ 723,929"",,""$ 723,929"",""$ 723,929"",Active,D,28,Norway,Mainz,,"
"Erhan Masovic,,""$ 13,922"",""$ 723,929"",,""$ 723,929"",""$ 723,929"",Active,D,26,Serbia,Bochum,,"
"Milos Veljkovic,,""$ 13,922"",""$ 723,929"",,""$ 723,929"",""$ 723,929"",Active,D,29,Serbia,Werder Bremen,,"
"Stanley Nsoki,,""$ 13,922"",""$ 723,929"",,""$ 723,929"",""$ 723,929"",Active,D,25,France,Hoffenheim,,"
"Jakub Kaminski,,""$ 13,269"",""$ 689,995"",,""$ 689,995"",""$ 689,995"",Active,F,22,Poland,Wolfsburg,,"
"Justin Njinmah,,""$ 13,269"",""$ 689,995"",,""$ 689,995"",""$ 689,995"",Active,F,24,Germany,Werder Bremen,,"
"Anthony Jung,,""$ 13,269"",""$ 689,995"",,""$ 689,995"",""$ 689,995"",Active,D,33,Germany,Werder Bremen,,"
"Yan Couto,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Loan,D,22,Brazil,Borussia Dortmund,,"
"Chrislain Matsima,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Loan,D,22,France,Augsburg,,"
"Michael Gregoritsch,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,30,Austria,Freiburg,,"
"Kevin Müller,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,K,33,Germany,Heidenheim,,"
"Alexander Meyer,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,K,33,Germany,Borussia Dortmund,,"
"Haris Tabakovic,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,30,Bosnia-Herzegovina,Hoffenheim,,"
"Romano Schmid,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,25,Austria,Werder Bremen,,"
"Mads Pedersen,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,28,Denmark,Augsburg,,"
"Maxim Leitsch,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,26,Germany,Mainz,,"
"Connor Metcalfe,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,M,25,Australia,St Pauli,,"
"Can Uzun,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,19,Turkey,Eintracht Frankfurt,,"
"Amos Pieper,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,D,27,Germany,Werder Bremen,,"
"Phillip Tietz,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,27,Germany,Augsburg,,"
"Fabian Bredlow,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,K,29,Germany,Stuttgart,,"
"Eren Dinkçi,,""$ 13,052"",""$ 678,683"",,""$ 678,683"",""$ 678,683"",Active,F,23,Turkey,Freiburg,,"
"Fabian Rieder,,""$ 12,617"",""$ 656,061"",,""$ 656,061"",""$ 656,061"",Loan,F,22,Switzerland,Stuttgart,,"
"Senne Lynen,,""$ 12,617"",""$ 656,061"",,""$ 656,061"",""$ 656,061"",Active,M,25,Belgium,Werder Bremen,,"
"Kevin Vogt,,""$ 12,617"",""$ 656,061"",,""$ 656,061"",""$ 656,061"",Active,D,33,Germany,Union Berlin,,"
"Oliver Burke,,""$ 11,746"",""$ 610,815"",,""$ 610,815"",""$ 610,815"",Active,F,27,Scotland,Werder Bremen,,"
"Fiete Arp,,""$ 11,529"",""$ 599,504"",,""$ 599,504"",""$ 599,504"",Active,F,25,Germany,Holstein Kiel,,"
"Felix Passlack,,""$ 11,529"",""$ 599,504"",,""$ 599,504"",""$ 599,504"",Active,D,26,Germany,Bochum,,"
"Cédric Zesiger,,""$ 11,529"",""$ 599,504"",,""$ 599,504"",""$ 599,504"",Loan,D,26,Switzerland,Augsburg,,"
"Tom Rothe,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,20,Germany,Union Berlin,,"
"Timothy Chandler,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,35,United States,Eintracht Frankfurt,,"
"James Sands,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Loan,M,24,United States,St Pauli,,"
"Pavao Pervan,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,37,Austria,Wolfsburg,,"
"Merlin Röhl,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,22,Germany,Freiburg,,"
"Christopher Lenz,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,30,Germany,Hoffenheim,,"
"Timo Horn,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,31,Germany,Bochum,,"
"Nediljko Labrovic,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,25,Croatia,Augsburg,,"
"Josha Vagnoman,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,24,Germany,Stuttgart,,"
"Danel Sinani,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,27,Luxembourg,St Pauli,,"
"Junior Adamu,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,23,Austria,Freiburg,,"
"Arthur,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,21,Brazil,Bayer Leverkusen,,"
"Johan Manzambi,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,19,Switzerland,Freiburg,,"
"Noah Atubolu,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,K,22,Germany,Freiburg,,"
"Pascal Stenzel,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,28,Germany,Stuttgart,,"
"Kevin Paredes,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,21,United States,Wolfsburg,,"
"Bryan Zaragoza,,""$ 10,876"",""$ 565,570"",""$ 1,131,139"",""$ 1,696,708"",""$ 1,696,708"",Inactive,F,22,Spain,Bayern Munich,,"
"Kilian Fischer,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,D,24,Germany,Wolfsburg,,"
"Marvin Pieringer,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,25,Germany,Heidenheim,,"
"Jean-Mattéo Bahoya,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,F,19,France,Eintracht Frankfurt,,"
"Anthony Losilla,,""$ 10,876"",""$ 565,570"",,""$ 565,570"",""$ 565,570"",Active,M,38,France,Bochum,,"
"Nicolas Höfler,,""$ 10,441"",""$ 542,947"",,""$ 542,947"",""$ 542,947"",Active,M,34,Germany,Freiburg,,"
"Alexander Schwolow,,""$ 10,441"",""$ 542,947"",,""$ 542,947"",""$ 542,947"",Active,K,32,Germany,Union Berlin,,"
"John Tolkin,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,22,United States,Holstein Kiel,,"
"Siebe Van der Heyden,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Loan,D,26,Belgium,St Pauli,,"
"Marin Ljubicic,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,22,Croatia,Union Berlin,,"
"Morgan Guilavogui,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Loan,F,26,Guinea,St Pauli,,"
"Oladapo Afolayan,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,27,England,St Pauli,,"
"Gerrit Holtmann,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,29,Philippines,Bochum,,"
"Aljoscha Kemlein,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,M,20,Germany,Union Berlin,,"
"Florian Müller,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,K,27,Germany,Freiburg,,"
"Hauke Wahl,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,D,30,Germany,St Pauli,,"
"Ritsu Doan,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,26,Japan,Freiburg,,"
"Johannes Eggestein,,""$ 9,789"",""$ 509,013"",,""$ 509,013"",""$ 509,013"",Active,F,26,Germany,St Pauli,,"
"Reece Oxford,,""$ 9,136"",""$ 475,078"",,""$ 475,078"",""$ 475,078"",Active,D,26,England,Augsburg,,"
"Woo-yeong Jeong,,""$ 9,136"",""$ 475,078"",,""$ 475,078"",""$ 475,078"",Loan,F,25,South Korea,Union Berlin,,"
"Maximilian Wittek,,""$ 9,136"",""$ 475,078"",,""$ 475,078"",""$ 475,078"",Active,D,29,Germany,Bochum,,"
"Michael Zetterer,,""$ 8,919"",""$ 463,767"",,""$ 463,767"",""$ 463,767"",Active,K,29,Germany,Werder Bremen,,"
"Philipp Hofmann,,""$ 8,919"",""$ 463,767"",,""$ 463,767"",""$ 463,767"",Active,F,31,Germany,Bochum,,"
"Koji Miyoshi,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,27,Japan,Bochum,,"
"Marnon Busch,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,30,Germany,Heidenheim,,"
"Ansgar Knauff,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,23,Germany,Eintracht Frankfurt,,"
"Marius Müller,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,K,31,Germany,Wolfsburg,,"
"Aurèle Amenda,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,21,Switzerland,Eintracht Frankfurt,,"
"Skelly Alvero,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,22,France,Werder Bremen,,"
"Julien Duranville,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,18,Belgium,Borussia Dortmund,,"
"Patrick Mainka,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,30,Germany,Heidenheim,,"
"Yannik Keitel,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,24,Germany,Stuttgart,,"
"Steven Skrzybski,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,32,Germany,Holstein Kiel,,"
"Armindo Sieb,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Loan,F,21,Germany,Mainz,,"
"Umut Tohumcu,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,20,Germany,Hoffenheim,,"
"Finn Jeltsch,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,18,Germany,Stuttgart,,"
"Samuel Essende,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,27,Democratic Republic of the Congo,Augsburg,,"
"Armin Gigovic,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,22,Bosnia-Herzegovina,Holstein Kiel,,"
"Sirlord Conteh,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,F,28,Germany,Heidenheim,,"
"Arijon Ibrahimovic,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Inactive,F,19,Germany,Bayern Munich,,"
"Magnus Knudsen,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,M,23,Norway,Holstein Kiel,,"
"Nnamdi Collins,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,21,Germany,Eintracht Frankfurt,,"
"Niklas Lomb,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,K,31,Germany,Bayer Leverkusen,,"
"Almugera Kabar,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,18,Germany,Borussia Dortmund,,"
"Matej Kovar,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,K,24,Czech Republic,Bayer Leverkusen,,"
"Leopold Querfeld,,""$ 8,701"",""$ 452,456"",,""$ 452,456"",""$ 452,456"",Active,D,21,Austria,Union Berlin,,"
"Éric Ebimbe,,""$ 8,266"",""$ 429,833"",,""$ 429,833"",""$ 429,833"",Active,M,24,France,Eintracht Frankfurt,,"
"Matus Bero,,""$ 8,048"",""$ 418,521"",,""$ 418,521"",""$ 418,521"",Active,M,29,Slovakia,Bochum,,"
"Niels Nkounkou,,""$ 8,048"",""$ 418,521"",,""$ 418,521"",""$ 418,521"",Active,D,24,France,Eintracht Frankfurt,,"
"Kosta Nedeljkovic,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Loan,D,19,Serbia,Leipzig,,"
"Leopold Zingerle,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,K,30,Germany,Leipzig,,"
"Jonas Urbig,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,K,21,Germany,Bayern Munich,,"
"Luca Jaquez,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,21,Switzerland,Stuttgart,,"
"Simon Zoller,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,F,33,Germany,St Pauli,,"
"Jonas Föhrenbach,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,29,Germany,Heidenheim,,"
"Ramon Hendriks,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,D,23,Netherlands,Stuttgart,,"
"Kaishu Sano,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,24,Japan,Mainz,,"
"Nikolas Nartey,,""$ 7,613"",""$ 395,899"",,""$ 395,899"",""$ 395,899"",Active,M,25,Denmark,Stuttgart,,"
"Benedikt Pichler,,""$ 7,396"",""$ 384,587"",,""$ 384,587"",""$ 384,587"",Active,F,27,Austria,Holstein Kiel,,"
"Frans Krätzig,,""$ 6,961"",""$ 361,964"",,""$ 361,964"",""$ 361,964"",Loan,D,22,Germany,Heidenheim,,"
"Tim Siersleben,,""$ 6,961"",""$ 361,964"",,""$ 361,964"",""$ 361,964"",Active,D,24,Germany,Heidenheim,,"
"Cristian Gamboa,,""$ 6,961"",""$ 361,964"",,""$ 361,964"",""$ 361,964"",Active,D,35,Costa Rica,Bochum,,"
"Thomas Kastanaras,,""$ 6,961"",""$ 361,964"",,""$ 361,964"",""$ 361,964"",Active,F,22,Germany,Stuttgart,,"
"Timo Becker,,""$ 6,743"",""$ 350,653"",,""$ 350,653"",""$ 350,653"",Active,D,27,Germany,Holstein Kiel,,"
"Fabio Chiarodia,,""$ 6,526"",""$ 339,342"",,""$ 339,342"",""$ 339,342"",Active,D,19,Italy,Monchengladbach,,"
