Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
516,Florian Tardieu,fr FRA,MF,Saint-Étienne,32,1992,24,13,1252,13.9,2,4,6,2,0,0,0,0,0.14,0.29,0.43,0.14,0.43,Matches
517,Oussama Targhalline,ma MAR,MF,Le Havre,22,2002,14,12,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
518,Enzo Tchato,cm CMR,"DF,MF",Montpellier,21,2002,27,21,1899,21.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
519,Arnau Tenas,es ESP,GK,Paris Saint-Germain,23,2001,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches
520,Tanner Tessmann,us USA,MF,Lyon,22,2001,25,13,1234,13.7,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
521,Teddy Teuma,mt MLT,MF,Reims,30,1993,17,9,750,8.3,1,0,1,0,1,1,1,0,0.12,0.00,0.12,0.00,0.00,Matches
522,Jordan Teze,nl NED,"DF,MF",Monaco,24,1999,16,8,569,6.3,1,0,1,1,0,0,2,1,0.16,0.00,0.16,0.16,0.16,Matches
523,Sorba Thomas,wls WAL,"MF,DF",Nantes,24,1999,25,15,1321,14.7,1,3,4,1,0,0,3,0,0.07,0.20,0.27,0.07,0.27,Matches
524,Adrien Thomasson,fr FRA,MF,Lens,30,1993,33,31,2615,29.1,3,7,10,3,0,0,7,0,0.10,0.24,0.34,0.10,0.34,Matches
525,Corentin Tolisso,fr FRA,MF,Lyon,29,1994,32,27,2329,25.9,7,4,11,7,0,0,4,0,0.27,0.15,0.43,0.27,0.43,Matches
526,Abdoulaye Touré,gn GUI,MF,Le Havre,30,1994,28,26,2324,25.8,10,1,11,2,8,9,5,0,0.39,0.04,0.43,0.08,0.12,Matches
527,Birama Touré,ml MLI,"MF,DF",Montpellier,32,1992,8,2,300,3.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
528,Ousmane Toure,fr FRA,DF,Lille,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
529,Adrien Truffert,fr FRA,"MF,DF",Rennes,22,2001,33,31,2752,30.6,2,2,4,2,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches
530,Vanderson,br BRA,DF,Monaco,23,2001,29,23,2064,22.9,1,3,4,1,0,0,6,1,0.04,0.13,0.17,0.04,0.17,Matches
531,Robinio Vaz,fr FRA,FW,Marseille,17,2007,2,0,75,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
532,Jordan Veretout,fr FRA,MF,Lyon,31,1993,27,19,1553,17.3,2,0,2,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
533,Ben Viadere,fr FRA,FW,Auxerre,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
534,Vitinha,pt POR,MF,Paris Saint-Germain,24,2000,29,20,2042,22.7,5,1,6,3,2,2,1,0,0.22,0.04,0.26,0.13,0.18,Matches
535,Ibrahima Wadji,sn SEN,FW,Saint-Étienne,29,1995,10,2,347,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
536,Elye Wahi,ci CIV,FW,Marseille,21,2003,13,7,574,6.4,3,1,4,2,1,1,1,0,0.47,0.16,0.63,0.31,0.47,Matches
537,Caleb Wiley,us USA,"MF,DF",Strasbourg,19,2004,6,3,266,3.0,0,1,1,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches
538,Christopher Wooh,cm CMR,DF,Rennes,22,2001,20,17,1456,16.2,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
539,Etienne Youte Kinkoue,fr FRA,DF,Le Havre,22,2002,28,26,2320,25.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
540,Eloge Zabi,ci CIV,MF,Reims,17,2006,2,0,18,0.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
541,Yoram Zague,fr FRA,DF,Paris Saint-Germain,18,2006,4,2,183,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
542,Wilfried Zaha,ci CIV,FW,Lyon,31,1992,4,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
