Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,0.13,0.00,0.13,0.10,0.10,Matches
3,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,Matches
5,Matthis Abline,fr FRA,"FW,MF",Nantes,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches
6,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,0.36,0.00,0.36,0.24,0.24,Matches
7,Akor Adams,ng NGA,FW,Montpellier,23,2000,32,27,2252,25.0,8,1,9,8,0,0,2,0,0.32,0.04,0.36,0.32,0.36,Matches
8,Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Adryelson,br BRA,DF,Lyon,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Adson,br BRA,MF,Nantes,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,Matches
12,Ruben Aguilar,fr FRA,"MF,DF",Lens,30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,0.05,0.14,0.19,0.05,0.19,Matches
13,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,0.20,0.00,0.20,0.20,0.20,Matches
14,Sergio Akieme,es ESP,"DF,MF",Reims,25,1997,13,8,818,9.1,2,0,2,2,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches
15,Maghnes Akliouche,fr FRA,MF,Monaco,21,2002,28,18,1613,17.9,7,4,11,7,0,0,5,0,0.39,0.22,0.61,0.39,0.61,Matches
16,Paul Akouokou,ci CIV,MF,Lyon,25,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Aboubacar Ali,km COM,FW,Strasbourg,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,Matches
18,Mohamed Ali Cho,fr FRA,FW,Nice,19,2004,17,11,861,9.6,1,2,3,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,Matches
19,Nabil Alioui,fr FRA,"MF,FW",Le Havre,24,1999,18,12,1009,11.2,4,1,5,4,0,0,1,0,0.36,0.09,0.45,0.36,0.45,Matches
20,Jim Allevinah,ga GAB,MF,Clermont Foot,28,1995,29,22,1861,20.7,2,1,3,2,0,0,1,0,0.10,0.05,0.15,0.10,0.15,Matches
21,Skelly Alvero,fr FRA,MF,Lyon,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
22,Papa Amadou Diallo,sn SEN,"MF,FW",Metz,19,2004,16,9,889,9.9,2,1,3,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30,Matches
23,Jordan Amavi,fr FRA,DF,Brest,29,1994,2,1,91,1.0,1,0,1,1,0,0,1,0,0.99,0.00,0.99,0.99,0.99,Matches
24,Kelvin Amian,fr FRA,DF,Nantes,25,1998,12,11,798,8.9,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
25,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45,Matches
26,Benjamin André,fr FRA,MF,Lille,32,1990,30,29,2570,28.6,4,0,4,4,0,0,8,0,0.14,0.00,0.14,0.14,0.14,Matches
27,Komnen Andrić,rs SRB,FW,Clermont Foot,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Ângelo,br BRA,"MF,FW",Strasbourg,18,2004,21,11,1094,12.2,0,3,3,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
29,Stredair Appuah,fr FRA,FW,Nantes,19,2004,4,0,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Yoël Armougom,fr FRA,"MF,DF",Clermont Foot,25,1998,5,2,234,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Mohamed El Arouch,fr FRA,MF,Lyon,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Marco Asensio,es ESP,"MF,FW",Paris Saint-Germain,27,1996,19,13,1113,12.4,4,5,9,4,0,0,0,0,0.32,0.40,0.73,0.32,0.73,Matches
33,Joel Asoro,se SWE,"MF,FW",Metz,24,1999,20,10,848,9.4,2,1,3,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches
34,Lorenz Assignon,tg TOG,DF,Rennes,23,2000,14,12,1011,11.2,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches
35,Youcef Atal,dz ALG,DF,Nice,27,1996,6,5,359,4.0,1,0,1,1,0,0,2,0,0.25,0.00,0.25,0.25,0.25,Matches
36,Valentin Atangana Edoa,fr FRA,MF,Reims,17,2005,15,7,555,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Arthur Atta,fr FRA,MF,Metz,20,2003,21,10,924,10.3,1,2,3,1,0,0,0,0,0.10,0.19,0.29,0.10,0.29,Matches
38,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,34,1989,34,30,2622,29.1,17,8,25,13,4,4,4,0,0.58,0.27,0.86,0.45,0.72,Matches
39,André Ayew,gh GHA,"FW,MF",Le Havre,33,1989,19,12,1104,12.3,5,0,5,5,0,0,2,1,0.41,0.00,0.41,0.41,0.41,Matches
40,Neil El Aynaoui,ma MAR,MF,Lens,22,2001,25,17,1566,17.4,1,2,3,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,Matches
41,Abdellah Baallal,ma MAR,MF,Clermont Foot,18,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Shavy Babicka,ga GAB,"MF,FW",Toulouse,23,2000,12,4,373,4.1,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches
43,Aliou Badara Baldé,gn GUI,FW,Nice,20,2002,7,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Tiemoué Bakayoko,fr FRA,MF,Lorient,28,1994,20,15,1314,14.6,2,1,3,2,0,0,5,0,0.14,0.07,0.21,0.14,0.21,Matches
45,Dilane Bakwa,fr FRA,"MF,FW",Strasbourg,20,2002,31,25,2177,24.2,3,6,9,3,0,0,4,1,0.12,0.25,0.37,0.12,0.37,Matches
