Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,37,37,3330,37.0,1,2,3,1,0,0,6,0,0.03,0.05,0.08,0.03,0.08,Matches
2,Himad Abdelli,dz ALG,"MF,FW",Angers,22,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches
3,Salis Abdul Samed,gh GHA,MF,Lens,22,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,29,1993,29,28,2342,26.0,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches
5,Matthis Abline,fr FRA,FW,Rennes,19,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.84,0.00,0.84,0.84,0.84,Matches
6,Matthis Abline,fr FRA,FW,Auxerre,19,2003,19,8,806,9.0,2,1,3,1,1,2,1,0,0.22,0.11,0.33,0.11,0.22,Matches
7,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,0.36,0.18,0.55,0.36,0.55,Matches
8,Mohamed Achi,fr FRA,MF,Nantes,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Martin Adeline,fr FRA,MF,Reims,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Emmanuel Agbadou,ci CIV,DF,Reims,25,1997,29,27,2388,26.5,0,3,3,0,0,0,5,3,0.00,0.11,0.11,0.00,0.11,Matches
11,Lucien Agoume,fr FRA,MF,Troyes,20,2002,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches
12,Ruben Aguilar,fr FRA,DF,Monaco,29,1993,20,14,1172,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Amar Ahmed,se SWE,FW,Troyes,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28,1994,30,16,1300,14.4,3,1,4,3,0,0,4,1,0.21,0.07,0.28,0.21,0.28,Matches
15,Ludovic Ajorque,fr FRA,FW,Strasbourg,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,0.12,0.00,0.12,0.00,0.00,Matches
16,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Doğan Alemdar,tr TUR,GK,Rennes,19,2002,6,4,406,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Jim Allevinah,ga GAB,MF,Clermont Foot,27,1995,36,25,2244,24.9,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
19,Mickaël Alphonse,gp GLP,DF,Ajaccio,33,1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
20,Ibrahim Amadou,fr FRA,DF,Angers,29,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Ayoub Amraoui,ma MAR,DF,Nice,18,2004,7,3,294,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Benjamin André,fr FRA,MF,Lille,31,1990,34,33,2916,32.4,1,1,2,1,0,0,12,0,0.03,0.03,0.06,0.03,0.06,Matches
23,Komnen Andrić,rs SRB,FW,Clermont Foot,27,1995,34,16,1446,16.1,4,3,7,3,1,2,4,0,0.25,0.19,0.44,0.19,0.37,Matches
