Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Abner,br BRA,DF,Real Betis,22,2000,13,607,47,17.7,6.7,7,74,3,6,15,8,1.08,7,10,-3,-0.44,-0.70,Matches
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,13,13,0.4,0.1,0,,0,1,13,13,0.00,0,0,0,0.00,+0.79,Matches
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,1912,64,55.9,21.2,21,79,10,9,28,0,1.33,28,34,-6,-0.28,-0.22,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,675,84,19.7,7.5,7,90,7,1,45,26,0.75,5,6,-1,-0.13,-0.30,Matches
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,34,1888,56,55.2,21.0,18,78,11,16,31,4,1.15,19,36,-17,-0.81,-0.05,Matches
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,3119,89,91.2,34.7,35,89,33,0,,0,1.14,40,48,-8,-0.23,+0.37,Matches
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,2297,79,67.2,25.5,27,84,23,2,9,4,0.93,31,45,-14,-0.55,-0.39,Matches
8,Babatunde Akinsola,ng NGA,MF,Valladolid,19,2003,1,11,11,0.3,0.1,0,,0,1,11,4,0.00,0,1,-1,-8.18,-7.42,Matches
9,Paul Akouokou,ci CIV,"MF,DF",Real Betis,24,1997,12,447,37,13.1,5.0,3,89,2,9,20,19,1.67,2,6,-4,-0.81,-1.08,Matches
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,1838,80,53.7,20.4,21,86,16,2,19,3,2.30,49,18,+31,+1.52,+1.06,Matches
11,Ángel Alarcón,es ESP,FW,Barcelona,18,2004,4,25,6,0.7,0.3,0,,0,4,6,10,2.25,0,0,0,0.00,-1.33,Matches
12,Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,223,56,6.5,2.5,2,83,1,2,29,4,0.00,0,7,-7,-2.83,-2.37,Matches
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,1419,59,41.5,15.8,14,83,6,10,26,12,2.17,27,8,+19,+1.21,-0.19,Matches
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,2119,85,62.0,23.5,24,88,22,1,15,2,1.52,29,23,+6,+0.25,-0.64,Matches
15,Rubén Alcaraz,es ESP,MF,Cádiz,31,1991,31,2043,66,59.7,22.7,22,80,10,9,31,0,1.29,18,26,-8,-0.35,+0.63,Matches
16,Omar Alderete,py PAR,DF,Getafe,25,1996,25,2047,82,59.9,22.7,23,87,19,2,23,6,1.04,19,24,-5,-0.22,+0.17,Matches
17,Iván Alejo,es ESP,MF,Cádiz,27,1995,31,1311,42,38.3,14.6,13,69,2,18,23,2,1.06,8,26,-18,-1.24,-1.02,Matches
18,Carles Aleñá,es ESP,"MF,FW",Getafe,24,1998,35,2119,61,62.0,23.5,26,75,7,9,20,0,1.00,17,27,-10,-0.42,-0.36,Matches
19,Alejandro Alfaro,es ESP,MF,Elche,20,2002,1,15,15,0.4,0.2,0,,0,1,15,1,0.00,0,0,0,0.00,+0.98,Matches
20,Ángel Algobia,es ESP,MF,Getafe,23,1999,26,1138,44,33.3,12.6,11,71,3,15,24,10,1.19,17,15,+2,+0.16,+0.67,Matches
21,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,19,587,31,17.2,6.5,5,61,0,14,20,5,1.89,11,9,+2,+0.31,-0.14,Matches
22,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,34,2539,75,74.2,28.2,29,84,14,5,23,2,1.15,30,32,-2,-0.07,+0.03,Matches
23,Nando Almodóvar,es ESP,GK,Cádiz,18,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
24,José Alonso Lara,es ESP,MF,Real Betis,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
25,Marcos Alonso,es ESP,DF,Barcelona,31,1990,24,1172,49,34.3,13.0,11,80,8,13,22,10,2.29,22,11,+11,+0.84,-0.72,Matches
26,Carlos Álvarez,es ESP,MF,Sevilla,18,2003,1,10,10,0.3,0.1,0,,0,1,10,7,3.00,0,1,-1,-9.00,-8.84,Matches
27,Gastón Álvarez,uy URU,DF,Getafe,22,2000,22,1501,68,43.9,16.7,16,86,10,6,22,14,1.41,17,15,+2,+0.12,+0.73,Matches
28,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,19,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
29,Iker Álvarez,ad AND,GK,Villarreal,21,2001,0,,,,,0,,0,0,,17,,,,,,,Matches
30,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,28,2332,83,68.2,25.9,27,86,21,1,12,2,1.50,33,30,+3,+0.12,+0.03,Matches
31,Diego Alves,br BRA,GK,Celta Vigo,37,1985,0,,,,,0,,0,0,,6,,,,,,,Matches
32,Selim Amallah,ma MAR,"MF,FW",Valladolid,25,1996,7,267,38,7.8,3.0,3,56,0,4,25,2,1.14,6,4,+2,+0.67,+1.59,Matches
33,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,20,2001,0,,,,,0,,0,0,,1,,,,,,,Matches
34,Amath,sn SEN,"MF,FW",Mallorca,26,1996,28,1227,44,35.9,13.6,12,68,3,16,26,3,1.25,13,14,-1,-0.07,+0.13,Matches
35,Jordan Amavi,fr FRA,DF,Getafe,28,1994,5,200,40,5.8,2.2,1,58,0,4,36,23,0.80,2,2,0,0.00,+0.31,Matches
36,Marcos André,br BRA,FW,Valencia,25,1996,17,447,26,13.1,5.0,3,52,0,14,21,5,0.76,9,7,+2,+0.40,+0.55,Matches
37,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,15,585,39,17.1,6.5,7,70,2,8,12,15,1.13,7,15,-8,-1.23,-1.14,Matches
38,Josep Antoni Gayá,es ESP,DF,Mallorca,22,2000,2,98,49,2.9,1.1,1,90,1,1,8,19,1.50,0,3,-3,-2.76,-2.67,Matches
39,José Antonio,es ESP,MF,Cádiz,18,2004,2,46,23,1.3,0.5,0,,0,2,23,4,0.00,0,1,-1,-1.96,-1.37,Matches
40,Anuar,ma MAR,"MF,FW",Valladolid,27,1995,3,210,70,6.1,2.3,3,70,1,0,,3,0.33,2,5,-3,-1.29,-0.53,Matches
41,Arvin Appiah,eng ENG,MF,Almería,21,2001,0,,,,,0,,0,0,,3,,,,,,,Matches
42,Mauro Arambarri,uy URU,MF,Getafe,26,1995,13,992,76,29.0,11.0,13,76,5,0,,0,1.08,11,18,-7,-0.64,-0.49,Matches
43,Egoitz Arana,es ESP,GK,Real Sociedad,20,2002,0,,,,,0,,0,0,,5,,,,,,,Matches
44,Ronald Araújo,uy URU,DF,Barcelona,23,1999,22,1800,82,52.6,20.0,21,85,16,1,24,2,2.45,42,5,+37,+1.85,+1.13,Matches
45,Matías Árbol,es ESP,GK,Sevilla,19,2002,0,,,,,0,,0,0,,12,,,,,,,Matches
46,Adu Ares,es ESP,MF,Athletic Club,20,2001,8,84,11,2.5,0.9,0,,0,8,11,7,0.63,1,3,-2,-2.14,-2.30,Matches
47,Sergio Arribas,es ESP,MF,Real Madrid,20,2001,2,19,10,0.6,0.2,0,,0,2,10,1,1.50,0,1,-1,-4.74,-5.80,Matches
48,Roberto Arroyo,es ESP,FW,Valladolid,18,2003,1,15,15,0.4,0.2,0,,0,1,15,3,0.00,0,1,-1,-6.00,-5.23,Matches
49,Ricard Artero,es ESP,MF,Girona,19,2003,7,133,19,3.9,1.5,0,,0,7,19,19,2.00,2,2,0,0.00,-0.08,Matches
50,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24,1998,12,483,40,14.1,5.4,5,81,3,7,11,26,0.92,1,15,-14,-2.61,-2.33,Matches
51,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10,900,90,26.3,10.0,10,90,10,0,,20,0.80,7,21,-14,-1.40,-0.83,Matches
52,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,31,1442,47,42.2,16.0,15,80,7,16,16,6,1.90,34,16,+18,+1.12,+0.17,Matches
53,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,37,2868,78,83.9,31.9,31,89,27,6,20,0,1.16,36,46,-10,-0.31,-0.31,Matches
54,Ander Astralaga,es ESP,GK,Barcelona,18,2004,0,,,,,0,,0,0,,2,,,,,,,Matches
55,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Barcelona,33,1989,1,9,9,0.3,0.1,0,,0,1,9,2,1.00,0,0,0,0.00,-1.32,Matches
56,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,4,132,33,3.9,1.5,1,71,0,3,20,6,0.00,1,4,-3,-2.05,-1.96,Matches
57,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,29,1709,59,50.0,19.0,23,68,1,6,23,3,1.31,18,17,+1,+0.05,+0.37,Matches
58,Iddrisu Baba,gh GHA,MF,Mallorca,26,1996,29,1705,59,49.9,18.9,20,76,10,9,21,6,1.45,14,23,-9,-0.48,-0.63,Matches
59,Srđan Babić,rs SRB,DF,Almería,26,1996,34,2998,88,87.7,33.3,33,89,32,1,45,3,1.15,42,56,-14,-0.42,+0.01,Matches
60,Loïc Bade,fr FRA,DF,Sevilla,22,2000,19,1449,76,42.4,16.1,16,88,15,3,11,1,1.84,24,16,+8,+0.50,+1.18,Matches
61,Édgar Badía,es ESP,GK,Elche,30,1992,36,3240,90,94.7,36.0,36,90,36,0,,0,0.69,29,63,-34,-0.94,+0.56,Matches
62,Alex Baena,es ESP,"MF,FW",Villarreal,21,2001,35,1947,56,56.9,21.6,19,81,9,16,26,0,1.71,32,23,+9,+0.42,-0.19,Matches
63,Miguel Baeza,es ESP,MF,Celta Vigo,22,2000,0,,,,,0,,0,0,,3,,,,,,,Matches
64,Alejandro Balde,es ESP,DF,Barcelona,18,2003,33,2471,75,72.3,27.5,30,81,21,3,9,4,2.45,48,15,+33,+1.20,-0.41,Matches
65,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,3,115,38,3.4,1.3,1,69,0,2,23,27,1.00,1,3,-2,-1.57,-1.73,Matches
66,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,37,3232,87,94.5,35.9,37,87,31,0,,0,1.30,43,47,-4,-0.11,+1.80,Matches
67,Léo Baptistão,br BRA,"FW,MF",Almería,29,1992,28,1726,62,50.5,19.2,24,69,1,4,19,1,1.29,28,30,-2,-0.10,+0.64,Matches
68,Barcia,es ESP,DF,Celta Vigo,21,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
69,Keidi Bare,al ALB,MF,Espanyol,24,1997,18,503,28,14.7,5.6,4,60,0,14,19,7,0.89,5,12,-7,-1.25,-0.94,Matches
70,Kike Barja,es ESP,"FW,MF",Osasuna,25,1997,27,1312,49,38.4,14.6,15,70,1,12,22,11,1.30,19,18,+1,+0.07,+0.32,Matches
71,Ander Barrenetxea,es ESP,"DF,MF",Real Sociedad,20,2001,23,878,38,25.7,9.8,9,65,0,14,21,5,2.00,14,5,+9,+0.92,+0.67,Matches
72,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,21,724,34,21.2,8.0,6,64,1,15,23,5,2.05,13,9,+4,+0.50,-0.60,Matches
73,Álvaro Bastida,es ESP,MF,Cádiz,18,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
74,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,15,686,46,20.1,7.6,8,73,2,7,14,9,1.47,5,6,-1,-0.13,+0.03,Matches
75,Bebé,cv CPV,"FW,MF",Rayo Vallecano,32,1990,4,60,15,1.8,0.7,0,,0,4,15,13,0.25,1,1,0,0.00,+0.21,Matches
76,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,3,143,48,4.2,1.6,1,90,1,2,27,8,3.00,4,0,+4,+2.52,+1.25,Matches
77,Vicente Bellmunt,es ESP,GK,Getafe,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
78,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,36,2855,79,83.5,31.7,33,84,22,3,28,0,1.17,35,44,-9,-0.28,-0.12,Matches
79,Iker Benito,es ESP,MF,Osasuna,19,2002,4,176,44,5.1,2.0,2,72,0,2,17,5,2.25,2,0,+2,+1.02,+1.22,Matches
80,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,24,2038,85,59.6,22.6,24,85,18,0,,0,2.08,46,17,+29,+1.28,+0.63,Matches
81,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,29,2406,83,70.4,26.7,27,87,24,2,28,1,1.10,23,32,-9,-0.34,-1.49,Matches
82,Álex Berenguer,es ESP,MF,Athletic Club,27,1995,37,2297,62,67.2,25.5,26,78,10,11,25,1,1.30,30,33,-3,-0.12,-0.68,Matches
83,Emilio Bernard,es ESP,GK,Valencia,22,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
