Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
494,Abdul Mumin,gh GHA,DF,Rayo Vallecano,26,1998,24,2017,84,59.0,22.4,24,84,21,0,,0,1.46,24,21,+3,+0.13,+0.58,Matches
495,Aihen Muñoz,es ESP,DF,Real Sociedad,26,1997,21,1098,52,32.1,12.2,13,72,6,8,21,14,1.10,10,13,-3,-0.25,+0.06,Matches
496,Álex Muñoz,es ESP,DF,Las Palmas,30,1994,21,1415,67,41.4,15.7,18,76,9,3,18,16,0.90,15,29,-14,-0.89,-0.58,Matches
497,Egoitz Muñoz,es ESP,DF,Alavés,19,2005,0,,,,,0,,0,0,,1,,,,,,,Matches
498,Iker Muñoz,es ESP,MF,Osasuna,21,2002,23,610,27,17.8,6.8,4,59,1,19,20,5,1.43,10,12,-2,-0.30,-0.23,Matches
499,Javier Muñoz,es ESP,"MF,DF",Las Palmas,29,1995,35,2588,74,75.7,28.8,28,86,20,7,27,1,0.91,32,49,-17,-0.59,-0.16,Matches
500,Víctor Muñoz,es ESP,FW,Real Madrid,21,2003,2,36,18,1.1,0.4,0,,0,2,18,2,1.50,2,0,+2,+5.00,+3.99,Matches
501,Vedat Muriqi,xk KVX,FW,Mallorca,30,1994,29,2058,71,60.2,22.9,24,80,10,5,28,0,1.10,20,30,-10,-0.44,-0.50,Matches
502,Juan Musso,ar ARG,GK,Atlético Madrid,30,1994,2,180,90,5.3,2.0,2,90,2,0,,34,3.00,5,0,+5,+2.50,+1.58,Matches
503,Matija Nastasić,rs SRB,DF,Leganés,31,1993,26,2110,81,61.7,23.4,24,85,20,2,39,4,0.96,25,41,-16,-0.68,-0.61,Matches
504,Natan,br BRA,DF,Real Betis,23,2001,31,2175,70,63.6,24.2,23,90,23,8,13,5,1.55,36,36,0,0.00,-0.51,Matches
505,Pau Navarro,es ESP,DF,Villarreal,19,2005,17,916,54,26.8,10.2,8,74,3,9,36,21,2.24,28,16,+12,+1.18,+0.89,Matches
506,Roberto Navarro,es ESP,MF,Mallorca,22,2002,23,1278,56,37.4,14.2,15,71,0,8,27,2,1.48,13,13,0,0.00,+0.38,Matches
